L' U' B R2 U2 R
B R2 U L' U R
B L R2 U L2 U R
B L R2 U2 R D' B2
B L R2 U2 D' R B2
B L R2 U2 D' B2 R
B L R2 D F2 L' U2
B L R2 D' U2 R B2
B L R2 D' U2 B2 R
B' L R2 B2 U L2 U
B' L R2 B2 U2 D' B2
B' L R2 B2 D F2 U2
B' L R2 B2 D' U2 B2
B L U2 R' D' B2 L
B' L B2 R2 U L2 U
B' L B2 R2 U2 D' B2
B' L B2 R2 D F2 U2
B' L B2 R2 D' U2 B2
D2 L' R2 U L' F' R
D' L' R2 F2 U F R
D2 L' U L' R2 F' R
D2 L' U R2 L' F' R
B' L' U D2 L2 R2 F2
B' L' U D2 L2 F2 R2
B' L' U D2 R2 L2 F2
B' L' U D2 R2 F2 L2
B' L' U D2 F2 L2 R2
B' L' U D2 F2 R2 L2
B' L' U' L2 R2 B2 U2
B' L' U' L2 B2 R2 U2
B' L' U' R2 L2 B2 U2
B' L' U' R2 B2 L2 U2
U' L' U' B R2 U2 R
U2 L' U' B R2 U2 R
B' L' U' B2 L2 R2 U2
B' L' U' B2 R2 L2 U2
U L' U' B R2 U2 R
B' L' D' R2 F2 B2 U
B' L' D' R2 B2 F2 U
B' L' D' F2 R2 B2 U
B' L' D' F2 B2 R2 U
B' L' D' B2 R2 F2 U
B' L' D' B2 F2 R2 U
B' L' D2 U L2 R2 F2
B' L' D2 U L2 F2 R2
B' L' D2 U R2 L2 F2
B' L' D2 U R2 F2 L2
B' L' D2 U F2 L2 R2
B' L' D2 U F2 R2 L2
B L2 R2 U L U R
R2 U L' U D2 F' R
R2 U L' D2 U F' R
R2 U L' B U F' R'
L' U D2 L2 R2 F' R
L' U D2 R2 L2 F' R
L' U D2 R2 F' L2 R
L' U D2 R2 F' R L2
R2 U D2 L' U F' R
L' U B R2 U2 R B'
L' U B R2 U2 B' R
R2 U B L' U F' R'
L' U' L B R2 U2 R
L' U' L' B R2 U2 R
L' U' L2 B R2 U2 R
L' U' R2 U2 D2 F' R
L' U' R2 D2 U2 F' R
L' U' R2 B U2 F' R'
L' U' R2 B' L U2 F'
L' U' B L R2 U2 R
L' U' B L' R2 U2 R
L' U' B L2 R2 U2 R
L' U' B R2 L U2 R
L' U' B R2 L' U2 R
L' U' B R2 L2 U2 R
L' U' B R2 U2 R D
L' U' B R2 U2 R D'
L' U' B R2 U2 R D2
L' U' B R2 U2 D R
L' U' B R2 U2 D' R
L' U' B R2 U2 D2 R
L' U' B R2 D U2 R
L' U' B R2 D' U2 R
L' U' B R2 D2 U2 R
L' U' B U2 D2 L2 R'
L' U' B U2 D2 R' L2
L' U' B D2 U2 L2 R'
L' U' B D2 U2 R' L2
L' U' B' L R2 B2 U2
L' U' B' L B2 R2 U2
L' U' B' R2 L B2 U2
L' U' B' R2 B2 U2 R'
L' U' B2 R2 B' U2 R'
B R2 L U L2 U R
D2 R2 L' U L' F' R
B R2 L U2 R D' B2
B R2 L U2 D' R B2
B R2 L U2 D' B2 R
B' R2 L B2 U L2 U
B' R2 L B2 U2 D' B2
B' R2 L B2 D F2 U2
B' R2 L B2 D' U2 B2
B R2 L D F2 L' U2
