U L F U' B' U2 R'
B L B' U L F U
F' L' D' F B' R' B'
F' L' D' B' R' F B'
F' L' D' B' R' B' F
F' L' D' B' F R' B'
F' L' F D' B' R' B'
F' L' F B D' B2 R'
F' L' F B' R' D' B2
F' L' F B' D' R' B2
F' L' B D' F B2 R'
F' L' B D' B2 R' F
F' L' B D' B2 F R'
F' L' B F D' B2 R'
F' L' B' R' D' F B2
F' L' B' R' D' B2 F
F' L' B' R' F D' B2
F' L' B' D' R' F B2
F' L' B' D' R' B2 F
F' L' B' D' F R' B2
F' L' B' F R' D' B2
F' L' B' F D' R' B2
F' U L U L2 F R
F' U2 L' D' F R B2
F' U2 L' D' F B2 R
F' U2 L' D' B2 F R
F' U2 L' F R D' B2
F' U2 L' F D' R B2
F' U2 L' F D' B2 R
B' F' U' L' R' F B'
B' F' U' L' R' B' F
B' F' U' L' F R' B'
B' F' U' R' L' F B'
B' F' U' R' L' B' F
F' B' U' L' R' F B'
F' B' U' L' R' B' F
F' B' U' L' F R' B'
F' B' U' R' L' F B'
F' B' U' R' L' B' F
