U L' U R' U B' L
L' U L' R' U B' L
R' U L2 B' L B' R'
L' U R' L' U B' L
R' U' L' U2 L' B' L
F2 R B' D' L F2 B'
F2 R B' D' L B' F2
F2 R B' D' F2 L B'
U2 R' U' L' U2 B' L
B U L' R' U2 F' B'
B U L' R' U2 B' F'
B U R' L' U2 F' B'
B U R' L' U2 B' F'
B U' L' R' F' B' U2
B U' L' R' B' F' U2
B U' R' L' F' B' U2
B U' R' L' B' F' U2
F' D L' R' F B U
F' D L' R' B F U
F' D L' F R' B U
F' D R' L' F B U
F' D R' L' B F U
F' D R' B L' F U
R' B U' L' R' F' U2
R' B U' R' L' F' U2
F2 B' D' L R F' B'
F2 B' D' L R B' F'
F2 B' D' L B' R F'
F2 B' D' R L F' B'
F2 B' D' R L B' F'
F2 B' D' R F' L B'
B' F2 D' L R F' B'
B' F2 D' L R B' F'
B' F2 D' L B' R F'
B' F2 D' R L F' B'
B' F2 D' R L B' F'
B' F2 D' R F' L B'
