F2 L' F B U F
F2 L' B F U F
U' F2 L' F B U
U' F2 L' B F U
U' F2 B L' F U
F2 B L' F U F
U' B F2 L' F U
B F2 L' F U F
R2 L U F' R' B' U'
B2 L U R B' U' R'
B2 L U B' R U' R2
B L U B' R U' R'
R2 L F' R' B' U' F
U' L B U2 R B2 U'
U' L B U2 B2 R U'
U' L B D2 F2 L' U
F2 L' R' F U F R
F2 L' D F B R2 U
F2 L' D B R2 F U
F2 L' D B F R2 U
F2 L' F R' U F R
F L' F L' B U F2
F2 L' F D B U F
F2 L' F D' B U F
F2 L' F D2 B U F
F2 L' F B R U F
F2 L' F B R' U F
F2 L' F B R2 U F
F2 L' F B U D F
F2 L' F B U D' F
F2 L' F B U D2 F
F2 L' F B U F D
F2 L' F B U F D'
F2 L' F B U F D2
F2 L' F B D U F
F2 L' F B D' U F
F2 L' F B D2 U F
F L' F B L' U F2
L R2 U F' R' B' U'
U' L' F2 L' F' B U
U' L' F2 L' B F' U
B L' F2 L' F' U F'
U' L' F2 B L' F' U
F2 L' B R F U F
F2 L' B R' F U F
F2 L' B R2 F U F
F2 L' B D R2 F U
F2 L' B D F R2 U
F2 L' B F R U F
F2 L' B F R' U F
F2 L' B F R2 U F
F2 L' B F U D F
F2 L' B F U D' F
F2 L' B F U D2 F
F2 L' B F U F D
F2 L' B F U F D'
F2 L' B F U F D2
F2 L' B F D U F
F2 L' B F D' U F
F2 L' B F D2 U F
U' L' B F2 L' F' U
F L' B F L' U F2
B2 L2 R F U' F' L'
L R2 F' R' B' U' F
U' L2 B U2 R B U'
L U R2 F' R' B' U'
R2 U D2 F' R' B U'
B2 R L2 F U' F' L'
R2 U F' D2 R' B U'
L U B' R U' D' R2
L U B' R U2 B2 U
L U B' R D' U' R2
L U B' R D2 F2 U'
L U B' D' R U' R
L U B' D2 R F2 U'
F2 R' L' F U F R
L' U' F2 L' F' B U
L' U' F2 L' B F' U
L2 U' F' B U L' B'
L' U' F2 B L' F' U
L' U' B F2 L' F' U
L2 U' B F' U L' B'
L U' B U2 R B2 U'
L U' B U2 B2 R U'
L U' B D2 F2 L' U
D2 R2 U F' R' U' L'
U R2 D2 F' R' B U'
U R2 F' D2 R' B U'
F2 U L' F B U F
F2 U L' B F U F
F2 U B L' F U F
F2 U' L' F B U F
F2 U' L' B F U F
B' U' F2 L' F B2 U
B' U' F2 L' B2 F U
B' U' F2 B2 L' F U
B2 U' F2 B' L' F U
F2 U' B L' F U F
B2 U' B' F2 L' F U
R2 D2 U F' R' B U'
B' U' B2 F2 L' F U
F2 U2 L' F B U F
F2 U2 L' B F U F
R2 D2 F' R' B U' F
U' F L' F L' B U
U' F L' F B L' U
U' F L' B F L' U
