L2 R U R B' U'
L2 R U B' R U'
R L2 U R B' U'
R L2 U B' R U'
R U R U2 F U
D2 R U' F L2 U
D R U' F U B2
L2 U B' R2 U' R'
D R B2 U' F U
R U' F2 L' F' U
U R2 U2 F U R'
F2 R2 B U' F2 R
F U F' D R B2
F U F' D B2 R
D2 F L2 U F' R
D F U F' R B2
D F U F' B2 R
D F U B2 F' R
F' D' F L2 R B'
F' D' F L2 B' R
F' D' F R L2 B'
L2 B D L2 R B2
L2 B D L2 B2 R
L2 B D R L2 B2
L2 B D R B2 L2
L2 B D B2 L2 R
L2 B D B2 R L2
D B2 R U' F U
L' R U R B U' L
L2 R U R D B' U'
L2 R U R D' B' U'
L2 R U R D2 B' U'
L2 R U R B' U' D
L2 R U R B' U' D'
L2 R U R B' U' D2
L2 R U R B' D U'
L2 R U R B' D' U'
L2 R U R B' D2 U'
L2 R U R' B' R2 U'
L2 R U D R B' U'
L2 R U D B' R U'
L2 R U D' R B' U'
L2 R U D' B' R U'
L2 R U D2 R B' U'
L2 R U D2 B' R U'
L' R U B R U' L
D L R B' D' B' L
L2 R U B R B2 U'
L2 R U B' R U' D
L2 R U B' R U' D'
L2 R U B' R U' D2
L2 R U B' R D U'
L2 R U B' R D' U'
L2 R U B' R D2 U'
L2 R U B' D R U'
L2 R U B' D' R U'
L2 R U B' D2 R U'
L' R U' F' U L' B'
L R U' F2 L' F U
R L U' F2 L' F U
F L U F' D R B2
F L U F' D B2 R
L2 R D U R B' U'
L2 R D U B' R U'
L2 R D' U R B' U'
L2 R D' U B' R U'
L2 R D2 U R B' U'
L2 R D2 U B' R U'
L2 R B U R B2 U'
L2 R B U B2 R U'
L2 R B2 U B R U'
R L' U R B U' L
D L B' R D' B' L
R L' U B R U' L
D L B' D' R B' L
D L B' D' B' L R
D L B' D' B' R L
R L' U' F' U L' B'
F L' U F' D R B2
F L' U F' D B2 R
F2 L' U' R2 B U' F2
R2 L' F U' F' L' R'
R2 L' F U' F' R' L'
R L2 U R D B' U'
R L2 U R D' B' U'
R L2 U R D2 B' U'
R L2 U R B' U' D
R L2 U R B' U' D'
R L2 U R B' U' D2
R L2 U R B' D U'
R L2 U R B' D' U'
R L2 U R B' D2 U'
R L2 U R' B' R2 U'
R L2 U D R B' U'
R L2 U D B' R U'
R L2 U D' R B' U'
R L2 U D' B' R U'
R L2 U D2 R B' U'
R L2 U D2 B' R U'
R L2 U B R B2 U'
R L2 U B' R U' D
R L2 U B' R U' D'
R L2 U B' R U' D2
R L2 U B' R D U'
R L2 U B' R D' U'
R L2 U B' R D2 U'
R L2 U B' D R U'
R L2 U B' D' R U'
R L2 U B' D2 R U'
R L2 D U R B' U'
R L2 D U B' R U'
R L2 D' U R B' U'
R L2 D' U B' R U'
D2 L2 R U B' U' B
B' L2 R U R B' U'
B' L2 R U B' R U'
B2 L2 R U R B' U'
B2 L2 R U B' R U'
B L2 R U R B' U'
D L2 R U B' U' B'
B L2 R U B' R U'
R L2 D2 U R B' U'
R L2 D2 U B' R U'
D L2 R B D L2 B
D L2 R B D B L2
D L2 R B2 U B U'
L' R2 F U' F' L' R'
L' R2 F U' F' R' L'
D2 L2 U B' U' B R
B' L2 U B' R2 U' R'
B2 L2 U B' R2 U' R'
F L2 U F' D R B2
F L2 U F' D B2 R
D L2 U B' U' R B'
D L2 U B' U' B' R
B L2 U B' R2 U' R'
U2 L2 U' B' R2 U' R'
R L2 B U R B2 U'
