B L U F2 R F' L'
R2 U F R U L' B
R2 U F R U B L'
F' R U' L' U' F' B'
F' R U' L' U' B' F'
U R U F L' F2 B
U R U F L' B F2
U R U F B L' F2
L U F2 R F' L' B
L U F2 R F' B L'
L U F2 R B F' L'
U R U B F L' F2
F' R U2 F' U' L' U
U R F U L' F2 B
U R F U L' B F2
U R F U B L' F2
F' R B U L U F'
L U' F2 R F' L' B'
U R' U' F' B R U2
U R' U' B F' R U2
F' R' B R2 U L U
F2 R' B U L F U
F R' B U L U L2
F R' B U2 L' D' B2
F2 U R U F' B L
F2 U R U B L F'
F2 U R U B F' L
F U R U L' F' B
F U R U L' B F'
F U R U B L' F'
D2 U' L' U' F B' L
D2 U' L' U' B' F L
U' D2 L' U' F B' L
U' D2 L' U' B' F L
R' D2 B R' U L U
U2 F L' U R U' F'
U2 F R U' L' F' R'
U F R U L' F' B
U F R U L' B F'
U F R U B L' F'
U2 F U R U' L' F'
R' F B U L U L2
R' F B U2 L' D' B2
R2 F' R B U L U
R' F' B R U L U
R' F2 B U L F U
R' B U L F U L'
R' B U F L U L2
F' B R U L U F'
R' B F U L U L2
R' B F U2 L' D' B2
R' B F' R U L U
R' B F2 U L F U
B' F' R U2 D F' B2
B' F' R U2 D B2 F'
B' F' R U2 F' D B2
B' F' R D U2 F' B2
B' F' R D U2 B2 F'
B' F' R D' F2 U2 F
D B' U' L R' B U'
F' B' R U2 D F' B2
F' B' R U2 D B2 F'
F' B' R U2 F' D B2
F' B' R D U2 F' B2
F' B' R D U2 B2 F'
F' B' R D' F2 U2 F
D B' U' R' L B U'
B F' R U L U F'
