U' L2 F U' F' B
U' L2 F U' B F'
L2 U' F L2 U' B
U2 B R2 D' R2 F2
U2 B R2 D' F2 R2
U2 B D' R2 D' F2
U2 B' L U L' B2
U2 B' L U B2 L'
U2 B' L' U L B2
U2 B' L2 U L2 B2
U2 B' L2 U B2 L2
U2 B' U B2 D L2
U B' R2 U F' B2
U B' R2 U B2 F'
U2 B' D L2 U L2
U B' U' B U2 B
U2 L U L' B' R' B2
U2 L U B L' D2 R2
U2 L U B' L' R' B2
U2 L U B' R' L' B2
U2 L U B' R' B2 L'
B' L U' L' U' B2 R'
B' L U2 L' U' L B2
U' L F' U' F B R
U' L F' U' B F R
B' L F2 R U B2 L
U' L B U B' U' R'
U2 L B2 U B' L' R'
U2 L B2 U B' R' L'
U2 L' U L B D' R2
U2 L' U D' L B R'
B' L' U2 L U' L' B2
B' L' U2 L U' B2 L'
U2 L' D' U L B R'
U2 L2 U L2 B D' R2
D2 L2 U' F L2 U' B
D' L2 U' F L2 U' B
F' L2 U' F L2 U' B
F2 L2 U' F L2 U' B
D L2 U' F L2 U' B
F L2 U' F L2 U' B
B' L2 U2 L2 U' L2 B2
B' L2 U2 L2 U' B2 L2
U2 L2 U2 F U' L2 B
U2 L2 U2 F U' B L2
U L2 U2 F U' F' B
U L2 U2 F U' B F'
U' L2 D F U' F' B
U' L2 D F U' B F'
U' L2 D' F U' F' B
U' L2 D' F U' B F'
B L2 D' R2 D2 L2 F2
B L2 D' R2 D2 F2 L2
B L2 D' B2 U2 R2 B2
B L2 D' B2 U2 B2 R2
U' L2 D2 F U' F' B
U' L2 D2 F U' B F'
U' L2 F L U' F' B
U' L2 F L U' B F'
U' L2 F L' U' F' B
U' L2 F L' U' B F'
U' L2 F L2 U' F' B
U' L2 F L2 U' B F'
U' L2 F U' D F' B
U' L2 F U' D B F'
U' L2 F U' D' F' B
U' L2 F U' D' B F'
U' L2 F U' D2 F' B
U' L2 F U' D2 B F'
U' L2 F U' F' D B
U' L2 F U' F' D' B
U' L2 F U' F' D2 B
U' L2 F U' F' B D
U' L2 F U' F' B D'
U' L2 F U' F' B D2
U' L2 F U' B D F'
U' L2 F U' B D' F'
U' L2 F U' B D2 F'
U' L2 F U' B F' D
U' L2 F U' B F' D'
U' L2 F U' B F' D2
U' L2 F D U' F' B
U' L2 F D U' B F'
U2 L2 F U' B L2 F
U' L2 F D' U' F' B
U' L2 F D' U' B F'
U' L2 F D2 U' F' B
U' L2 F D2 U' B F'
R U R' U B' U B2
U' L2 B U F B' U'
U' L2 B U B' F U'
R U R' U2 B D' R2
R2 U R2 U B' U B2
R2 U R2 U2 B D' R2
B' R U R' U2 R B2
B' R U R' U2 B2 R
R2 U F' R2 U B' U
B' R U B2 L D2 F2
B' R U B2 D2 L F2
B' R U B2 D2 F2 L
B' R U' L' B2 L R'
B' R U' L' B2 R' L
U2 R U' R' B' U B2
L' U' L U' B D' R2
L' U' L U2 B' U B2
L' U' L' F L2 U' B
L U' L' F U' B R
L2 U' L2 U' B D' R2
L2 U' L2 U2 B' U B2
L2 U' D F U' F B
L2 U' D F U' B F
L' U' D' L U' B R'
L2 U' F L2 U' D B
L2 U' F L2 U' D' B
L2 U' F L2 U' D2 B
L2 U' F L2 U' B D
L2 U' F L2 U' B D'
L2 U' F L2 U' B D2
L2 U' F L2 D U' B
L2 U' F L2 D' U' B
L2 U' F L2 D2 U' B
L2 U' F U' D F2 B
L2 U' F U' D B F2
L2 U' F U' B D F2
L2 U' F D U' F2 B
L2 U' F D U' B F2
L2 U' F' L2 F2 U' B
B' R' U R U2 R' B2
B2 R' U R U2 B' R'
L2 U' F2 L2 F' U' B
B' R' U B2 D2 F2 L'
B2 R' U' B' R' D2 L2
B' R' F2 U' L' B2 R'
B2 R' F2 U' B' L' R'
B2 R' F2 U' B' R' L'
L2 U2 F L2 U' L2 B
L2 U2 F L2 U' B L2
B' R2 U R2 U2 R2 B2
B' R2 U R2 U2 B2 R2
L2 U2 F' D F2 B R2
L2 U2 F' D B R2 F2
L2 U2 F' D B F2 R2
L2 U2 F' B D R2 F2
L2 U2 F' B D F2 R2
B' R2 U B2 D2 L2 F2
B' R2 U B2 D2 F2 L2
U2 R2 U' R2 B' U B2
U2 R2 U' B' R2 U B
L2 U2 B U F L2 U'
L2 U2 B F' D R2 F2
L2 U2 B F' D F2 R2
R2 U2 B' U' R2 U2 B
R2 U2 B' U' F' R2 U2
B2 R2 D F' B2 U' B
B2 R2 D B2 F' U' B
B R2 D2 L2 D R2 F2
B R2 D2 L2 D F2 R2
B2 R2 D2 F' U' B' L2
B2 R2 F' U R2 U2 B'
B2 R2 F' U' D2 B' L2
B2 R2 F' U' B' D2 L2
B2 R2 F' D B2 U' B
B2 R2 F' D2 U' B' L2
U R2 F' U F B' U
U R2 F' U B' F U
U2 R2 B D' R2 F2 B
U2 R2 B D' R2 B F2
U R2 B' R2 U F' B
U R2 B' R2 U B F'
U R2 B' U' F' B U2
U R2 B' U' B F' U2
L2 D U' F U' F B
L2 D U' F U' B F
U' D L2 F U' F' B
U' D L2 F U' B F'
R2 D B2 R2 F' U' B
U2 D B R2 D' R2 F2
U2 D B R2 D' F2 R2
U2 D B D' R2 D' F2
D' U B' R2 U F' B2
D' U B' R2 U B2 F'
D2 U B' R2 U F' B2
D2 U B' R2 U B2 F'
D' U B' U' B U2 B
D2 U B' U' B U2 B
U2 D B' L U L' B2
U2 D B' L U B2 L'
U2 D B' L' U L B2
U2 D B' L2 U L2 B2
U2 D B' L2 U B2 L2
U2 D B' U B2 D L2
U2 D B' D L2 U L2
D U B' R2 U F' B2
D U B' R2 U B2 F'
D U B' U' B U2 B
U D B' R2 U F' B2
U D B' R2 U B2 F'
U D B' U' B U2 B
B2 U B L2 U F B2
B2 U B L2 U B2 F
B2 U B U' B' U2 B'
B2 U B D L2 U F
F' U B' R2 U F' B2
F' U B' R2 U B2 F'
F' U B' U' B U2 B
F2 U B' R2 U F' B2
F2 U B' R2 U B2 F'
F2 U B' U' B U2 B
L' D' U' L U' B R'
F U B' R2 U F' B2
F U B' R2 U B2 F'
B' U B2 D2 F2 D' L2
F U B' U' B U2 B
U' D' L2 F U' F' B
U' D' L2 F U' B F'
D' U' L2 F U' F' B
D' U' L2 F U' B F'
D2 U' L2 F U' F' B
D2 U' L2 F U' B F'
B U B2 U' B2 U2 B2
D U' L2 F U' F' B
D U' L2 F U' B F'
B' U' L' B2 R' D L2
B' U' L' B2 D L2 R'
B' U' L' B2 D R' L2
F' U' L2 F U' F' B
F' U' L2 F U' B F'
F2 U' L2 F U' F' B
F2 U' L2 F U' B F'
F U' L2 F U' F' B
F U' L2 F U' B F'
B2 U' R2 F' U' F B'
B2 U' R2 F' U' B' F
L2 D' B2 U' F U' B'
U2 D' B R2 D' R2 F2
U2 D' B R2 D' F2 R2
U2 D' B D' R2 D' F2
U2 D' B' L U L' B2
U2 D' B' L U B2 L'
U2 D' B' L' U L B2
U2 D' B' L2 U L2 B2
U2 D' B' L2 U B2 L2
U2 D' B' U B2 D L2
U2 D' B' D L2 U L2
U D' B' R2 U F' B2
U D' B' R2 U B2 F'
U D' B' U' B U2 B
U' D2 L2 F U' F' B
U' D2 L2 F U' B F'
B' U' B2 D L2 D2 R2
B' U2 L U L' B2 R'
B U' B2 D2 F2 U F2
B2 U2 L2 B U L2 B'
D' U2 B R2 D' R2 F2
D' U2 B R2 D' F2 R2
D2 U2 B R2 D' R2 F2
D2 U2 B R2 D' F2 R2
D' U2 B D' R2 D' F2
D2 U2 B D' R2 D' F2
D' U2 B' L U L' B2
D' U2 B' L U B2 L'
D' U2 B' L' U L B2
D2 U2 B' L U L' B2
U2 D2 B R2 D' R2 F2
U2 D2 B R2 D' F2 R2
D2 U2 B' L U B2 L'
D' U2 B' L2 U L2 B2
D' U2 B' L2 U B2 L2
D2 U2 B' L' U L B2
D2 U2 B' L2 U L2 B2
D2 U2 B' L2 U B2 L2
U2 D2 B D' R2 D' F2
D' U2 B' U B2 D L2
D2 U2 B' U B2 D L2
D' U2 B' D L2 U L2
D U2 B R2 D' R2 F2
D U2 B R2 D' F2 R2
D2 U2 B' D L2 U L2
U2 D2 B' L U L' B2
U2 D2 B' L U B2 L'
U2 D2 B' L' U L B2
U2 D2 B' L2 U L2 B2
U2 D2 B' L2 U B2 L2
D U2 B D' R2 D' F2
U2 D2 B' U B2 D L2
D U2 B' L U L' B2
D U2 B' L U B2 L'
D U2 B' L' U L B2
U2 D2 B' D L2 U L2
D U2 B' L2 U L2 B2
D U2 B' L2 U B2 L2
D U2 B' U B2 D L2
D U2 B' D L2 U L2
U D2 B' R2 U F' B2
U D2 B' R2 U B2 F'
U D2 B' U' B U2 B
U' F L2 F U' F2 B
U' F L2 F U' B F2
B2 U2 B L U L' B2
B2 U2 B L U B2 L'
B2 U2 B L' U L B2
B2 U2 B L2 U L2 B2
B2 U2 B L2 U B2 L2
F' U2 B R2 D' R2 F2
F' U2 B R2 D' F2 R2
B2 U2 B U B2 D L2
F2 U2 B R2 D' R2 F2
F2 U2 B R2 D' F2 R2
F' U2 B D' R2 D' F2
B2 U2 B D L2 U L2
F2 U2 B D' R2 D' F2
F' U2 B' L U L' B2
F' U2 B' L U B2 L'
F' U2 B' L' U L B2
F' U2 B' L2 U L2 B2
F' U2 B' L2 U B2 L2
F2 U2 B' L U L' B2
F2 U2 B' L U B2 L'
F2 U2 B' L' U L B2
F2 U2 B' L2 U L2 B2
F2 U2 B' L2 U B2 L2
F' U2 B' U B2 D L2
B2 U2 B' R2 D' R2 F2
B2 U2 B' R2 D' F2 R2
F' U2 B' D L2 U L2
F2 U2 B' U B2 D L2
F U2 B R2 D' R2 F2
F U2 B R2 D' F2 R2
B2 U2 B' D' R2 D' F2
F2 U2 B' D L2 U L2
F U2 B D' R2 D' F2
F U2 B' L U L' B2
F U2 B' L U B2 L'
F U2 B' L' U L B2
F U2 B' L2 U L2 B2
F U2 B' L2 U B2 L2
U' F U' F' B D' R2
F U2 B' U B2 D L2
U' F U' B D' F' R2
U' F U' B F' D' R2
F U2 B' D L2 U L2
U F U F' B' U B2
U F U B' F' U B2
U' F U2 B' U F' B2
U' F U2 B' U B2 F'
B' D L2 U2 L2 U' L2
R2 F D B2 R2 F' U'
B D L2 D' B2 U2 B2
U2 F B R2 D' R2 F2
U2 F B R2 D' F2 R2
U2 F B D' R2 D' F2
U2 F B' L U L' B2
U2 F B' L U B2 L'
U2 F B' L' U L B2
U2 F B' L2 U L2 B2
U2 F B' L2 U B2 L2
U2 F B' U B2 D L2
U2 F B' D L2 U L2
U' F' U' F B D' R2
U' F' U' B D' R2 F
U' F' U' B D' F R2
U' F' U' B F D' R2
L2 F' U' L2 F2 U' B
L2 F' U' F2 L2 U' B
U F' U F B' U B2
U' F' U2 B' U F B2
U' F' U2 B' U B2 F
U F' U B' F U B2
L2 F' U2 D F2 B R2
L2 F' U2 D B R2 F2
L2 F' U2 D B F2 R2
L2 F' U2 B D R2 F2
L2 F' U2 B D F2 R2
L2 F' D U2 F2 B R2
L2 F' D U2 B R2 F2
L2 F' D U2 B F2 R2
L2 F' D' L2 B2 U2 B'
L2 F' D' B2 L2 F U2
B' D' R2 U R2 U2 R2
U2 F' B R2 D' R2 F2
U2 F' B R2 D' F2 R2
U2 F' B D' R2 D' F2
U2 F' B' L U L' B2
U2 F' B' L U B2 L'
U2 F' B' L' U L B2
U2 F' B' L2 U L2 B2
U2 F' B' L2 U B2 L2
U2 F' B' U B2 D L2
U2 F' B' D L2 U L2
B D' R2 D2 L2 D F2
U' F2 L2 F U' F B
U' F2 L2 F U' B F
U' F2 U' F2 B D' R2
U' F2 U' B F2 D' R2
L2 F2 U' L2 F' U' B
L2 F2 U' F' L2 U' B
U' F2 U2 B' U F2 B2
U' F2 U2 B' U B2 F2
U F2 U F2 B' U B2
U F2 U B' F2 U B2
U' F2 D' L2 F U' B
U F2 U2 B D' L2 R2
U F2 U2 B D' R2 L2
U2 F2 B R2 D' R2 F2
U2 F2 B R2 D' F2 R2
U2 F2 B D' R2 D' F2
U2 F2 B' L U L' B2
U2 F2 B' L U B2 L'
U2 F2 B' L' U L B2
U2 F2 B' L2 U L2 B2
U2 F2 B' L2 U B2 L2
U2 F2 B' U B2 D L2
U2 F2 B' D L2 U L2
U F2 B D' L2 R2 F
U F2 B D' L2 F R2
U F2 B D' R2 L2 F
U2 B L B2 U L' B2
U2 B L B2 U B2 L'
U' B L2 U' F B2 U
U' B L2 U' B2 F U
U2 B L' B2 U B2 L
U2 B L2 B2 U L2 B2
U2 B L2 B2 U B2 L2
U2 B R U' R' B2 U
U B L2 B2 U F B2
U B L2 B2 U B2 F
U2 B R' U' R B2 U
U2 B R' U' B2 R U
U2 B R2 U' R2 B2 U
U2 B R2 U' B2 R2 U
U' B U D' B' U' R2
U' B U D2 F2 B' U'
U' B U D2 B' F2 U'
U2 B R2 D' R' F2 R'
U2 B R2 D' R2 F2 D
U2 B R2 D' R2 F2 D'
U2 B R2 D' R2 F2 D2
U2 B R2 D' F R2 F
U2 B R2 D' F2 R2 D
U2 B R2 D' F2 R2 D'
U2 B R2 D' F2 R2 D2
U2 B R2 F D' R2 F2
U2 B R2 F D' F2 R2
U2 B R2 F' D' R2 F2
U2 B R2 F' D' F2 R2
U2 B R2 F2 D' R2 F2
U2 B R2 F2 D' F2 R2
U' B U B' U2 B' U
U2 B U D2 F2 U' F2
U' B U' B2 U2 B U'
U2 B U' B2 U D2 F2
U2 B U' B2 U' B2 U2
U2 B U' B2 D' R2 U
U2 B U' B2 D2 U F2
U' B D' R2 U B' U'
U' B D' U B' U' R2
U' B D2 U F2 B' U'
U' B D2 U B' F2 U'
U2 B D' R2 U' R2 U
U2 B D' R2 D' F2 D
U2 B D' R2 D' F2 D'
U2 B D' R2 D' F2 D2
U2 B D' R2 F D' F2
U2 B D' R2 F' D' F2
U2 B D' R2 F2 D' F2
U2 B D' F R2 D' F2
U2 B D' F' R2 D' F2
U2 B D' F2 R2 D' F2
U2 B D2 U F2 U' F2
R2 B D2 F2 U' L2 B'
U2 B F R2 D' R2 F2
U2 B F R2 D' F2 R2
U2 B F D' R2 D' F2
U2 B F' R2 D' R2 F2
U2 B F' R2 D' F2 R2
U2 B F' D' R2 D' F2
U2 B F2 R2 D' R2 F2
U2 B F2 R2 D' F2 R2
U2 B F2 D' R2 D' F2
U2 B' L U L B2 L2
U2 B' L U L' B2 D
U2 B' L U L' B2 D'
U2 B' L U L' B2 D2
U2 B' L U B L' B
U2 B' L U B2 L' D
U2 B' L U B2 L' D'
U2 B' L U B2 L' D2
U2 B' L U B2 D L'
U2 B' L U B2 D' L'
U2 B' L U B2 D2 L'
U2 B' L D L2 U L
U2 B' L' U L B2 D
U2 B' L' U L B2 D'
U2 B' L' U L B2 D2
U2 B' L' U L' B2 L2
U2 B' L' U L2 B2 L'
U B F2 D' L2 R2 F
U B F2 D' L2 F R2
U B F2 D' R2 L2 F
U2 B' L' D L2 U L'
U B' L R2 U F' B2
U B' L R2 U B2 F'
U2 B' L' F U L B2
U B' L U' B U2 B
U2 B' L' F' U L B2
U2 B' L' F2 U L B2
U2 B' L2 U L' B2 L'
U2 B' L2 U L2 B2 D
U2 B' L2 U L2 B2 D'
U2 B' L2 U L2 B2 D2
U2 B' L2 U B L2 B
U2 B' L2 U B2 L2 D
U2 B' L2 U B2 L2 D'
U2 B' L2 U B2 L2 D2
U2 B' L2 D L2 F2 U
U2 B' L2 D F2 L2 U
U B' L' R2 U F' B2
U B' L' R2 U B2 F'
U2 B' L2 F U L2 B2
U2 B' L2 F U B2 L2
U B' L' U' B U2 B
U2 B' L2 F' U L2 B2
U2 B' L2 F' U B2 L2
U2 B' L2 F2 U L2 B2
U2 B' L2 F2 U B2 L2
U B' L2 R2 U F' B2
U B' L2 R2 U B2 F'
U B' L2 U' B U2 B
U' B' R2 F' U F B2
U' B' R2 F' U B2 F
U2 B' R2 B2 D' R2 F2
U2 B' R2 B2 D' F2 R2
U2 B' U L B2 D L2
U2 B' U L' B2 D L2
U2 B' U L2 B2 D L2
U B' R2 L U F' B2
U B' R2 L U B2 F'
U B' R2 L' U F' B2
U B' R2 L' U B2 F'
U B' R2 L2 U F' B2
U B' R2 L2 U B2 F'
U B' R2 U F' B2 D
U B' R2 U F' B2 D'
U B' R2 U F' B2 D2
U B' R2 U B2 D F'
U B' R2 U B2 D' F'
U B' R2 U B2 D2 F'
U B' R2 U B2 F' D
U B' R2 U B2 F' D'
U B' R2 U B2 F' D2
U B' R2 D L2 U F'
R2 B' U R2 U2 B R2
U2 B' U B2 L D L2
U2 B' U B2 L' D L2
U2 B' U B2 L2 D L2
U2 B' U B2 U B2 U'
U2 B' U B2 D L2 D
U2 B' U B2 D L2 D'
U2 B' U B2 D L2 D2
R2 B' U F' R2 U2 R2
U B' U L2 B2 L2 F
L2 B' U' F L2 U' B2
U B' U R2 F' R2 B2
U B' U R2 F' B2 R2
U B' U R2 B2 F' R2
R2 B' U' F' R2 U2 F
U2 B' U2 R U' B2 L
U B' U B' D2 F2 B'
U B' U B' D2 B' F2
U B' U B2 L2 F L2
U B' U B2 U2 B' U2
U B' U' D2 F2 B U2
U B' U' D2 B F2 U2
U B' U' F B U2 B
U B' U' F' B U2 B
U2 B' D L2 U L2 D
U2 B' D L2 U L2 D'
U2 B' D L2 U L2 D2
U B' U' F2 B U2 B
