U R2 U2 B L F
D2 U F' U2 L' F
U D2 F' U2 L' F
U F R F2 U2 F
U F' R U2 L' F'
U F' R' B U2 L'
U F' U2 D2 L' F
U F' D2 U2 L' F
D2 L U F' B' U2 L'
D2 L U B' F' U2 L'
D2 L U B' F' U2 L'
D2 L' U F' U2 L' F2
L' U R2 U2 B L F
L2 U R2 U2 B L F
L U R2 U2 B L F
L' U D2 F' U2 L' F
L2 U D2 F' U2 L' F
L' U F R F2 U2 F
L U D2 F' U2 L' F
L2 U F R F2 U2 F
L U F R F2 U2 F
L' U F' R U2 L' F'
L' U F' R' B U2 L'
L' U F' U2 D2 L' F
L2 U F' R U2 L' F'
L2 U F' R' B U2 L'
L' U F' D2 U2 L' F
L U F' R U2 L' F'
L2 U F' U2 D2 L' F
L U F' R' B U2 L'
L2 U F' D2 U2 L' F
L U F' U2 D2 L' F
L U F' D2 U2 L' F
F' R U' F B U' F2
F' R U' B F U' F2
U' R U2 F' L' R' B'
U' R U2 F' R' L' B'
U R F R U2 F2 B
U R F R U2 B F2
U' R F' R B L R2
U' R F' R B R2 L
U R F U2 F2 L' B'
U R F2 U2 F L' B'
U R' F B R F' U2
U R' B R F' U2 L'
U R' B R' U2 B L
U R' B F R F' U2
U R2 U2 L F B L
U R2 U2 L B F L
U R2 U2 D B L F
U R2 U2 D' B L F
U R2 U2 D2 B L F
U R2 U2 F B L F
U R2 U2 F' B L F
U R2 U2 F2 B L F
U R2 U2 B L D F
U R2 U2 B L D' F
U R2 U2 B L D2 F
U R2 U2 B L F D
U R2 U2 B L F D'
U R2 U2 B L F D2
U R2 U2 B D L F
U R2 U2 B D' L F
U R2 U2 B D2 L F
U R2 U2 B F L F
U R2 U2 B F' L F
U R2 U2 B F2 L F
U R2 D U2 B L F
U R2 D' U2 B L F
U R2 D2 U2 B L F
U' R2 B L R' F' R'
U' R2 B R' L F' R'
U' R2 B R' F' L R'
U' R2 B R' F' R' L
B' U R2 U2 B L F
B2 U R2 U2 B L F
B U R2 U2 B L F
D2 U F' R U2 L' F
D2 U F' R' U2 L' F
D' U F' U R U L'
D2 U F' R2 U2 L' F
D2 U F' U2 L' D F
D2 U F' U2 L' D' F
D2 U F' U2 L' D2 F
D2 U F' U2 L' F D
D2 U F' U2 L' F D'
D2 U F' U2 L' F D2
D2 U F' B U2 L' F
D2 U F' B' U2 L' F
D2 U F' B2 U2 L' F
B' U D2 F' U2 L' F
B2 U D2 F' U2 L' F
D U F' U2 D L' F
D U F' D U2 L' F
B' U F R F2 U2 F
U D F' U2 D L' F
U D F' D U2 L' F
B2 U F R F2 U2 F
B U D2 F' U2 L' F
B U F R F2 U2 F
B' U F' R U2 L' F'
B' U F' R' B U2 L'
D2 U B F' U2 L' F
B2 U F' R U2 L' F'
B2 U F' R' B U2 L'
B' U F' U2 D2 L' F
B' U F' D2 U2 L' F
B2 U F' U2 D2 L' F
B2 U F' D2 U2 L' F
B U F' R U2 L' F'
B U F' R' B U2 L'
D2 U B' F' U2 L' F
B U F' U2 D2 L' F
B U F' D2 U2 L' F
D2 U B2 F' U2 L' F
U D' F' U R U L'
L' D2 U F' U2 L' F
L2 D2 U F' U2 L' F
L D2 U F' U2 L' F
U D2 F' R U2 L' F
U D2 F' R' U2 L' F
U D2 F' R2 U2 L' F
U D2 F' U2 L' D F
U D2 F' U2 L' D' F
U D2 F' U2 L' D2 F
U D2 F' U2 L' F D
U D2 F' U2 L' F D'
U D2 F' U2 L' F D2
U D2 F' B U2 L' F
U D2 F' B' U2 L' F
U D2 F' B2 U2 L' F
U D2 B F' U2 L' F
U D2 B' F' U2 L' F
U D2 B2 F' U2 L' F
U F R U2 D2 F' B2
U F R U2 D2 B2 F'
U F R D2 U2 F' B2
U F R D2 U2 B2 F'
U F R F2 U2 D F
U F R F2 U2 D' F
U F R F2 U2 D2 F
U F R F2 U2 F D
U F R F2 U2 F D'
U F R F2 U2 F D2
U F R F2 D U2 F
U F R F2 D' U2 F
U F R F2 D2 U2 F
U F R F2 B U2 F
U F R F2 B' U2 F
U F R F2 B2 U2 F
U F R B F2 U2 F
U F R B' F2 U2 F
U F R B2 F2 U2 F
U F R' F2 R2 U2 F'
U F R' F2 B R2 U2
U F R' B R2 F2 U2
U F R' B F2 R2 U2
U F R2 F2 R' U2 F'
U F B R F2 U2 F
U F B' R F2 U2 F
U F B2 R F2 U2 F
U' F' R U2 F' L' R'
U' F' R U2 F' R' L'
U' F' R' B U2 L R
U' F' R' B U2 R L
U F' R U2 L F' L2
U F' R U2 L' D F'
U F' R U2 L' D' F'
U F' R U2 L' D2 F'
U F' R U2 L' F' D
U F' R U2 L' F' D'
U F' R U2 L' F' D2
U F' R U2 L2 F' L
U F' R U2 D L' F'
U F' R U2 D' L' F'
U F' R U2 D2 L' F'
U F' R D U2 L' F'
U F' R D' U2 L' F'
U F' R D2 U2 L' F'
U F' R B U2 L' F'
U F' R B' U2 L' F'
U F' R B2 U2 L' F'
U F' R' D B U2 L'
U F' R' D' B U2 L'
U F' R' D2 B U2 L'
U F' R' B R U2 L'
U F' R' B R' U2 L'
U F' R' B R2 U2 L'
U F' R' B U2 L' D
U F' R' B U2 L' D'
U F' R' B U2 L' D2
U F' R' B U2 D L'
U F' R' B U2 D' L'
U F' R' B U2 D2 L'
U F' R' B D U2 L'
U F' R' B D' U2 L'
U F' R' B D2 U2 L'
U F' R2 U2 L F L2
U F' U R U L' F'
R F' U F B R U'
R F' U B F R U'
U F' U2 L' R F' R'
U F' U2 R L' F' R'
U F' U2 D2 L' D F
U F' U2 D2 L' D' F
U F' U2 D2 L' D2 F
U F' U2 D2 L' F D
U F' U2 D2 L' F D'
U F' U2 D2 L' F D2
U' F' B' R' B U2 R
U F' D2 R U2 L' F
U F' D2 R' U2 L' F
U F' D2 R2 U2 L' F
U F' D2 U2 L' D F
U F' D2 U2 L' D' F
U F' D2 U2 L' D2 F
U F' D2 U2 L' F D
U F' D2 U2 L' F D'
U F' D2 U2 L' F D2
U F' D2 B U2 L' F
U F' D2 B' U2 L' F
U F' D2 B2 U2 L' F
U F' B R U2 L' F'
U F' B R' B U2 L'
U F' B U2 D2 L' F
U F' B D2 U2 L' F
U F' B' R U2 L' F'
U F' B' R' B U2 L'
U F' B' U2 D2 L' F
U F' B' D2 U2 L' F
U F' B2 R U2 L' F'
U F' B2 R' B U2 L'
U F' B2 U2 D2 L' F
U F' B2 D2 U2 L' F
U F2 R F U2 L' F2
U F2 R' F B U2 L'
U F2 R' B F U2 L'
U' F2 U2 F R U2 F'
U2 F2 U' F R U2 F'
B' D2 U F' U2 L' F
B2 D2 U F' U2 L' F
B D2 U F' U2 L' F
R2 B R' B U' F' B'
R2 B R' B U' B' F'
D2 B U F' U2 L' F
U B R2 U2 B L F
R B U2 L' U F' B'
R B U2 L' U B' F'
U B D2 F' U2 L' F
U B F R F2 U2 F
U B F' R U2 L' F'
U B F' R' B U2 L'
U B F' U2 D2 L' F
U B F' D2 U2 L' F
D B' L U F' U2 L'
R2 B' R' B U' F' B
R2 B' R' B U' B F'
D2 B' U F' U2 L' F
U B' R2 U2 B L F
U' B' U2 F' R' B U2
U' B' F' R' B U2 R
U B' D2 F' U2 L' F
U B' F R F2 U2 F
U B' F' R U2 L' F'
U B' F' R' B U2 L'
U B' F' U2 D2 L' F
U B' F' D2 U2 L' F
R2 B2 R' B U' F' B2
R2 B2 R' B U' B2 F'
D2 B2 U F' U2 L' F
U B2 R2 U2 B L F
U B2 D2 F' U2 L' F
U B2 F R F2 U2 F
U B2 F' R U2 L' F'
U B2 F' R' B U2 L'
U B2 F' U2 D2 L' F
U B2 F' D2 U2 L' F
