F U L' U F'
F' U' R U' F
D' L' F L U2 F'
D R F' R' U2 F
R' D R F' U2 F
F2 U L' U F2 B'
F2 U L' U B' F2
F U L' U D F'
F U L' U D' F'
F U L' U D2 F'
F U L' U F' D
F U L' U F' D'
F U L' U F' D2
F U L' D U F'
F U L' D' U F'
F U L' D2 U F'
F U D L' U F'
F U D' L' U F'
F U D2 L' U F'
L D' L' F U2 F'
F' U' R U' D F
F' U' R U' D' F
F' U' R U' D2 F
F' U' R U' F D
F' U' R U' F D'
F' U' R U' F D2
F' U' R D U' F
F' U' R D' U' F
F' U' R D2 U' F
F2 U' R U' F2 B
F2 U' R U' B F2
F' U' D R U' F
F' U' D' R U' F
F' U' D2 R U' F
F' D U' R U' F
F D U L' U F'
F' D' U' R U' F
F D' U L' U F'
F' D2 U' R U' F
F D2 U L' U F'
B' F U L' U F'
B2 F U L' U F'
F' B U' R U' F
B F U L' U F'
F B U L' U F'
F' B' U' R U' F
B' F' U' R U' F
B2 F' U' R U' F
F B' U L' U F'
B F' U' R U' F
F' B2 U' R U' F
F B2 U L' U F'
L' R D B2 L R' B
L' R D B2 R' L B
D' L U2 L' U2 L B'
L' R D' B2 L R' B'
L' R D' B2 R' L B'
D2 L D L' F U2 F'
F L D L' F2 U2 F
F L D F2 U2 R F
B' L D' L' F U2 F'
B2 L D' L' F U2 F'
F L D' L' U2 F' B2
F L D' L' U2 B2 F'
B L D' L' F U2 F'
D L D2 L' F U2 F'
D' L F U2 F' B' R'
D' L F U2 B' F' R'
L' R B2 L D R' B
D' L F2 U2 R F2 B'
D' L F2 U2 R B' F2
D' L F2 U2 B' R F2
L' R B2 R' D' L B'
L' R B2 D L R' B
L' R B2 D R' L B
L' R B2 D' L R' B'
L' R B2 D' R' L B'
D' L B' U2 L' U2 L
R L' D B2 L R' B
R L' D B2 R' L B
R L' D' B2 L R' B'
R L' D' B2 R' L B'
D' L' U2 F L U2 L'
U L' U2 D' L U' B'
D' L' D F L U2 F'
D' L' D' F L U2 F'
U L' D' U2 L U' B'
D' L' D2 F L U2 F'
D' L' F L U2 D F'
D' L' F L U2 D' F'
D' L' F L U2 D2 F'
D' L' F L U2 F' D
D' L' F L U2 F' D'
D' L' F L U2 F' D2
D' L' F L D U2 F'
D' L' F L D' U2 F'
D' L' F L D2 U2 F'
D' L' F L B U2 F'
D' L' F L B' U2 F'
D' L' F L B2 U2 F'
R L' B2 L D R' B
D' L' F D L U2 F'
R L' B2 R' D' L B'
D' L' F D' L U2 F'
D' L' F D2 L U2 F'
D' L' F B2 U2 F' R'
R L' B2 D L R' B
R L' B2 D R' L B
R L' B2 D' L R' B'
R L' B2 D' R' L B'
D' L' F2 L F' U2 F'
D' L' B2 F U2 F' R'
U L2 D R' U F2 B
U L2 D R' U B F2
F' L2 B' L2 U' R U'
U' R U2 D R' U B
D R U2 F' R' U2 R
U' R D U2 R' U B
D R D F' R' U2 F
D R D' F' R' U2 F
D R D2 F' R' U2 F
D R F' R' U2 D F
D R F' R' U2 D' F
D R F' R' U2 D2 F
D R F' R' U2 F D
D R F' R' U2 F D'
D R F' R' U2 F D2
D R F' R' D U2 F
D R F' R' D' U2 F
D R F' R' D2 U2 F
D R F' R' B U2 F
D R F' R' B' U2 F
D R F' R' B2 U2 F
D R F' D R' U2 F
D R F' D' R' U2 F
D R F' D2 R' U2 F
D R F' B2 U2 F L
D R F2 R' F U2 F
D R B2 F' U2 F L
D R' U2 R U2 R' B
B' R' D R F' U2 F
F' R' D R U2 F B2
F' R' D R U2 B2 F
B2 R' D R F' U2 F
B R' D R F' U2 F
D2 R' D' R F' U2 F
F' R' D' R F2 U2 F'
F' R' D' F2 U2 L' F'
D' R' D2 R F' U2 F
L U2 L' U2 D' L B'
L U2 L' D' U2 L B'
R' U2 R U2 D R' B
R' U2 R D U2 R' B
D R' F' U2 F B L
D R' F' U2 B F L
D R' F2 U2 L' F2 B
D R' F2 U2 L' B F2
D R' F2 U2 B L' F2
D R' B U2 R U2 R'
R' U2 D R F' U2 R'
L' U2 D' L U2 B' L'
R U2 D R' U2 B R
L U2 D' L' F U2 L
U' R2 D' L U' F2 B'
U' R2 D' L U' B' F2
R D L' B2 L R' B
R D L' B2 R' L B
R' D R D F' U2 F
R' D R D' F' U2 F
R' D R D2 F' U2 F
R' D R F' U2 D F
R' D R F' U2 D' F
R' D R F' U2 D2 F
R' D R F' U2 F D
R' D R F' U2 F D'
R' D R F' U2 F D2
R' D R F' D U2 F
R' D R F' D' U2 F
R' D R F' D2 U2 F
R' D R F' B U2 F
R' D R F' B' U2 F
R' D R F' B2 U2 F
R' D R B F' U2 F
R' D R B' F' U2 F
R' D R B2 F' U2 F
R D R F' R2 U2 F
R D R' F U2 F' B
R D R' F U2 B F'
F R2 B R2 U L' U
R D R' F' U2 F B
R D R' F' U2 B F
R D R' F2 U2 F2 B
R D R' F2 U2 B F2
R' D U2 R F' U2 R'
F2 U L U' F U2 F
F U L U D' F' B2
F U L U D' B2 F'
F2 U L' R U F2 B'
F2 U L' R U B' F2
F U L U F' D' B2
F2 U L' R' U F2 B'
F2 U L' R' U B' F2
F2 U L' R2 U F2 B'
F2 U L' R2 U B' F2
F2 U L' U F2 D B'
F2 U L' U F2 D' B'
F2 U L' U F2 D2 B'
F2 U L' U F2 B' D
F2 U L' U F2 B' D'
F2 U L' U F2 B' D2
F2 U L' U B' F2 D
F2 U L' U B' F2 D'
F2 U L' U B' F2 D2
F U L D' U F' B2
F U L D' U B2 F'
F2 U L' D R2 U B'
R D U2 R' U2 B R
F U L' R2 U' B U2
F U L' U L' F' L
F U L' U L2 F' L2
F U L' U D F' D
F U L' U D F' D'
F U L' U D F' D2
F U L' U D' F' D
F U L' U D' F' D'
F U L' U D' F' D2
F U L' U D2 F' D
F U L' U D2 F' D'
F U L' U D2 F' D2
F U L' U F2 D F
F U L' U F2 D' F
F U L' U F2 D2 F
F U L' U' B U2 F'
F U L' U' B' U2 F'
F U L' U' B2 U2 F'
F U L' U2 L U' F'
F U L' U2 L' U' F'
F U L' U2 L2 U' F'
F U L' D U F' D
F U L' D U F' D'
F U L' D U F' D2
F U L' D' U F' D
F U L' D' U F' D'
F U L' D' U F' D2
F U L' D2 U F' D
F U L' D2 U F' D'
F U L' D2 U F' D2
F2 U R L' U F2 B'
F2 U R L' U B' F2
F U L2 D L U F'
F U L2 D' L U F'
F U L2 D2 L U F'
R D F' R' U2 F B
R D F' R' U2 B F
R' D B R F' U2 F
D U R U' F' U2 F
F' U R' U D F B2
F' U R' U D B2 F
F' U R' U F D B2
F' U R' U2 R2 U' F
F2 U R' L' U F2 B'
F2 U R' L' U B' F2
F' U R' D U F B2
F' U R' D U B2 F
U D R U' F' U2 F
R D F2 R' U2 F2 B
R D F2 R' U2 B F2
R' D B' R F' U2 F
F' U R2 U2 R' U' F
F2 U R2 L' U F2 B'
F2 U R2 L' U B' F2
F U R' D2 L' U F
R' D B2 R F' U2 F
F U R2 L' U' B U2
F2 U D L' R2 U B'
F2 U D R2 L' U B'
F U D L' U D F'
F U D L' U D' F'
F U D L' U D2 F'
F U D L' U F' D
F U D L' U F' D'
F U D L' U F' D2
F U D L' D U F'
F U D L' D' U F'
F U D L' D2 U F'
L' D' L F U2 F' B'
L' D' L F U2 B' F'
L' D' L F' U2 F B'
L' D' L F' U2 B' F
L' D' L F2 U2 F2 B'
L' D' L F2 U2 B' F2
F U D' L' U D F'
F U D' L' U D' F'
F U D' L' U D2 F'
F U D' L' U F' D
F U D' L' U F' D'
F U D' L' U F' D2
F U D' L' D U F'
F U D' L' D' U F'
F U D' L' D2 U F'
L' D' L' F L2 U2 F'
F U D2 L' U D F'
F U D2 L' U D' F'
F U D2 L' U D2 F'
F U D2 L' U F' D
F U D2 L' U F' D'
F U D2 L' U F' D2
F U D2 L' D U F'
F U D2 L' D' U F'
F U D2 L' D2 U F'
L D' L' D F U2 F'
L D' L' D' F U2 F'
L D' L' D2 F U2 F'
L D' L' F U2 D F'
L D' L' F U2 D' F'
L D' L' F U2 D2 F'
L D' L' F U2 F' D
L D' L' F U2 F' D'
L D' L' F U2 F' D2
L D' L' F D U2 F'
L D' L' F D' U2 F'
L D' L' F D2 U2 F'
L D' L' F B U2 F'
L D' L' F B' U2 F'
L D' L' F B2 U2 F'
L D' L' B F U2 F'
L D' L' B' F U2 F'
L D' L' B2 F U2 F'
F' U F2 L' F2 U F
L' D' R B2 L R' B'
L' D' R B2 R' L B'
D' U' L' U F U2 F'
U' D' L' U F U2 F'
F U B' L' B U F'
L' D' U2 L U2 B' L'
F2 U' L R U' F2 B
F2 U' L R U' B F2
F U B2 L' B2 U F'
F' U' L D2 R U' F'
L' D' F L U2 F' B'
L' D' F L U2 B' F'
F2 U' L' R U' F2 B
F2 U' L' R U' B F2
F U' L U' D' F' B2
F U' L U' D' B2 F'
L D' U2 L' F U2 L
F U' L U' F' D' B2
F U' L U2 L2 U F'
F U' L D' U' F' B2
F U' L D' U' B2 F'
F' U' L2 R U B' U2
F2 U' L2 R U' F2 B
F2 U' L2 R U' B F2
L' D' F2 L U2 F2 B'
L' D' F2 L U2 B' F2
F' U' R L2 U B' U2
F' U' R U B U2 F
F' U' R U B' U2 F
F' U' R U B2 U2 F
F' U' R U' R F R'
F' U' R U' R2 F R2
F' U' R U' D F D
F' U' R U' D F D'
F' U' R U' D F D2
F' U' R U' D' F D
F' U' R U' D' F D'
F' U' R U' D' F D2
F' U' R U' D2 F D
F' U' R U' D2 F D'
F' U' R U' D2 F D2
F2 U' R L U' F2 B
F2 U' R L U' B F2
F' U' R U' F2 D F'
F' U' R U' F2 D' F'
F' U' R U' F2 D2 F'
F' U' R U2 R U F
F' U' R U2 R' U F
F' U' R U2 R2 U F
F2 U' R L' U' F2 B
F2 U' R L' U' B F2
F2 U' R L2 U' F2 B
F2 U' R L2 U' B F2
F' U' R D U' F D
F' U' R D U' F D'
F' U' R D U' F D2
F' U' R D' U' F D
F' U' R D' U' F D'
F' U' R D' U' F D2
F' U' R D2 U' F D
F' U' R D2 U' F D'
F' U' R D2 U' F D2
F2 U' R U' F2 D B
F2 U' R U' F2 D' B
F2 U' R U' F2 D2 B
F2 U' R U' F2 B D
F2 U' R U' F2 B D'
F2 U' R U' F2 B D2
F2 U' R U' B F2 D
F2 U' R U' B F2 D'
F2 U' R U' B F2 D2
F U' L2 U2 L U F'
F2 U' R D' L2 U' B
F' U' R' U' D F B2
F' U' R' U' D B2 F
F' U' R' U' F D B2
F' U' R' D U' F B2
F' U' R' D U' B2 F
F2 U' R' U F' U2 F'
F' U' R2 D R' U' F
F' U' R2 D' R' U' F
L D' B L' F U2 F'
F' U' R2 D2 R' U' F
F' U' D R U' D F
F' U' D R U' D' F
F' U' D R U' D2 F
F' U' D R U' F D
F' U' D R U' F D'
F' U' D R U' F D2
F' U' D R D U' F
F' U' D R D' U' F
F' U' D R D2 U' F
L D' B' L' F U2 F'
F' U' D' R U' D F
F' U' D' R U' D' F
F' U' D' R U' D2 F
F' U' D' R U' F D
F' U' D' R U' F D'
F' U' D' R U' F D2
F' U' D' R D U' F
F' U' D' R D' U' F
F' U' D' R D2 U' F
F2 U' D' L2 R U' B
F2 U' D' R L2 U' B
L D' B2 L' F U2 F'
F' U' D2 R U' D F
F' U' D2 R U' D' F
F' U' D2 R U' D2 F
F' U' D2 R U' F D
F' U' D2 R U' F D'
F' U' D2 R U' F D2
F' U' D2 R D U' F
F' U' D2 R D' U' F
F' U' D2 R D2 U' F
F' U' B R B' U' F
F U' F2 R F2 U' F'
F' U' B2 R B2 U' F
F U2 L D' L' F' B2
F U2 L D' L' B2 F'
F U2 L D' B2 L' F'
F' U2 R' D R F B2
F' U2 R' D R B2 F
F' U2 R' D B2 R F
L' F L U L2 U F'
L' F L U2 D' F' B2
L' F L U2 D' B2 F'
L' F L U2 F' D' B2
L' F L D F2 U2 F
L' F L D' U2 F' B2
L' F L D' U2 B2 F'
D' F L' F L U2 F2
F' U2 F L' D' L B'
F' U2 F R D R' B
F' U2 F D R' B R
F' U2 F D' L B' L'
L2 F L2 U L U F'
U F L' F' U2 L U'
F' U2 F2 U' L' U F'
F U2 F' L' D' L B'
F U2 F' R D R' B
F2 U2 F2 U R U' B
F2 U2 F2 U' L' U B'
F U2 F' D R' B R
F U2 F' D' L B' L'
F2 U2 F2 B U' L U
F2 U2 F2 B' U R' U'
D F R F' R' U2 F'
F' U2 B U R U' F
F2 U2 B U' L U F2
F U2 F2 U R U' F
D' F U L U F' B'
D' F U L U B' F'
F2 U2 B F2 U' L U
F' U2 B' U R U' F
F2 U2 B' U R' U' F2
F U2 B U' L' U F'
R2 F R2 B U L' U
F2 U2 B' F2 U R' U'
D' F U' L U' F' B'
D' F U' L U' B' F'
F' U2 B2 U R U' F
F U2 B' U' L' U F'
U2 F U' L' U2 L U'
L F U L' B' U F'
D' F U2 L B' L' F'
D' F U2 F' L B' L'
F U2 B2 U' L' U F'
D F U2 R' B R F'
D F U2 F' R' B R
B' D R F' R' U2 F
B2 D R F' R' U2 F
B D R F' R' U2 F
D2 F B' U L U F'
F2 D U L' R2 U B'
F2 D U R2 L' U B'
F' D U' R U' D F
F' D U' R U' D' F
F' D U' R U' D2 F
F' D U' R U' F D
F' D U' R U' F D'
F' D U' R U' F D2
F' D U' R D U' F
F' D U' R D' U' F
F' D U' R D2 U' F
F D U L' U D F'
F D U L' U D' F'
F D U L' U D2 F'
F D U L' U F' D
F D U L' U F' D'
F D U L' U F' D2
F D U L' D U F'
F D U L' D' U F'
F D U L' D2 U F'
D' F' L' F L U2 F
U' F' R F U2 R' U
F2 D F' U L' R2 U
F2 D F' U R2 L' U
L2 F' L2 B' U' R U'
F' D F2 U L' U F'
D F' R F' R' U2 F2
F' D B U' R U' F
