U L D F2 B U2
U L D B F2 U2
U L D' B U2 B
U L B U L2 U
U L B U2 D' B2
U L B D F2 U2
U L B D' U2 B2
U2 L' U D2 R2 F'
U2 L' U' L2 B U2
U2 L' U' B L2 U2
U2 L' D2 U R2 F'
L' U L2 B U2 B'
L' U B L2 F U2
L' U' L2 B U2 L2
L' U' B L2 U2 L2
F U L F B U2
F U L B F U2
L B U L2 F U
U L U L2 R2 U F'
U L U L2 U' B U2
U L U R2 L2 U F'
U L U' D2 R2 U' F'
U' L D F2 B R U2
U' L D B F2 R U2
U L D F2 D B U2
U L D F2 D' B U2
U L D F2 D2 B U2
U L D F2 B U2 D
U L D F2 B U2 D'
U L D F2 B U2 D2
U L D F2 B D U2
U L D F2 B D' U2
U L D F2 B D2 U2
U L D B U2 D2 B2
U L D B D2 U2 B2
U L D B F2 U2 D
U L D B F2 U2 D'
U L D B F2 U2 D2
U L D B F2 D U2
U L D B F2 D' U2
U L D B F2 D2 U2
B2 L D' R' B2 L F
U' L D' B U2 L' B
U' L D' B U2 B L'
U L D' F B U2 B
U L D' F' B U2 B
U L D' F2 B U2 B
U L D' B U2 D B
U L D' B U2 D' B
U L D' B U2 D2 B
U L D' B U2 B D
U L D' B U2 B D'
U L D' B U2 B D2
U L D' B D U2 B
U L D' B D' U2 B
U L D' B D2 U2 B
U L D' B F U2 B
U L D' B F' U2 B
U L D' B F2 U2 B
U L D2 U' R2 U' F'
U L D2 B U' R2 U'
U L D2 B U2 D B2
U L D2 B D U2 B2
U L D2 B D' F2 U2
U L F D F2 B U2
U L F D B F2 U2
U L F D' B U2 B
U L F B U L2 U
U L F B U2 D' B2
U L F B D F2 U2
U L F B D' U2 B2
U L F' D F2 B U2
U L F' D B F2 U2
U L F' D' B U2 B
U L F' B U L2 U
U L F' B U2 D' B2
U L F' B D F2 U2
U L F' B D' U2 B2
U L F2 D F2 B U2
U L F2 D B F2 U2
U L F2 D' B U2 B
U L F2 B U L2 U
U L F2 B U2 D' B2
U L F2 B D F2 U2
U L F2 B D' U2 B2
D2 L B U L2 F U
D' L B U L2 F U
U' L B U L2 U L
U2 L B U L2 U L2
D L B U L2 F U
F2 L B U' R B' U'
F2 L B U' B' R U'
U' L B U2 D' L' B2
U' L B U2 D' B2 L'
U L B U L2 U D
U L B U L2 U D'
U L B U L2 U D2
U L B U L2 D U
U L B U L2 D' U
U L B U L2 D2 U
U' L B D F2 R U2
U' L B D' U2 L' B2
U' L B D' U2 B2 L'
U L B U' D2 R2 U'
U L B U2 D' B2 D
U L B U2 D' B2 D'
U L B U2 D' B2 D2
U L B U2 B D' B2
U L B U2 B' D' B2
U L B U2 B2 D' B2
U L B D F2 U2 D
U L B D F2 U2 D'
U L B D F2 U2 D2
U L B D F2 D U2
U L B D F2 D' U2
U L B D F2 D2 U2
U L B D' U2 B2 D
U L B D' U2 B2 D'
U L B D' U2 B2 D2
U L B D' F U2 B2
U L B D' F' U2 B2
U L B D' F2 U2 B2
U L B D2 U' R2 U'
U L B F U L2 U
U L B F U2 D' B2
U L B F D F2 U2
U L B F D' U2 B2
U L B F' U L2 U
U L B F' U2 D' B2
U L B F' D F2 U2
U L B F' D' U2 B2
U L B F2 U L2 U
U L B F2 U2 D' B2
U L B F2 D F2 U2
U L B F2 D' U2 B2
R2 L' U' L2 U2 L2 F'
R2 L' U' L2 U2 F' L2
U L B2 U L2 U F
U L B2 D F2 B' U2
U L B2 D B' F2 U2
U L B2 D' B' U2 B'
U2 L' R2 U D2 F' R2
U2 L' R2 U F' D2 R2
U2 L' R2 U' L2 U2 F'
U2 L' R2 D' B2 U F'
U2 L' R2 D2 U F' R2
D2 L' U L2 B U2 B'
D' L' U L2 B U2 B'
D L' U L2 B U2 B'
U2 L' U R2 D2 F' R2
U2 L' U R2 F' D2 R2
U' L' U D2 L R2 F'
U' L' U D2 R2 L F'
U' L' U D2 R2 F' L
U2 L' U D2 R2 D F'
U2 L' U D2 R2 D' F'
U2 L' U D2 R2 D2 F'
U2 L' U D2 R2 F' D
U2 L' U D2 R2 F' D'
U2 L' U D2 R2 F' D2
U2 L' U D2 F R2 F'
U2 L' U D2 F' R2 F'
U2 L' U D2 F2 R2 F'
D2 L' U B L2 F U2
D' L' U B L2 F U2
U2 L' U F D2 R2 F'
U2 L' U F' D2 R2 F'
U2 L' U F2 D2 R2 F'
D L' U B L2 F U2
D2 L' U' L2 B U2 L2
D' L' U' L2 B U2 L2
U2 L' U' L' B L' U2
U' L' U' L2 B U2 L'
U2 L' U' L2 D B U2
U2 L' U' L2 D' B U2
U2 L' U' L2 D2 B U2
U2 L' U' L2 B U2 D
U2 L' U' L2 B U2 D'
U2 L' U' L2 B U2 D2
U2 L' U' L2 B D U2
U2 L' U' L2 B D' U2
U2 L' U' L2 B D2 U2
D L' U' L2 B U2 L2
U2 L' U' D2 B U2 R2
D2 L' U' B L2 U2 L2
D' L' U' B L2 U2 L2
U2 L' U' B L2 U2 D
U2 L' U' B L2 U2 D'
U2 L' U' B L2 U2 D2
U2 L' U' B L2 D U2
U2 L' U' B L2 D' U2
U2 L' U' B L2 D2 U2
U2 L' U' B U2 D2 R2
U2 L' U' B D2 U2 R2
D L' U' B L2 U2 L2
U2 L' U' B' L2 B2 U2
