B' L F' U' B' L' U2
B' L' F R D' L2 B2
B' L' F R D' B2 L2
B' L' F D' L2 R B2
B' L' F D' L2 B2 R
B' L' F D' R L2 B2
B' L' F D' R B2 L2
B' L' F D' B2 L2 R
B' L' F D' B2 R L2
B2 L' F' U F2 R B
U L' F' B' L U F2
U L' B' F' L U F2
L' F R2 D' L2 R' B
L' F R2 D' R' L2 B
L' F R2 D' R' B L2
L' F D' L2 R' B R2
L' F D' R' L2 B R2
L' F D' R' B L2 R2
L' F D' R' B R2 L2
D F' R U' L' F U2
L' F' B2 U F2 R B
L2 B' L F' U F2 R
B' F' L U' L2 U2 F
B' F' L U' B' L2 U2
F' B' L U' L2 U2 F
F' B' L U' B' L2 U2
B2 F' U' L' U2 F B'
B2 F' U' L' U2 B' F
F' B2 U' L' U2 F B'
F' B2 U' L' U2 B' F
L' B2 F' U F2 R B
