U2 L' B' U' R' B' U'
F' L2 B2 R' U' F' R
B2 R U L' B U2 B2
B2 R U B L' U2 B'
B2 R' U L' U2 F' B'
B2 R' U L' U2 B' F'
B2 R' U' F2 R F B
B2 R' U' F2 R B F
F R' D F' L2 B2 R'
F R' F' D L2 B2 R'
B2 R2 U' F2 R F' B
B2 R2 U' F2 R B F'
F2 D L2 R' F' B R2
F2 D L2 R' B F' R2
F2 D R' L2 F' B R2
F2 D R' L2 B F' R2
F2 D R' F' L2 B R2
F2 D R' F' B L2 R2
F2 D R' F' B R2 L2
F2 D R' B L2 F' R2
F2 D R' B F' L2 R2
F2 D R' B F' R2 L2
L2 F B2 R U' R2 F'
R' B2 U L' U2 F' B'
R' B2 U L' U2 B' F'
L2 B2 R2 U' R F' B
L2 B2 R2 U' R B F'
R' B2 U' F2 R F B
R' B2 U' F2 R B F
R2 B2 U' F2 R F' B
R2 B2 U' F2 R B F'
R B2 U B' L' U2 B'
L2 B2 F R U' R2 F'
