U2 L' R D F L'
U2 L' D R F L'
U2 R L' D F L'
L' U2 R D F L'
L' U2 D R F L'
L' D U2 R F L'
U' D' B' L U' R
D' U' B' L U' R
D2 U' B' U' R F'
U' D2 B' U' R F'
U' B' L' U' R F
U' B' U' D2 R F'
U' B' D2 U' R F'
U' L U B' R' U2 R2
B L U2 R D L2 F
B L U2 D L2 R F
B L U2 D R L2 F
B L D U2 L2 R F
B L D U2 R L2 F
B L D B' U2 L2 R
B L D B' U2 R L2
B L D' B' R2 U2 R'
B' L B' U' B U' R
B2 L B' U' B2 U' R
B2 L B' U2 R D L2
B2 L B' U2 D L2 R
B2 L B' U2 D R L2
B L B' U' B' U' R
B2 L B' D U2 L2 R
B2 L B' D U2 R L2
B2 L B' D' R2 U2 R'
R' L' U2 R2 D F L'
L' R' U2 R2 D F L'
R2 L' U2 R' D F L'
R2 L' U2 D R' F L'
R2 L' U2 D F L' R'
R2 L' U2 D F R' L'
U2 L' R D F L' D
U2 L' R D F L' D'
U2 L' R D F L' D2
U2 L' R D F D L'
U2 L' R D F D' L'
U2 L' R D F D2 L'
R2 L' D U2 R' F L'
R2 L' D U2 F L' R'
R2 L' D U2 F R' L'
U2 L' R2 D R' F L'
U2 L' R2 D F L' R'
U2 L' R2 D F R' L'
U' L' U' R D F L'
U' L' U' D R F L'
B2 L' U' B U' R F
B L' U' B2 U' R F
B2 L' U2 R D' F L'
B L' U2 R D F L2
B L' U2 R F D L2
B L' U2 D R F L2
U2 L' D R F L' D
U2 L' D R F L' D'
U2 L' D R F L' D2
U2 L' D R F D L'
U2 L' D R F D' L'
U2 L' D R F D2 L'
U2 L' D R' F L' R2
U2 L' D R' F R2 L'
U2 L' D R2 F L' R'
U2 L' D R2 F R' L'
U' L' D U' R F L'
F' L' D F L' R B'
F' L' D F L' B' R
F' L' D F R L' B'
B L' D U2 R F L2
U2 L' D' R D2 F L'
B L' D' R2 U2 R' F
B L' D' R2 U2 F R'
U2 L' D2 R F D' L2
L2 R2 U F U R' F'
R2 L2 U F U R' F'
L' R2 U2 R' D F L'
L' R2 U2 D R' F L'
L' R2 U2 D F L' R'
L' R2 U2 D F R' L'
L2 R2 U2 R' F' D' L2
R2 L2 U2 R' F' D' L2
L' R2 D U2 R' F L'
L' R2 D U2 F L' R'
L' R2 D U2 F R' L'
U2 L2 R U' F R U
D2 L2 R F' D' L2 B'
D2 L2 U2 R F' D' L2
B L2 D' R2 U2 R' F'
L2 U R2 F U R' F'
U2 R L' D F L' D
U2 R L' D F L' D'
U2 R L' D F L' D2
U2 R L' D F D L'
U2 R L' D F D' L'
U2 R L' D F D2 L'
L2 U F U R' F' R
U2 R L2 U' F R U
D2 R L2 F' D' L2 B'
U2 R U D' B' L U'
U2 R U B' L' U' F
L2 U B' R' F U R2
U2 R D' U B' L U'
U2 R F L' D F L'
U2 R F' L' D F L'
D2 R F' B D L2 B'
U2 R F2 L' D F L'
D2 R B D F' L2 B'
D2 R B F' D L2 B'
R' U' D' F2 B' L U'
R' U' D' B' L F2 U'
R' U' D' B' F2 L U'
D' R' U' B' L U' R2
R' U' B' L' U' R2 F
R' U' B' L' U' F R2
R' U2 L' R2 D F L'
R2 U2 L' R' D F L'
R2 U2 L' D R' F L'
R2 U2 L' D F L' R'
R2 U2 L' D F R' L'
L' U2 R D F L' D
L' U2 R D F L' D'
L' U2 R D F L' D2
L' U2 R D F D L'
L' U2 R D F D' L'
L' U2 R D F D2 L'
R2 U2 R' L' D F L'
R' U2 R2 L' D F L'
D2 R' B U' B2 U' R2
D2 R' B U2 R2 D L2
L2 U2 R' F' R2 D' L2
L' U2 R2 D R' F L'
L' U2 R2 D F L' R'
L' U2 R2 D F R' L'
L' U2 D R F L' D
L' U2 D R F L' D'
L' U2 D R F L' D2
L' U2 D R F D L'
L' U2 D R F D' L'
L' U2 D R F D2 L'
L' U2 D R' F L' R2
L' U2 D R' F R2 L'
L' U2 D R2 F L' R'
L' U2 D R2 F R' L'
L' U2 D' R D2 F L'
L' U2 D2 R F D' L2
U2 R2 L' D R' F L'
U2 R2 L' D F L' R'
U2 R2 L' D F R' L'
L' D R' U2 R2 F L'
L' D R' U2 F L' R2
L' D R' U2 F R2 L'
L' D R' F L' R2 B
L' D R' F R2 L' B
L' D R' F R2 B L'
L' D R2 U2 R' F L'
L' D R2 U2 F L' R'
L' D R2 U2 F R' L'
L' D U2 R F L' D
L' D U2 R F L' D'
L' D U2 R F L' D2
L' D U2 R F D L'
L' D U2 R F D' L'
L' D U2 R F D2 L'
L' D U2 R' F L' R2
L' D U2 R' F R2 L'
L' D U2 R2 F L' R'
L' D U2 R2 F R' L'
L' D B U2 R F L'
L' D B' U2 R F L'
L' D B2 U2 R F L'
L' D' L2 B' U2 L R
L' D' L2 B' U2 R L
U' D B' U' D R F'
U' D B' D U' R F'
D2 U' L U' R F' L'
R' D' U' F2 B' L U'
R' D' U' B' L F2 U'
R' D' U' B' F2 L U'
L' D' U2 R D2 F L'
B' U' L' U' R F L
U2 D' R U B' L U'
B2 U' L' B U' R F
B U' L' B2 U' R F
L' D' B R' U2 R2 F
L' D' B R' U2 F R2
L' D' B' U2 R F L
U' D' B' L U' R D
U' D' B' L U' R D'
U' D' B' L U' R D2
U' D' B' L U' D R
U' D' B' L U' D' R
U' D' B' L U' D2 R
U' D' B' L D U' R
D' U' B' L U' R D
D' U' B' L U' R D'
D' U' B' L U' R D2
D' U' B' L U' D R
D' U' B' L U' D' R
D' U' B' L U' D2 R
U' D' B' L D' U' R
U' D' B' L D2 U' R
D' U' B' L D U' R
D' U' B' L D' U' R
D' U' B' L D2 U' R
D2 U' B' L U' R F'
D2 U' B' L' U' R F'
D2 U' B' L2 U' R F'
U' D' B' D L U' R
D' U' B' D L U' R
U' D' B' D' L U' R
D' U' B' D' L U' R
D2 U' B' U' R D F'
D2 U' B' U' R D' F'
D2 U' B' U' R D2 F'
D2 U' B' U' R F' D
D2 U' B' U' R F' D'
D2 U' B' U' R F' D2
U' D' B' D2 L U' R
D' U' B' D2 L U' R
U2 D' B' L U' B R
B2 U' D2 B U' R F'
D U' B' U' D R F'
D U' B' D U' R F'
U' D2 L U' R F' L'
D2 U2 L2 R F' D' L2
B2 U' B L' U' R F
U2 D2 L2 R F' D' L2
B2 U' B U' D2 R F'
D' U2 R U B' L U'
B2 U' B D2 U' R F'
D2 U2 R L2 F' D' L2
D2 U2 R U B' U' F'
D2 U2 R F' U B' U'
U2 D2 R L2 F' D' L2
U2 D2 R U B' U' F'
U2 D2 R F' U B' U'
B U' B2 L' U' R F
L' D2 U2 R F D' L2
B U' B2 U' D2 R F'
B U' B2 D2 U' R F'
B U2 L R D L2 F
B2 U2 L' R D' F L'
B U2 L D L2 R F
B U2 L D R L2 F
B U2 L' R D F L2
B U2 L' R F D L2
B U2 L' D R F L2
B2 U2 R L' D' F L'
B U2 R L D L2 F
B U2 R L' D F L2
B U2 R L' F D L2
U' D2 B' L U' R F'
D' U2 B' L U' B R
U' D2 B' L' U' R F'
U' D2 B' L2 U' R F'
U' D2 B' U' R D F'
U' D2 B' U' R D' F'
U' D2 B' U' R D2 F'
U' D2 B' U' R F' D
U' D2 B' U' R F' D'
U' D2 B' U' R F' D2
D2 U2 B' U' B R F'
U2 D2 B' U' B R F'
B U2 D L2 D R F'
B U2 D2 R D' L2 F'
B U2 D2 R D' F' L2
B D U2 L2 D R F'
U2 F' L' D F L' R
U2 F' L' D F R L'
R F' L' D F L' B'
B D2 R D' F' L2 B'
U' F2 B' U L' U2 F
B2 D2 U' B U' R F'
U' B L' B2 U' R F
B D2 U2 R D' L2 F'
B D2 U2 R D' F' L2
D2 B R D F' L2 B'
D2 B R F' D L2 B'
D2 B U' B2 U' R F'
D' B U' B2 L U' R
D2 B U2 R D L2 F'
D2 B U2 R D F' L2
D2 B U2 R F' D L2
L' B U2 R D F L'
L' B U2 D R F L'
L' B D U2 R F L'
D B U2 D L2 R F'
D B U2 D R L2 F'
D B U2 D R F' L2
D B D R F' L2 B'
D B D U2 L2 R F'
D B D U2 R L2 F'
D B D U2 R F' L2
U' B' L U B' U2 R
U' B' L' U' R D F
U' B' L' U' R D' F
U' B' L' U' R D2 F
U' B' L' U' R F D
U' B' L' U' R F D'
U' B' L' U' R F D2
U' B' L' U' R' F R2
U' B' L' U' R2 F R'
U' B' L' U' D R F
U' B' L' U' D' R F
U' B' L' U' D2 R F
U' B' L' D U' R F
U' B' L' D' U' R F
U' B' L' D2 U' R F
U2 B' L' U' B R F
L B' L' U' B' U' R
U' B' U L B' U2 R
U' B' U L' U2 R F
U' B' U' L' R F L
U' B' U' R L' F L
D' B' U' L U' L' R
D' B' U' L U' R L'
U' B' U' D2 R D F'
U' B' U' D2 R D' F'
U' B' U' D2 R D2 F'
U' B' U' D2 R F' D
U' B' U' D2 R F' D'
U' B' U' D2 R F' D2
L' B' U2 R D F L'
U2 B' U' D2 B R F'
L' B' U2 D R F L'
U2 B' U' B D2 R F'
L B' U B U L R
L B' U B U R L
L' B' D U2 R F L'
L B' U2 R U B U'
U' B' D2 L U' R F'
U' B' D2 L' U' R F'
U' B' D2 L2 U' R F'
U' B' D2 U' R D F'
U' B' D2 U' R D' F'
U' B' D2 U' R D2 F'
U' B' D2 U' R F' D
U' B' D2 U' R F' D'
U' B' D2 U' R F' D2
F2 B' U L' F2 U2 F'
U2 B' D2 U' B R F'
U' B' F2 U L' U2 F
U' B2 L' B U' R F
R2 B2 L B' U' B2 U'
R2 B2 L B' U2 D L2
R2 B2 L B' D U2 L2
R2 B2 L B' D' R2 U2
D2 B2 U' B U' R F'
B' F2 U L' F2 U2 F'
L' B2 U2 R D F L'
L' B2 U2 D R F L'
L' B2 D U2 R F L'
U' B2 D2 B U' R F'
