F U' L2 B' R' F'
F L U L F R B'
F L U L F B' R
F L U L B' F R
F L U' L B' R' F'
U2 L F L2 U' B' L'
D' L B2 L2 R' F' U'
D' L B2 R' L2 F' U'
D' L B2 R' F' L2 U'
D2 L' R' F' U' B2 L
R' L' F' U F' R U2
L' R' F' U F' R U2
D' L' B2 U2 L' B' U
D' L2 U2 L F B2 U'
D' L2 U2 L B2 F U'
L' U F' L' F' R U2
L' U' L' D2 B' R' B'
L' U' L' B D2 B2 R'
L' U' L' B' R' D2 B2
L' U' L' B' D2 R' B2
F2 R F' B U L2 B'
D R F2 L' B R U
D R F2 B L' R U
D R F2 B R L' U
F2 R B U L2 D' B2
F2 R B F' U L2 B'
D R B F2 L' R U
D R B F2 R L' U
L' U' D2 L' B' R' B'
L' U' D2 B' R' B' L'
D2 R' L' F' U' B2 L
F2 R' U R2 B U L2
L' U' B L' D2 R2 B2
L' U' B L' D2 B2 R2
L' U' B D2 B2 L' R'
L' U' B D2 B2 R' L'
L' U' B' L' R' D2 B2
L' U' B' L' D2 R' B2
L' U' B' R' L' D2 B2
L' U' B' R' D2 L' B2
L' U' B' R' D2 B2 L'
L' U' B' D2 L' R' B2
L' U' B' D2 R' L' B2
L' U' B' D2 R' B2 L'
F2 R2 U R' B U L2
D R2 D2 L' F B2 U'
D R2 D2 L' B2 F U'
R' D L' F' R2 B U'
D R2 D2 B2 L' F U'
F U L F L R B'
F U L F L B' R
F U L F R L B'
F2 U R F U L2 R
F2 U R F U R L2
F U' L2 R' F' B' R'
F U' L2 R' B' F' R'
F U' L2 D B' R' F'
F U' L2 D' B' R' F'
F U' L2 D2 B' R' F'
F U' L2 F B' R' F'
F U' L2 F' B' R' F'
F U' L2 F2 B' R' F'
F U' L2 B' R' D F'
F U' L2 B' R' D' F'
F U' L2 B' R' D2 F'
F U' L2 B' R' F' D
F U' L2 B' R' F' D'
F U' L2 B' R' F' D2
F U' L2 B' D R' F'
F U' L2 B' D' R' F'
F U' L2 B' D2 R' F'
F U' L2 B' F R' F'
F U' L2 B' F' R' F'
F U' L2 B' F2 R' F'
F U' R' L2 F' B' R'
F U' R' L2 B' F' R'
L' D2 U' L' B' R' B'
F U' B' L2 R' F' B'
F U' B' L2 R' B' F'
F U' B' R' L2 F' B'
F U' B' R' L2 B' F'
L' D2 U' B' R' B' L'
L' D2 B' U' B' L' R'
L' D2 B' U' B' R' L'
L F L2 U' B' L' R'
L F L2 U' B' R' L'
L' F' U F' L' R U2
L' F' U F' R L' U2
D F2 R B U2 R U'
U' F2 U R B U L2
R F2 U B R U L2
D F2 D R B U B
D F2 D2 L2 R B U
D F2 D2 R L2 B U
D F2 D2 R B L2 U
F2 D2 R2 U R' B U
B' F U' L2 B' R' F'
B2 F U' L2 B' R' F'
B F U' L2 B' R' F'
F B U' L2 B' R' F'
F B' U' L2 B' R' F'
D' B2 L' U2 L' B' U
F B2 U' L2 B' R' F'
