B' R' D B R' F'
R2 L U B U L' B'
R' L U2 L' D B R'
R2 L U2 L' B' D' R2
R' L U2 D L' B R'
R' L U2 D B L' R'
R' L U2 D B R' L'
R' L D U2 L' B R'
R' L D U2 B L' R'
R' L D U2 B R' L'
R' L' U2 L D B R'
L' R' U2 L D B R'
L R' U2 L' D B R'
L2 R' U2 L2 D B R'
R' L' U2 D L B R'
L' R' U2 D L B R'
L R' U2 D L' B R'
L R' U2 D B L' R'
L R' U2 D B R' L'
R' L' D U2 L B R'
L' R' D U2 L B R'
L R' D U2 L' B R'
L R' D U2 B L' R'
L R' D U2 B R' L'
D' L' U' F' R U' L
D2 L' F U' F2 U' L
D2 L' F U2 L D R2
D2 L' F U2 D L R2
D2 L' F U2 D R2 L
D2 L' F D U2 L R2
D2 L' F D U2 R2 L
D2 L' F D' L2 U2 L'
L R2 U B U L' B'
R' L2 U2 L2 D B R'
L R2 U2 L' B' D' R2
D' L2 U' F' R U' L2
U' R U F' L' U2 L
U' R U' F' U2 F R
R2 U B U2 B' R' U'
F R D B' R2 F' B
F R D B' R2 B F'
F R D' L2 F' U2 L2
F R D' F' L2 U2 L2
F2 R F' D' L2 U2 L2
F R B' D R2 F' B
F R B' D R2 B F'
L' U' D' F' R U' L
L2 U' D' F' R B2 U'
L2 U' D' F' B2 R U'
L2 U' D' B2 F' R U'
L' U' D2 F' U' L B'
L' U' F' R' U' L B
L' U' F' U' D2 L B'
L2 U' F' R' U' L2 B
L2 U' F' R' U' B L2
L' U' F' D2 U' L B'
R2 U' B L U2 L' U'
B' R' D F B R' F'
B' R' D F' B R' F'
B' R' D F2 B R' F'
B' R' D B R' D F'
B' R' D B R' D' F'
B' R' D B R' D2 F'
B' R' D B R' F' D
B' R' D B R' F' D'
B' R' D B R' F' D2
B' R' D B D R' F'
B' R' D B D' R' F'
B' R' D B D2 R' F'
B' R' D B F R' F'
B' R' D B F' R' F'
B' R' D B F2 R' F'
B2 R' D B R' D F2
B2 R' D B D R' F2
B2 R' D B D F2 R'
U2 R' D B R' D2 L2
B' R' D' R' F' R B
B R' D B R' D2 F2
B R' D B D2 R' F2
B R' D B D2 F2 R'
L' U2 L R' D B R'
F R' D B' R2 F' B2
F R' D B' R2 B2 F'
B' R' D' B R' F' R
F R' D' L2 U2 L2 B
F R' D' L2 U2 B L2
B2 R' D2 F2 D' B R'
L U2 L' R' D B R'
B' R' F D B R' F'
L2 U2 L2 R' D B R'
B' R' F' D B R' F'
L' U2 R' L D B R'
B' R' F2 D B R' F'
L' U2 R' D L B R'
L2 U2 R' L2 D B R'
L U2 R' L' D B R'
B' R' B D' R' F' R
L U2 R' D L' B R'
L U2 R' D B L' R'
L U2 R' D B R' L'
B2 R' B D' R2 F' R
B' R2 U' B L U F'
R' D L U2 L' B R'
R' D L U2 B L' R'
R' D L U2 B R' L'
R' D L' U2 L B R'
R' D L2 U2 L2 B R'
R' D L2 U2 B L2 R'
R' D L2 U2 B R' L2
R' D L2 B L2 R' F
R' D L2 B L2 F R'
R' D L2 B R' L2 F
B' R2 F' R D B R'
B' R2 F' U' B L U
R' D B L2 R' F L2
R' D B L2 F L2 R'
R' D B L2 F R' L2
R' D B R' L2 F L2
R' D B R' U2 B' U2
R' D B' R' B2 R' F'
R' D B' R2 F' B2 R'
R' D B' R2 B2 F' R'
F U R' F2 L' U' B
R' D B2 D2 F2 B' R'
R' D B2 D2 B' R' F2
R' D B2 D2 B' F2 R'
D' U F' R U2 R' U
L' D' U' F' R U' L
L2 D' U' F' R B2 U'
L2 D' U' F' B2 R U'
L2 D' U' B2 F' R U'
R' D' F L' U2 L B
U' D' F' R U2 F U
D' U' F' R U2 F U
R' D' B' R2 F' R B2
R' D' B' R2 F' B2 R
R' D' B' R2 B2 F' R
U D' F' R U2 R' U
L' D2 U' F' U' L B'
U F R' F2 L' U' B
U' F' R' U2 F U B
U' F' U2 D' F L' U
U' F' D' U2 F L' U
L F2 R F' U' F2 U'
L F2 R F' U2 D R2
L F2 R F' D U2 R2
L F2 R F' D' L2 U2
R' B U2 D B' L U2
R' B D U2 B' L U2
B2 F R' B D R2 F'
R B' R2 D F' B R'
R B' R2 D B F' R'
R B' R2 D' F' B R
R B' R2 D' B F' R
R B' R2 F' D B R'
R B' R2 B D' F' R
R2 B' D' R B R F'
R2 B2 R B D' R2 F'
F B2 R' B D R2 F'
