F2 L' U' B2 R' U'
U2 R U R' B2 U'
U R U B2 L U'
U R U B2 L U'
L' U' B2 R' U' R2
R' U2 R2 D L2 B2
R' U2 R2 D B2 L2
U2 R2 D L2 R' B2
U2 R2 D R' L2 B2
U2 R2 D R' B2 L2
L2 D F2 L' U2 L'
L2 D' R2 U2 R' B2
B2 U B2 U2 R B2
B2 U B2 U2 B2 R
U2 F B2 U' F' R
U2 F2 B2 U' F2 R
D B U L2 R F
D B U R L2 F
U B2 U R B2 L
U2 B2 F U' F' R
U2 B2 F2 U' F2 R
U2 L R U R' B2 U'
U L R U B2 L U'
D' L R2 U L' U R'
U2 L R2 D L2 R' B2
U2 L R2 D R' L2 B2
U2 L R2 D R' B2 L2
D L U L' U L2 R
D L U L' U R L2
U' L U' L' B2 U' R
L2 R D' R2 U2 R2 B2
U' L U' B2 L' U' R
L2 R D' R2 U2 B2 R2
D L U2 L R D' B2
D L U2 L D' R B2
D L U2 L D' B2 R
D L U2 R L D' B2
L2 R D' B2 D2 L2 F2
L2 R D' B2 D2 F2 L2
U2 L F B2 U' F' R
U2 L F2 B2 U' F2 R
R' L' U' B2 R' U' R'
L' R' U' B2 R' U' R'
U L B2 U R B2 L
U2 L B2 F U' F' R
U2 L B2 F2 U' F2 R
U2 L' R U R' B2 U'
F2 L' R U' B2 R' U'
U L' R U B2 L U'
F2 L' R' U' B2 R' U'
D' L' R2 U L U R'
F2 L' R2 U' B2 R' U'
U2 L' R2 D L2 R' B2
U2 L' R2 D R' L2 B2
U2 L' R2 D R' B2 L2
F2 L' U L U D L2
F2 L' U L U2 B2 U'
F2 L' U L D U L2
F2 L' U L D2 F2 U
D L' U L U L2 R
D L' U L U R L2
F2 L' U D L U L
F2 L' U D2 L F2 U
F2 L' U D2 F2 L U
U' L' U' L B2 U' R
F2 L' U' R B2 R' U'
F2 L' U' R' B2 R' U'
F2 L' U' R2 B2 R' U'
F' L' U' B2 R' F' U'
F2 L' U' B2 R' U' D
F2 L' U' B2 R' U' D'
F2 L' U' B2 R' U' D2
F2 L' U' B2 R' D U'
F2 L' U' B2 R' D' U'
F2 L' U' B2 R' D2 U'
F2 L' U' B2 D R' U'
F2 L' U' B2 D' R' U'
F2 L' U' B2 D2 R' U'
D L' U2 L' R D' B2
D L' U2 L' D' R B2
D L' U2 L' D' B2 R
D L' U2 R L' D' B2
F2 L' D U L U L
F2 L' D' R2 U L U
F2 L' D2 U L F2 U
F2 L' D2 U F2 L U
F2 L' F U' B2 R' U'
U2 L' F B2 U' F' R
F2 L' F' U' B2 R' U'
F2 L' F2 U' B2 R' U'
U2 L' F2 B2 U' F2 R
L2 R2 U2 D' R' B2 L
R2 L2 U2 D' R' B2 L
L2 R2 D F2 U2 L2 R'
L2 R2 D F2 U2 R' L2
R2 L2 D F2 U2 L2 R'
R2 L2 D F2 U2 R' L2
L2 R2 D' R2 U2 R B2
L2 R2 D' R2 U2 B2 R
R2 L2 D' R2 U2 R B2
R2 L2 D' R2 U2 B2 R
L2 R2 D' U2 R' B2 L
R2 L2 D' U2 R' B2 L
R L2 D' R2 U2 R2 B2
R L2 D' R2 U2 B2 R2
U L' B2 U R B2 L
U2 L' B2 F U' F' R
U2 L' B2 F2 U' F2 R
U2 L2 R U R' B2 U'
R L2 D' B2 D2 L2 F2
R L2 D' B2 D2 F2 L2
U L2 R U B2 L U'
B L2 R D' F L' B2
B L2 R D' F B2 L'
D L2 R D' B2 D2 F2
B L2 R D' B2 F L'
D' L2 R2 U L2 U R'
D' L2 R2 U2 R' D' B2
D' L2 R2 U2 D' R' B2
D' L2 R2 D F2 U2 R'
D' L2 R2 D' U2 R' B2
U2 L2 R2 D L2 R' B2
U2 L2 R2 D R' L2 B2
U2 L2 R2 D R' B2 L2
U' L2 U' L2 B2 U' R
U' L2 U' B2 L2 U' R
D2 L2 U2 R D' L2 B2
D2 L2 U2 R D' B2 L2
U' L2 U2 R D L2 F2
U' L2 U2 R D F2 L2
D2 L2 U2 D' L2 R B2
D2 L2 U2 D' L2 B2 R
D2 L2 U2 D' R L2 B2
D2 L2 U2 D' R B2 L2
D2 L2 U2 D' B2 L2 R
D2 L2 U2 D' B2 R L2
U' L2 U2 D L2 R F2
U' L2 U2 D R L2 F2
U' L2 U2 D R F2 L2
D L2 U2 R D' B2 L
D L2 U2 D' R B2 L
F2 L2 D L F2 U2 L
D2 L2 D R2 F2 U2 R'
U' L2 D U2 L2 R F2
U' L2 D U2 R L2 F2
U' L2 D U2 R F2 L2
D2 L2 D F2 L' R2 U2
D2 L2 D F2 R2 L' U2
F2 L2 D F2 L U2 L
D L2 D F2 L' U2 L
F2 L2 D' L R2 U2 B2
U' L2 D' R2 B2 L U2
D2 L2 D' U2 L2 R B2
D2 L2 D' U2 L2 B2 R
D2 L2 D' U2 R L2 B2
D2 L2 D' U2 R B2 L2
D2 L2 D' U2 B2 L2 R
D2 L2 D' U2 B2 R L2
F2 L2 D' R2 L U2 B2
F2 L2 D' R2 U2 B2 R'
L' U L U R D L2
L' U L U D L2 R
L' U L U D R L2
D L2 D' R B2 D2 F2
L' U L U2 B2 U' R
L' U L D U L2 R
L' U L D U R L2
D L2 D' U2 R B2 L
U' L2 D' B2 R2 U2 R'
D L2 D' B2 R D2 F2
D L2 D' B2 D2 R F2
B2 L2 D2 R2 U' R' F2
B2 L2 D2 R2 U' F2 R'
L U L' U R D L2
L U L' U D L2 R
L U L' U D R L2
L U L' U2 B2 U' R
L U L' D U L2 R
L U L' D U R L2
L2 U L2 U R D L2
L2 U L2 U D L2 R
L2 U L2 U D R L2
L2 U L2 U2 B2 U' R
U2 L2 F B2 U' F' R
L2 U L2 D U L2 R
L2 U L2 D U R L2
R U R B2 L U' B2
U2 L2 F2 B2 U' F2 R
R' U R2 D L2 D2 F2
R' U R2 D' F2 D2 L2
R2 U R2 D' R F2 L'
L' U D L U L R
L' U D L U R L
L U D L' U L' R
L U D L' U R L'
R' U D B2 U L2 B2
R' U D B2 U B2 L2
U2 L2 B2 F U' F' R
U L2 B2 U R B2 L
U2 L2 B2 F2 U' F2 R
U2 R L U R' B2 U'
U R L U B2 L U'
U2 R L' U R' B2 U'
F2 R L' U' B2 R' U'
U R L' U B2 L U'
U2 R L2 U R' B2 U'
D R L2 D' B2 D2 F2
B R L2 D' F L' B2
B R L2 D' F B2 L'
B R L2 D' B2 F L'
U R L2 U B2 L U'
U2 R U R B2 R2 U'
U2 R U R' U' D L2
U2 R U R' D U' L2
U2 R U R' B2 U' D
U2 R U R' B2 U' D'
U2 R U R' B2 U' D2
U2 R U R' B2 D U'
U2 R U R' B2 D' U'
U2 R U R' B2 D2 U'
U2 R U R2 B2 R U'
U2 R U D R' U' L2
U R U L B2 L U'
U R U L' B2 L U'
U R U L2 B2 L U'
U2 R U B2 U2 L U
U R U B2 L U' D
U R U B2 L U' D'
U R U B2 L U' D2
U R U B2 L D U'
U R U B2 L D' U'
U R U B2 L D2 U'
U R U B2 D L U'
U R U B2 D' L U'
U R U B2 D2 L U'
U R U' R' U D L2
U R U' R' U2 B2 U'
U R U' R' D U L2
U R U' R' D2 F2 U
U R U' D R' U L2
U R U' D2 R' F2 U
U R U' D2 F2 R' U
U2 R D L2 U R' U'
U2 R D U R' U' L2
U R D L2 U' R' U
U R D U' R' U L2
R U B2 U' B2 D2 F2
U R D2 U' R' F2 U
U R D2 U' F2 R' U
U R F U B2 L U'
U R F' U B2 L U'
L' U' R B2 R' U' R
U R F2 U B2 L U'
L' U' R' B2 R' U' R'
D R B L2 D' F B2
D R B L2 D' B2 F
D R B L2 F D' B2
U2 R B2 U' L U L'
F2 R' L' U' B2 R' U'
R' U' F B2 U' R2 B
D2 R' U R2 D' L2 F2
D2 R' U R2 D' F2 L2
D' R' U R2 D' F2 L'
B2 R' U R2 D2 L2 F2
B2 R' U R2 D2 F2 L2
U2 R' U R B2 U' R
D R' U L2 R2 D' F2
D R' U R2 L2 D' F2
B2 R' U B2 U2 R2 B2
B2 R' U B2 U2 B2 R2
U2 R' U B2 R U' R
U' R' U' R2 D L2 B2
U' R' U' R2 D B2 L2
B R' U' B' R' U2 R'
D R' U2 L2 R2 D B2
D R' U2 R2 L2 D B2
L' U' B2 R' U' R2 D
L' U' B2 R' U' R2 D'
L' U' B2 R' U' R2 D2
L' U' B2 R' D' F2 U'
L' U' B2 R' F U' R2
L' U' B2 R' F' U' R2
L' U' B2 R' F2 U' R2
R' U' B2 U' R2 D B2
L' U' B2 U' R D B2
L' U' B2 D R' U' R2
L' U' B2 D' R' U' R2
R' U' B2 F U' R2 B
L' U' B2 D2 R' U' R2
L2 U' B2 U' R D' B2
L2 U' B2 U' D' R B2
L2 U' B2 U' D' B2 R
L2 U' B2 U2 L2 U R
R' U2 L R2 D L2 B2
R' U2 L R2 D B2 L2
L2 U' B2 D' U' R B2
L2 U' B2 D' U' B2 R
L2 U' B2 D2 R2 U' R'
L U' B2 U2 L' U R
R U' B2 U2 B2 U B2
R' U2 L' R2 D L2 B2
R' U2 L' R2 D B2 L2
R' U2 L2 R2 D L2 B2
R' U2 L2 R2 D B2 L2
U' R' F B2 U' R2 B
L' U2 R U B2 R' U'
L2 U2 R D L2 D2 B2
D2 R' F2 U R2 D' F2
L2 U2 R D' B2 D2 L2
D2 R' F2 B' U R2 F'
R2 U2 R' U R B2 U'
R' U2 R2 L D L2 B2
R' U2 R2 L D B2 L2
R2 U2 R' U B2 R U'
R' U2 R2 L' D L2 B2
R' U2 R2 L' D B2 L2
R' U2 R2 L2 D L2 B2
R' U2 R2 L2 D B2 L2
R' U2 R2 U R2 B2 U'
R' U2 R2 U B2 R2 U'
R' U2 R2 D L' B2 L'
R' U2 R2 D L2 B2 D
R' U2 R2 D L2 B2 D'
R' U2 R2 D L2 B2 D2
R' U2 R2 D B L2 B
R' U2 R2 D B2 L2 D
R' U2 R2 D B2 L2 D'
R' U2 R2 D B2 L2 D2
D R' B U L2 R2 F
D R' B U L2 F R2
D R' B U R2 L2 F
L2 U2 R2 D' R' B2 L
R2 U2 R2 D L2 R B2
R2 U2 R2 D L2 B2 R
R2 U2 R2 D R L2 B2
R2 U2 R2 D R B2 L2
R2 U2 R2 D B2 L2 R
R2 U2 R2 D B2 R L2
D2 R' B' F2 U R2 F'
L2 U2 D L2 R D2 B2
D R' B' U L2 R2 F'
D R' B' U R2 L2 F'
D R' B' U R2 F' L2
L2 U2 D L2 D2 R B2
L2 U2 D L2 D2 B2 R
L2 U2 D R L2 D2 B2
U' R' B2 U' R2 D B2
U' R' B2 F U' R2 B
D' R2 L U L' U R'
B R' B2 U R2 F' L'
L2 U2 D' R' B2 L R2
L2 U2 D' R' B2 R2 L
L2 U2 D' B2 D2 L2 R
L2 U2 D' B2 D2 R L2
U2 R2 L D L2 R' B2
U2 R2 L D R' L2 B2
U2 R2 L D R' B2 L2
D' R2 L' U L U R'
F2 R2 L' U' B2 R' U'
U2 R2 L' D L2 R' B2
U2 R2 L' D R' L2 B2
U2 R2 L' D R' B2 L2
D' R2 L2 U L2 U R'
R' U2 F B2 U' F' R2
D' R2 L2 U2 R' D' B2
D' R2 L2 U2 D' R' B2
D' R2 L2 D F2 U2 R'
D' R2 L2 D' U2 R' B2
U2 R2 L2 D L2 R' B2
U2 R2 L2 D R' L2 B2
U2 R2 L2 D R' B2 L2
R' U2 F' B2 U' R2 F
R' U2 F' B2 U' F R2
B2 R2 U R' D2 F2 L'
B2 R2 U D2 R' F2 L'
U2 R2 U R2 B2 U' R
D' R2 U B' U B R'
D' R2 U B2 U B2 R'
B2 R2 U B2 L U2 B2
R' U2 F2 B2 U' R2 F2
R' U2 F2 B2 U' F2 R2
B2 R2 U B2 U2 B2 R'
B2 R2 U' B2 L U2 L'
D' R2 U2 R' U R U'
D' R2 U2 R2 D R B2
D' R2 U2 R2 D B2 R
U2 R2 D L' R' B2 L'
U2 R2 D L2 R B2 R2
U2 R2 D L2 R' B2 D
U2 R2 D L2 R' B2 D'
U2 R2 D L2 R' B2 D2
U2 R2 D L2 R2 B2 R
U2 R2 D R L2 B2 R2
U2 R2 D R B2 L2 R2
U2 R2 D R B2 R2 L2
U2 R2 D R' L' B2 L'
U2 R2 D R' L2 B2 D
U2 R2 D R' L2 B2 D'
U2 R2 D R' L2 B2 D2
U2 R2 D R' B L2 B
U2 R2 D R' B2 L2 D
U2 R2 D R' B2 L2 D'
U2 R2 D R' B2 L2 D2
U2 R2 D R2 L2 B2 R
R' U2 B2 U' R2 D' F2
U2 R2 D R2 B2 L2 R
U2 R2 D R2 B2 R L2
R' U2 B2 D' F2 U' F2
R' U2 B2 F U' F' R2
R' U2 B2 F' U' R2 F
R' U2 B2 F' U' F R2
R' U2 B2 F2 U' R2 F2
R' U2 B2 F2 U' F2 R2
U R2 D L2 R' D2 F2
U R2 D L2 D2 R' F2
U R2 D L2 D2 F2 R'
U R2 D R' L2 D2 F2
U2 R2 D' R' D2 B2 L
U R2 D' R F2 L' R2
U R2 D' R F2 R2 L'
B2 R2 D2 U R' F2 L'
L2 D L F2 L' U2 L2
U2 R2 D2 R' D' L2 B2
U2 R2 D2 R' D' B2 L2
U R2 D' F2 D2 L2 R'
U R2 D' F2 D2 R' L2
L2 D L' F2 L' R U2
L2 D L' F2 R L' U2
L2 D L2 F2 L' U2 L
R D L2 D' B2 D2 F2
L2 D R' F2 U2 L2 R2
L2 D R' F2 U2 R2 L2
L' D U L U L R
L' D U L U R L
L2 D R2 F2 U2 L2 R'
L2 D R2 F2 U2 R' L2
R' D U B2 U L2 B2
R' D U B2 U B2 L2
L D U L' U L' R
L D U L' U R L'
L2 D U2 L2 R D2 B2
L2 D U2 L2 D2 R B2
L2 D U2 L2 D2 B2 R
L2 D U2 R L2 D2 B2
B2 U L B2 U2 R B2
B2 U L B2 U2 B2 R
B2 U L' B2 U2 R B2
B2 U L' B2 U2 B2 R
U2 D L2 R U R' U'
U2 D L2 R2 D R' B2
D U L2 R U' R' U
B U L2 R D' F L'
D U L2 R2 D' R' F2
D U L2 R2 D' F2 R'
D2 U R U' R' F2 U
B2 U L2 B2 U2 R B2
B2 U L2 B2 U2 B2 R
D2 U R U' F2 R' U
U D L2 R U' R' U
U D L2 R2 D' R' F2
U D L2 R2 D' F2 R'
U2 D R L2 U R' U'
B2 U R U2 R' B2 U2
B2 U R U2 B2 U2 L
U2 D R U R' U' L2
L2 D F2 L' R U2 L'
L2 D F2 L' R' U2 L'
L2 D F2 L' R2 U2 L'
L2 D F2 L' U2 L' D
L2 D F2 L' U2 L' D'
L2 D F2 L' U2 L' D2
L2 D F2 L' U2 D L'
L2 D F2 L' U2 D' L'
L2 D F2 L' U2 D2 L'
L2 D F2 L' D U2 L'
L2 D F2 L' D' U2 L'
L2 D F2 L' D2 U2 L'
L2 D F2 R L' U2 L'
L2 D F2 R' L' U2 L'
L2 D F2 R2 L' U2 L'
D U R L2 U' R' U
B U R L2 D' F L'
D U R U' R' U L2
B U R D' L2 F L'
L2 D F2 D2 L' R2 U2
L2 D F2 D2 R2 L' U2
U D R L2 U' R' U
U D R U' R' U L2
D' U R2 D' R' F2 L'
