D R B2 U' F' R'
D B2 R U' F' R2
R' L D R' B U2 B
D L U' R B2 U' F'
D L U' B2 R U' F'
R2 L F U' L' R' U'
R2 L F U' R' L' U'
R2 L F2 U' R' U' F'
D' L B' U F2 L' U
L R' D R' B U2 B
L R2 F U' L' R' U'
L R2 F U' R' L' U'
L R2 F2 U' R' U' F'
R U L D R U2 F'
R U R D' L B' U2
R U D L R U2 F'
R U D R L U2 F'
R U D' L R B' U2
R U D' L B' R U2
R U D' R L B' U2
L U D' F2 L' U F
F' R U' L R U2 B
F' R U' R L U2 B
B2 R D' F2 U' L' F
D R F B2 U' R' F2
D R F B2 U' F2 R'
D R F2 B2 U' R' F
D R F2 B2 U' F R'
L U' D R B2 U' F'
D R B2 L U' F' R'
D R B2 L' U' F' R'
D R B2 L2 U' F' R'
L U' D B2 R U' F'
D R B2 U' D F' R'
D R B2 U' D' F' R'
D R B2 U' D2 F' R'
D R B2 U' F R' F2
D R B2 U' F' R' D
D R B2 U' F' R' D'
D R B2 U' F' R' D2
D R B2 U' F' D R'
D R B2 U' F' D' R'
D R B2 U' F' D2 R'
D R B2 U' F2 R' F
D R B2 D U' F' R'
D R B2 D' U' F' R'
D R B2 D2 U' F' R'
D R B2 F U' R' F2
D R B2 F U' F2 R'
D R B2 F2 U' R' F
D R B2 F2 U' F R'
D R' D B2 L2 R' F
D R' D B2 L2 F R'
D R' D B2 R' L2 F
R' D L R' B U2 B
R' D R' L B U2 B
L' D R F2 B2 U' F
L' D R B2 F2 U' F
R' D R' B U2 B R'
R D U L R U2 F'
R D U R L U2 F'
L D U' R B2 U' F'
L D U' B2 R U' F'
U' D R B2 U' F' R'
U2 D R B2 U' F' R'
D U R B2 U' F' R'
U D R B2 U' F' R'
R' D B2 L R F' R2
R' D B2 R L F' R2
R' D B2 R F' L R2
R' D B2 R F' R2 L
L' D B2 R F2 U' F
R' D' L R' F2 B' U2
R' D' L R' B' F2 U2
R' D' L F2 R' B' U2
R' D' R' L F2 B' U2
R' D' R' L B' F2 U2
U' D B2 R U' F' R2
R' D' R' F2 L B' U2
U2 D B2 R U' F' R2
D U B2 R U' F' R2
U D B2 R U' F' R2
R D' U L R B' U2
R D' U L B' R U2
R D' U R L B' U2
L D' U F2 L' U F
D U' R B2 U' F' R'
R' D' F2 L R' B' U2
R' D' F2 R' L B' U2
L' D' F2 L' B2 U F
L2 D' F2 L' U R F
L' D' F2 B2 L' U F
L' D' B2 F2 L' U F
D U' B2 R U' F' R2
D U2 R B2 U' F' R'
D U2 B2 R U' F' R2
R2 F L U' L2 R' U'
R2 F L U' R' L2 U'
B2 D R B2 U' F' R2
B2 D R' D B2 L2 F
F D B2 L' U' R' B
D' F2 L' U D2 R2 F
D' F2 L' U D2 F R2
D' F2 L' U F D2 R2
D' F2 L' U' L2 B' U2
R2 F2 L U' R' U' F'
D' F2 L' D' B2 U F
D' F2 L' D2 U R2 F
D' F2 L' D2 U F R2
B2 D' F2 L' U R' F
B2 D' F2 L' U F R'
R F2 U L U2 F L2
D' F2 B2 L' U R' F
D' F2 B2 L' U F R'
R F2 B2 U' L' R' F'
R F2 B2 U' R' L' F'
D B' R B' U' F' R'
D B2 L R U' F' R2
D B2 L' R U' F' R2
D B2 L2 R U' F' R2
D B2 R L U' F' R2
D B2 R L' U' F' R2
D B2 R L2 U' F' R2
D B2 R U' F R2 F2
D B2 R U' F' R2 D
D B2 R U' F' R2 D'
D B2 R U' F' R2 D2
D B2 R U' F2 R2 F
D B2 R D' F2 U' F
D B2 R F U' R2 F2
D B2 R F U' F2 R2
D B2 R F2 U' R2 F
D B2 R F2 U' F R2
D' B2 F2 L' U R' F
D' B2 F2 L' U F R'
R B2 F2 U' L' R' F'
R B2 F2 U' R' L' F'
