U L R2 F L U2
U L F L R2 U2
U L F R2 L U2
F R U L2 R U2
F R U R L2 U2
D2 R U' L2 R B
D2 R U' R L2 B
D2 R U' R B L2
F R D F2 U' L'
U R2 L F L U2
D2 U' L2 R B R
D2 U' R L2 B R
D2 U' R B L2 R
D2 U' R B R L2
U' D2 L2 R B R
U' D2 R L2 B R
U' D2 R B L2 R
U' D2 R B R L2
D2 F R U' L2 R
D2 F R U' R L2
D F R F B2 U'
D F R B2 F U'
F D R F2 B2 U'
F D R B2 F2 U'
D F B2 R F U'
F' D F2 R B2 U'
F' D F2 B2 R U'
F' D B2 F2 R U'
F D B2 R F2 U'
F D2 R U' L2 R
F D2 R U' R L2
D B2 F R F U'
U L R' F L R' U2
U L R' F R' L U2
U L R2 D F L U2
U L R2 D' F L U2
U L R2 D2 F L U2
U L R2 F L U2 D
U L R2 F L U2 D'
U L R2 F L U2 D2
U L R2 F L D U2
U L R2 F L D' U2
U L R2 F L D2 U2
U L R2 F D L U2
U L R2 F D' L U2
U L R2 F D2 L U2
U L R2 F' L F2 U2
U L R2 F2 L F' U2
U2 L U' L R2 F U2
U2 L U' L F R2 U2
U2 L U' R2 L F U2
U' L U2 L R2 F U2
U' L U2 L F R2 U2
U' L U2 R2 L F U2
U L D2 L U2 L B'
U L D2 F L U2 L
U L F L R2 U2 D
U L F L R2 U2 D'
U L F L R2 U2 D2
U L F L R2 D U2
U L F L R2 D' U2
U L F L R2 D2 U2
U L F L U2 D2 L2
U L F L D2 U2 L2
U L F R2 L U2 D
U L F R2 L U2 D'
U L F R2 L U2 D2
U L F R2 L D U2
U L F R2 L D' U2
U L F R2 L D2 U2
U L F R2 D L U2
U L F R2 D' L U2
U L F R2 D2 L U2
U L F D2 L U2 L
U L F' L R2 F2 U2
U L F' L F2 R2 U2
U L F' R2 L F2 U2
U L F' R2 F2 L U2
U L F2 L R2 U2 B
U L F2 L F' R2 U2
U L F2 R2 L U2 B
U L' R2 F U2 B' R'
U L' R2 F2 U2 R B'
U L' R2 F2 U2 B' R
U2 L' U' L' R2 U2 B'
U2 L' U' R2 L' U2 B'
U' L' U2 L' R2 U2 B'
U' L' U2 R2 L' U2 B'
U2 L' D' F2 U R B
U L' F R2 U2 B' R'
L2 R2 U' L2 R U' B
U' L' F2 R F2 L' B
R2 L2 U' L2 R U' B
U' L' F2 R F2 B L'
U' L' F2 R B F2 L'
L2 R2 U' R L2 U' B
R2 L2 U' R L2 U' B
U L' F2 R2 U2 R' B'
U L2 R D2 R F' U2
U' L2 R' F' R' U2 F
U L2 R' U2 B2 L B'
L2 R2 F U' L2 R U'
L2 R2 F U' R L2 U'
R2 L2 F U' L2 R U'
R2 L2 F U' R L2 U'
U L2 R' D2 R' U2 B
F L2 R2 U' L2 R' U'
F L2 R2 U' R' L2 U'
U L2 R2 U L U B'
U L2 R2 U2 L B' L'
U L2 U2 L D2 B' L2
U L2 U2 L B' D2 L2
U L2 U2 L' D2 L2 B'
R' U L R' F L U2
R' U L F L R' U2
R' U L F R' L U2
R U L R F L U2
U L2 D2 R F' U2 L2
U L2 D2 R' U2 L2 B
U L2 D2 R' U2 B L2
R' U L2 U2 B2 L B'
R' U L2 D2 R' U2 B
R U L2 D2 R F' U2
R U R L F L U2
R' U R' L F L U2
R U D2 R U2 R B
U R L2 D2 R F' U2
