D F' L' U R F
B L F' R' B' L' U
B2 L F' B' L' R' U
B2 L F' B' R' L' U
F' L B L2 R' B2 U
F' L B R' L2 B2 U
F' L B R' B2 L2 U
F' L B' L2 U2 L' U'
B2 L B' F' L' R' U
B2 L B' F' R' L' U
F' L' U2 D2 F L' U'
F' L' D2 U2 F L' U'
D L' F' L' U R F2
F' L' B R' U2 F U'
F' L' B' U2 F L U'
B2 L2 F' L' B' R' U
B L2 F' L' R' B' U
B L2 F' R' L' B' U
L2 D F' L' B' U F
L D F' B' L' U F
L D B' F' L' U F
L2 D2 F' L' R B' U
L2 D2 F' L' B' R U
L2 D2 F' R L' B' U
L D2 F' R B' L' U
L D2 F' B' L' R U
L D2 F' B' R L' U
L D2 B' F' L' R U
L D2 B' F' R L' U
F' D L' U F' R F2
L' F D' R U' L2 F'
L' F D' R U' F' L2
D2 F' L' R U2 F' U'
D2 F' L' R' B R2 U
D F' L' R' U R2 F
D F' L' R' U F R2
D F' L' R2 U R' F
D F' L' R2 U F R'
D F' L' U R D F
D F' L' U R D' F
D F' L' U R D2 F
D F' L' U R F D
D F' L' U R F D'
D F' L' U R F D2
D F' L' U R' F R2
D F' L' U R2 F R'
D F' L' U D R F
D F' L' U D' R F
L2 F' L' B R' B2 U
D F' L' U D2 R F
L2 F' L' B' U2 L U'
D F' L' D U R F
D F' L' D' U R F
D F' L' D2 U R F
D2 F' R L' U2 F' U'
D F' L' B U R F
D F' L' B' U R F
D F' L' B2 U R F
B D F' L' R' U R2
D2 F' R' L' B R2 U
B D F' R' L' U R2
D2 F' R' B L' R2 U
D2 F' R' B R2 L' U
D F' R' L' U R2 F
D F' R' L' U F R2
D F' R2 L' U R' F
D F' R2 L' U F R'
L' F' D L' U R2 F
L' F' D L' U F R2
L2 F' D L' B' U F
L F' D B' L' U F
D F' D2 L' U R F'
U2 F' B L R' B' U
L2 F' B L' R' B' U
U2 F' B R' L B' U
L2 F' B R' L' B' U
D F' B L' U R F
L F' B L' R' B2 U
L F' B R' L' B2 U
D F' B' L' U R F
L F' B R' B2 L' U
L2 F' B2 L' B' R' U
L F' B' L' U D F2
L F' B' L' U2 L2 U'
L F' B' L' D U F2
L F' B' L' D2 R2 U
D F' B2 L' U R F
U2 B L F' R' B' U
B D2 F' L' R' B U
B D2 F' R' L' B U
B D2 F' R' B L' U
F' B L R' B' L2 U
F' B L' R' U2 F U'
F' B R' L B' L2 U
F' B R' L' U2 F U'
U2 B F' L R' B' U
L2 B F' L' R' B' U
L2 B F' R' L' B' U
U2 B F' R' L B' U
D B F' L' U R F
L B F' L' R' B2 U
L B F' R' L' B2 U
L B F' R' B2 L' U
F' B D2 L' R' B U
F' B D2 R' L' B U
F' B D2 R' B L' U
B' F' L' U2 F L2 U'
B2 F' L B' L2 R' U
B2 F' L B' R' L2 U
B F' L R' B' L2 U
F' B' L' U2 F L2 U'
B F' L' R' U2 F U'
B F' R' L B' L2 U
B F' R' L' U2 F U'
D B' F' L' U R F
L B' F' L' U D F2
L B' F' L' U2 L2 U'
L B' F' L' D U F2
L B' F' L' D2 R2 U
B F' D2 L' R' B U
B F' D2 R' L' B U
B F' D2 R' B L' U
F' B2 L B' L2 R' U
F' B2 L B' R' L2 U
L2 B2 F' L' B' R' U
D B2 F' L' U R F
