L2 U' B L R2
L2 U' B R2 L
F' L2 U' B L R2
F' L2 U' B R2 L
F2 L2 U' B L R2
F2 L2 U' B R2 L
F L2 U' B L R2
F L2 U' B R2 L
L2 U' L B L R2
L2 U' L B R2 L
L2 U' L' B L R2
L2 U' L' B R2 L
L2 U' L2 B L R2
L2 U' L2 B R2 L
L2 U' B L R2 D
L2 U' B L R2 D'
L2 U' B L R2 D2
L2 U' B R2 L D
L2 U' B R2 L D'
L2 U' B R2 L D2
L2 U' B R2 D L
L2 U' B R2 D' L
L2 U' B R2 D2 L
L2 U' B2 R2 B' L
B2 R2 D F2 B' L
B2 R2 D B' L F2
B2 R2 D B' F2 L
B2 R2 D B' F2 L
R2 D F2 L2 B' L
L2 D' F2 U' B L
L2 F U' B L R2
L2 F U' B R2 L
L2 F' U' B L R2
L2 F' U' B R2 L
L2 F2 U' B L R2
L2 F2 U' B R2 L
U' B R2 D L F2
U' B R2 D F2 L
L2 R D B R' U' R2
L2 R B R' U' B R2
L2 R B U' R' B R2
U' L' B L R2 D F2
U' L' B R2 L D F2
U2 L' B' L' U' R2 B2
U2 L' B' L' U' B2 R2
R L2 D B R' U' R2
B' L2 R B U' B R
B L2 R B U' R B'
B L2 R B U' B' R
B2 L2 U F R U2 R
F' L2 U' L B L R2
F' L2 U' L B R2 L
F' L2 U' L' B L R2
F' L2 U' L' B R2 L
F' L2 U' L2 B L R2
F' L2 U' L2 B R2 L
F2 L2 U' L B L R2
F2 L2 U' L B R2 L
F2 L2 U' L' B L R2
F2 L2 U' L' B R2 L
F2 L2 U' L2 B L R2
F2 L2 U' L2 B R2 L
B' L2 U' R2 B L B
F L2 U' L B L R2
F L2 U' L B R2 L
F L2 U' L' B L R2
F L2 U' L' B R2 L
F L2 U' L2 B L R2
F L2 U' L2 B R2 L
B' L2 U' B L B R2
F' L2 U' B L R2 D
F' L2 U' B L R2 D'
F' L2 U' B L R2 D2
F' L2 U' B R2 L D
F' L2 U' B R2 L D'
F' L2 U' B R2 L D2
F' L2 U' B R2 D L
F' L2 U' B R2 D' L
F' L2 U' B R2 D2 L
F2 L2 U' B L R2 D
F2 L2 U' B L R2 D'
F2 L2 U' B L R2 D2
F' L2 U' B2 R2 B' L
F2 L2 U' B R2 L D
F2 L2 U' B R2 L D'
F2 L2 U' B R2 L D2
F2 L2 U' B R2 D L
F2 L2 U' B R2 D' L
F2 L2 U' B R2 D2 L
F2 L2 U' B2 R2 B' L
F L2 U' B L R2 D
F L2 U' B L R2 D'
F L2 U' B L R2 D2
F L2 U' B R2 L D
F L2 U' B R2 L D'
F L2 U' B R2 L D2
F L2 U' B R2 D L
F L2 U' B R2 D' L
F L2 U' B R2 D2 L
R L2 B R' U' B R2
F L2 U' B2 R2 B' L
R L2 B U' R' B R2
F' L2 D' F2 U' B L
F2 L2 D' F2 U' B L
L2 U L U2 B L R2
L2 U L U2 B R2 L
F L2 D' F2 U' B L
L2 U L' U2 B L R2
L2 U L' U2 B R2 L
F' L2 F U' B L R2
F' L2 F U' B R2 L
F2 L2 F U' B L R2
F2 L2 F U' B R2 L
R2 U L2 R2 U' B L
F L2 F U' B L R2
F L2 F U' B R2 L
L2 U L2 U2 B L R2
L2 U L2 U2 B R2 L
F' L2 F' U' B L R2
F' L2 F' U' B R2 L
F2 L2 F' U' B L R2
F2 L2 F' U' B R2 L
F L2 F' U' B L R2
F L2 F' U' B R2 L
U L2 F' U' L' B R2
U L2 F' U' B L' R2
U L2 F' U' B R2 L'
F' L2 F2 U' B L R2
F' L2 F2 U' B R2 L
B2 L2 F2 U' R2 B L
F2 L2 F2 U' B L R2
F2 L2 F2 U' B R2 L
F L2 F2 U' B L R2
F L2 F2 U' B R2 L
B' L2 B U' B L R2
B' L2 B U' B R2 L
R2 U R2 L2 U' B L
U' L2 B' U' B2 L R2
U' L2 B' U' B2 R2 L
B L2 B' U' B L R2
B L2 B' U' B R2 L
U' L2 B2 U' R2 B' L
U' L2 B2 U' B' L R2
U' L2 B2 U' B' R2 L
L2 U D2 L2 U2 B L
B' R L2 B U' B R
B R L2 B U' R B'
B R L2 B U' B' R
L2 U F' U2 L' B R2
L2 U F' U2 B L' R2
L2 U F' U2 B R2 L'
B R U L2 B U' R
B R U B L2 U' R
L2 U B' R2 F' L' B2
L2 U B' R2 F' B2 L'
L2 U B' R2 B2 F' L'
L2 U' L B L R2 D
L2 U' L B L R2 D'
L2 U' L B L R2 D2
L2 U' L B R2 L D
L2 U' L B R2 L D'
L2 U' L B R2 L D2
L2 U' L B R2 D L
L2 U' L B R2 D' L
L2 U' L B R2 D2 L
L2 U' L B2 R2 B' L
L2 U' L' B L R2 D
L2 U' L' B L R2 D'
L2 U' L' B L R2 D2
L2 U' L' B R2 L D
L2 U' L' B R2 L D'
L2 U' L' B R2 L D2
L2 U' L' B R2 D L
L2 U' L' B R2 D' L
L2 U' L' B R2 D2 L
L2 U' L' B2 R2 B' L
L2 U' L2 B L R2 D
L2 U' L2 B L R2 D'
L2 U' L2 B L R2 D2
L2 U' L2 B R2 L D
L2 U' L2 B R2 L D'
L2 U' L2 B R2 L D2
L2 U' L2 B R2 D L
L2 U' L2 B R2 D' L
L2 U' L2 B R2 D2 L
L2 U' L2 B2 R2 B' L
B' R B L2 U' B R
B2 R B L2 U' R B2
B2 R B L2 U' B2 R
L2 U' R2 U2 F' U2 L'
B2 R B' R D L2 F2
B2 R B' R D F2 L2
B2 R B' D L2 R F2
B2 R B' D R L2 F2
B2 R B' D R F2 L2
L2 U' D' B L D R2
L2 U' D' B D L R2
L2 U' D' B D R2 L
L2 U' D2 B D2 L R2
L2 U' D2 B D2 R2 L
L2 U' F B L F' R2
L2 U' F' B R2 F L
L' U' B L R2 D F2
L2 U' F2 B L R2 F2
L2 U' F2 B L F2 R2
L2 U' F2 B R2 L F2
L2 U' F2 B R2 F2 L
L' U' B R2 L D F2
L2 U' B L R D R
L2 U' B L R D' R
L2 U' B L R D2 R
L2 U' B L R' D R'
L2 U' B L R' D' R'
L2 U' B L R' D2 R'
L2 U' B L F' R2 F
L2 U' B L F2 R2 F2
L2 U' B L B R2 B'
L2 U' B L B2 R2 B2
L2 U' B L2 R2 D L'
L2 U' B L2 R2 D' L'
L2 U' B L2 R2 D2 L'
L2 U' B R L D R
L2 U' B R L D' R
L2 U' B R L D2 R
L2 U' B R D L R
L2 U' B R D R L
L2 U' B R D' L R
L2 U' B R D' R L
L2 U' B R D2 L R
L2 U' B R D2 R L
L2 U' B R' L D R'
L2 U' B R' L D' R'
L2 U' B R' L D2 R'
L2 U' B R' D L R'
L2 U' B R' D R' L
L2 U' B R' D' L R'
L2 U' B R' D' R' L
L2 U' B R' D2 L R'
L2 U' B R' D2 R' L
L2 U' B R2 L2 D L'
L2 U' B R2 L2 D' L'
L2 U' B R2 L2 D2 L'
L2 U' B R2 D L D
L2 U' B R2 D L D'
L2 U' B R2 D L D2
L2 U' B R2 D' L D
L2 U' B R2 D' L D'
L2 U' B R2 D' L D2
L2 U' B R2 D2 L D
L2 U' B R2 D2 L D'
L2 U' B R2 D2 L D2
L2 U' B R2 F L F'
L2 U' B R2 F2 L F2
L2 U' B D L D' R2
L2 U' B D' L D R2
L2 U' B F L F' R2
L2 U' B F' R2 F L
L2 U' B F2 L R2 F2
L2 U' B F2 L F2 R2
L2 U' B F2 R2 L F2
L2 U' B F2 R2 F2 L
L2 U' B' L B2 L R2
L2 U' B' L B2 R2 L
L2 U' B' L' B2 L R2
L2 U' B' L' B2 R2 L
L2 U' B' L2 B2 L R2
L2 U' B' L2 B2 R2 L
L2 U' B2 R B' L R
L2 U' B2 R B' R L
L2 U' B2 R2 B' L D
L2 U' B2 R2 B' L D'
L2 U' B2 R2 B' L D2
L2 U' B2 R2 B' D L
L2 U' B2 R2 B' D' L
L2 U' B2 R2 B' D2 L
L2 U2 L F U B R2
L' U2 L' B' U' R2 B2
L' U2 L' B' U' B2 R2
R2 U2 D' F' R B2 U2
R2 U2 D' F' B2 R U2
R2 U2 D' B2 F' R U2
L2 U2 F U B L R2
L2 U2 F U B R2 L
L2 U2 F' U B L R2
L2 U2 F' U B R2 L
L2 U2 F2 U B L R2
L2 U2 F2 U B R2 L
F' R2 D F2 L2 B' L
B2 R2 D F' B' L F'
B2 R2 D F2 B' L D
B2 R2 D F2 B' L D'
B2 R2 D F2 B' L D2
B2 R2 D F2 B' D L
B2 R2 D F2 B' D' L
B2 R2 D F2 B' D2 L
F2 R2 D F2 L2 B' L
B2 R2 D B' L F2 D
B2 R2 D B' L F2 D'
B2 R2 D B' L F2 D2
B2 R2 D B' L' F2 L2
B2 R2 D B' F' L F'
B2 R2 D B' F2 L D
B2 R2 D B' F2 L D'
B2 R2 D B' F2 L D2
B2 R2 D B' F2 D L
B2 R2 D B' F2 D' L
B2 R2 D B' F2 D2 L
B R2 D F D2 F L'
B R2 D F2 B' L B
B R2 D B' L F2 B
B R2 D B' L B F2
B R2 D B' F2 L B
F R2 D F2 L2 B' L
B2 R2 D' B' L2 F L'
B R2 D' F L' D2 F2
B R2 D' F D2 L' F2
B R2 D' F' D2 F2 L'
R2 D L F2 L2 B' L
R2 D L' F2 L2 B' L
B2 R2 F D F2 B' L
B2 R2 F D B' L F2
B2 R2 F D B' F2 L
R2 D L2 F2 L2 B' L
B2 R2 F' D F2 B' L
B2 R2 F' D B' L F2
B2 R2 F' D B' F2 L
B2 R2 F2 D F2 B' L
B2 R2 F2 D B' L F2
B2 R2 F2 D B' F2 L
B R2 B D F2 B' L
B R2 B D B' L F2
B R2 B D B' F2 L
B' R2 B' D F2 B' L
B' R2 B' D B' L F2
B' R2 B' D B' F2 L
R2 D R2 B R2 F2 L'
R2 D F D2 F L' B2
R2 D F D2 F B2 L'
R2 D F D2 B2 F L'
B U L2 F' U' L' R2
B U L2 F' U' R2 L'
R2 D F2 L B' L B'
R2 D F2 L2 B' L D
R2 D F2 L2 B' L D'
R2 D F2 L2 B' L D2
R2 D F2 L2 B' D L
R2 D F2 L2 B' D' L
R2 D F2 L2 B' D2 L
R2 D F2 B' L2 B' L'
R D B R' U' R2 F2
R D B R' U' F2 R2
R2 D B' L' F2 L2 B'
R2 D B' F2 L2 B' L'
L D B2 R' F' U B'
U' D F2 D' B L R2
U' D F2 D' B R2 L
L' D' L' F2 U' B L
L D' L F2 U' B L
D' U B D R2 F' L'
B U F' L2 U' L R2
B U F' L2 U' R2 L
U' D B2 U F2 B' L
U' D B2 U B' L F2
U' D B2 U B' F2 L
L2 D' U' B L D R2
L2 D' U' B D L R2
L2 D' U' B D R2 L
R2 D' U2 F' R B2 U2
R2 D' U2 F' B2 R U2
R2 D' U2 B2 F' R U2
R2 D' F L' D2 F2 B2
R2 D' F L' D2 B2 F2
R2 D' F D2 L' F2 B2
R2 D' F D2 L' B2 F2
R2 D' F D2 B2 L' F2
R2 D' F' R B2 L U2
R2 D' F' B2 R U2 R'
L2 D' F2 U' L B L
L2 D' F2 U' L' B L
L2 D' F2 U' L2 B L
L2 D' F2 U' D B L
L2 D' F2 U' D' B L
L2 D' F2 U' D2 B L
L2 D' F2 U' B L D
L2 D' F2 U' B L D'
L2 D' F2 U' B L D2
L2 D' F2 U' B D L
L2 D' F2 U' B D' L
L2 D' F2 U' B D2 L
L2 D' F2 D U' B L
L2 D' F2 D' U' B L
L2 D' F2 D2 U' B L
L D' F2 L U' B L
D' U' B L D R2 F'
U' D' B L D R2 F'
U' D' B D L R2 F'
D' U' B D L R2 F'
U' D' B D R2 L F'
D' U' B D R2 L F'
U' D' B D R2 F' L
D' U' B D R2 F' L
D U' F2 D' B L R2
D U' F2 D' B R2 L
R2 D' B2 F' R U2 R'
U D' B D R2 F' L'
D U' B2 U F2 B' L
D U' B2 U B' L F2
D U' B2 U B' F2 L
F' U' B R2 D L F2
F' U' B R2 D F2 L
F2 U' B R2 D L F2
F2 U' B R2 D F2 L
B2 U' B' R2 D F2 L'
F U' B R2 D L F2
F U' B R2 D F2 L
L2 D2 U L2 U2 B L
L2 D2 U' B D2 L R2
L2 D2 U' B D2 R2 L
L F L U' B L R2
L F L U' B R2 L
L2 F U' L B L R2
L2 F U' L B R2 L
L2 F U' L' B L R2
L2 F U' L' B R2 L
L2 F U' L2 B L R2
L2 F U' L2 B R2 L
L2 F U' B L R2 D
L2 F U' B L R2 D'
L2 F U' B L R2 D2
L2 F U' B R2 L D
L2 F U' B R2 L D'
L2 F U' B R2 L D2
