U L F B2 U2 R2
U L B2 F U2 R2
D2 L' U' F2 R B
U L' B2 U2 B R2
F R U B2 U2 R
F R U' R D2 F2
F R U' D2 R F2
R' U B2 L F U2
F R D L2 U' R
R U B2 U2 R B
U' R D2 B R F2
F R D2 U' R F2
R' U' R B R2 F'
R U' R D2 F2 B
R U' R D2 B F2
U' R B R2 F' R'
R U' D2 R F2 B
R U' D2 R B F2
R D L2 U' R B
R D2 U' R F2 B
R D2 U' R B F2
F D' R F2 L' U'
U2 B L U R2 F'
U' B R B R F'
U B2 L F U2 R2
U B2 L' U2 R2 B'
U B2 L' U2 B' R2
U B2 U2 R B R
F L R U B2 U2 R
F L R U' R D2 F2
F L R U' D2 R F2
F L R D L2 U' R
F L R D2 U' R F2
L' R U B2 U2 R B
R' L U B2 L F U2
L2 R U B2 U2 R B
L R U B2 U2 R B
L' R U' R D2 F2 B
L' R U' R D2 B F2
R' L U' R B R2 F'
R L U B2 U2 R B
L2 R U' R D2 F2 B
L2 R U' R D2 B F2
L R U' R D2 F2 B
L R U' R D2 B F2
L' R U' D2 R F2 B
L' R U' D2 R B F2
R L U' R D2 F2 B
R L U' R D2 B F2
L R U' D2 R F2 B
L R U' D2 R B F2
L2 R U' D2 R F2 B
L2 R U' D2 R B F2
R L U' D2 R F2 B
R L U' D2 R B F2
U L R2 D2 L2 F2 B'
U L R2 D2 L2 B' F2
D2 L U L F U2 F
L' R D L2 U' R B
L2 R D L2 U' R B
L R D L2 U' R B
R L D L2 U' R B
L' R D2 U' R F2 B
L' R D2 U' R B F2
L R D2 U' R F2 B
L R D2 U' R B F2
L2 R D2 U' R F2 B
L2 R D2 U' R B F2
R L D2 U' R F2 B
R L D2 U' R B F2
F L D' R F2 L' U'
U' L D2 L' F2 R B
U L D2 L2 U2 F2 B'
U L D2 L2 U2 B' F2
U L D2 F L2 B' U2
U L F L B2 U2 R2
U L F L' B2 U2 R2
U L F L2 B2 U2 R2
U L F U2 R2 D2 F2
U L F D2 L2 U2 F2
U L F B U2 R2 F'
U L F B2 L U2 R2
U L F B2 L' U2 R2
U L F B2 L2 U2 R2
U L F B2 U2 R2 D
U L F B2 U2 R2 D'
U L F B2 U2 R2 D2
U L F B2 D2 L2 U2
U2 L B L U R2 F'
U L F2 B2 U2 R2 B
U L B F U2 R2 F'
L' R' U B2 L F U2
R' L' U B2 L F U2
L R' U B2 L F U2
L2 R' U B2 L F U2
R' L' U' R B R2 F'
L' R' U' R B R2 F'
R L' U B2 U2 R B
L R' U' R B R2 F'
L2 R' U' R B R2 F'
R L' U' R D2 F2 B
R L' U' R D2 B F2
R L' U' D2 R F2 B
R L' U' D2 R B F2
U L B2 L2 U2 R2 B'
U L B2 L2 U2 B' R2
U' L B2 U2 L' R2 B'
U' L B2 U2 L' B' R2
U' L B2 U2 R2 L' B'
D2 L' R U' F2 R B
U L B2 D2 L2 U2 B'
U L B2 D2 F L2 U2
U L B2 F L U2 R2
U L B2 F L' U2 R2
U L B2 F L2 U2 R2
U L B2 F U2 R2 D
U L B2 F U2 R2 D'
U L B2 F U2 R2 D2
U L B2 F D2 L2 U2
F L' R U B2 U2 R
F L' R U' R D2 F2
F L' R U' D2 R F2
U L B2 F2 U2 R2 B
F L' R D L2 U' R
F L' R D2 U' R F2
R L' D L2 U' R B
D2 L' R' U' F2 R B
D2 L' R2 U' F2 R B
U' L' R2 D2 L F2 B'
U' L' R2 D2 L B' F2
U' L' R2 D2 F2 L B'
U L' R2 D2 F2 B' L2
U L' R2 D2 B' L2 F2
U L' R2 D2 B' F2 L2
D2 L' U L' U2 F2 B'
D2 L' U L' U2 B' F2
U L' R2 B' D2 L2 F
F' L' U R2 D2 L2 F2
F' L' U R2 D2 F2 L2
R L' D2 U' R F2 B
R L' D2 U' R B F2
F' L' U B2 U2 R2 B2
F' L' U B2 U2 B2 R2
D2 L' U' R F2 B R
D2 L' U' R B F2 R
D2 L' U' F2 R D B
D2 L' U' F2 R D' B
D2 L' U' F2 R D2 B
D2 L' U' F2 R B D
D2 L' U' F2 R B D'
D2 L' U' F2 R B D2
D2 L' U' F2 D R B
D2 L' U' F2 D' R B
D2 L' U' F2 D2 R B
D2 L' U' F2 B R B
D2 L' U' F2 B' R B
D2 L' U' F2 B2 R B
D2 L' U' B F2 R B
D2 L' U' B' F2 R B
D2 L' U' B2 F2 R B
U L' U2 R2 D2 F2 B'
U L' U2 R2 D2 B' F2
U L' U2 B R2 F' B2
U L' U2 B R2 B2 F'
F L' D' R F2 L' U'
U L' D2 L2 F U2 F
U L' F B2 U2 B R2
R' L2 U B2 L F U2
R' L2 U' R B R2 F'
R L2 U B2 U2 R B
U L' F' B2 U2 B R2
R L2 U' R D2 F2 B
R L2 U' R D2 B F2
R L2 U' D2 R F2 B
R L2 U' D2 R B F2
U2 L' B L U R2 F'
U L' F2 B2 U2 B R2
U L' B U2 R2 F' B2
U L' B U2 R2 B2 F'
R L2 D L2 U' R B
U L' B' R2 D2 L2 F
U' L' B2 R' F' U2 R'
U L' B2 L U2 B R2
U L' B2 L' U2 B R2
U L' B2 L2 U2 B R2
U L' B2 U2 B R2 D
U L' B2 U2 B R2 D'
U L' B2 U2 B R2 D2
U L' B2 U2 B' R2 B2
U L' B2 U2 B2 R2 B'
U L' B2 D2 L2 U2 B
U L' B2 F U2 B R2
U L' B2 F' U2 B R2
F L2 R U B2 U2 R
F L2 R U' R D2 F2
U L' B2 F2 U2 B R2
F L2 R U' D2 R F2
F L2 R D L2 U' R
F L2 R D2 U' R F2
R L2 D2 U' R F2 B
R L2 D2 U' R B F2
D L2 U' R D' B R2
D L2 U' R' D' R2 B
D L2 U' D' R B R
D L2 U2 B L B U
D L2 D' R U' R B
F L2 D' R F2 L' U'
D L2 D' U' R B R
D L2 D' F R U' R
R' U L F B2 L U2
L' U L F B2 U2 R2
R' U L B2 F L U2
L' U L B2 F U2 R2
L2 U L F B2 U2 R2
L U L F B2 U2 R2
L2 U L B2 F U2 R2
L U L B2 F U2 R2
D L2 D2 F R F U'
R' U L' B2 L U2 B
L' U L' B2 U2 B R2
D L2 F R U' D' R2
D L2 F R U2 B2 U
D L2 F R D' U' R2
D L2 F R D2 F2 U'
L2 U L' B2 U2 B R2
L U L' B2 U2 B R2
D L2 F D' R U' R
R U L' B2 U2 B R
D L2 F D2 R F2 U'
R' U L2 B2 L U2 B'
D L2 F' U2 L' B2 U
D L2 F' U2 B2 L' U
D L2 F' D2 F2 R U'
R' U R' D2 F2 L' B'
U2 L2 B L U R2 F'
U L2 B2 L U2 R2 B'
U L2 B2 L U2 B' R2
U L2 B2 L' F U2 R2
R' U D2 R' F2 L' B'
F R L U B2 U2 R
F R L U' R D2 F2
F R L U' D2 R F2
F R L D L2 U' R
D2 R L' U' F2 R B
F R L D2 U' R F2
F R L' U B2 U2 R
F R L' U' R D2 F2
F R L' U' D2 R F2
F R L' D L2 U' R
F R L' D2 U' R F2
R' U F B2 L F U2
F R L2 U B2 U2 R
F R L2 U' R D2 F2
F R L2 U' D2 R F2
F R L2 D L2 U' R
F R L2 D2 U' R F2
R' U F' B2 L F U2
U2 R U R D2 F2 B
U2 R U R D2 B F2
F R U L B2 U2 R
F R U L' B2 U2 R
U2 R U D2 R F2 B
U2 R U D2 R B F2
F R U L2 B2 U2 R
R' U F2 B2 L F U2
R U F2 L' B2 U2 B
F R U B2 L U2 R
F R U B2 L' U2 R
F R U B2 L2 U2 R
F R U B2 U2 R D
F R U B2 U2 R D'
F R U B2 U2 R D2
F R U B2 U2 D R
F R U B2 U2 D' R
F R U B2 U2 D2 R
F R U B2 D U2 R
F R U B2 D' U2 R
F R U B2 D2 U2 R
F R U' R U2 B2 U2
F R U' R D2 F2 D
F R U' R D2 F2 D'
F R U' R D2 F2 D2
F R U' R F D2 F2
F R U' R F' D2 F2
F R U' R F2 D2 F2
F R U' R2 D2 R' F2
F R U' R2 D2 F2 R'
F R U' D R D F2
F R U' D2 R F2 D
F R U' D2 R F2 D'
F R U' D2 R F2 D2
F R U' D2 R' F2 R2
F R U' D2 R2 F2 R'
R U F2 B2 L' U2 B'
U2 R U' B2 U2 R B
F R U' F2 D2 F2 R
U' R U2 B2 U2 R B'
U' R U2 B2 U2 B' R
F R U2 D' R2 U R'
R' U B2 L D F U2
R' U B2 L D' F U2
R' U B2 L D2 F U2
R' U B2 L F U2 D
R' U B2 L F U2 D'
R' U B2 L F U2 D2
R' U B2 L F D U2
R' U B2 L F D' U2
R' U B2 L F D2 U2
L' U B2 L F U2 R2
L' U B2 L' U2 R2 B'
L' U B2 L' U2 B' R2
F R D L2 U' R D
F R D L2 U' R D'
F R D L2 U' R D2
F R D L2 U' D R
F R D L2 U' D' R
F R D L2 U' D2 R
F R D L2 D U' R
F R D L2 D' U' R
F R D L2 D2 U' R
U' R D B R D F2
U' R D B D R F2
L2 U B2 L F U2 R2
L2 U B2 L' U2 R2 B'
L2 U B2 L' U2 B' R2
R' U B2 D L F U2
L' U B2 U2 R B R
R' U B2 D' L F U2
F R D U' R D F2
R' U B2 D2 L F U2
L U B2 L F U2 R2
R' U B2 F L F U2
L U B2 L' U2 R2 B'
L U B2 L' U2 B' R2
R' U B2 F' L F U2
R' U B2 F2 L F U2
R U B2 L' U2 R B'
R U B2 L' U2 B' R
L2 U B2 U2 R B R
L U B2 U2 R B R
U' R D' B D' R F2
R U B2 U2 R D B
R U B2 U2 R D' B
R U B2 U2 R D2 B
R U B2 U2 R B D
R U B2 U2 R B D'
R U B2 U2 R B D2
R U B2 U2 D R B
R U B2 U2 D' R B
R U B2 U2 D2 R B
R U B2 U2 B R B
R U B2 U2 B' R B
R U B2 U2 B2 R B
R U B2 D U2 R B
R U B2 D' U2 R B
R U B2 D2 U2 R B
F R D' U2 R2 U R'
R U B2 F2 L' U2 B'
F R D2 L U' R F2
U2 R D2 U R F2 B
U2 R D2 U R B F2
F R D2 L' U' R F2
F R D2 L2 U' R F2
U' R D2 B R F2 D
U' R D2 B R F2 D'
U' R D2 B R F2 D2
U' R D2 B R' F2 R2
U' R D2 B R2 F2 R'
U' R D2 B' R F2 B2
U' R D2 B' R B2 F2
U' R D2 B2 R F2 B'
U' R D2 B2 R B' F2
F R D2 U' R F2 D
F R D2 U' R F2 D'
F R D2 U' R F2 D2
F R D2 U' R' F2 R2
F R D2 U' R2 F2 R'
D' R F R F L' U'
U' R F D2 F2 B R'
U' R F D2 B R' F2
U' R F D2 B F2 R'
U' R F B R2 F' R
R' U' R F B R2 F'
L' U' R D2 B R F2
R' U' R F' B R2 F'
R' U' R F2 B R2 F'
R' U' R B R2 D F'
R' U' R B R2 D' F'
R' U' R B R2 D2 F'
R' U' R B R2 F' D
R' U' R B R2 F' D'
R' U' R B R2 F' D2
R' U' R B F R2 F'
R' U' R B F' R2 F'
R' U' R B F2 R2 F'
L' U' R B R2 F' R'
L2 U' R D2 B R F2
L2 U' R B R2 F' R'
R U' R U2 B2 U2 B'
R' U' R' U2 F' B2 U2
R' U' R' U2 B2 F' U2
L U' R D2 B R F2
R U' R D B D F2
R U' R D' B D' F2
U' R F2 D2 F2 B R
U' R F2 D2 B F2 R
R U' R D2 F2 D B
R U' R D2 F2 D' B
R U' R D2 F2 D2 B
R U' R D2 F2 B D
R U' R D2 F2 B D'
R U' R D2 F2 B D2
R U' R D2 B F2 D
R U' R D2 B F2 D'
R U' R D2 B F2 D2
R U' R F D2 F2 B
R U' R F D2 B F2
R' U' R' F D2 F2 B2
R' U' R' F D2 B2 F2
L U' R B R2 F' R'
R U' R F' D2 F2 B
R U' R F' D2 B F2
R U' R F2 D2 F2 B
R U' R F2 D2 B F2
R U' R B R2 F' R2
F R F2 U L' B2 U2
R U' R B U2 B U2
F R F2 U B2 L' U2
F R F2 U' D2 F2 R
U' R B R2 D F' R'
U' R B R2 D' F' R'
U' R B R2 D2 F' R'
U' R B R2 F R' F2
U' R B R2 F' R' D
U' R B R2 F' R' D'
U' R B R2 F' R' D2
U' R B R2 F' D R'
U' R B R2 F' D' R'
U' R B R2 F' D2 R'
U' R B R2 F2 R' F
F R F2 D2 U' F2 R
U' R B U2 B U2 R
U' R B D R2 F' R'
U' R B D' R2 F' R'
U' R B D2 R2 F' R'
U' R B F R2 F' R
R U' R' B R2 F' B
R U' R' B R2 B F'
U' R B' R' B2 R2 F'
B R B' U' R F' B
B R B' U' R B F'
U' R B2 R' B' R2 F'
R U' D R D F2 B
R U' D R D B F2
R U' D R B D F2
R' U' D2 R F2 B R2
R' U' D2 R B R2 F2
R' U' D2 R B F2 R2
U R B2 U2 L R B
U R B2 U2 R L B
R' U' D2 F2 R B R2
D2 R' L' U' F2 R B
R' U' F R B R2 F'
R U' D2 R F2 D B
R U' D2 R F2 D' B
R U' D2 R F2 D2 B
R U' D2 R F2 B D
R U' D2 R F2 B D'
R U' D2 R F2 B D2
R U' D2 R B F2 D
R U' D2 R B F2 D'
R U' D2 R B F2 D2
R U' D2 R2 F2 R' B
R U' D2 B R F2 B
R U' D2 B R B F2
R U' D2 B' R F2 B
R U' D2 B' R B F2
R U' D2 B2 R F2 B
R U' D2 B2 R B F2
R' U' F' R B R2 F'
R' U' F2 R B R2 F'
U2 R' U R B R2 F'
L' U' B R B R F'
L2 U' B R B R F'
R U' F2 D2 F2 R B
U2 R' U' B2 L F U2
L U' B R B R F'
U' R' U2 F' B2 L U2
R U' B R2 F' R' B
U' R' U2 B2 L F' U2
U' R' U2 B2 F' L U2
R' U' B2 L U2 L' B'
F2 R' D L2 U' R' B
R U' B' R B D2 F2
F R' D L2 U' R' B2
U2 R' D' R2 U R B
U' R' D2 R2 B R F2
U' R' F R' D2 F2 B2
U' R' F R' D2 B2 F2
U R' D2 F2 L' R' B'
U R' D2 F2 R' L' B'
U' R' F D2 R' F2 B2
U' R' F D2 R' B2 F2
U' R' F D2 F2 R' B2
U' R' F' B2 L U2 L'
R' U2 D' R2 U R B
U' R' B2 F' L U2 L'
U R' B2 L R F U2
U R' B2 R L F U2
D2 R2 L' U' F2 R B
