F' L' U F' R2
F' L' U F R2 F2
F' L' U F' R2 D
F' L' U F' R2 D'
F' L' U F' R2 D2
F' L' U F2 R2 F
F' L' D B2 U F'
F' L' B U F' R2
F' L' B' U F' R2
F' L' B2 U F' R2
R U' R F2 B L
R U' R B L F2
R U' R B F2 L
F2 R2 U' F L' U
F2 U' F L' U R2
F' D L' B2 U F'
L' F' L' U F' R2
L2 F' L' U F' R2
L F' L' U F' R2
D F' L' R2 B2 U
D F' L' B2 R2 U
F' D B2 L' U F'
D F' R2 L' B2 U
D F' R2 B2 L' U
D F' B2 L' R2 U
D F' B2 R2 L' U
F' B L' U F' R2
F' B' L' U F' R2
B' F' L' U F' R2
B2 F' L' U F' R2
B F' L' U F' R2
F' B2 L' U F' R2
D B2 F' L' R2 U
D B2 F' R2 L' U
L' R U' R F2 B L
L' R U' R B L F2
L' R U' R B F2 L
L2 R U' R F2 B L
L2 R U' R B L F2
L2 R U' R B F2 L
L R U' R F2 B L
L R U' R B L F2
L R U' R B F2 L
R L U' R F2 B L
R L U' R B L F2
R L U' R B F2 L
F2 L R2 D' L B' L
F2 L R2 D' B' L B'
F' L U F' R2 D' B2
B' L F' L' U F' R2
D L F' L' R2 B2 U
B2 L F' L' U F' R2
D L F' L' B2 R2 U
B L F' L' U F' R2
D L F' R2 L' B2 U
D L F' R2 B2 L' U
U L F' U F' R2 B
D L F' B2 L' R2 U
D L F' B2 R2 L' U
F L F2 L' U R2 F
F L F2 L' U F R2
F' L B L2 U F' R2
F' L B' L2 U F' R2
R L' U' R F2 B L
R L' U' R B L F2
R L' U' R B F2 L
F' L B2 L2 U F' R2
D L B2 F' L' R2 U
D L B2 F' R2 L' U
F' L' R' U R F' R2
F' L' U L' F' L R2
F' L' U L' F' R2 L
U L' R2 F2 B' D L2
F' L' U L2 F' L2 R2
F' L' U L2 F' R2 L2
U L' R2 B' F2 D L2
F' L' U R2 U2 B U2
F' L' U D F' D' R2
F' L' U D2 F' D2 R2
F' L' U F R' F2 R'
F' L' U F R2 F2 D
F' L' U F R2 F2 D'
F' L' U F R2 F2 D2
F' L' U F' R D R
F' L' U F' R D' R
F' L' U F' R D2 R
F' L' U F' R' D R'
F' L' U F' R' D' R'
F' L' U F' R' D2 R'
F' L' U F' B R2 B'
F' L' U F' B2 R2 B2
F' L' U F2 R' F R'
F' L' U F2 R2 D F
F' L' U F2 R2 D' F
F' L' U F2 R2 D2 F
F' L' U F2 R2 F D
F' L' U F2 R2 F D'
F' L' U F2 R2 F D2
F' L' U B F' R2 B'
F' L' U B2 F' R2 B2
F' L' U' L U2 F' R2
F' L' U' L' U2 F' R2
F' L' U' L2 U2 F' R2
F' L' U' D2 L2 U2 F'
F' L' U' B U2 F' R2
F' L' U' B' U2 F' R2
F' L' U' B2 U2 F' R2
F' L' U2 L U' F' R2
F' L' U2 L' U' F' R2
F' L' U2 L2 U' F' R2
F' L' U2 D' F2 U' F
F' L' U2 F U' R2 F2
F' L' U2 F U' F2 R2
F' L' U2 F2 U' R2 F
F' L' U2 F2 U' F R2
F' L' D U F' D' R2
F' L' D B2 U D F'
F' L' D B2 U D' F'
F' L' D B2 U D2 F'
F' L' D B2 U F' D
F' L' D B2 U F' D'
F' L' D B2 U F' D2
F' L' D B2 D U F'
F' L' D B2 D' U F'
F' L' D B2 D2 U F'
F' L' D' U2 F2 U' F
F' L' D2 U F' D2 R2
F' L' D2 U' L2 U2 F'
B' L' F' L' U F' R2
B2 L' F' L' U F' R2
D L' F' L' R2 B2 U
B L' F' L' U F' R2
D L' F' L' B2 R2 U
D L' F' R2 L' B2 U
D L' F' R2 B2 L' U
U L' F' U F' R2 B'
U L' F' U F' B' R2
U L' F' U B' F' R2
D L' F' B2 L' R2 U
D L' F' B2 R2 L' U
R L2 U' R F2 B L
R L2 U' R B L F2
R L2 U' R B F2 L
F' L' B U F R2 F2
F' L' B U F' R2 D
F' L' B U F' R2 D'
F' L' B U F' R2 D2
F' L' B U F2 R2 F
F' L' B D B2 U F'
F' L' B' U F R2 F2
F' L' B' U F' R2 D
F' L' B' U F' R2 D'
F' L' B' U F' R2 D2
F' L' B' U F2 R2 F
F' L' B' D B2 U F'
F' L' B2 U F R2 F2
F' L' B2 U F' R2 D
F' L' B2 U F' R2 D'
F' L' B2 U F' R2 D2
F' L' B2 U F2 R2 F
F' L' B2 D B2 U F'
D L' B2 F' L' R2 U
D L' B2 F' R2 L' U
F' L2 D L B2 U F'
R2 U L' B U' F2 B2
R2 U L' B U' B2 F2
B' L2 F' L' U F' R2
B2 L2 F' L' U F' R2
D L2 F' L' R2 B2 U
B L2 F' L' U F' R2
D L2 F' L' B2 R2 U
D L2 F' R2 L' B2 U
D L2 F' R2 B2 L' U
D L2 F' B2 L' R2 U
D L2 F' B2 R2 L' U
D' L2 F2 U2 F L' U
R U R F' L' F' B'
R U R F' L' B' F'
D L2 B2 F' L' R2 U
D L2 B2 F' R2 L' U
B' R U' R F2 B L
B' R U' R B L F2
B' R U' R B F2 L
B2 R U' R F2 B L
B2 R U' R B L F2
B2 R U' R B F2 L
B R U' R F2 B L
B R U' R B L F2
B R U' R B F2 L
U' R U' B L R F2
U' R U' B R L F2
U' R U' B R F2 L
F R U' R D' F L2
R2 U B L' U' F2 B'
R2 U B L' U' B' F2
F R U' D' R F L2
F R D' U' R F L2
R U' L R F2 B L
R U' L R B L F2
R U' L R B F2 L
F2 R F L' U F' R
R U' L' R F2 B L
R U' L' R B L F2
R U' L' R B F2 L
F R D2 B2 U' R F
R U' L2 R F2 B L
R U' L2 R B L F2
R U' L2 R B F2 L
R U' R L F2 B L
R U' R L B L F2
R U' R L B F2 L
R U' R L' F2 B L
R U' R L' B L F2
R U' R L' B F2 L
R U' R L2 F2 B L
R U' R L2 B L F2
R U' R L2 B F2 L
R U' R F' B L F'
R U' R F2 L B L
R U' R F2 L' B L
R U' R F2 L2 B L
R U' R F2 D B L
R U' R F2 D' B L
R U' R F2 D2 B L
R U' R F2 B L D
R U' R F2 B L D'
R U' R F2 B L D2
R U' R F2 B D L
R U' R F2 B D' L
R U' R F2 B D2 L
R U' R B L F2 D
R U' R B L F2 D'
R U' R B L F2 D2
R U' R B L' F2 L2
R U' R B F' L F'
R U' R B F2 L D
R U' R B F2 L D'
R U' R B F2 L D2
R U' R B F2 D L
R U' R B F2 D' L
R U' R B F2 D2 L
R U' R2 F2 R' B L
F' R' L' U R F' R2
F2 R' U' F L' U R'
R U' B L R F2 B
R U' B L R B F2
R U' B R L F2 B
R U' B R L B F2
R U' B R F2 L B
F R' D R' F B2 L
F R' D R' B2 F L
F R' D F R' B2 L
F' R' D2 L' U R' F
F' R' D2 L' U F R'
F R' D' R' F L2 B'
F R' D' F L2 R' B'
F R' D' F R' L2 B'
F2 R' F L' U F' R'
F2 R2 L D' L B' L
F2 R2 L D' B' L B'
U R2 L' F2 B' D L2
U R2 L' B' F2 D L2
F2 R2 U' F L' U D
F2 R2 U' F L' U D'
F2 R2 U' F L' U D2
F2 R2 U' F L' D U
F2 R2 U' F L' D' U
F2 R2 U' F L' D2 U
F2 R2 U' F D L' U
F2 R2 U' F D' L' U
F2 R2 U' F D2 L' U
F2 R2 D' L D' B' L
U R2 F2 L' B' D L2
F2 R2 B U' F L' U
R2 D R2 F' L' U R2
F2 R2 B' U' F L' U
F2 R2 B2 U' F L' U
D R2 B2 U2 B' R' U'
F' U L' U L F' R2
F' U L' U F' L R2
F' U L' U F' R2 L
L' D F' L' R2 B2 U
L' D F' L' B2 R2 U
L' D F' R2 L' B2 U
L' D F' R2 B2 L' U
L2 D F' L' R2 B2 U
L2 D F' L' B2 R2 U
L2 D F' R2 L' B2 U
L2 D F' R2 B2 L' U
L' D F' B2 L' R2 U
L' D F' B2 R2 L' U
L D F' L' R2 B2 U
L D F' L' B2 R2 U
L2 D F' B2 L' R2 U
L2 D F' B2 R2 L' U
L D F' R2 L' B2 U
L D F' R2 B2 L' U
L D F' B2 L' R2 U
L D F' B2 R2 L' U
L' D B2 F' L' R2 U
L' D B2 F' R2 L' U
L2 D B2 F' L' R2 U
L2 D B2 F' R2 L' U
L D B2 F' L' R2 U
L D B2 F' R2 L' U
F' U F' R' D R' B
R D' L2 U' R B L
F U F2 L' U F' R2
U2 D' F2 L2 B' R' U'
F2 U' F L' U R2 D
F2 U' F L' U R2 D'
F2 U' F L' U R2 D2
F2 U' F L' D B2 U
F2 U' F L' B U R2
F2 U' F L' B' U R2
F2 U' F L' B2 U R2
F2 U' F D L' B2 U
F2 U' F D B2 L' U
F2 U' F B L' U R2
F2 U' F B' L' U R2
F2 U' F B2 L' U R2
F U' F2 L' U F' R2
F2 U' B F L' U R2
F2 U' B' F L' U R2
F2 U' B2 F L' U R2
D' U2 F2 L2 B' R' U'
F' U2 D' F2 R U' F
D' F R F L2 B' U'
F' U2 F2 R U' R F
F U2 F2 L' U F' R2
D F R2 F2 B2 L U
D F R2 B2 L F2 U
D F R2 B2 F2 L U
R2 F U B R U' F
F' D L B2 L2 U F'
F' D L' U D' F' R2
F' D L' U F' D' R2
F' D L' D' U F' R2
F' D L' B2 U D F'
F' D L' B2 U D' F'
F' D L' B2 U D2 F'
F' D L' B2 U F' D
F' D L' B2 U F' D'
F' D L' B2 U F' D2
F' D L' B2 D U F'
F' D L' B2 D' U F'
F' D L' B2 D2 U F'
R2 F B R U' R' F
R2 F B R U' F R'
D2 F' L' U D2 F2 R
D2 F' L' U' L' B2 U2
D2 F' L' U' B2 L' U2
D' F' L' U2 L' F' U'
L' F' L' U F R2 F2
L' F' L' U F' R2 D
L' F' L' U F' R2 D'
L' F' L' U F' R2 D2
L' F' L' U F2 R2 F
D F' L R2 B2 L2 U
D2 F' L' D2 U F2 R
L' F' L' D B2 U F'
L2 F' L' U F R2 F2
L2 F' L' U F' R2 D
L2 F' L' U F' R2 D'
L2 F' L' U F' R2 D2
L2 F' L' U F2 R2 F
L' F' L' B U F' R2
L' F' L' B' U F' R2
L' F' L' B2 U F' R2
L2 F' L' D B2 U F'
D F' L B2 L2 R2 U
D F' L B2 R2 L2 U
D F' L' R B2 R U
D F' L' R2 U D' R2
D F' L' R2 D' U R2
B' D F' L' R2 B2 U
D F' L' R2 B2 U D
D F' L' R2 B2 U D'
D F' L' R2 B2 U D2
D F' L' R2 B2 D U
D F' L' R2 B2 D' U
D F' L' R2 B2 D2 U
D F' L' U D' R2 F2
D F' L' U D' F2 R2
L2 F' L' B U F' R2
B' D F' L' B2 R2 U
L2 F' L' B' U F' R2
L2 F' L' B2 U F' R2
B' D F' R2 L' B2 U
D F' L' D' U R2 F2
D F' L' D' U F2 R2
B' D F' R2 B2 L' U
B2 D F' L' R2 B2 U
B2 D F' L' B2 R2 U
U F' L' U F' R2 B'
U F' L' U F' B' R2
U F' L' U B' F' R2
L F' L' U F R2 F2
L F' L' U F' R2 D
L F' L' U F' R2 D'
L F' L' U F' R2 D2
L F' L' U F2 R2 F
D F' L' B' R2 B' U
B2 D F' R2 L' B2 U
D F' L' B2 R2 U D
D F' L' B2 R2 U D'
D F' L' B2 R2 U D2
D F' L' B2 R2 D U
D F' L' B2 R2 D' U
D F' L' B2 R2 D2 U
D F' L' B2 U D' F2
B2 D F' R2 B2 L' U
D F' L' B2 D' U F2
L F' L' D B2 U F'
B' D F' B2 L' R2 U
B' D F' B2 R2 L' U
L F' L' B U F' R2
L F' L' B' U F' R2
B2 D F' B2 L' R2 U
B2 D F' B2 R2 L' U
L F' L' B2 U F' R2
B D F' L' R2 B2 U
B D F' L' B2 R2 U
B D F' R2 L' B2 U
B D F' R2 B2 L' U
D F' R L' B2 R U
B D F' B2 L' R2 U
B D F' B2 R2 L' U
F' D B L' B U F'
D F' R B2 L' R U
D F' R B2 R L' U
D F' R2 L B2 L2 U
D F' R2 L' U D' R2
D F' R2 L' D' U R2
D F' R2 L' B2 U D
D F' R2 L' B2 U D'
D F' R2 L' B2 U D2
D F' R2 L' B2 D U
D F' R2 L' B2 D' U
D F' R2 L' B2 D2 U
F' D B2 L' U D F'
F' D B2 L' U D' F'
F' D B2 L' U D2 F'
F' D B2 L' U F' D
F' D B2 L' U F' D'
F' D B2 L' U F' D2
F' D B2 L' D U F'
F' D B2 L' D' U F'
D F' R2 D' L' U R2
F' D B2 L' D2 U F'
D F' R2 B L' B U
D F' R2 B2 L' U D
D F' R2 B2 L' U D'
D F' R2 B2 L' U D2
D F' R2 B2 L' D U
D F' R2 B2 L' D' U
D F' R2 B2 L' D2 U
B' D B2 F' L' R2 U
D F' R2 B2 D L' U
F' D B2 D L' U F'
D F' R2 B2 D' L' U
D F' R2 B2 D2 L' U
B' D B2 F' R2 L' U
F' D B2 D' L' U F'
U2 F' U F' R B R
F' D B2 D2 L' U F'
B2 D B2 F' L' R2 U
B2 D B2 F' R2 L' U
B D B2 F' L' R2 U
B D B2 F' R2 L' U
F' D' L' U D F' R2
F' D' L' U2 F2 U' F
F' D' L' D U F' R2
F' D' L' D2 B2 U F'
L' F' D L' B2 U F'
L2 F' D L' B2 U F'
D2 F' D' L' R2 B2 U
D2 F' D' L' B2 R2 U
L' F' D B2 L' U F'
D2 F' D' R2 L' B2 U
D2 F' D' R2 B2 L' U
L2 F' D B2 L' U F'
D2 F' D' B2 L' R2 U
D2 F' D' B2 R2 L' U
D2 F' D2 L' U R2 F2
D2 F' D2 L' U F2 R2
D' F' D2 L' R2 B U
L F' D L' B2 U F'
D' F' D2 R2 L' B U
D' F' D2 R2 B L' U
D F' D' L' U R2 F2
D F' D' L' U F2 R2
L F' D B2 L' U F'
L' F' B L' U F' R2
U2 F' B L U F' R2
L2 F' B L' U F' R2
L' F' B' L' U F' R2
F D' R F2 U' L2 F'
F D' R F2 U' F' L2
D F' B L' B R2 U
L2 F' B' L' U F' R2
L' F' B2 L' U F' R2
L F' B L' U F' R2
L2 F' B2 L' U F' R2
D F' B' R2 B' L' U
L F' B' L' U F' R2
D F' B2 L' R2 U D
D F' B2 L' R2 U D'
D F' B2 L' R2 U D2
D F' B2 L' R2 D U
D F' B2 L' R2 D' U
D F' B2 L' R2 D2 U
D F' B2 L' U D' F2
D F' B2 L' D' U F2
D F' B2 R2 L' U D
D F' B2 R2 L' U D'
D F' B2 R2 L' U D2
D F' B2 R2 L' D U
D F' B2 R2 L' D' U
D F' B2 R2 L' D2 U
D F' B2 R2 D L' U
D F' B2 R2 D' L' U
D F' B2 R2 D2 L' U
L F' B2 L' U F' R2
D F' B2 D' L' U F2
F' D' U2 F2 R U' F
L' F2 R2 U' F L' U
L2 F2 R2 U' F L' U
D F2 R2 F L' B2 U
D F2 R2 F B2 L' U
L F2 R2 U' F L' U
D F2 R2 B2 F L' U
L' F2 U' F L' U R2
R2 F2 U D2 B R' U'
L2 F2 U' F L' U R2
F' D2 L' U F2 R F
F' D2 L' U' L' U2 F'
R' F2 D R' B' L B2
L F2 U' F L' U R2
R2 F2 D' L B' D L2
R2 F2 D2 U B R' U'
D F2 B2 R2 F L' U
U2 B L F' U F' R2
R2 B R' U' R F2 B
R2 B R' U' R B F2
F' B L' U F R2 F2
F' B L' U F' R2 D
F' B L' U F' R2 D'
F' B L' U F' R2 D2
F' B L' U F2 R2 F
F' B L' D B2 U F'
F' B L' B U F' R2
F' B L' B' U F' R2
F' B L' B2 U F' R2
R B U' R F2 B L
R B U' R B L F2
R B U' R B F2 L
L' B F' L' U F' R2
F2 B R2 U' F L' U
R2 B F R U' R' F
R2 B F R U' F R'
U2 B F' L U F' R2
L2 B F' L' U F' R2
D B F' L' B R2 U
L B F' L' U F' R2
F2 B U' F L' U R2
F' B D L' B2 U F'
