U L B U' F B'
U L B U' B' F
F2 R2 F' R U R
F R2 F' R' U R'
F' U L' B U' B'
R F R F' U R2
R2 F' U2 L' U' R2
U2 B L U L' U2
U2 B L F2 U' R
U L D B U' F B'
U L D B U' B' F
U L D' B U' F B'
U L D' B U' B' F
U L D2 B U' F B'
U L D2 B U' B' F
U L F U F' B U'
U L F U B F' U'
U2 L F2 B L U' R
U2 L B L U L2 U2
U2 L B L U' D2 R2
U2 L B L D F2 U'
U2 L B L D2 U' R2
U L B R U' F B'
U L B R U' B' F
U L B R' U' F B'
U L B R' U' B' F
U L B R2 U' F B'
U L B R2 U' B' F
U L B U' D F B'
U L B U' D B' F
U L B U' D' F B'
U L B U' D' B' F
U L B U' D2 F B'
U L B U' D2 B' F
U L B U' F D B'
U L B U' F D' B'
U L B U' F D2 B'
U L B U' F B' D
U L B U' F B' D'
U L B U' F B' D2
U L B U' B' D F
U L B U' B' D' F
U L B U' B' D2 F
U L B U' B' F D
U L B U' B' F D'
U L B U' B' F D2
U L B D U' F B'
U L B D U' B' F
U2 L B F2 L U' R
U L B D' U' F B'
U L B D' U' B' F
U L B D2 U' F B'
U L B D2 U' B' F
U L' B U B2 U2 B
U L' B U' D2 F2 B'
U L' B U' D2 B' F2
U L' B D2 U' F2 B'
U L' B D2 U' B' F2
F' L' B2 R' B' U' R
U2 L2 D F2 B L U'
U2 L2 D B L F2 U'
U2 L2 D B F2 L U'
R' U L R F' L' F2
R2 U L F R2 D' L2
R U L D' R' F L'
R U L D' F L' R'
R U L D' F R' L'
U2 L2 D2 B L U' R2
B2 L2 F L2 R U R'
R' U L2 R F' L' F
B2 L2 F R L2 U R'
R' U L2 D2 R F' L'
R' U L2 F' L' F R
R' U R L F' L' F2
R' U R L2 F' L' F
R' U R F' L F L2
R' U R F2 L F L'
U2 L2 B L U L U2
R U R' U B L U'
U2 L2 B D L F2 U'
U2 L2 B D F2 L U'
U2 L2 B D2 L U' R2
R2 U R2 U B L U'
R U D' L R' F L'
R U D' L F L' R'
R U D' L F R' L'
R U D' R' L F L'
R' U F' L F L2 R
R' U F' L F R L2
F R U R' U B U'
L' U' L R' U F' L'
F R D' F U L' R'
F R D' F U R' L'
D2 R F R F' U R2
D' R F R F' U R2
L U' L' R' U F' L'
D R F R F' U R2
L2 U' L2 R' U F' L'
F2 R F' R F' U R2
F' R F2 R F' U R2
L' U' R' L U F' L'
R' U' R' U2 F' L' R2
R' U' R' U2 F' R2 L'
L2 U' R' L2 U F' L'
L U' R' L' U F' L'
F2 R' U D R F' L'
R' U' B U2 L R F
R' U' B U2 R L F
F' R' U2 L' B' U' R
R' U' B' R' U2 F' R2
F2 R' D U R F' L'
F R2 D F' R' B2 U
F R2 F R' F2 U R'
D' R2 F' U2 L' U' R2
D2 R2 F' U2 L' U' R2
F2 R2 F' R U R D
F2 R2 F' R U R D'
F2 R2 F' R U R D2
F2 R2 F' R U D R
F2 R2 F' R U D' R
F2 R2 F' R U D2 R
F2 R2 F' R D U R
F2 R2 F' R D' U R
F2 R2 F' R D2 U R
F2 R2 F' R B U R
F2 R2 F' R B' U R
F2 R2 F' R B2 U R
F2 R2 F' D R B2 U
F2 R2 F' D B2 R U
F2 R2 F' B R U R
F2 R2 F' B' R U R
F2 R2 F' B2 R U R
D R2 F' U2 L' U' R2
F R2 F' R' U R' D
F R2 F' R' U R' D'
F R2 F' R' U R' D2
F R2 F' R' U D R'
F R2 F' R' U D' R'
F R2 F' R' U D2 R'
F R2 F' R' D U R'
F R2 F' R' D' U R'
F R2 F' R' D2 U R'
F R2 F' D R' B2 U
F R2 F2 R' F U R'
F2 R2 B F' R U R
F2 R2 B' F' R U R
F2 R2 B2 F' R U R
D' U L B U' F B'
D' U L B U' B' F
D2 U L B U' F B'
D2 U L B U' B' F
B' U L B2 U' F B2
B' U L B2 U' B2 F
F' U L' D B U' B'
F' U L' D' B U' B'
F' U L' D2 B U' B'
D U L B U' F B'
D U L B U' B' F
F' U L' B R U' B'
F' U L' B R' U' B'
F' U L' B R2 U' B'
