B R' U L U R
B' L U R' U B2 U2
B' L U R' U' D2 F2
B' L U R' D L2 U'
B' L U R' D2 U' F2
B' L U D L2 R' U'
B' L U D R' L2 U'
B' L U D2 R' U' F2
U' L U' F B R' U2
U' L U' B R' F U2
U' L U' B F R' U2
B' L U2 B2 U L U
B' L D U L2 R' U'
B' L D U R' L2 U'
B2 L D B L F B'
B2 L D B L B' F
B' L D2 U R' U' F2
B' L D2 F2 U R' U'
B L' R' U L2 U R
B L' R' U2 R D' B2
B L' R' U2 D' R B2
B L' R' U2 D' B2 R
B L' R' D F2 L' U2
B L' R' D' U2 R B2
B L' R' D' U2 B2 R
U' L' R2 U F' B' L
U' L' R2 U B' L F'
U' L' R2 U B' F' L
U' L' U B' L D2 F2
U' L' U B' D2 L F2
U' L' U B' D2 F2 L
U' L' U' B R' U2 B2
U' L' U' B U2 B2 L
B L' D R' F2 L' U2
B L' D F2 R' U2 R
B L' D' R' U2 R B2
B L' D' R' U2 B2 R
B L' D' B2 L D2 F2
B L' D' B2 D2 L F2
B L' D' B2 D2 F2 L
B L2 R' U L' U R
B2 L2 D F B L B'
B2 L2 D B F L B'
B2 L2 F D B L B'
R2 U' L' F' R2 B' L
R2 U' L' F' B' L R2
R2 U' L' F' B' R2 L
R2 U' L' B' L F' R2
R2 U' L' B' F' L R2
R2 U' L' B' F' R2 L
B R' L' U L2 U R
B R' L' U2 R D' B2
B R' L' U2 D' R B2
B R' L' U2 D' B2 R
B R' L' D F2 L' U2
B R' L' D' U2 R B2
B R' L' D' U2 B2 R
B R' L2 U L' U R
R2 U' F' L' R2 B' L
R2 U' F' L' B' L R2
R2 U' F' L' B' R2 L
R2 U' F' R2 L' B' L
B R' U L U R D
B R' U L U R D'
B R' U L U R D2
B R' U L U D R
B R' U L U D' R
B R' U L U D2 R
B R' U L D U R
B R' U L D' U R
B R' U L D2 U R
B R' U L B U R
B R' U L B' U R
B R' U L B2 U R
B' R' U B2 R' U2 R2
B R' U D L U R
B' R' U' L R D2 F2
B' R' U' L D2 R F2
B R' U D' L U R
B R' U D2 L U R
B' R' U' R L D2 F2
B' R' U' R D2 L F2
B' R' U' R D2 F2 L
B R' U B' U R B
B' R' U' D2 L R F2
B' R' U' D2 R L F2
B' R' U' D2 R F2 L
B R' U2 R U' L U
B' R' D L2 U' L' R
B' R' D L2 U' R L'
B R' U2 B2 R D B2
B R' D U L U R
B R' D' U L U R
B' R' D2 U' L R F2
B' R' D2 U' R L F2
B' R' D2 U' R F2 L
B R' D2 U L U R
B R' F2 L' U L2 U
B R' F2 L' U2 D' B2
B R' F2 L' D F2 U2
B R' F2 L' D' U2 B2
U' R2 L' U F' B' L
U' R2 L' U B' L F'
U' R2 L' U B' F' L
B U L U' R' U2 R
B' U R' U B2 R' U2
B' U R' U' L D2 F2
B' U R' U' D2 L F2
B' U R' U' D2 F2 L
B' U R' D L2 U' L'
B' U R' D2 U' L F2
B' U R' D2 U' F2 L
B' U D L2 R' U' L'
B' U D R' L2 U' L'
B' U D2 R' U' L F2
B' U D2 R' U' F2 L
B U2 L' D' B2 L R'
B U2 L' D' B2 R' L
B2 U2 B' U L F U
B' U2 B2 R' U L U
B' D L U L R' U'
B' D L U R' L U'
B2 D L B L F B2
B2 D L B L B2 F
B' D L2 R' U' L' R
B' D L2 R' U' R L'
B' D R' L2 U' L' R
B' D R' L2 U' R L'
B D R' U L U R
U2 F B R' U' R2 U'
U2 F B R' U2 D B2
U2 F B R' D U2 B2
U2 F B R' D' F2 U2
B' D U L2 R' U' L'
B' D U R' L2 U' L'
B2 D B L D2 F2 B'
B2 D B L D2 B' F2
U2 F' B R' U L' U
B D' R' U L U R
B2 D' B D2 L F2 B'
B2 D' B D2 L B' F2
B2 D' B D2 F2 L B'
B2 D' B' R' U2 B R
B' D2 L U R' U' F2
B' D2 L F2 U R' U'
B' D2 R' U' L R F2
B' D2 R' U' R L F2
B' D2 R' U' R F2 L
B D2 R' U L U R
U2 F2 B D R' U2 B
B' D2 U R' U' L F2
B' D2 U R' U' F2 L
B' D2 F2 L U R' U'
B' D2 F2 U R' U' L
L' B R' U L U R
U2 B R' U L' U B'
L2 B R' U L U R
U2 B R' U' R U' B
U2 B R' F U' R U'
U2 B R' F' U L' U
L B R' U L U R
U B R' F' U' F U'
U2 B U2 B2 D L B'
F' B R' U L U R
F2 B R' U L U R
B F R' U L U R
U2 B F R' U' R2 U'
U2 B F R' U2 D B2
U2 B F R' D U2 B2
U2 B F R' D' F2 U2
F B R' U L U R
U2 B F' R' U L' U
U2 B F2 D R' U2 B
R' B' R' U' L F' R2
R' B' R' U' F' L R2
R' B' R' U' F' R2 L
B F' R' U L U R
B F2 R' U L U R
D' B2 D L B' L F
D B2 D L2 F L' B'
