B L R' F' U L'
B L F' R' U L'
B R' L F' U L'
B R' F' L U L2
F' B L R' U L2
F' B R' L U L2
B F' L R' U L2
B F' R' L U L2
B L R F' R2 U L'
B L R' U2 B U' L
B L R' D F' U L'
B L R' D' F' U L'
B L R' D2 F' U L'
B L R' F U' R U2
B L R' F' U L' D
B L R' F' U L' D'
B L R' F' U L' D2
B L R' F' U D L'
B L R' F' U D' L'
B L R' F' U D2 L'
B L R' F' D U L'
B L R' F' D' U L'
B L R' F' D2 U L'
B L U2 B U' L F
B L D R' F' U L'
B L D F' R' U L'
B L D' R' F' U L'
B L D' F' R' U L'
B L D2 R' F' U L'
B L D2 F' R' U L'
B L F R' U D2 L2
B L F R' U D2 L2
B L F R' U' R2 U2
B L F R' D' F2 U
B L F R' D2 U L2
B L F' R' U L' D
B L F' R' U L' D'
B L F' R' U L' D2
B L F' R' U D L'
B L F' R' U D' L'
B L F' R' U D2 L'
B L F' R' D U L'
B L F' R' D' U L'
B L F' R' D2 U L'
B L F' D R' U L'
B L F' D' R' U L'
B L F' D2 R' U L'
B L F2 R' F U L'
F' L B L R' U L
F' L B R' L U L
B L' R' F' L2 U L
B L' F' L2 R' U L
B L' F' R' L2 U L
F' L' B L R' U L'
F' L' B R' L U L'
U' L' B R' F' U B2
B R L F' R2 U L'
B R F' L R2 U L2
B R F' R2 L U L2
B R' L U2 B U' L
B R' L D F' U L'
B R' L D' F' U L'
B R' L D2 F' U L'
B R' L F U' R U2
B R' L F' U L' D
B R' L F' U L' D'
B R' L F' U L' D2
B R' L F' U D L'
B R' L F' U D' L'
B R' L F' U D2 L'
B R' L F' D U L'
B R' L F' D' U L'
B R' L F' D2 U L'
B R' L' F' L2 U L
B R' D L F' U L'
B R' D F' L U L2
B R' D' L F' U L'
B R' D' F' L U L2
B R' D2 L F' U L'
B R' D2 F' L U L2
B R' F L U' R U2
B R' F L F2 U L'
B R' F' L U L2 D
B R' F' L U L2 D'
B R' F' L U L2 D2
B R' F' L D F2 U
