U' R' F U' F2 B'
U' R' F U' B' F2
U' F R' U' F' B'
U' F R' U' B' F'
L2 F U R B' U
L2 F U B' R U
U2 L' U L B' R' F'
U2 L' U' L F R B'
U2 L' U' L F B' R
U2 L' U' L B' F R
D2 L2 F U R B' U
D' L2 F U R B' U
D2 L2 F U B' R U
D' L2 F U B' R U
F' L2 F U' F L U'
F2 L2 F U' L' F2 U'
D L2 F U R B' U
D L2 F U B' R U
U2 L2 B' R' U L2 B'
F R U' R' U2 R B'
F R U' R' U2 B' R
L U B L B' U F
U' R F R2 U' F' B'
U' R F R2 U' B' F'
U' R F U B U2 B2
U' R F U' B' D2 F2
U' R' U' F' D R2 B'
U' R' U' F' D B' R2
U' R' U' F' B' D R2
U' R' U' B' F' D R2
F R' U' D' F2 B' L'
F R' U' D' B' F2 L'
F R' U' B' D' F2 L'
U' R' D F U' F2 B'
U' R' D F U' B' F2
U' R' D' F U' F2 B'
U' R' D' F U' B' F2
F R' D' U' F2 B' L'
F R' D' U' B' F2 L'
U' R' D2 F U' F2 B'
U' R' D2 F U' B' F2
U' R' F R U' F2 B'
U' R' F R U' B' F2
U' R' F R' U' F2 B'
U' R' F R' U' B' F2
U' R' F R2 U' F2 B'
U' R' F R2 U' B' F2
U' R' F U' F2 D B'
U' R' F U' F2 D' B'
U' R' F U' F2 D2 B'
U' R' F U' F2 B' D
U' R' F U' F2 B' D'
U' R' F U' F2 B' D2
U' R' F U' B' F2 D
U' R' F U' B' F2 D'
U' R' F U' B' F2 D2
F R2 D B2 L U' B
U' R2 F R U' F' B'
U' R2 F R U' B' F'
L2 D F U R B' U
L2 D F U B' R U
U' D R' F U' F2 B'
U' D R' F U' B' F2
U' D F R' U' F' B'
U' D F R' U' B' F'
U' D' R' F U' F2 B'
U' D' R' F U' B' F2
D' U' R' F U' F2 B'
D' U' R' F U' B' F2
L2 D' F U R B' U
L2 D' F U B' R U
D2 U' R' F U' F2 B'
D2 U' R' F U' B' F2
D U' R' F U' F2 B'
D U' R' F U' B' F2
U' D' F R' U' F' B'
D' U' F R' U' F' B'
U' D' F R' U' B' F'
D' U' F R' U' B' F'
D2 U' F R' U' F' B'
D2 U' F R' U' B' F'
D U' F R' U' F' B'
D U' F R' U' B' F'
B U' R' F U' F2 B2
B U' R' F U' B2 F2
B U' F R' U' F' B2
B U' F R' U' B2 F'
F2 U' F' U2 R U B'
F' U' F2 U2 R U B'
U' D2 R' F U' F2 B'
U' D2 R' F U' B' F2
U' D2 F R' U' F' B'
U' D2 F R' U' B' F'
F' U2 L' F2 U' L B'
L2 D2 F U R B' U
L2 D2 F U B' R U
F U2 L' R U L B'
F U2 L2 R U L2 B'
F U2 R L' U L B'
F U2 R L2 U L2 B'
U2 F L' U' L F B'
U2 F L' U' L B' F
U' F R U B U2 B2
U' F R U' B' D2 F2
U' F R' U' D F' B'
U' F R' U' D B' F'
U' F R' U' D' F' B'
U' F R' U' D' B' F'
U' F R' U' D2 F' B'
U' F R' U' D2 B' F'
U' F R' U' F' D B'
U' F R' U' F' D' B'
U' F R' U' F' D2 B'
U' F R' U' F' B' D
U' F R' U' F' B' D'
U' F R' U' F' B' D2
U' F R' U' B' D F'
U' F R' U' B' D' F'
U' F R' U' B' D2 F'
U' F R' U' B' F' D
U' F R' U' B' F' D'
U' F R' U' B' F' D2
U' F R' D U' F' B'
U' F R' D U' B' F'
U' F R' D' U' F' B'
U' F R' D' U' B' F'
U' F R' D2 U' F' B'
U' F R' D2 U' B' F'
B2 U2 B U F L U'
F' U2 B' U L' F2 U'
L2 F U R D B' U
L2 F U R D' B' U
L2 F U R D2 B' U
L2 F U R B' U D
L2 F U R B' U D'
L2 F U R B' U D2
L2 F U R B' D U
L2 F U R B' D' U
L2 F U R B' D2 U
L2 F U R' B' R2 U
L2 F U D R B' U
L2 F U D B' R U
L2 F U D' R B' U
L2 F U D' B' R U
L2 F U D2 R B' U
L2 F U D2 B' R U
L2 F U B R B2 U
L2 F U B' R U D
L2 F U B' R U D'
L2 F U B' R U D2
L2 F U B' R D U
L2 F U B' R D' U
L2 F U B' R D2 U
L2 F U B' D R U
L2 F U B' D' R U
L2 F U B' D2 R U
F U2 B' U' B R U
U' F U' B' U' R' U
U' F D R' U' F' B'
U' F D R' U' B' F'
U' F D' R' U' F' B'
U' F D' R' U' B' F'
L2 F D U R B' U
L2 F D U B' R U
U' F D2 R' U' F' B'
U' F D2 R' U' B' F'
L2 F D' U R B' U
L2 F D' U B' R U
L2 F D2 U R B' U
L2 F D2 U B' R U
U2 F B L U' L' B2
U2 F B L U' B2 L'
L2 F B U R B2 U
L2 F B U B2 R U
L2 F B' U R U R'
U2 F B' U' R' U R
L2 F B2 U B R U
U' F' R' F2 U' F B'
U' F' R' F2 U' B' F
L F' U' L' F R U'
F' D' L2 F U' L U'
U2 B U F L U' B2
U2 B F L U' L' B2
U2 B F L U' B2 L'
L2 B F U R B2 U
L2 B F U B2 R U
F' B U' L' F2 U' B2
U2 B' R' U F U' F'
U2 B' U F U2 R' U
U2 B' U' R' U2 F U'
B2 F' U' L' F2 U' B
L2 B' F U R U R'
U2 B' F U' R' U R
B F' U' L' F2 U' B2
F' B2 U' L' F2 U' B
L2 B2 F U B R U
