B D R' U B R
D' L R U F' R' B'
B L D R' U B R
D L' R' U B R F
B L' D R' U B R
F L' D2 F' R U R'
F L' F' B R' U R
F L' B F' R' U R
F' L2 U R B' L U'
F' L2 U B' L R U'
F' L2 U B' R L U'
B L2 D R' U B R
F' L2 B' L R U' R'
F' L2 B' R L U' R'
D' R L U F' R' B'
D' R U D2 F' R' B
B2 R U D R' F' B
B2 R U D R' B F'
D' R U F' D2 R' B
B2 R D U R' F' B
B2 R D U R' B F'
D' R D2 U F' R' B
D R' L' U B R F
B R' U R2 D R' B
B R' U D R' B R2
D R' U D2 B R F'
D R' U B D2 R F'
B R' D U R' B R2
B R' D' L U R B'
B R' D' L U B' R
D R' D2 U B R F'
B R' D2 B' L U R
B R' D2 B2 U R B
B R' F L' F' U R
B' R2 D B2 R' U B
R D L' U R' F B
R D L' U R' B F
R D L' U F R' B
F' U L2 R B' L U'
F' U L2 B' L R U'
F' U L2 B' R L U'
F' U R L2 B' L U'
B' U D' L U' B' L'
R' D' L U R F' B'
R' D' L U R B' F'
R' D' L U B' R F'
F U' L' D2 F' R U
B U' R' F2 U L' B'
F U' D L' F' U F2
F U' D2 L' F' R U
B' U2 L F2 U' R B
B D L R' U B R
B D L' R' U B R
B D L2 R' U B R
B D R' L U B R
B D R' L' U B R
B D R' L2 U B R
B D R' U D B R
B D R' U D' B R
B D R' U D2 B R
B D R' U B R D
B D R' U B R D'
B D R' U B R D2
B D R' U B D R
B D R' U B D' R
B D R' U B D2 R
B D R' U B' R B2
B D R' U B2 R B'
B D R' D U B R
B D R' D' U B R
B D R' D2 U B R
B D R' B' U R B2
B D R' B' U B2 R
B D R' B2 U R B'
B D R' B2 U B' R
F D U' L' F' U F2
B2 D B' R' U B R
B' D B2 R' U B R
B D' L R' U R B'
B D' L R' U B' R
B D' R' L U R B'
B D' R' L U B' R
B' D' U L U' B' L'
F D2 L' F' R U R'
B D2 R' B' L U R
B D2 R' B2 U R B
F D2 U' L' F' R U
R2 B R' U D R' B
R2 B R' D U R' B
B2 D2 B' L R' U R
B2 D2 B' R' L U R
B' D2 B2 R' U R B
R' B D R' U B R2
L' B D R' U B R
L2 B D R' U B R
B F L' F' R' U R
R2 B D R' B2 U B'
F B L' F' R' U R
L B D R' U B R
B F U' L' F' R' U
F B U' L' F' R' U
R2 B' D B2 R' U B
U B' D' L U' B' L'
