R' L F U R2 B'
R' L F U B' R2
L R' F U R2 B'
L R' F U B' R2
R' U R2 B L B'
R' U B L R2 B'
R' U B L B' R2
R' U B R2 L B'
D2 R' U B L R2
D2 R' U B R2 L
F' L R' F U R B'
F' L R' F U B' R
D2 L R' F U B R2
U2 L R' F' U R2 B'
U2 L R' F' U B' R2
D L R' F L' U R2
L R U' R2 F U B'
R L U' R2 F U B'
L R U' F R2 U B'
R L U' F R2 U B'
R' L D F B2 U B
R' L D B2 F U B
L2 R D' L' F2 B' L
L2 R D' L' B' L F2
L2 R D' L' B' F2 L
L2 R D' F2 L' B' L
R' L F U R B' R
R' L F U R2 D B'
R' L F U R2 D' B'
R' L F U R2 D2 B'
R' L F U R2 B' D
R' L F U R2 B' D'
R' L F U R2 B' D2
R' L F U B R2 B2
R' L F U B' R2 D
R' L F U B' R2 D'
R' L F U B' R2 D2
L R F R2 U R2 B'
L R F R2 U B' R2
R' L F D B2 U B
R L F R2 U R2 B'
R L F R2 U B' R2
R' L F B U R2 B2
R' L F B U B2 R2
R' L F B2 U B R2
L R F' D' F2 B' L2
L R F' D' B' L2 F2
L R F' D' B' F2 L2
R L F' D' F2 B' L2
R L F' D' B' L2 F2
R L F' D' B' F2 L2
L R F' B' D' L2 F2
L R F' B' D' F2 L2
R L F' B' D' L2 F2
R L F' B' D' F2 L2
F' L F R' U R2 B'
F' L F R' U B' R2
R' L B F U R2 B2
R' L B F U B2 R2
L R B' U' R2 F U
L R B' U' F R2 U
R L B' U' R2 F U
R L B' U' F R2 U
L R B' F' D' L2 F2
L R B' F' D' F2 L2
R L B' F' D' L2 F2
R L B' F' D' F2 L2
R' L B2 F U B R2
U' L B' D' R F' L'
L R' D F B2 U B
L R' D B2 F U B
L R' F U R B' R
L R' F U R2 D B'
L R' F U R2 D' B'
L R' F U R2 D2 B'
L R' F U R2 B' D
L R' F U R2 B' D'
L R' F U R2 B' D2
L R' F U B R2 B2
L R' F U B' R2 D
L R' F U B' R2 D'
L R' F U B' R2 D2
L R' F D B2 U B
L R' F B U R2 B2
L R' F B U B2 R2
L R' F B2 U B R2
L R' B F U R2 B2
L R' B F U B2 R2
L R' B2 F U B R2
B2 L' B' L2 U' R B'
B2 L' B' L2 U' B' R
R L2 D' L' F2 B' L
R L2 D' L' B' L F2
R L2 D' L' B' F2 L
R L2 D' F2 L' B' L
R' U L R2 B L B2
R' U L B L R2 B2
R' U L B L B2 R2
R' U L B R2 L B2
R' U R B L R B'
R' U R B L B' R
R' U R B R L B'
R' U R' D2 R' B L
R' U R' B L B' R'
R' U R2 L B L B2
L U R' F U R2 B'
L U R' F U B' R2
R' U R2 B L D B'
R' U R2 B L D' B'
R' U R2 B L D2 B'
R' U R2 B L B' D
R' U R2 B L B' D'
R' U R2 B L B' D2
R' U R2 B2 L B' L
R' U B L R B' R
R' U B L R2 D B'
R' U B L R2 D' B'
R' U B L R2 D2 B'
R' U B L R2 B' D
R' U B L R2 B' D'
R' U B L R2 B' D2
R' U B L B R2 B2
R' U B L B' R2 D
R' U B L B' R2 D'
R' U B L B' R2 D2
R' U B R L B' R
R' U B R2 L D B'
R' U B R2 L D' B'
R' U B R2 L D2 B'
R' U B R2 L B' D
R' U B R2 L B' D'
R' U B R2 L B' D2
R' U B2 L R2 B' L
R' U B2 L B' L R2
R' U B2 L B' R2 L
R' U B2 R2 L B' L
R' U B2 R2 B' L B'
R' U' L B' R2 F' L'
R' U' L' F R U2 R
L U' R' F U R2 B'
L U' R' F U B' R2
U R B L D' F2 B'
U R B L D' B' F2
U R B L B' D' F2
D2 R' L F U B R2
F' R' L F U R B'
F' R' L F U B' R
U2 R' L F' U R2 B'
U2 R' L F' U B' R2
D R' L F L' U R2
D2 R' U L B L R2
D2 R' U L B R2 L
D2 R' U L' B L R2
D2 R' U L' B R2 L
D2 R' U L2 B L R2
D2 R' U L2 B R2 L
D2 R' U B L R2 D
D2 R' U B L R2 D'
D2 R' U B L R2 D2
D2 R' U B R2 L D
D2 R' U B R2 L D'
D2 R' U B R2 L D2
D2 R' U B R2 D L
D2 R' U B R2 D' L
D2 R' U B R2 D2 L
D2 R' U B2 R2 B' L
F2 R' U' L' F R U2
D2 R' F U B L R2
D2 R' F U B R2 L
D2 R' F' U B L R2
D2 R' F' U B R2 L
U2 R' F' L U R2 B'
U2 R' F' L U B' R2
D2 R' F2 U B L R2
D2 R' F2 U B R2 L
D' R' B' L F U R2
L U2 R' F U R2 B'
L U2 R' F U B' R2
U R' B U L R2 B'
U R' B U L B' R2
U R' B U R2 L B'
R' D L F L' B2 U
R' D L F B2 L' U
R' D L B2 F L' U
L D R' F U R2 B'
L D R' F U B' R2
R' D B2 L F L' U
L D' R' F U R2 B'
L D' R' F U B' R2
R2 D2 R U R2 B L
L D2 R' F U R2 B'
L D2 R' F U B' R2
D2 U2 R' F' U B R2
U2 D2 R' F' U B R2
R' F L F U R2 B'
R' F L F U B' R2
R' F U R2 B L B'
R' F U B L R2 B'
R' F U B L B' R2
R' F U B R2 L B'
L F D R' B U B2
R' F' L F U R2 B'
R' F' L F U B' R2
R' F' U R2 B L B'
R' F' U B L R2 B'
R' F' U B L B' R2
R' F' U B R2 L B'
R' F2 L F U R2 B'
R' F2 L F U B' R2
R' F2 U R2 B L B'
R' F2 U B L R2 B'
R' F2 U B L B' R2
R' F2 U B R2 L B'
F D2 R' U B L R'
F D2 R' U B R' L
R' B L F U R2 B'
R' B L F U B' R2
U B L B' R D' F2
R' B U R2 B L B'
R' B U B L R2 B'
R' B U B L B' R2
R' B U B R2 L B'
U B U' L R F B'
U B U' L R B' F
U B U' L B' R F
U B U' R L F B'
U B U' R L B' F
R' B' L F U R2 B'
R' B' L F U B' R2
R' B' U R2 B L B'
R' B' U B L R2 B'
R' B' U B L B' R2
R' B' U B R2 L B'
L B' D' R F' D' L2
R' B2 L F U R2 B'
R' B2 L F U B' R2
U B2 L U' R B' L
U B2 L U' B' L R
U B2 L U' B' R L
R' B2 U R2 B L B'
R' B2 U B L R2 B'
R' B2 U B L B' R2
R' B2 U B R2 L B'
