R' L U D2 F' R2
R' L U F' D2 R2
L R U D2 R2 F'
R' L U' L2 U2 F'
R L U D2 R2 F'
L R U' L2 B U2
R L U' L2 B U2
L R U' B L2 U2
R L U' B L2 U2
R' L D' B2 U F'
R' L D2 U F' R2
L R D2 U R2 F'
R L D2 U R2 F'
L R' U D2 F' R2
L R' U F' D2 R2
L R' U' L2 U2 F'
L R' D' B2 U F'
L R' D2 U F' R2
L D' R' B2 U F'
L D' B2 R' U F'
L D2 R' U F' R'
D2 L R U D2 R2 F'
D' L R U D2 R2 F'
D2 L R U' L2 B U2
D' L R U' L2 B U2
D2 L R U' B L2 U2
D' L R U' B L2 U2
D L R U D2 R2 F'
D L R U' L2 B U2
D L R U' B L2 U2
R2 L U R D2 F' R2
R2 L U R F' D2 R2
R' L U R2 D2 R2 F'
R2 L U R' D2 R2 F'
D2 L R D2 U R2 F'
D' L R D2 U R2 F'
R' L U D' F' D' R2
L R U R2 D2 F' R2
L R U R2 F' D2 R2
R' L U D2 F R2 F2
D L R D2 U R2 F'
R' L U D2 F' R2 D
R' L U D2 F' R2 D'
R' L U D2 F' R2 D2
R' L U D2 F2 R2 F
R' L U F' R D2 R2
R' L U F' R' D2 R2
R' L U F' R2 D2 R2
L R U D2 R2 D F'
L R U D2 R2 D' F'
L R U D2 R2 D2 F'
L R U D2 R2 F' D
L R U D2 R2 F' D'
L R U D2 R2 F' D2
L R U D2 F R2 F'
L R U D2 F' R2 F'
R' L U F' U2 L2 U2
R L U R2 D2 F' R2
L R U D2 F2 R2 F'
R L U R2 F' D2 R2
R' L U F' D2 R2 D
R' L U F' D2 R2 D'
R' L U F' D2 R2 D2
L R U F D2 R2 F'
R' L U F2 D2 R2 F
R' L U F2 D2 F R2
L R U F' D2 R2 F'
R L U D2 R2 D F'
R L U D2 R2 D' F'
R L U D2 R2 D2 F'
R L U D2 R2 F' D
R L U D2 R2 F' D'
R L U D2 R2 F' D2
R L U D2 F R2 F'
R L U D2 F' R2 F'
R L U D2 F2 R2 F'
L R U F2 D2 R2 F'
D2 L R' U D2 F' R2
D' L R' U D2 F' R2
D' L R' U F' D2 R2
D2 L R' U F' D2 R2
R L U F D2 R2 F'
D2 L R' U' L2 U2 F'
D' L R' U' L2 U2 F'
R L U F' D2 R2 F'
D L R' U D2 F' R2
D L R' U F' D2 R2
D L R' U' L2 U2 F'
R L U F2 D2 R2 F'
R' L U' L2 U2 D F'
R' L U' L2 U2 D' F'
R' L U' L2 U2 D2 F'
R' L U' L2 U2 F' D
R' L U' L2 U2 F' D'
R' L U' L2 U2 F' D2
R' L U' L2 D U2 F'
R' L U' L2 D' U2 F'
R' L U' L2 D2 U2 F'
R' L U' L2 B U2 F'
R' L U' L2 B' U2 F'
R' L U' L2 B2 U2 F'
D' L R' D' B2 U F'
D2 L R' D' B2 U F'
L R U' L' B L' U2
D' L R' D2 U F' R2
D2 L R' D2 U F' R2
L R U' L2 D B U2
L R U' L2 D' B U2
L R U' L2 D2 B U2
L R U' L2 B U2 D
L R U' L2 B U2 D'
L R U' L2 B U2 D2
L R U' L2 B D U2
L R U' L2 B D' U2
L R U' L2 B D2 U2
D L R' D' B2 U F'
D L R' D2 U F' R2
R L U' L' B L' U2
R L U' L2 D B U2
R L U' L2 D' B U2
R L U' L2 D2 B U2
R L U' L2 B U2 D
R L U' L2 B U2 D'
R L U' L2 B U2 D2
R L U' L2 B D U2
R L U' L2 B D' U2
R L U' L2 B D2 U2
F2 L R' F2 U R2 F
F2 L R' F2 U F R2
L R U' D2 B U2 R2
R' L U' B L2 U2 F'
R' L U' B' L2 U2 F'
R L U' D2 B U2 R2
R' L U' B2 L2 U2 F'
L R U' B L2 U2 D
L R U' B L2 U2 D'
L R U' B L2 U2 D2
L R U' B L2 D U2
L R U' B L2 D' U2
L R U' B L2 D2 U2
L R U' B U2 D2 R2
L R U' B D2 U2 R2
L R U' B' L2 B2 U2
L R U' B2 L2 U2 F
R L U' B L2 U2 D
R L U' B L2 U2 D'
R L U' B L2 U2 D2
R L U' B L2 D U2
R L U' B L2 D' U2
R L U' B L2 D2 U2
R L U' B U2 D2 R2
R L U' B D2 U2 R2
R L U' B' L2 B2 U2
R L U' B2 L2 U2 F
R' L U2 D F2 U' F
U2 L U L2 B' U2 B
R' L D U2 F2 U' F
U2 L U' L2 U2 L2 F
U2 L U' L2 B' U2 L2
U L U' L2 U2 L F
U2 L U' D2 F R2 B
U2 L U' F D2 R2 B
R' L D' U F' D' R2
L R D' R2 B2 U F'
R L D' R2 B2 U F'
R' L D' B2 U D F'
R' L D' B2 U D' F'
R' L D' B2 U D2 F'
R' L D' B2 U F' D
R' L D' B2 U F' D'
R' L D' B2 U F' D2
R' L D' B2 D U F'
R' L D' B2 D' U F'
R' L D' B2 D2 U F'
L R D' B2 U' B' U2
R L D' B2 U' B' U2
L R D2 R U R F'
R' L D2 U F R2 F2
R' L D2 U F' R2 D
R' L D2 U F' R2 D'
R' L D2 U F' R2 D2
R' L D2 U F2 R2 F
R L D2 R U R F'
L R D2 U R2 D F'
L R D2 U R2 D' F'
L R D2 U R2 D2 F'
L R D2 U R2 F' D
L R D2 U R2 F' D'
L R D2 U R2 F' D2
L R D2 U F R2 F'
L R D2 U F' R2 F'
L R D2 U F2 R2 F'
L R D2 U' B U2 R2
R L D2 U R2 D F'
R L D2 U R2 D' F'
R L D2 U R2 D2 F'
R L D2 U R2 F' D
R L D2 U R2 F' D'
R L D2 U R2 F' D2
R L D2 U F R2 F'
R L D2 U F' R2 F'
R L D2 U F2 R2 F'
R' L D2 B U F' R2
R L D2 U' B U2 R2
R' L D2 B' U F' R2
R' L D2 B2 U F' R2
D' L D' R' B2 U F'
D2 L D' R' B2 U F'
D L D' R' B2 U F'
D' L D' B2 R' U F'
D2 L D' B2 R' U F'
D L D' B2 R' U F'
D' L D2 R' U F' R'
D2 L D2 R' U F' R'
D L D2 R' U F' R'
U2 L D2 U' F R2 B
L' R B U L2 U L2
R' L B U D2 F' R2
R' L B U F' D2 R2
R' L B U' L2 U2 F'
R' L B D' B2 U F'
R' L B D2 U F' R2
R' L B' U D2 F' R2
R' L B' U F' D2 R2
R' L B' U' L2 U2 F'
L R B' U D2 R2 F2
L R B' U D2 F2 R2
L R B' U' L2 B2 U2
R L B' U D2 R2 F2
R L B' U D2 F2 R2
L R B' U' B2 L2 U2
R' L B' D' B2 U F'
R L B' U' L2 B2 U2
R' L B' D2 U F' R2
R L B' U' B2 L2 U2
L R B' D' R2 B2 U
L R B' D' B2 R2 U
L R B' D2 U R2 F2
L R B' D2 U F2 R2
R L B' D' R2 B2 U
R L B' D' B2 R2 U
R L B' D2 U R2 F2
R L B' D2 U F2 R2
R' L B2 U D2 F' R2
R' L B2 U F' D2 R2
R' L B2 U' L2 U2 F'
L R B2 U' L2 U2 F
L R B2 U' B' L2 U2
R' L B2 D' B2 U F'
R L B2 U' L2 U2 F
R' L B2 D2 U F' R2
R L B2 U' B' L2 U2
L' R' U L2 U L2 F'
R' L' U L2 U L2 F'
L' R' U L2 U F' L2
R' L' U L2 U F' L2
L R' U R2 D2 R2 F'
L R' U D' F' D' R2
L R' U D2 F R2 F2
L R' U D2 F' R2 D
L R' U D2 F' R2 D'
L R' U D2 F' R2 D2
L R' U D2 F2 R2 F
L R' U F' R D2 R2
L R' U F' R' D2 R2
L R' U F' R2 D2 R2
L R' U F' U2 L2 U2
L R' U F' D2 R2 D
L R' U F' D2 R2 D'
L R' U F' D2 R2 D2
L R' U F2 D2 R2 F
L R' U F2 D2 F R2
L R' U' L2 U2 D F'
L R' U' L2 U2 D' F'
L R' U' L2 U2 D2 F'
L R' U' L2 U2 F' D
L R' U' L2 U2 F' D'
L R' U' L2 U2 F' D2
L R' U' L2 D U2 F'
L R' U' L2 D' U2 F'
L R' U' L2 D2 U2 F'
L R' U' L2 B U2 F'
L R' U' L2 B' U2 F'
L R' U' L2 B2 U2 F'
L R' U' B L2 U2 F'
L R' U' B' L2 U2 F'
L R' U' B2 L2 U2 F'
L R' U2 D F2 U' F
F2 L' R D' B2 L2 F
L R' D U2 F2 U' F
L R' D' U F' D' R2
L R' D' B2 U D F'
L R' D' B2 U D' F'
L R' D' B2 U D2 F'
L R' D' B2 U F' D
L R' D' B2 U F' D'
L R' D' B2 U F' D2
L R' D' B2 D U F'
L R' D' B2 D' U F'
L R' D' B2 D2 U F'
U' L' U L2 R' U F'
U' L' U R' L2 U F'
U L' U L2 U L' F
L R' D2 U F R2 F2
L R' D2 U F' R2 D
L R' D2 U F' R2 D'
L R' D2 U F' R2 D2
L R' D2 U F2 R2 F
L R' D2 B U F' R2
L R' D2 B' U F' R2
L R' D2 B2 U F' R2
F2 L' D' R B2 L2 F
L R' B U D2 F' R2
L R' B U F' D2 R2
L R' B U' L2 U2 F'
R L' B U L2 U L2
L R' B D' B2 U F'
L R' B D2 U F' R2
L R' B' U D2 F' R2
L R' B' U F' D2 R2
L R' B' U' L2 U2 F'
L R' B' D' B2 U F'
L R' B' D2 U F' R2
L2 R' B2 L' U F' R'
L R' B2 U D2 F' R2
L R' B2 U F' D2 R2
L R' B2 U' L2 U2 F'
L R' B2 D' B2 U F'
L R' B2 D2 U F' R2
L R2 U R D2 F' R2
L R2 U R F' D2 R2
L R2 U R' D2 R2 F'
U' L' B' U L2 R' U
U' L' B' U R' L2 U
R' L2 B2 L' U F' R'
L' U L2 U L F L
L' U L2 F R U L2
D2 R L U D2 R2 F'
D2 R L U' L2 B U2
D' R L U D2 R2 F'
D2 R L U' B L2 U2
D' R L U' L2 B U2
D' R L U' B L2 U2
D2 R L D2 U R2 F'
D' R L D2 U R2 F'
D R L U D2 R2 F'
D R L U' L2 B U2
D R L U' B L2 U2
D R L D2 U R2 F'
L' U F L2 R U L2
L' U F R L2 U L2
F2 R L' D' B2 L2 F
B' R U' L' B U2 B2
B' R U' B L' U2 B'
R' U' L' U L2 U F'
R' U' L' U2 D' F' B2
R' U' L' U2 D' B2 F'
R' U' L' U2 F' D' B2
R' U' L' D F2 U2 F
R' U' L' D' U2 F' B2
R' U' L' D' U2 B2 F'
R U' L' D F2 B U2
R U' L' D B F2 U2
R U' L' D' B U2 B
R U' L' B U L2 U
R U' L' B U2 D' B2
R U' L' B D F2 U2
R U' L' B D' U2 B2
L U' L2 U R' U F'
L U' L2 U' L U' F
L U' L2 B U' L U'
L U' L2 B' U R' U
D2 R' L U D2 F' R2
D2 R' L U F' D2 R2
D' R' L U D2 F' R2
D' R' L U F' D2 R2
D2 R' L U' L2 U2 F'
D' R' L U' L2 U2 F'
D2 R' L D' B2 U F'
D' R' L D' B2 U F'
D2 R' L D2 U F' R2
D' R' L D2 U F' R2
D R' L U D2 F' R2
D R' L U F' D2 R2
D R' L U' L2 U2 F'
D R' L D' B2 U F'
D R' L D2 U F' R2
F2 R' L F2 U R2 F
F2 R' L F2 U F R2
B2 R' U L' U2 L F'
B2 R' U L' U2 F' L
B' R' U F2 R F B
B' R' U F2 R B F
B' R' U' L' U2 F' B'
B' R' U' L' U2 B' F'
L U' B L2 U' L' U'
R U' B D L' F U2
L U' B' L2 U R' U
L U2 L' U B' L' U2
L U2 D L F2 U' F'
L U2 D F2 L U' F
L U2 D2 L U' R2 F
L U2 D2 L U' F R2
B' R2 U F2 R F' B
B' R2 U F2 R B F'
R' D L U D2 F' R2
R' D L U F' D2 R2
R' D L U' L2 U2 F'
R' D L D' B2 U F'
R' D L D2 U F' R2
R D L U D2 R2 F'
R D L U' L2 B U2
R D L U' B L2 U2
R D L D2 U R2 F'
L D R U D R2 F'
L D R D U R2 F'
