L2 B' R' U' F'
R' L' U' F' L' B'
L' R' U' F' L' B'
B' L' R' U' F' L'
B' L2 R' B' U' F'
D' L2 B' R' U' F'
D2 L2 B' R' U' F'
D L2 B' R' U' F'
B' R' L' U' F' L'
B' R' L2 B' U' F'
B' R' U' F' D' L2
B' R' U2 F U F2
L2 D B' R' U' F'
L2 D' B' R' U' F'
L2 D2 B' R' U' F'
B U2 F L U F
L2 B' L R' U' F'
L2 B' L' R' U' F'
L' B' R' U' F' L'
L2 B' L2 R' U' F'
L2 B' R' L U' F'
L2 B' R' L' U' F'
L2 B' R' L2 U' F'
L2 B' R' U' D F'
L2 B' R' U' D' F'
L2 B' R' U' D2 F'
L2 B' R' U' F' D
L2 B' R' U' F' D'
L2 B' R' U' F' D'
L2 B' R' U' F' D2
L2 B' R' D U' F'
L2 B' R' D' U' F'
L2 B' R' D2 U' F'
L2 B' D R' U' F'
L2 B' D' R' U' F'
L2 B' D2 R' U' F'
U2 L U D F L' B'
U2 L D U F L' B'
B' L D2 R' B U' F'
U2 L F' L' F U F
L2 R B' R' U B2 U2
L2 R B' R' U' D2 F2
L2 R B' R' D L2 U'
L2 R B' R' D2 U' F2
L2 R B' D L2 R' U'
L2 R B' D R' L2 U'
L2 R B' D2 R' U' F2
L' R' U' L' F' B' L'
R' L' U' L' F' B' L'
L' R' U' L' B' F' L'
R' L' U' L' B' F' L'
R' L' U' D F' L' B'
L' R' U' D F' L' B'
R' L' U' D' F' L' B'
L' R' U' D' F' L' B'
R' L' U' D2 F' L' B'
L' R' U' D2 F' L' B'
R' L' U' F' L' D B'
R' L' U' F' L' D' B'
R' L' U' F' L' D2 B'
R' L' U' F' L' B' D
R' L' U' F' L' B' D'
R' L' U' F' L' B' D2
L' R' U' F' L' D B'
L' R' U' F' L' D' B'
L' R' U' F' L' D2 B'
L' R' U' F' L' B' D
L' R' U' F' L' B' D'
L' R' U' F' L' B' D2
R' L' U' F' D L' B'
R' L' U' F' D' L' B'
L' R' U' F' D L' B'
R' L' U' F' D2 L' B'
L' R' U' F' D' L' B'
R' L' U' F' B L' B'
L' R' U' F' D2 L' B'
R' L' U' F' B' L' B'
L' R' U' F' B L' B'
R' L' U' F' B2 L' B'
L' R' U' F' B' L' B'
L' R' U' F' B2 L' B'
R' L' U' B F' L' B'
L' R' U' B F' L' B'
R' L' U' B' F' L' B'
L' R' U' B' F' L' B'
R' L' U' B2 F' L' B'
L' R' U' B2 F' L' B'
R' L' D U' F' L' B'
L' R' D U' F' L' B'
D2 L' R' U' F' L' B'
D' L' R' U' F' L' B'
B' L' R' U' L F' L'
B' L' R' U' L' F' L'
B' L' R' U' L2 F' L'
B' L' R' U' D F' L'
B' L' R' U' D' F' L'
B' L' R' U' D2 F' L'
B' L' R' U' F' L' D
B' L' R' U' F' L' D'
B' L' R' U' F' L' D2
B' L' R' U' F' D L'
B' L' R' U' F' D' L'
B' L' R' U' F' D2 L'
D L' R' U' F' L' B'
B' L' R' D U' F' L'
B' L' R' D' U' F' L'
B' L' R' D2 U' F' L'
B' L' R' B U' F' L'
B' L' R' B' U' F' L'
B' L' R' B2 U' F' L'
R' L' D' U' F' L' B'
L' R' D' U' F' L' B'
R' L' D2 U' F' L' B'
L' R' D2 U' F' L' B'
B' L' D R' U' F' L'
B' L' D' R' U' F' L'
B' L' D2 R' U' F' L'
B2 L' B R' U' F' L'
D' L' B' R' U' F' L'
D2 L' B' R' U' F' L'
D L' B' R' U' F' L'
L2 R2 D B' L R' U'
L2 R2 D B' R' L U'
R2 L2 D B' L R' U'
R2 L2 D B' R' L U'
B' L2 R' D B' U' F'
B' L2 R' D' B' U' F'
B' L2 R' D2 B' U' F'
B' L2 R' B' L U' F'
B' L2 R' B' L' U' F'
B' L2 R' B' L2 U' F'
B' L2 R' B' U' D F'
B' L2 R' B' U' D' F'
B' L2 R' B' U' D2 F'
B' L2 R' B' U' F' D
B' L2 R' B' U' F' D'
B' L2 R' B' U' F' D2
B' L2 R' B' D U' F'
B' L2 R' B' D' U' F'
B' L2 R' B' D2 U' F'
B' L2 R2 B' R U' F'
L2 R2 B' R' U B U2
R2 L2 B' R' U B U2
B' L2 D R' B' U' F'
R L2 B' R' U B2 U2
R L2 B' R' U' D2 F2
R L2 B' R' D L2 U'
R L2 B' R' D2 U' F2
R L2 B' D L2 R' U'
R L2 B' D R' L2 U'
D2 L2 D B' R' U' F'
R L2 B' D2 R' U' F2
D' L2 D B' R' U' F'
D L2 D B' R' U' F'
B' L2 D' R' B' U' F'
D2 L2 D' B' R' U' F'
D' L2 D' B' R' U' F'
D L2 D' B' R' U' F'
B' L2 D2 R' B' U' F'
D2 L2 D2 B' R' U' F'
D' L2 D2 B' R' U' F'
D L2 D2 B' R' U' F'
B2 L2 B R' B2 U' F'
D2 L2 B' L R' U' F'
D' L2 B' L R' U' F'
D2 L2 B' L' R' U' F'
D' L2 B' L' R' U' F'
D2 L2 B' L2 R' U' F'
D' L2 B' L2 R' U' F'
