B2 L F' R U L
B2 L F2 U L F
B2 F' L R U L
B2 F' R L U L
F' B2 L R U L
B2 F2 L U L F
F2 B2 L U L F
F' B2 R L U L
B2 L R F' R U L
B2 L R F2 U L F
B2 L R' F' R U L
B2 L R' F2 U L F
B2 L R2 F' R U L
B2 L R2 F2 U L F
B2 L U L2 D' L' F
B2 L U D' L' F L2
B2 L U F L D F2
B2 L D R U L F'
B2 L D R U F' L
B2 L D' U L' F L2
B2 L F U L D F2
B2 L F U2 L' U' L2
B2 L F' R U L D
B2 L F' R U L D'
B2 L F' R U L D2
B2 L F' R U D L
B2 L F' R U D' L
B2 L F' R U D2 L
B2 L F' R D U L
B2 L F' R D' U L
B2 L F' R D2 U L
B2 L F' R F U L
B2 L F' R F' U L
B2 L F' R F2 U L
B2 L F' D R U L
B2 L F' D' R U L
B2 L F' D2 R U L
B2 L F2 R U L F
B2 L F2 R' U L F
B2 L F2 R2 U L F
B2 L F2 U L D F
B2 L F2 U L D' F
B2 L F2 U L D2 F
B2 L F2 U L F D
B2 L F2 U L F D'
B2 L F2 U L F D2
B2 L F2 U D L F
B2 L F2 U D' L F
B2 L F2 U D2 L F
B2 L F2 U F L F
B2 L F2 U F' L F
B2 L F2 U F2 L F
B2 L F2 D U L F
B2 L F2 D' U L F
B2 L F2 D2 U L F
R' L' U' D' L' R2 F
R' L' U' D' L' F R2
L' R' U' D' L' R2 F
L' R' U' D' L' F R2
R' L' U' D' R2 L' F
L' R' U' D' R2 L' F
F L' R' U' L' D' R2
F L' R' U' D' L' R2
F L' R' U' D' R2 L'
F L' R' U2 B2 U L'
F L' R' D' U' L' R2
F L' R' D' U' R2 L'
R' L' D' U' L' R2 F
R' L' D' U' L' F R2
R' L' D' U' R2 L' F
L' R' D' U' L' R2 F
L' R' D' U' L' F R2
L' R' D' U' R2 L' F
B2 L' U D' L' F B2
B2 L' U D' L' B2 F
B2 L' U D' B2 L' F
F L' U2 B2 L U L2
B2 L' D' U L' F B2
B2 L' D' U L' B2 F
F L' D' R' U' L' R'
F L' D' R' U' R' L'
B2 L' D' U B2 L' F
F' L' B2 L R U L2
F' L' B2 R L U L2
F' L2 U' B2 L R U
F' L2 U' B2 R L U
F L2 U' B2 L R' U
F L2 U' B2 R' L U
B2 L2 D' L' U F L
F' L2 B2 L R U L'
F' L2 B2 R L U L'
F L2 B2 L R' U L'
F L2 B2 R' L U L'
B2 R L F' R U L
B2 R L F2 U L F
R' U' L' D' L' R2 F
R' U' L' D' L' F R2
R' U' L' D' R2 L' F
B2 R F' L R U L
B2 R F' R L U L
B2 R F2 L U L F
F' R B2 U L2 D B2
F' R B2 U2 R2 U' L2
F' R B2 D F2 U B2
B2 R' L F' R U L
B2 R' L F2 U L F
F R' L' U' L' D' R2
F R' L' U' D' L' R2
F R' L' U' D' R2 L'
F R' L' U2 B2 U L'
F R' L' D' U' L' R2
F R' L' D' U' R2 L'
F' R' U' L2 D' R2 F2
F' R' U' L2 D' F2 R2
F' R' U2 R2 B2 U L2
F' R' U2 B2 R2 U L2
F' R' D' B2 U' R2 F2
F' R' D' B2 U' F2 R2
F R' D' L' B2 U' R2
F R' D' B2 L' U' R2
B2 R' F' L R U L
B2 R' F' R L U L
B2 R' F2 L U L F
D2 R' F2 B2 U' L F
D' R' B2 U L B' U2
D2 R' B2 F2 U' L F
B2 R2 L F' R U L
B2 R2 L F2 U L F
R' U2 F' R B2 U L2
R' U2 F' B2 R U L2
R' U2 B2 F' R U L2
B2 R2 F' L R U L
B2 R2 F' R L U L
B2 R2 F2 L U L F
B2 U L' D' L' F B2
B2 U L' D' L' B2 F
B2 U L' D' B2 L' F
R' D' L B2 U' R2 F'
R' D' L' B2 U' R2 F
R' D' L' B2 U' F R2
L' D' R' U' L' R' F
L' D' R' U' L' F R'
L' D' R' U' R' L' F
F' U B2 L R U L
F' U B2 R L U L
F2 U B2 L U F L
R' D' B2 L' U' R2 F
R' D' B2 L' U' F R2
F' U' B2 L R U L
F' U' B2 R L U L
R' F L' U' L' D' R2
R' F L' U' D' L' R2
R' F L' U' D' R2 L'
R' F L' U2 B2 U L'
R' F L' D' U' L' R2
R' F L' D' U' R2 L'
F' U2 B2 L R U L
F' U2 B2 R L U L
B2 D L R F2 U F
B2 D L F2 R U F'
R' F D' L' B2 U' R2
R' F D' B2 L' U' R2
B2 D R L F2 U F
R' F' R B2 L U L
B2 D F2 L R U F'
B2 D F2 R L U F'
B2 D' L U D L2 F
R' F' U2 R B2 U L2
B2 D' L D U L2 F
L2 F' U' B2 L R U
L2 F' U' B2 R L U
R' F' U2 B2 R U L2
U' F' B2 L R U L
U' F' B2 R L U L
U2 F' B2 L R U L
L2 F' B2 L R U L'
U2 F' B2 R L U L
L2 F' B2 R L U L'
U F' B2 L R U L
U F' B2 R L U L
D2 F2 R' B2 U' L F
U' F2 B2 L U L F
U2 F2 B2 L U L F
U F2 B2 L U L F
B2 F L U D L F2
B2 F L U D F2 L
B2 F L U2 L2 U' L'
B2 F L D U L F2
B2 F L D U F2 L
B2 F L D2 R2 U L
R' B' L2 F L' U' L
B2 F D F2 L R U
B2 F D F2 R L U
B2 F' L R U L D
B2 F' L R U L D'
B2 F' L R U L D2
B2 F' L R U D L
B2 F' L R U D' L
B2 F' L R U D2 L
B2 F' L R D U L
B2 F' L R D' U L
B2 F' L R D2 U L
B2 F' L R F U L
B2 F' L R F' U L
B2 F' L R F2 U L
B2 F' L D R U L
B2 F' L D' R U L
B2 F' L D2 R U L
B2 F' L F' U L F
B2 F' R L U L D
B2 F' R L U L D'
B2 F' R L U L D2
B2 F' R L U D L
B2 F' R L U D' L
B2 F' R L U D2 L
B2 F' R L D U L
B2 F' R L D' U L
B2 F' R L D2 U L
B2 F' R L F U L
B2 F' R L F' U L
B2 F' R L F2 U L
B' F' R B' L U L
B2 F' R D L F2 U
B2 F' R D F2 L U
B2 F' R F L U L
B2 F' R F' L U L
F' B' R B' L U L
B2 F' R F2 L U L
B2 F' D L R F2 U
B2 F' D R L F2 U
B2 F' D R F2 L U
U' B2 L F' R U L
U' B2 L F2 U L F
L' B2 L F' R U L2
L2 B2 L U D' L' F
L2 B2 L D' U L' F
U2 B2 L F' R U L
U2 B2 L F2 U L F
F' B2 L R U L D
F' B2 L R U L D'
F' B2 L R U L D2
F' B2 L R U D L
F' B2 L R U D' L
F' B2 L R U D2 L
F' B2 L R D U L
F' B2 L R D' U L
F' B2 L R D2 U L
F' B2 L R F U L
F' B2 L R F' U L
F' B2 L R F2 U L
U B2 L F' R U L
B2 F2 L R U L F
B2 F2 L R' U L F
U B2 L F2 U L F
B2 F2 L R2 U L F
F2 B2 L R U L F
B2 F2 L U L D F
B2 F2 L U L D' F
B2 F2 L U L D2 F
B2 F2 L U L F D
B2 F2 L U L F D'
