D L' D2 L' F B2
D L' D2 L' B2 F
D' L' D2 F L2 B'
D L' D2 B2 L' F
D' L' F B2 D2 L2
D' L' B2 D2 F L2
D' L' B2 F D2 L2
D' B2 L D2 L2 F
D' B2 L' D2 F L2
D' B2 L' F D2 L2
D' L R2 U2 B2 R2 F'
D' L R2 B' U2 R2 B'
D' L R2 B' U2 B' R2
F L U B2 L2 R' U'
F L U B2 R' L2 U'
D' L U2 R2 B' U2 B'
D' L U2 B' R2 U2 B'
D' L D2 L2 D2 F B2
D' L D2 L2 D2 B2 F
D L D2 L' F L2 B2
D L D2 L' F B2 L2
D L D2 L' B2 F L2
D' L D2 F L2 F B'
D' L D2 F L2 B' F
D' L B D2 L2 F2 B
D' L B D2 L2 B F2
D' L B D2 F2 L2 B
D' L B D2 F2 B L2
D' L B D2 B L2 F2
D' L B D2 B F2 L2
L2 R' U D L2 R F'
L2 R' U D R L2 F'
L2 R' U D R F' L2
D' L B' R2 U2 R2 B'
D' L B' R2 U2 B' R2
F L B2 L2 R' U' R
F L B2 R' L2 U' R
D' L B2 U2 R2 U2 F'
D' L B2 U2 B R2 U2
L2 R' D U L2 R F'
L2 R' D U R L2 F'
L2 R' D U R F' L2
D' L' R' B2 R F L
D' L' R2 U2 R2 F B2
D' L' R2 U2 R2 B2 F
D' L' R2 U2 F R2 B2
D' L' R2 U2 F B2 R2
D' L' R2 U2 B2 R2 F
D' L' R2 U2 B2 F R2
D' L' U2 R2 U2 F B2
D' L' U2 R2 U2 B2 F
D L' U2 F2 R U2 F'
D L' D2 L' F B2 D
D L' D2 L' F B2 D'
D L' D2 L' F B2 D2
D L' D2 L' B2 D F
D L' D2 L' B2 D' F
D L' D2 L' B2 D2 F
D L' D2 L' B2 F D
D L' D2 L' B2 F D'
D L' D2 L' B2 F D2
D' L' D2 F L2 D B'
D' L' D2 F L2 D' B'
D' L' D2 F L2 D2 B'
D' L' D2 F L2 B' D
D' L' D2 F L2 B' D'
D' L' D2 F L2 B' D2
D' L' D2 F B L2 B'
D' L' D2 F B' L2 B'
D' L' D2 F B2 L2 B'
D' L' D2 B F L2 B'
D' L' D2 B' F L2 B'
D' L' D2 B2 F L2 B'
D' L' F L B2 D2 L2
D L' D2 B L' F B
D L' D2 B L' B F
D' L' F L' B2 D2 L2
D' L' F L2 B2 D2 L2
D L' D2 B2 L' D F
D L' D2 B2 L' D' F
D L' D2 B2 L' D2 F
D L' D2 B2 L' F D
D L' D2 B2 L' F D'
D L' D2 B2 L' F D2
D' L' F R' B2 L R
D' L' F R' B2 R L
D' L' F U2 R2 U2 B2
D' L' F D2 L2 D2 B2
D' L' F B D2 L2 B
D' L' F B D2 B L2
D' L' F B' D2 B' L2
D' L' F B2 L D2 L2
D' L' F B2 L' D2 L2
D' L' F B2 L2 D2 L2
D' L' F B2 U2 R2 U2
D' L' F B2 D2 L2 D
D' L' F B2 D2 L2 D'
D' L' F B2 D2 L2 D2
R' L2 U D L2 R F'
R' L2 U D R L2 F'
R' L2 U D R F' L2
B2 L' F2 R U' R' F'
D L' F2 R U2 F' R'
D' L' F2 B2 D2 L2 F'
D' L' F2 B2 D2 F' L2
F L' F2 B2 R U' R'
D' L' B D2 F L2 B
D' L' B D2 F B L2
D' L' B D2 B F L2
D' L' B F D2 L2 B
D' L' B F D2 B L2
D L' B D2 L' F B2
D L' B D2 L' B2 F
D L' B D2 B2 L' F
R' L2 D U L2 R F'
R' L2 D U R L2 F'
R' L2 D U R F' L2
D' L' B' D2 F B' L2
D' L' B' D2 B' F L2
D' L' B' F D2 B' L2
D L' B' D2 L' F B2
D L' B' D2 L' B2 F
D' L' B2 L2 D2 L2 F
D L' B' D2 B2 L' F
D' L' B2 U2 R2 U2 F
D' L' B2 D F D L2
D' L' B2 D2 F L2 D
D' L' B2 D2 F L2 D'
D' L' B2 D2 F L2 D2
D' L' B2 D2 F' L2 F2
D' L' B2 D2 F2 L2 F'
D' L' B2 F L D2 L2
D' L' B2 F L' D2 L2
D' L' B2 F L2 D2 L2
D' L' B2 F U2 R2 U2
D' L' B2 F D2 L2 D
D' L' B2 F D2 L2 D'
D' L' B2 F D2 L2 D2
D' L' B2 F2 D2 L2 F'
D' L' B2 F2 D2 F' L2
F' L2 R U R' D L2
F' L2 R U D L2 R'
F' L2 R U D R' L2
D L' B2 D2 L' F B2
D L' B2 D2 L' B2 F
D L' B2 D2 B2 L' F
F' L2 R D U L2 R'
F' L2 R D U R' L2
F L' B2 F2 R U' R'
F' L2 R D2 F2 U R'
D L2 R D2 F' R' B2
D L2 R F' R2 B R
D' L2 R' B2 L R F
D' L2 R' B2 R L F
B L2 R2 F' R U R
F L2 U L B2 U' B2
F' L2 D R U L2 R'
F' L2 D R U R' L2
U' L2 D R U L2 F'
U' L2 D R U F' L2
F' L2 D2 R F2 U R'
D L2 D2 L' F L B2
D L2 D2 B2 L' F L
U' L2 F U2 L' B2 U'
U' L2 F U2 B2 L' U'
U' L2 F D2 F2 R U
U' L2 F' R U D L2
U' L2 F' R U2 B2 U'
B' L2 F' R F2 U R'
U' L2 F' R D U L2
U' L2 F' R D2 F2 U
U' L2 F' D R U L2
U' L2 F' D2 R F2 U
D' L2 B2 L D2 F L2
D' L2 B2 L F D2 L2
D' L2 B2 L' D2 L2 F
D' L2 B2 D2 L F L
F' R L2 U R' D L2
F' R L2 U D L2 R'
F' R L2 U D R' L2
F' R L2 D U L2 R'
F' R L2 D U R' L2
F' R L2 D2 F2 U R'
D R L2 D2 F' R' B2
D R L2 F' R2 B R
F' R U D' R' B2 L
F' R D' U R' B2 L
D R D2 F' R' B2 L
D R F L2 R' F2 B'
D R F L2 R' B' F2
D R F L2 F2 R' B'
D R F R' L2 F2 B'
D R F R' L2 B' F2
D R F' L2 R2 B R
D R F' R2 L2 B R
D R F' R2 B L2 R
D R F' R2 B R L2
D' R F2 L' R' F B2
D' R F2 L' R' B2 F
D' R F2 L' F R' B2
D' R F2 R' L' F B2
D' R F2 R' L' B2 F
D' R F2 R' B2 L' F
D R F2 U2 R' F L2
D R F2 U2 F L2 R'
D R F2 U2 F R' L2
D' R' L' B2 R F L
D' R' L2 B2 L R F
D' R' L2 B2 R L F
F' R' D' R F2 L' B2
F' R' D' R F2 B2 L'
F' R' D' R B2 F2 L'
F' R' D' B2 R F2 L'
D R' F2 L' B U2 L'
D R' F2 B L' U2 L'
D R' B F2 L' U2 L'
D' R' B2 L' R F L2
D' R' B2 R L' F L2
D' R' B2 D2 L R F'
D' R' B2 D2 R L F'
D' R' B2 D2 R F' L
D' R2 L U2 B2 R2 F'
D' R2 L B' U2 R2 B'
D' R2 L B' U2 B' R2
D' R2 L' U2 R2 F B2
D' R2 L' U2 R2 B2 F
D' R2 L' U2 F R2 B2
D' R2 L' U2 F B2 R2
D' R2 L' U2 B2 R2 F
D' R2 L' U2 B2 F R2
L2 U2 F L' B2 U' R'
B R2 L2 F' R U R
R' D L2 R D2 F' B2
R' D L2 R D2 B2 F'
R' D R L2 D2 F' B2
R' D R L2 D2 B2 F'
R D L2 R F' R2 B
R' D R F L2 F2 B'
R' D R F L2 B' F2
B R2 F' L2 R U R
B R2 F' R L2 U R
L2 D R U L2 F' R'
L2 D R U F' L2 R'
L2 D R U F' R' L2
R D R L2 F' R2 B
R D R F' L2 R2 B
R D R F' R2 L2 B
R D R F' R2 B L2
F2 U L B2 R' U' F
F U L B2 L2 R' U'
F U L B2 R' L2 U'
F U L' B2 U2 L' U
U2 D R F2 U2 F L2
U2 D R' F2 B U2 L2
U2 D R' B F2 U2 L2
B' U D2 R2 B' L U'
B' U D2 B' L R2 U'
B' U D2 B' R2 L U'
U2 D F2 R U2 L2 F'
U2 D F2 R U2 F' L2
U2 D F2 R' B U2 L2
R D' L' R' F B2 L
R D' L' R' B2 F L
R D' L' F R' B2 L
R' D' R F2 L' F B2
R' D' R F2 L' B2 F
R' D' R F2 B2 L' F
R D' L2 R' B2 L F
R' D' R B2 F2 L' F
R D' R' L' F B2 L
R D' R' L' B2 F L
R D' R' L2 B2 L F
R D' R' B2 L' F L2
F' U B2 U2 L2 R U
F' U B2 U2 R L2 U
F U B2 L' U2 L' U
F U B2 D' L' U' B2
F U B2 D2 L' R2 U'
F U B2 D2 R2 L' U'
F' U' L2 R U D L2
F' U' L2 R U2 B2 U'
F' U' L2 R D U L2
F' U' L2 R D2 F2 U
F' U' L2 D R U L2
B' U' L2 F U2 L' U'
F' U' L2 D2 R F2 U
B' U' L2 F' R F2 U
B2 U' L2 F' R U L2
B U' L2 R2 F' R U
F' U' R L2 U D L2
F' U' R L2 U2 B2 U'
F' U' R L2 D U L2
F' U' R L2 D2 F2 U
F U' L2 U2 L B2 U'
R' D' B2 R F2 L' F
B U' R2 L2 F' R U
R' D' B2 D2 L2 R F'
R' D' B2 D2 R L2 F'
R' D' B2 D2 R F' L2
B U' R2 F' L2 R U
B U' R2 F' R L2 U
F' U' D2 R F2 L' U
B' U' F' L2 R F U
B' U' F' R L2 F U
B2 U' F' L2 R U L2
B2 U' F' R L2 U L2
B' U' F2 L2 F R U
D U2 R F2 U2 F L2
D U2 R' F2 B U2 L2
D U2 R' B F2 U2 L2
D U2 F2 R U2 L2 F'
D U2 F2 R U2 F' L2
D U2 F2 R' B U2 L2
L2 D2 F2 B R' U R
L2 D2 B F2 R' U R
D' F L' D2 F L2 B'
D' F L' F B2 D2 L2
D' F L' B2 D2 F L2
D' F L' B2 F D2 L2
U' F L2 U2 L B2 U'
L2 F L' B2 R' U' R
D F L' D2 L' F B'
