D' L' U' F R2 B
U2 D' L' U R2 F
U2 D' L' U F R2
D' U2 L' U R2 F
D' U2 L' U F R2
D2 F2 D' R U' F'
U2 B2 D' L' U F
D' L U2 L2 U R2 F
D' L U2 L2 U F R2
U' L D' L' R2 F B2
U' L D' L' R2 B2 F
U' L D' L' F R2 B2
U' L D' L' F B2 R2
U' L D' L' B2 R2 F
U' L D' L' B2 F R2
U' L D' R2 L' F B2
U' L D' R2 L' B2 F
U' L D' R2 B2 L' F
U' L D' B2 L' R2 F
U' L D' B2 L' F R2
U' L D' B2 R2 L' F
D' L' U R2 D2 F L2
D' L' U R2 F D2 L2
D' L' U F R2 D2 L2
F L' U' R D' B R2
D' L' U' F R2 D B
D' L' U' F R2 D' B
D' L' U' F R2 D2 B
D' L' U' F R2 B D
D' L' U' F R2 B D'
D' L' U' F R2 B D2
F L' U' R' D' R2 B
D' L' U' F B R2 B
D' L' U' F B' R2 B
D' L' U' F B2 R2 B
F L' U' D' R B R
D' L' U' B F R2 B
D' L' U' B' F R2 B
D' L' U' B2 F R2 B
F L' U2 B L B U
B2 L' D R U L2 F'
B2 L' D R U F' L2
F L' D' R U' R B
F L' D' U' R B R
F L' D' F R U' R
F L' D2 F R F U'
F L' F R U' D' R2
F L' F R U2 B2 U
F L' F R D' U' R2
F L' F R D2 F2 U'
B2 L' F U2 L' B2 U'
B2 L' F U2 B2 L' U'
B2 L' F D2 F2 R U
F L' F D' R U' R
F L' F D2 R F2 U'
U2 L' F' R F B2 U
B2 L' F' R U D L2
B2 L' F' R U2 B2 U'
U2 L' F' R B2 F U
B2 L' F' R D U L2
B2 L' F' R D2 F2 U
U L' F' R B2 U L
B2 L' F' D R U L2
F L' F' U2 L' B2 U
B2 L' F' D2 R F2 U
F L' F' U2 B2 L' U
U2 L' F' B2 R F U
F L' F' D2 F2 R U'
U2 L' B D2 B R' U
U2 L' B2 D R U F'
U2 L' B2 F' R F U
F2 R U' R D' R2 F'
F2 R U' R' D' F' R2
F2 R U' R' F' D' R2
F2 R U' D' R' F' R'
D' R U2 L' U R F
F2 R U2 B' R' B' U
D R D F2 R U' F
U2 R D' L' U R2 F
U2 R D' L' U F R2
F2 R D' U' R' F' R'
F2 R D' F' L' U' R2
F2 R D2 F' L' F' U'
F2 R F U2 R B2 U
F2 R F U2 B2 R U
F2 R F D2 F2 L' U'
F2 R F' L' U' D' R2
F2 R F' L' U2 B2 U
F2 R F' L' D' U' R2
F2 R F' L' D2 F2 U'
F2 R F' D' L' U' R2
F2 R F' D2 L' F2 U'
D2 R F2 D' R U' F'
U2 R B2 D' L' U F
D' R' U2 L' U R' F
D' R' U2 L' U F R'
U2 R' D' L' U R2 F
U2 R' D' L' U F R2
D2 R' F2 D' R U' F'
R' U2 D' L' U R2 F
R' U2 D' L' U F R2
R2 U2 D' L' U R2 F
R2 U2 D' L' U F R2
U2 R' B2 D' L' U F
R U2 D' L' U R2 F
R U2 D' L' U F R2
D' R2 U' L' U F L
R' U2 B2 D' L' U F
U2 R2 D' L' U R2 F
U2 R2 D' L' U F R2
F2 R2 D' R' U' R' F'
R2 U2 B2 D' L' U F
R U2 B2 D' L' U F
D2 R2 F2 D' R U' F'
B' R2 B' L' F' R U
U2 R2 B2 D' L' U F
U2 D L' U F2 R F'
R' D' L' U' F R2 B
L D' L U' B2 R2 F'
R2 D' L' U' F R2 B
L D' L' U' R2 F B2
L D' L' U' R2 B2 F
L D' L' U' F R2 B2
L D' L' U' F B2 R2
L D' L' U' B2 R2 F
L D' L' U' B2 F R2
R D' L' U' F R2 B
D' U' L' U R2 F L
U' D' L' U R2 F L
D' U' L' U F L R2
U' D' L' U F L R2
D' U' L' U F R2 L
U' D' L' U F R2 L
U2 D' L' R U R F
U2 D' L' R' U R' F
U2 D' L' R' U F R'
U2 D' L' U R' F R'
U2 D' L' U R2 D F
U2 D' L' U R2 D' F
U2 D' L' U R2 D2 F
U2 D' L' U R2 F D
U2 D' L' U R2 F D'
U2 D' L' U R2 F D2
U2 D' L' U F R2 D
U2 D' L' U F R2 D'
U2 D' L' U F R2 D2
U2 D' L' U F' R2 F2
U2 D' L' D B2 U F
U2 D' L' B U R2 F
U2 D' L' B U F R2
U2 D' L' B' U R2 F
U2 D' L' B' U F R2
R' D' U2 L' U R2 F
R' D' U2 L' U F R2
U2 D' L' B2 U R2 F
U2 D' L' B2 U F R2
R2 D' U2 L' U R2 F
R2 D' U2 L' U F R2
U2 D' R L' U R F
R D' U2 L' U R2 F
R D' U2 L' U F R2
U2 D' R' L' U R' F
U2 D' R' L' U F R'
U' D' R2 U' L' U F
D' U' R2 U' L' U F
F2 U' R' D' F' R2 B
U2 D' B L' U R2 F
U2 D' B L' U F R2
U2 D' B' L' U R2 F
U2 D' B' L' U F R2
U2 D' B2 L' U R2 F
U2 D' B2 L' U F R2
D' U2 L' R U R F
D' U2 L' R' U R' F
D' U2 L' R' U F R'
D' U2 L' U R' F R'
D' U2 L' U R2 D F
D' U2 L' U R2 D' F
D' U2 L' U R2 D2 F
D' U2 L' U R2 F D
D' U2 L' U R2 F D'
D' U2 L' U R2 F D2
D' U2 L' U F R2 D
D' U2 L' U F R2 D'
D' U2 L' U F R2 D2
D' U2 L' U F' R2 F2
D' U2 L' D B2 U F
D' U2 L' B U R2 F
D' U2 L' B U F R2
D' U2 L' B' U R2 F
D' U2 L' B' U F R2
D' U2 L' B2 U R2 F
D' U2 L' B2 U F R2
D U2 L' U F2 R F'
D' U2 R L' U R F
D' U2 R' L' U R' F
D' U2 R' L' U F R'
R' D2 F2 D' R U' F'
D' U2 B L' U R2 F
D' U2 B L' U F R2
R2 D2 F2 D' R U' F'
D' U2 B' L' U R2 F
D' U2 B' L' U F R2
R D2 F2 D' R U' F'
D' U2 B2 L' U R2 F
D' U2 B2 L' U F R2
L' F L' U2 L B2 U
L2 F L' U' D' R2 B2
L2 F L' U' D' B2 R2
L2 F L' U2 L2 B2 U
L2 F L' U2 B2 L2 U
L2 F L' D' U' R2 B2
L2 F L' D' U' B2 R2
L2 F L' D2 R2 F2 U'
L2 F L' D2 F2 R2 U'
L F L' U2 L' B2 U
L F L' U2 B2 L' U
L F L' D2 F2 R U'
B2 D L' R U L' F'
B2 D L' U D2 L' F
B2 D L' D2 U L' F
L F U2 L2 B2 R' U
F D L' U L' U2 B'
D2 F D' F R U' F'
B2 D R L' U L' F'
D2 F D2 F L' R U'
D2 F D2 F R L' U'
L F D' L' U' R2 B2
L F D' L' U' B2 R2
L F D2 L' R2 F2 U'
L F D2 L' F2 R2 U'
L F D2 R2 L' F2 U'
L' F B2 U2 L' B2 U'
L' F B2 U2 B2 L' U'
L' F B2 D2 F2 R U
L' F' R B2 U D L2
L' F' R B2 U2 B2 U'
L' F' R B2 D U L2
L' F' R B2 D2 F2 U
U2 F' R F L' B2 U
U2 F' R F B2 L' U
U2 F' R B2 F L' U
L' F' U2 R B2 L U
L2 F' U2 L R B2 U
L2 F' U2 L B2 R U
L2 F' U2 R L B2 U
B2 D' L' U D2 F L2
B2 D' L' U F D2 L2
B2 D' L' U' R2 U2 F
B2 D' L' D' F2 U F'
B2 D' L' D2 U F L2
L F' U2 L2 R B2 U
L F' U2 L2 B2 R U
L F' U2 R L2 B2 U
L F' U2 R B2 L2 U
F D' L' R U' R B
F D' L' U' R B R
L F' U2 B2 L2 R U
L F' U2 B2 R L2 U
F D' L' F R U' R
F2 D' R U' R' F' R2
F D' R L' U' R B
L F' D2 F2 L' R2 U'
L F' D2 F2 R2 L' U'
L' F' B2 R U D L2
L' F' B2 R U2 B2 U'
L' F' B2 R D U L2
L' F' B2 R D2 F2 U
L' F' B2 D R U L2
L' F' B2 D2 R F2 U
U2 F' B2 R F L' U
D2 F2 L D' R U' F'
D' F2 L' R U' R F
D2 F2 L' D' R U' F'
D2 F2 L2 D' R U' F'
D' F2 R L' U' R F
D' F2 R U' D2 R F'
D2 F2 R D L' U' F
D' F2 R D2 U' R F'
D2 F2 R B' L B U'
D F2 R U L2 U2 F'
D F2 R U' D2 F' R2
D F2 R U' F' D2 R2
D F2 R D F2 U' F
D F2 R D2 U' F' R2
D2 F2 D L' R U' F
D2 F2 D R L' U' F
D2 F2 D' L R U' F'
D2 F2 D' L' R U' F'
D2 F2 D' L2 R U' F'
D2 F2 D' R L U' F'
D2 F2 D' R L' U' F'
D2 F2 D' R L2 U' F'
D2 F2 D' R U' D F'
D2 F2 D' R U' D' F'
D2 F2 D' R U' D2 F'
D2 F2 D' R U' F' D
D2 F2 D' R U' F' D'
D2 F2 D' R U' F' D2
D2 F2 D' R D U' F'
D2 F2 D' R D' U' F'
D2 F2 D' R D2 U' F'
F D2 L' F R F U'
F2 D2 R F' L' F' U'
D2 F2 B' L B R U'
U2 B L' D2 B R' U
U2 B D' L' B U F
U2 B D' B L' U F
U2 B D2 L' B R' U
U2 B D2 B L' R' U
U2 B D2 B R' L' U
L' B' R2 F' R B' U
L' B' R2 F' B' R U
L' B' R2 B' F' R U
U2 B' D' B' L' U F
D2 B' F2 L B R U'
U' B2 L' F' R U L
U' B2 L' F2 U L F
U2 B2 L' D R U F'
U2 B2 L' F' R F U
U2 B2 R D' L' U F
U2 B2 R' D' L' U F
U2 B2 R2 D' L' U F
L' B2 D R U L2 F'
L' B2 D R U F' L2
U' B2 D' L' U F L
U2 B2 D L' R U F'
U2 B2 D R L' U F'
U2 B2 D' L' R U F
U2 B2 D' L' R' U F
U2 B2 D' L' R2 U F
U2 B2 D' L' U D F
U2 B2 D' L' U D' F
U2 B2 D' L' U D2 F
U2 B2 D' L' U F D
U2 B2 D' L' U F D'
U2 B2 D' L' U F D2
U2 B2 D' L' D U F
U2 B2 D' L' D' U F
U2 B2 D' L' D2 U F
U2 B2 D' R L' U F
U2 B2 D' R' L' U F
U2 B2 D' R2 L' U F
L' B2 F U2 L' B2 U'
L' B2 F U2 B2 L' U'
L' B2 F D2 F2 R U
L' B2 F' R U D L2
L' B2 F' R U2 B2 U'
L' B2 F' R D U L2
L' B2 F' R D2 F2 U
L' B2 F' D R U L2
L' B2 F' D2 R F2 U
U2 B2 F' R F L' U
