U L D' B' U2 R' B
D2 L F' R F2 U' F
U L B' U L U R'
U' L' D F L R B'
U' L' D F L B' R
U' L' D F R L B'
U' L' F R D L B'
U' L' F D L R B'
U' L' F D L B' R
U' L' F D R L B'
U2 L' B2 U F R B
D L2 F L' F U' B'
U2 L2 B' L U F R
U2 R D' B R' U B
D2 R F2 U' F R B
L' U' F U' B' L U
L' U' B' L U L' F
B R' D' B' L F U'
L' F U' B' L U L'
L F U B' U L U
D2 F' L R F U' F2
D2 F' R L F U' F2
D2 F' R U' F R F2
D2 F' R F2 U' F R
L' F' U2 B' L U F2
B D' R' B' L F U'
D2 F2 L F R U' F'
D2 F2 U' F R F' B
D2 F2 U' F R B F'
L' F2 U2 B' L U F'
U2 B' L U' B' U2 R'
L' B' R2 F' L U F2
U2 B2 L' U F R B
