B L2 D F2 L' R
B L2 D F2 R L'
B' R2 U' B2 L R
B' R2 U' B2 R L
B' U R U2 R2 B2
B' U R U2 B2 R2
F2 U' L' B D' R2
B' U' R' B2 D2 L2
B' U' R2 B2 L R
B' U' R2 B2 R L
F2 B' U' L' R' B2
F2 B' U' R' L' B2
F2 B' U' R' B2 L'
B' F2 U' L' R' B2
B' F2 U' R' L' B2
B' F2 U' R' B2 L'
B L' F2 L' D F2 R
B L2 D F2 L' R D
B L2 D F2 L' R D'
B L2 D F2 L' R D2
B L2 D F2 L' D R
B L2 D F2 L' D' R
B L2 D F2 L' D2 R
B L2 D F2 R L' D
B L2 D F2 R L' D'
B L2 D F2 R L' D2
B L2 D F2 R D L'
B L2 D F2 R D' L'
B L2 D F2 R D2 L'
B L2 D F2 D L' R
B L2 D F2 D R L'
B L2 D F2 D' L' R
B L2 D F2 D' R L'
B L2 D F2 D2 L' R
B L2 D F2 D2 R L'
U' L2 D' B R' D2 L2
B L2 F2 R D L' F2
B L2 F2 D L' R F2
B L2 F2 D R L' F2
R2 U F' R' U' F' U'
B' R U' R2 B2 D L2
B' R U' B2 R2 D L2
B' R U2 R2 B2 D' F2
B' R U2 B2 R2 D' F2
F2 R B' U' L' R' B
F2 R B' U' R' L' B
F2 R B' U' R' B L'
B2 R' U' B R' B2 L
B R' D B2 U' R' B2
B R' D2 L2 D F2 R
B2 R' B U' R' B2 L
B' R' B2 D2 L2 D F2
B R' B2 U' R' B2 L
B' R2 U R' U2 R2 B2
B' R2 U R' U2 B2 R2
B' R2 U' L B2 L R
B' R2 U' L B2 R L
B' R2 U' L' B2 L R
B' R2 U' L' B2 R L
B' R2 U' L2 B2 L R
B' R2 U' L2 B2 R L
B' R2 U' R B2 D2 L2
B' R2 U' B' R B' L
B' R2 U' B2 L R D
B' R2 U' B2 L R D'
B' R2 U' B2 L R D2
B' R2 U' B2 L D R
B' R2 U' B2 L D' R
B' R2 U' B2 L D2 R
B' R2 U' B2 R L D
B' R2 U' B2 R L D'
B' R2 U' B2 R L D2
B' R2 U' B2 R D L
B' R2 U' B2 R D' L
B' R2 U' B2 R D' L
B' R2 U' B2 R D2 L
B' R2 U' B2 D L R
B' R2 U' B2 D R L
B' R2 U' B2 D' L R
B' R2 U' B2 D' R L
B' R2 U' B2 D2 L R
B' R2 U' B2 D2 R L
U R2 D' F' R' U2 R2
U R2 F' R' U B U
B' R2 B' U' R B' L
B' R2 B' U' B' L R
B' R2 B' U' B' R L
B' U L R U2 R2 B2
B' U L R U2 B2 R2
B R2 B2 U' L R' B2
B R2 B2 U' R' L B2
B U L R U' R' U'
B' U L' R U2 R2 B2
B' U L' R U2 B2 R2
B' U L2 R U2 R2 B2
B' U L2 R U2 B2 R2
B' U R L U2 R2 B2
B' U R L U2 B2 R2
B' U R L' U2 R2 B2
B' U R L' U2 B2 R2
B' U R L2 U2 R2 B2
B' U R L2 U2 B2 R2
B' U R U2 R B2 R
B' U R U2 R2 B2 D
B' U R U2 R2 B2 D'
B' U R U2 R2 B2 D2
B' U R U2 B' R2 B'
B' U R U2 B2 R2 D
B' U R U2 B2 R2 D'
B' U R U2 B2 R2 D2
B' U R D2 L2 F2 U2
B' U R D2 F2 L2 U2
B2 U R U2 B R' B2
B' U R F U2 R2 B2
B' U R F U2 B2 R2
B' U R F' U2 R2 B2
B' U R F' U2 B2 R2
L2 D F2 L' B' R' B2
B' U R F2 U2 R2 B2
B' U R F2 U2 B2 R2
B U R L U' R' U'
L2 D F2 B L' D2 R2
L2 D F2 B' L' R' B2
L2 D F2 B' R' L' B2
L2 D F2 B' R' B2 L'
L2 D B L2 F2 L' R
L2 D B L2 F2 R L'
B' U R' B2 D2 L2 F2
B' U R' B2 D2 F2 L2
B' U R2 U2 B2 L R
B' U R2 U2 B2 R L
L2 D B F2 L' D2 R2
R' D B2 R U' B R'
L2 D B' F2 L' R' B2
L2 D B' F2 R' L' B2
L2 D B' F2 R' B2 L'
B' U D2 R F2 U2 R2
B' U D2 F2 U2 L' R'
B' U D2 F2 U2 R' L'
B' U F2 U2 L' R' B2
B' U F2 U2 R' L' B2
B' U F2 U2 R' B2 L'
B' U' L R' B2 D2 L2
B' U' L R2 B2 L R
B' U' L R2 B2 R L
B' U' L' R' B2 D2 L2
B' U' L' R2 B2 L R
B' U' L' R2 B2 R L
F2 U' L' U' B' U B2
F2 U' L' D B D' R2
F2 U' L' D' B D' R2
F2 U' L' D2 B D' R2
B' U' L2 R' B2 D2 L2
B' U' L2 R2 B2 L R
B' U' L2 R2 B2 R L
F2 U' L' B R D' R2
F2 U' L' B R' D' R2
F2 U' L' B R2 D' R2
F2 U' L' B U' B2 U
F2 U' L' B D' R2 D
F2 U' L' B D' R2 D'
F2 U' L' B D' R2 D2
F2 U' L2 D' L B R'
B' U' R B2 R2 D2 L2
B' U' R' L B2 D2 L2
B' U' R' L' B2 D2 L2
B' U' R' L2 B2 D2 L2
B' U' R' U2 R2 U2 B2
B' U' R' D2 L2 D2 B2
B' U' R' B D2 L2 B
B' U' R' B D2 B L2
B' U' R' B' D2 B' L2
B' U' R' B2 L D2 L2
B' U' R' B2 L' D2 L2
B' U' R' B2 L2 D2 L2
B' U' R' B2 U2 R2 U2
B' U' R' B2 D2 L2 D
B' U' R' B2 D2 L2 D'
B' U' R' B2 D2 L2 D2
B' U' R2 L B2 L R
B' U' R2 L B2 R L
B2 U' R' B R' B2 L
B' U' R2 L' B2 L R
B' U' R2 L' B2 R L
B' U' R2 L2 B2 L R
B' U' R2 L2 B2 R L
B' U' R2 B' R B' L
B' U' R2 B2 L R D
B' U' R2 B2 L R D'
B' U' R2 B2 L R D2
B' U' R2 B2 L D R
B' U' R2 B2 L D' R
B' U' R2 B2 L D2 R
B' U' R2 B2 R L D
B' U' R2 B2 R L D'
B' U' R2 B2 R L D2
B' U' R2 B2 R D L
B' U' R2 B2 R D' L
B' U' R2 B2 R D2 L
B' U' R2 B2 D L R
B' U' R2 B2 D R L
B' U' R2 B2 D' L R
B' U' R2 B2 D' R L
B' U' R2 B2 D2 L R
B' U' R2 B2 D2 R L
F2 U' D L' B D' R2
F2 U' D' L' B D' R2
B' U' D2 R' D2 L2 B2
B' U' D2 R' D2 B2 L2
F2 U' D2 L' B D' R2
B' U' F2 L' R' F2 B2
B' U' F2 L' R' B2 F2
B' U' F2 L' F2 R' B2
B' U' F2 R' L' F2 B2
B' U' F2 R' L' B2 F2
B' U' F2 R' B2 L' F2
F2 U' B L' U' B' U
B2 U' B R' B2 D2 L2
B2 U' B R2 B2 L R
B2 U' B R2 B2 R L
B2 U' B' U2 L R U2
B2 U' B' U2 R L U2
B' U' B2 U2 L R U2
B' U' B2 U2 R L U2
B U2 L R U R' U
B U2 R L U R' U
F U2 F U L' B R
F U2 F U B L' R
F U2 F U B R L'
B' U2 F2 U L' R' B2
B' U2 F2 U R' L' B2
B' U2 F2 U R' B2 L'
B D L2 D F2 L' R
B D L2 D F2 R L'
F2 D U' L' B D' R2
F2 D B' U' L' R' B2
F2 D B' U' R' L' B2
F2 D B' U' R' B2 L'
B D' L2 D F2 L' R
B D' L2 D F2 R L'
B' D' R2 U R' U2 R2
B' D' R2 U' R D2 L2
B' D' R2 B2 U' L R
B' D' R2 B2 U' R L
F2 D' U' L' B D' R2
U' F2 L' F2 B D' R2
U' F2 L' B F2 D' R2
B' D' F2 R2 U' L' R
B' D' F2 R2 U' R L'
F2 D' B' U' L' R' B2
F2 D' B' U' R' L' B2
F2 D' B' U' R' B2 L'
U2 F2 U L' D2 B R'
D2 F2 U' L' B D' R2
D' F2 U' L' B D' R2
U2 F2 U D2 L' B R'
U2 F2 U D2 B L' R'
U2 F2 U D2 B R' L'
D F2 U' L' B D' R2
U F2 U2 L' B D' R2
B D2 L2 D F2 L' R
B D2 L2 D F2 R L'
U2 F2 D2 U L' B R'
U2 F2 D2 U B L' R'
U2 F2 D2 U B R' L'
D2 F2 B' U' L' R' B2
D2 F2 B' U' R' L' B2
D2 F2 B' U' R' B2 L'
D' F2 B' U' L' R' B2
D' F2 B' U' R' L' B2
D' F2 B' U' R' B2 L'
B' D2 U R F2 U2 R2
B' D2 U F2 U2 L' R'
B' D2 U F2 U2 R' L'
B' D2 U' R' D2 L2 B2
B' D2 U' R' D2 B2 L2
D F2 B' U' L' R' B2
D F2 B' U' R' L' B2
D F2 B' U' R' B2 L'
F2 D2 U' L' B D' R2
D2 B L2 D F2 L' R
D2 B L2 D F2 R L'
D' B L2 D F2 L' R
D' B L2 D F2 R L'
D B L2 D F2 L' R
D B L2 D F2 R L'
F2 D2 B' U' L' R' B2
F2 D2 B' U' R' L' B2
F2 D2 B' U' R' B2 L'
F D2 B' U' L R' B2
U' B U2 R U B U
F D2 B' U' R' L B2
L2 B D L2 F2 L' R
L2 B D L2 F2 R L'
F2 B L2 D F2 L R
F2 B L2 D F2 R L
L2 B D F2 L' D2 R2
D2 B' R2 U' B2 L R
D2 B' R2 U' B2 R L
D' B' R2 U' B2 L R
D' B' R2 U' B2 R L
D2 B' U R U2 R2 B2
D2 B' U R U2 B2 R2
D' B' U R U2 R2 B2
D' B' U R U2 B2 R2
D B' R2 U' B2 L R
D B' R2 U' B2 R L
D2 B' U' R' B2 D2 L2
D2 B' U' R2 B2 L R
D2 B' U' R2 B2 R L
D' B' U' R' B2 D2 L2
