B L D B2 R2 F' U'
D2 L2 B2 D' R F' R
D2 L2 B2 D' F' R F'
B' R2 F2 U' L' F U'
L' D' L2 F2 B' R' U
L' D' L2 B' R' F2 U
L' D' L2 B' F2 R' U
L D' F2 B' L2 R' U
L D' F2 B' R' L2 U
L D' B' L2 R' F2 U
L D' B' L2 F2 R' U
L D' B' R' L2 F2 U
L D' B' R' F2 L2 U
L D' B' F2 L2 R' U
L D' B' F2 R' L2 U
L D2 B' R' U B' L2
B' D2 R' B U L2 B
B' D2 R' B U B L2
D' B L2 F2 R U R2
D' B' L2 R' F2 U R
D' B' L2 F2 R' U R2
D' B' R' L2 F2 U R
D2 B' R' B U L2 B2
D2 B' R' B U B2 L2
L B' R' U D2 B2 L
L B' R' U' R' F2 U2
L B' R' U' F2 R' U2
L B' R' D2 U B2 L
L B' D' L2 R' F2 U
L B' D' L2 F2 R' U
L B' D' R' L2 F2 U
L B' D' R' F2 L2 U
L B' D' F2 L2 R' U
L B' D' F2 R' L2 U
L B' D2 R' U L2 B2
L B' D2 R' U B2 L2
D2 B2 L2 D' R F' R
D2 B2 L2 D' F' R F'
