R' L' U' F B L
L' R' U' F B L
R' L' U' B F L
L' R' U' B F L
B L' R' U' F B
B L' R' U' B F
R' U' L' F B L
R' U' L' B F L
R' U' L2 B L F
B R' L' U' F B
B R' L' U' B F
R' U' B L' F L2
L' D B R' U' F
L' B R' U' F B
L' B R' U' B F
B L R U F' B' U2
B L R U B' F' U2
R' L U' L B L F
B L R' U B' U2 B2
B L R' U' B D2 F2
R' L U' L2 F B L
R' L U' L2 B F L
R' L U' B L D2 F2
R' L U' B D2 L F2
R' L U' B D2 F2 L
B2 L U B' R' U2 B
D2 L B R U' F' B2
D2 L B R U' B2 F'
L' R' U' L' B L F
R' L' U' L' B L F
L R' U' L B L F
L R' U' L2 F B L
L R' U' L2 B F L
R' L' U' D F B L
L' R' U' D F B L
R' L' U' D B F L
L' R' U' D B F L
R' L' U' D' F B L
L' R' U' D' F B L
R' L' U' D' B F L
L' R' U' D' B F L
R' L' U' D2 F B L
L' R' U' D2 F B L
R' L' U' D2 B F L
L' R' U' D2 B F L
R' L' U' F L B L
R' L' U' F L' B L
R' L' U' F L2 B L
L' R' U' F L B L
L' R' U' F L' B L
L' R' U' F L2 B L
R' L' U' F D B L
R' L' U' F D' B L
L' R' U' F D B L
R' L' U' F D2 B L
R' L' U' F B L D
R' L' U' F B L D'
R' L' U' F B L D2
L' R' U' F D' B L
R' L' U' F B D L
R' L' U' F B D' L
R' L' U' F B D2 L
L' R' U' F D2 B L
L' R' U' F B L D
L' R' U' F B L D'
L' R' U' F B L D2
L' R' U' F B D L
L' R' U' F B D' L
L' R' U' F B D2 L
R' L' U' F' B L F2
L' R' U' F' B L F2
R' L' U' F2 B L F'
L' R' U' F2 B L F'
R' L' U' B D F L
R' L' U' B D' F L
L' R' U' B D F L
R' L' U' B D2 F L
R' L' U' B F L D
R' L' U' B F L D'
R' L' U' B F L D2
L' R' U' B D' F L
R' L' U' B F D L
L' R' U' B D2 F L
R' L' U' B F D' L
R' L' U' B F D2 L
R' L' U' B F' L F2
L' R' U' B F L D
L' R' U' B F L D'
L' R' U' B F L D2
L' R' U' B F D L
R' L' U' B F2 L F'
L' R' U' B F D' L
L' R' U' B F D2 L
L' R' U' B F' L F2
L' R' U' B F2 L F'
L R' U' B L D2 F2
L R' U' B D2 L F2
L R' U' B D2 F2 L
B L' R U F' U2 F2
B L' R U' F D2 B2
R' L' D U' F B L
R' L' D U' B F L
L' R' D U' F B L
L' R' D U' B F L
B L' R' U' D F B
B L' R' U' D B F
B L' R' U' D' F B
B L' R' U' D' B F
B L' R' U' D2 F B
B L' R' U' D2 B F
B L' R' U' F D B
B L' R' U' F D' B
B L' R' U' F D2 B
B L' R' U' F B D
B L' R' U' F B D'
B L' R' U' F B D2
B L' R' U' B D F
B L' R' U' B D' F
B L' R' U' B D2 F
B L' R' U' B F D
B L' R' U' B F D'
B L' R' U' B F D2
B L' R' D U' F B
B L' R' D U' B F
B L' R' D' U' F B
B L' R' D' U' B F
B L' R' D2 U' F B
B L' R' D2 U' B F
B' L' R' B2 U' F B'
B' L' R' B2 U' B' F
R' L' D' U' F B L
R' L' D' U' B F L
L' R' D' U' F B L
L' R' D' U' B F L
R' L' D2 U' F B L
R' L' D2 U' B F L
L' R' D2 U' F B L
L' R' D2 U' B F L
B L' U' R' B R F
B L' U' F R' B R
B L' U2 R' U F B
B L' U2 R' U B F
B' L' B2 R' U' F B
B' L' B2 R' U' B F
B L2 U2 R' U F' B
B L2 U2 R' U B F'
B L2 D2 L U' F B'
B L2 D2 L U' B' F
R' U R2 F' U2 L' F
B R L U F' B' U2
B R L U B' F' U2
B R L' U F' U2 F2
B R L' U' F D2 B2
R' U F' U2 L' F B
R' U F' U2 L' B F
R' U F' U2 B L' F
R' U' L B L D2 F2
R' U' L B D2 L F2
R' U' L B D2 F2 L
R' U' L' D F B L
R' U' L' D B F L
