D' L R F U2 F2
D L R F B' U2
D L R B' F U2
D L B' R F U2
D' R L F U2 F2
D R L F B' U2
D R L F B' U2
D R L B' F U2
R D L F B' U2
R D L B' F U2
R D L B' F U2
L D' R F U2 F2
D' L R U2 F' D2 B2
D' L R D F U2 F2
D' L R D' F U2 F2
D L R D F B' U2
D L R D B' F U2
D' L R D2 F U2 F2
D L R D' F B' U2
D2 L R F U' L' U'
D L R D' B' F U2
D' L R F U2 F2 D
D' L R F U2 F2 D'
D' L R F U2 F2 D2
D' L R F D2 B2 U2
D' L R F B U2 F2
D' L R F B' U2 F2
D' L R F B2 U2 F2
D L R D2 F B' U2
D L R D2 B' F U2
D L R F D B' U2
D L R F D' B' U2
D L R F D2 B' U2
D L R F B' U2 D
D L R F B' U2 D'
D L R F B' U2 D2
D L R F B' D U2
D L R F B' D' U2
D L R F B' D2 U2
D' L R B F U2 F2
D' L R B' F U2 F2
D' L R B2 F U2 F2
D L R B' D F U2
D L R B' D' F U2
D L R B' D2 F U2
D L R B' F U2 D
D L R B' F U2 D'
D L R B' F U2 D2
D L R B' F D U2
D L R B' F D' U2
D L R B' F D2 U2
D' L R' F R2 U2 F'
D' L R' F B R2 U2
D L R' F R2 B' U2
D L R' F B' R2 U2
D' L R' B R2 F U2
D' L R' B F R2 U2
D L R' B' R2 F U2
D L R' B' F R2 U2
D' L R2 F R' U2 F'
D L R2 F R' B' U2
R2 L D' R' F B U2
R2 L D' R' B F U2
R2 L D' F R' B U2
L R D2 F U' L' U'
D2 L D R F U2 F2
R L D2 F U' L' U'
D L D R F B' U2
D L D R B' F U2
D L D B' R F U2
R2 L F D' R' B U2
U2 L D' R U2 F' B
U2 L D' R U2 B F'
D L D' R F B' U2
D L D' R B' F U2
L R F B U R' U
L R F B' U' L U'
R L F B U R' U
F' L D' F R U2 F'
R L F B' U' L U'
D L D' B' R F U2
D L D2 R F B' U2
D L D2 R B' F U2
D L D2 B' R F U2
D L F U2 L2 F L'
F' L F D' R U2 F'
F L F U2 D L' F
F L F D U2 L' F
D L F D2 B' U2 L
L R B F U R' U
R L B F U R' U
L R B' F U' L U'
R L B' F U' L U'
D' L B R F U2 F2
D L B R F B2 U2
D L B R B2 F U2
D' L B' R F U2 F2
D L B' R D F U2
D L B' R D' F U2
D L B' R D2 F U2
D L B' R F U2 D
D L B' R F U2 D'
D L B' R F U2 D2
D L B' R F D U2
D L B' R F D' U2
D L B' R F D2 U2
D L B' R' F R2 U2
D L B' R2 F R' U2
D L B' D R F U2
D L B' D' R F U2
D L B' D2 R F U2
D' L B2 R F U2 F2
B' L' D F2 B' L' R'
B' L' D F2 B' R' L'
B' L' D B' F2 L' R'
B' L' D B' F2 R' L'
D L' F D2 R2 B' L
D L' F D2 B' L R2
D L' F D2 B' R2 L
B' L' B' D F2 L' R'
B' L' B' D F2 R' L'
L R2 D' R' F B U2
L R2 D' R' B F U2
L R2 D' F R' B U2
L R2 F D' R' B U2
D' R L U2 F' D2 B2
D' R L D F U2 F2
D' R L D' F U2 F2
D2 R L F U' L' U'
D' R L D2 F U2 F2
D' R L F U2 F2 D
D' R L F U2 F2 D'
D' R L F U2 F2 D2
D' R L F D2 B2 U2
D' R L F B U2 F2
D' R L F B' U2 F2
D' R L F B2 U2 F2
D R L D F B' U2
D' R L B F U2 F2
D R L D B' F U2
D R L D' F B' U2
D' R L B' F U2 F2
D R L D' B' F U2
D R L D2 F B' U2
D' R L B2 F U2 F2
D R L D2 B' F U2
D R L F D B' U2
D R L F D' B' U2
D R L F D2 B' U2
D R L F B' U2 D
D R L F B' U2 D'
D R L F B' U2 D2
D R L F B' D U2
D R L F B' D' U2
D R L F B' D2 U2
D R L B' D F U2
D R L B' D' F U2
D R L B' D2 F U2
D R L B' F U2 D
D R L B' F U2 D'
D R L B' F U2 D2
D R L B' F D U2
D R L B' F D' U2
D R L B' F D2 U2
B' R U' L F R U'
D' R D L F U2 F2
U2 R D L B' U2 B2
D2 R D' L F B' U2
D2 R D' L B' F U2
D' R D' L F U2 F2
D' R D2 L F U2 F2
D' R F L F U2 F
D R F L F B' U2
D R F L B' F U2
D' R F' L F U2 F'
D R F' L F B' U2
D R F' L B' F U2
D R F2 L F B' U2
D R F2 L B' F U2
D' R' L F R2 U2 F'
D' R' L F B R2 U2
D' R' L B R2 F U2
D' R' L B F R2 U2
D R' L F R2 B' U2
D R' L F B' R2 U2
D R' L B' R2 F U2
D R' L B' F R2 U2
D' R2 L F R' U2 F'
D R2 L F R' B' U2
R2 D L R' F B' U2
R2 D L R' B' F U2
R2 D L F R' B' U2
R D L D F B' U2
R D L D B' F U2
R D L D' F B' U2
R D L D' B' F U2
R D L D2 F B' U2
R D L D2 B' F U2
R D L F D B' U2
R D L F D' B' U2
R D L F D2 B' U2
R D L F B' U2 D
R D L F B' U2 D'
R D L F B' U2 D2
R D L F B' D U2
R D L F B' D' U2
R D L F B' D2 U2
R D L B' D F U2
R D L B' D' F U2
R D L B' D2 F U2
R D L B' F U2 D
R D L B' F U2 D'
R D L B' F U2 D2
R D L B' F D U2
R D L B' F D' U2
R D L B' F D2 U2
R2 D R' L F B' U2
R2 D R' L B' F U2
U2 D L R B' U2 B2
U2 D L B' R U2 B
R D F L F B' U2
R D F L B' F U2
L D F U2 L' F L'
L D F U2 F L' F
R D F' L F B' U2
R D F' L B' F U2
U2 D R L B' U2 B2
L' D F2 U' B' L' F
R D F2 L F B' U2
R D F2 L B' F U2
R2 D' L R' F B U2
R2 D' L R' B F U2
R2 D' L F R' B U2
L D' R U2 F' D2 B2
R2 D' R' L F B U2
R2 D' R' L B F U2
L D' R D F U2 F2
L D' R D' F U2 F2
L D' R D2 F U2 F2
L D' R F U2 F2 D
L D' R F U2 F2 D'
L D' R F U2 F2 D2
L D' R F D2 B2 U2
L D' R F B U2 F2
L D' R F B' U2 F2
L D' R F B2 U2 F2
L D' R B F U2 F2
L D' R B' F U2 F2
L D' R B2 F U2 F2
U2 D' L R U2 F' B
U2 D' L R U2 B F'
L D' R' F R2 U2 F'
L D' R' F B R2 U2
L D' R' B R2 F U2
L D' R' B F R2 U2
L D' R2 F R' U2 F'
U2 D' R L U2 F' B
U2 D' R L U2 B F'
L D' B R F U2 F2
L D' B' R F U2 F2
L D' B2 R F U2 F2
D' U2 L R U2 F' B
D' U2 L R U2 B F'
R D2 L F U' L' U'
D U2 L R B' U2 B2
D U2 L B' R U2 B
L D2 R F U' L' U'
D' U2 R L U2 F' B
D' U2 R L U2 B F'
D U2 R L B' U2 B2
D F L F B' U2 L'
D F L B' F U2 L'
F2 D L U2 L2 F B'
F2 D L U2 L2 B' F
F' D L F R B' U2
F' D L F B' R U2
F2 D L F U2 L2 F
F2 D L F B' U2 L2
F' D L B' F R U2
F2 D L B' U2 L2 B'
F2 D L B' F U2 L2
F2 D L' D2 R2 F B'
F2 D L' D2 R2 B' F
F2 D L' D2 F R2 B'
F2 D L' D2 F B' R2
F2 D L' D2 B' R2 F
F2 D L' D2 B' F R2
F2 D L' F D2 R2 B'
F2 D L' F D2 B' R2
F2 D L' F B' D2 R2
F2 D L' B' D2 R2 F
F2 D L' B' D2 F R2
F2 D L' B' F D2 R2
L F U2 F D L' F
R F D L F B' U2
R F D L B' F U2
D' F' L F R U2 F'
D F' L F R B' U2
D F' L F B' R U2
D F' L B' F R U2
F2 D B' L' F B' R'
F2 D B' L' B' R' F
F2 D B' L' B' F R'
F2 D B2 L' R' F B'
F2 D B2 L' R' B' F
F2 D B2 L' F R' B'
F2 D B2 R' L' F B'
F2 D B2 R' L' B' F
F' D' L F R U2 F'
R F' D L F B' U2
R F' D L B' F U2
D F2 L U2 L2 F B'
D F2 L U2 L2 B' F
D F2 L F U2 L2 F
D F2 L F B' U2 L2
D F2 L B' U2 L2 B'
D F2 L B' F U2 L2
D F2 L' D2 R2 F B'
D F2 L' D2 R2 B' F
D F2 L' D2 F R2 B'
D F2 L' D2 F B' R2
D F2 L' D2 B' R2 F
D F2 L' D2 B' F R2
D F2 L' F D2 R2 B'
D F2 L' F D2 B' R2
D F2 L' F B' D2 R2
D F2 L' B' D2 R2 F
D F2 L' B' D2 F R2
D F2 L' B' F D2 R2
R F2 D L F B' U2
R F2 D L B' F U2
L' F2 B' L' D F2 R
D F2 B' L' F B' R'
D F2 B' L' B' R' F
D F2 B' L' B' F R'
D F2 B2 L' R' F B'
D F2 B2 L' R' B' F
D F2 B2 L' F R' B'
D F2 B2 R' L' F B'
D F2 B2 R' L' B' F
L B R D F B2 U2
L B R D B2 F U2
L B R D' F U2 F
L B R F U R2 U
L B R F U2 D' F2
L B R F D B2 U2
L B R F D' U2 F2
L' B' L' D F2 L' R
L' B' L' D F2 R L'
L B' R F U' L U'
F2 B' L' D F2 B' R'
F2 B' L' D B' R' F2
F2 B' L' D B' F2 R'
F2 B' L' B' R' D F2
F2 B' L' B' D R' F2
F2 B' L' B' D F2 R'
R B' U' L F R U'
L' B' F2 L' D F2 R
D B' F2 L' F B' R'
D B' F2 L' B' R' F
D B' F2 L' B' F R'
B' F2 L' D F2 B' R'
B' F2 L' D B' R' F2
B' F2 L' D B' F2 R'
B' F2 L' B' R' D F2
B' F2 L' B' D R' F2
B' F2 L' B' D F2 R'
D B2 F2 L' R' F B'
D B2 F2 L' R' B' F
D B2 F2 L' F R' B'
D B2 F2 R' L' F B'
D B2 F2 R' L' B' F
