D B2 L R2 F B'
D B2 L R2 B' F
D B2 L F R2 B'
D B2 L F B' R2
D B2 L B' R2 F
D B2 L B' F R2
D B2 R2 L F B'
D B2 R2 L B' F
D L R' U2 R' F B'
D L R' U2 R' B' F
D L R' U2 F R' B'
D L R2 F D2 B' L
D L R2 F2 B' L' F'
D L R2 B' F2 L' F'
B' L D2 B2 U F L'
D' L F B2 L R' B
D' L F B2 R' L B
D L F B2 L B R2
D L F' R2 F2 B' L'
D L F' R2 B' F2 L'
D L B' R2 D2 F L'
D' L B2 R' F L B
D' L B2 F L R' B
D' L B2 F R' L B
D L B2 F L B R2
D' L' R' B' L' U2 B2
D L2 R2 F2 L' F B'
D L2 R2 F2 L' B' F
D R' L U2 R' F B'
D R' L U2 R' B' F
D R' L U2 F R' B'
D' R' L' B' L' U2 B2
D R' U2 D2 R' F' B
D R' U2 D2 R' B F'
D R' D2 U2 R' F' B
D R' D2 U2 R' B F'
D R' B2 L U2 F B'
D R' B2 L U2 B' F
D R2 L F D2 B' L
D R2 L F2 B' L' F'
D R2 L B' F2 L' F'
D R2 L2 F2 L' F B'
D R2 L2 F2 L' B' F
R' D L U2 R2 F B'
R' D L U2 R2 B' F
R' D L U2 F R2 B'
R' D L U2 F B' R2
R' D L U2 B' R2 F
R' D L U2 B' F R2
R' D L' F B' U2 R2
R' D L' B' F U2 R2
D R2 F L F B' L'
D R2 F L B' F L'
D R2 F2 L F B' L2
D R2 F2 L B' F L2
R2 D R2 B2 L F B'
R2 D R2 B2 L B' F
L D F B2 L R2 B'
L D F B2 L B' R2
L D F B2 R2 L B'
L' D B2 L R2 F' B'
L' D B2 L R2 B' F'
L' D B2 R2 L F' B'
L' D B2 R2 L B' F'
L' D B2 R2 F' L B'
L D B2 R2 F L B'
L D B2 F L R2 B'
L D B2 F L B' R2
L D B2 F R2 L B'
L' D' L2 R' U2 F B
L' D' L2 R' U2 B F
L D' L2 R' B' U2 B2
L' D' R' L2 U2 F B
L' D' R' L2 U2 B F
L' D' R' B' L2 U2 B2
L D' R' L2 B' U2 B2
U2 D' L2 R' U2 F' B
U2 D' L2 R' U2 B F'
U2 D' R' L2 U2 F' B
U2 D' R' L2 U2 B F'
D' U2 L2 R' U2 F' B
D' U2 L2 R' U2 B F'
D' U2 R' L2 U2 F' B
D' U2 R' L2 U2 B F'
B U2 R' F2 U' F L'
D2 F B2 L' U L2 F
D F B2 L R2 F B'
D F B2 L R2 B' F
D F B2 L F R2 B'
D F B2 L F B' R2
D F B2 L B' R2 F
