R' L B' R' U' F' R'
L R' B' R' U' F' R'
L2 R2 U' F' L' R' B'
L2 R2 U' F' R' L' B'
R2 L2 U' F' L' R' B'
R2 L2 U' F' R' L' B'
F2 L' B U F L U
L2 U R2 F' R' B L
B2 R D L2 F L' B'
L2 U' R2 F' L' R' B'
L2 U' R2 F' R' L' B'
L2 U' B U2 R B L
B U L U2 B' U' R
D' U B R' U2 R2 B
D' U B R' F' U2 R2
U D' B R' U2 R2 B
U D' B R' F' U2 R2
L' F R2 U F' R B
B2 D L2 R F L' B'
B2 D R L2 F L' B'
B' D2 R' B U' R2 F2
B' D2 R' B U' F2 R2
D' B R' U L U R2
F2 B L' U F L2 U
L B U' B2 R' U' R2
D2 B' R' B U' R2 F'
L B' R' U B2 U2 R2
L B' R' U' R2 D2 F2
L B' D L2 R' U' R2
L B' D R' L2 U' R2
L B' D2 R' U' R2 F2
L B' D2 R' U' F2 R2
B F2 L' U F L2 U
