R' U2 F B U B'
R' U2 B F U B'
F2 D R2 B U' R'
R F' U' D' L2 B'
R F' D' U' L2 B'
L' R U' L F' U' L'
L' R U' F' L U' L2
L2 R U' F' B' L2 U'
L2 R U' B' L2 F' U'
L2 R U' B' F' L2 U'
L2 R F' B' L2 U' B'
L2 R B' F' L2 U' B'
R L' U' L F' U' L'
R L' U' F' L U' L2
L2 R2 U' B' L2 U' R'
R2 L2 U' B' L2 U' R'
R L2 U' F' B' L2 U'
R L2 U' B' L2 F' U'
R L2 U' B' F' L2 U'
R L2 F' B' L2 U' B'
R L2 B' F' L2 U' B'
R' U F B U' B' U2
R U F U2 F2 U' F2
R' U B F U' B' U2
U R F U2 F2 U' F2
B' R F' U' D' L2 B'
F' R F' D R2 B U'
B' R F' D' U' L2 B'
B2 R F' U' D' L2 B'
F2 R F' U F' U2 L'
B2 R F' D' U' L2 B'
B R F' U' D' L2 B'
R U' L2 F' B' U' F
B R F' D' U' L2 B'
R U' L2 B' F' U' F
R U' F' U' D' F L2
R U' F' U2 F2 U F'
R U' F' D' U' F L2
R U' F' D2 B2 U' F
U R' U F B U B'
U R' U B F U B'
U2 R' U' B R F U
B' R' U2 F B U B'
B' R' U2 B F U B'
B2 R' U2 F B U B'
B2 R' U2 B F U B'
B R' U2 F B U B'
B R' U2 B F U B'
R2 U2 L' B' U B L
U R' F B U' B' U2
U2 R' B R F U B'
R' U2 D F B U B'
U R' B F U' B' U2
R' U2 D B F U B'
R' U2 D' F B U B'
R' U2 D' B F U B'
R' U2 D2 F B U B'
R' U2 D2 B F U B'
R' U2 F L B U B'
R' U2 F L' B U B'
R' U2 F L2 B U B'
R' U2 F D B U B'
R' U2 F D' B U B'
R' U2 F D2 B U B'
R' U2 F B U D B'
R' U2 F B U D' B'
R' U2 F B U D2 B'
R' U2 F B U B' D
R' U2 F B U B' D'
R' U2 F B U B' D2
R' U2 F B D U B'
R' U2 F B D' U B'
R' U2 F B D2 U B'
R2 U2 F L' B' U B
R2 U2 F B U B' R'
R U2 F D2 B2 U B2
F' R2 U' D' L2 B' R'
R' U2 B D F U B'
R' U2 B D' F U B'
R' U2 B D2 F U B'
R' U2 B F U D B'
R' U2 B F U D' B'
R' U2 B F U D2 B'
R' U2 B F U B' D
R' U2 B F U B' D'
R' U2 B F U B' D2
R' U2 B F D U B'
R' U2 B F D' U B'
R' U2 B F D2 U B'
R2 U2 B F U B' R'
F' R2 D' U' L2 B' R'
R' D U2 F B U B'
R' D U2 B F U B'
R D F' U' D' L2 B'
R D F' D' U' L2 B'
F' U D' F L' U2 L'
U2 D F B U R' B'
U2 D B F U R' B'
D2 U' L' F U' F' L'
R' D' U2 F B U B'
R' D' U2 B F U B'
R D' F' U' D' L2 B'
R D' F' D' U' L2 B'
F U' D' F' U2 R F
U' D2 L' F U' F' L'
R' D2 U2 F B U B'
R' D2 U2 B F U B'
D2 U2 F L B' U B
U2 D2 F L B' U B
D U2 F B U R' B'
R D2 F' U' D' L2 B'
R D2 F' D' U' L2 B'
D U2 B F U R' B'
F2 U2 D' L2 F' U R
F2 U2 D' F' L2 U R
U F R U2 F' U' F
U2 F R' B R U B'
D' F U L' F' U2 L
U F R' B U' B' U2
D' F U' L' F' U2 F
R2 F U F' L' U2 L
R2 F U' F' U2 F R
U2 F D B U R' B'
U2 F D2 L B' U B
R' F B U' F' U2 F
F2 D R2 F B U' R'
F2 D R2 F' B U' R'
F2 D R2 F2 B U' R'
F2 D R2 B U' R' D
F2 D R2 B U' R' D'
F2 D R2 B U' R' D2
F2 D R2 B U' D R'
F2 D R2 B U' D' R'
F2 D R2 B U' D2 R'
F2 D R2 B D U' R'
F2 D R2 B D' U' R'
F2 D R2 B D2 U' R'
F2 D R2 B F U' R'
F2 D R2 B F' U' R'
F2 D R2 B F2 U' R'
U2 F B' U D B R'
U2 F B' D U B R'
R F' R U' D' L2 B'
F2 D B R2 B U' R
R F' R D' U' L2 B'
R F' R' U' D' L2 B'
R F' R' D' U' L2 B'
D' F' U' R D' L2 B'
R F' R2 U' D' L2 B'
D' F' U' D' L2 R B'
D' F' U' D' L2 B' R
D' F' U' D' R L2 B'
R F' R2 D' U' L2 B'
R2 F' U' D' L2 B' R'
R F' U D R2 F U2
R F' U D F R2 U2
R F' U D' F U2 L2
R F' U F U F U
R F' U' L2 D' B' L2
R F' U' L2 B' D' L2
R F' U' D' L2 D B'
R F' U' D' L2 D' B'
R F' U' D' L2 D2 B'
R F' U' D' L2 B' D
R F' U' D' L2 B' D'
R F' U' D' L2 B' D2
R F' U' D' B L2 B'
R F' U' D' B' L2 B'
R F' U' D' B2 L2 B'
R F' U' B D' L2 B'
R F' U' B' D' L2 B'
R F' U' B2 D' L2 B'
R F' U2 L2 F2 U B'
D' F' D' U' L2 R B'
D' F' D' U' L2 B' R
D' F' D' U' R L2 B'
R F' U2 F2 U' F' U2
R2 F' D' U' L2 B' R'
R F' D U R2 F U2
R F' D U F R2 U2
R F' D' R U' L2 B'
R F' D' R' U' L2 B'
R F' D' R2 U' L2 B'
R F' D' U F U2 L2
R F' D' U' L2 D B'
R F' D' U' L2 D' B'
R F' D' U' L2 D2 B'
R F' D' U' L2 B' D
R F' D' U' L2 B' D'
R F' D' U' L2 B' D2
R F' D' U' B L2 B'
R F' D' U' B' L2 B'
R F' D' U' B2 L2 B'
R F' D' B U' L2 B'
R F' D' B' U' L2 B'
R F' D' B2 U' L2 B'
F' D' U F L' U2 L'
R F' D2 B2 U F U2
R F' B U' D' L2 B'
R F' B D' U' L2 B'
R F' B' U' D' L2 B'
R F' B' D' U' L2 B'
F2 D' U2 L2 F' U R
F2 D' U2 F' L2 U R
R F' B2 U' D' L2 B'
R F' B2 D' U' L2 B'
F D' U' F' U2 R F
R' F2 D R2 F' B U'
R' F2 D R2 B F' U'
R F2 D R2 F B U'
R F2 D R2 B F U'
R' B F U' F' U2 F
R B F' U' D' L2 B'
R B F' D' U' L2 B'
F2 B D R2 B U' R'
L2 B' R F' L2 U' B'
R' B' U2 F B2 U B2
R' B' U2 B2 F U B2
U2 B' D F U B R'
U2 B' F U D B R'
U2 B' F D U B R'
F2 B' D R2 B U' R'
R B' F' U' D' L2 B'
R B' F' D' U' L2 B'
L' B2 U R' B U L
R' B2 U2 F B' U B
R' B2 U2 B' F U B
B' F2 D R2 B U' R'
B2 F2 D R2 B U' R'
F2 B2 D R2 B U' R'
B F2 D R2 B U' R'
R B2 F' U' D' L2 B'
R B2 F' D' U' L2 B'
