D' R F2 U F B
D' R F2 U B F
D2 F' R U L2 B
D2 F' R U B L2
D' F2 R U F' B
D' F2 R U B F'
D' L R F2 U F B
D' L R F2 U B F
D2 L F' R U L B
D' L F2 R U F' B
D' L F2 R U B F'
D' L' R F2 U F B
D' L' R F2 U B F
D' L' F2 R U F' B
D' L' F2 R U B F'
D' L2 R F2 U F B
D' L2 R F2 U B F
D' L2 F2 R U F' B
D' L2 F2 R U B F'
R U D F2 L' F B
R U D F2 L' B F
R U D F2 B L' F
R U D B F2 L' F
D' R L F2 U F B
D' R L F2 U B F
D' R L' F2 U F B
D' R L' F2 U B F
D' R L2 F2 U F B
D' R L2 F2 U B F
D' R U D' L2 F' B
D' R U D' L2 B F'
D' R U D' F' L2 B
D' R U D' F' B L2
D' R U D' B L2 F'
D' R U D' B F' L2
D' R U B D' L2 F'
D' R U B D' F' L2
R U F2 D L' F B
R U F2 D L' B F
R U F2 D B L' F
R2 U B R' U B R
D' R D' U L2 F' B
D' R D' U L2 B F'
D' R D' U F' L2 B
D' R D' U F' B L2
D' R D' U B L2 F'
D' R D' U B F' L2
D' R F2 U D F B
D' R F2 U D B F
D' R F2 U D' F B
D' R F2 U D' B F
D' R F2 U D2 F B
D' R F2 U D2 B F
D' R F2 U F D B
D' R F2 U F D' B
D' R F2 U F D2 B
D' R F2 U F B D
D' R F2 U F B D'
D' R F2 U F B D2
D' R F2 U B D F
D' R F2 U B D' F
D' R F2 U B D2 F
D' R F2 U B F D
D' R F2 U B F D'
D' R F2 U B F D2
D' R F2 D U F B
D' R F2 D U B F
D' R F2 D' U F B
D' R F2 D' U B F
D' R F2 D2 U F B
D' R F2 D2 U B F
B R B D' F2 L' R2
B R B D' F2 R2 L'
B R B' R2 U B2 L
R' U' D' F' R' B U2
R' U' F' D' R' B U2
D' R' F2 U' F B U2
D' R' F2 U' B F U2
D' R2 F2 R' U F' B
D' R2 F2 R' U B F'
U' R2 B U L R' U
U' R2 B U R' L U
U' R2 B' U' L R' U'
U' R2 B' U' R' L U'
R D U F2 L' F B
R D U F2 L' B F
R D U F2 B L' F
R D U B F2 L' F
U2 D L' B2 U' F B
U2 D L' B2 U' B F
R D F2 U L' F B
R D F2 U L' B F
R D F2 U B L' F
L' D' R F2 U F B
L' D' R F2 U B F
L2 D' R F2 U F B
L2 D' R F2 U B F
U2 D B2 L' U' F B'
U2 D B2 L' U' B' F
L D' R F2 U F B
L D' R F2 U B F
R' D' U' F' R' B U2
L' D' F2 R U F' B
L' D' F2 R U B F'
L2 D' F2 R U F' B
L2 D' F2 R U B F'
L D' F2 R U F' B
L D' F2 R U B F'
D U2 L' B2 U' F B
D U2 L' B2 U' B F
L' D2 F' R U L2 B
L' D2 F' R U B L2
L2 D2 F' R U L2 B
L2 D2 F' R U B L2
L D2 F' R U L2 B
L D2 F' R U B L2
D U2 B2 L' U' F B'
D U2 B2 L' U' B' F
D' F R F U F2 B
D' F R F U B F2
D2 F U2 L' U' B' L'
D2 F D F2 R U B
D2 F' L R U L B
D2 F' L' R U L' B
D2 F' L' R U B L'
D2 F' R L U L B
D2 F' R L' U L' B
D2 F' R L' U B L'
D2 F' R U L' B L'
D2 F' R U L2 D B
D2 F' R U L2 D' B
D2 F' R U L2 D2 B
D2 F' R U L2 B D
D2 F' R U L2 B D'
D2 F' R U L2 B D2
D' F' R U F' L' B
D' F' R U F' B L'
D2 F' R U B L2 D
D2 F' R U B L2 D'
D2 F' R U B L2 D2
D2 F' R U B' L2 B2
D' F' R U B F' L'
D2 F' R D F2 U B
D2 F' R F U L2 B
D2 F' R F U B L2
D2 F' R F' U L2 B
D2 F' R F' U B L2
D2 F' R F2 U L2 B
D2 F' R F2 U B L2
D2 F' D R F2 U B
D' F' D' F' R U B
F' D' R F2 U F B
F' D' R F2 U B F
F2 D' R F2 U F B
F2 D' R F2 U B F
F D' R F2 U F B
F D' R F2 U B F
D' F2 L R U F' B
D' F2 L R U B F'
D' F2 L' R U F' B
D' F2 L' R U B F'
D' F2 L2 R U F' B
D' F2 L2 R U B F'
D' F2 R L U F' B
D' F2 R L U B F'
D' F2 R L' U F' B
D' F2 R L' U B F'
D' F2 R L2 U F' B
D' F2 R L2 U B F'
D' F2 R U D F' B
D' F2 R U D B F'
D' F2 R U D' F' B
D' F2 R U D' B F'
D' F2 R U D2 F' B
D' F2 R U D2 B F'
D' F2 R U F' D B
D' F2 R U F' D' B
D' F2 R U F' D2 B
D' F2 R U F' B D
D' F2 R U F' B D'
D' F2 R U F' B D2
D' F2 R U B D F'
D' F2 R U B D' F'
D' F2 R U B D2 F'
D' F2 R U B F' D
D' F2 R U B F' D'
D' F2 R U B F' D2
D' F2 R D U F' B
D' F2 R D U B F'
D' F2 R D' U F' B
D' F2 R D' U B F'
D' F2 R D2 U F' B
D' F2 R D2 U B F'
F' D' F2 R U F' B
F' D' F2 R U B F'
D' F2 R' U' F' B U2
F2 D' F2 R U F' B
F2 D' F2 R U B F'
D' F2 R' U' B F' U2
F D' F2 R U F' B
F D' F2 R U B F'
R F2 U D L' F B
R F2 U D L' B F
R F2 U D B L' F
R F2 D U L' F B
R F2 D U L' B F
R F2 D U B L' F
F' D2 F' R U L2 B
F' D2 F' R U B L2
F2 D2 F' R U L2 B
F2 D2 F' R U B L2
F D2 F' R U L2 B
F D2 F' R U B L2
U' B R2 U L R U
U' B R2 U R L U
R2 B U R' B' U B2
U2 B' L U R2 F U2
U2 B' L U F R2 U2
U2 B' L U' D2 L2 B'
U2 B' L D2 U' L2 B'
U' B' R2 U' L R U'
U' B' R2 U' R L U'
