B' L' B' L2 R' U'
B' L' B' R' L2 U'
L F R2 B R' U
L' B' L U2 L U
L' B' D' L U' B2
L' B' D2 L R2 U'
L' B' D2 R2 L U'
B2 L R' U2 F R U
U2 L R' D2 F' R U
F L R2 F B R' U
F L R2 B R' F U
F L R2 B F R' U
U2 L U D F' L' F
U2 L U F' D L' F
U2 L U2 L' B' L U'
B' L U2 F U2 R U'
B' L U2 F' L' F2 U
U2 L D U F' L' F
R' L F R2 B R' U
R2 L F R2 B R' U
L R F R2 B R' U
R L F R2 B R' U
U2 L D2 R' F' R U
D2 L F U2 L' F' U'
L' R B' L U2 L U
L' R B' D' L U' B2
L' R B' D2 L R2 U'
L' R B' D2 R2 L U'
U2 L B R' F' B' U
U2 L B R' B' F' U
B' L B U2 F L U
B' L B' R' U2 F U
B' L' R B' L2 R' U'
B' L' R B' R' L2 U'
B' L' R' B' L2 R' U'
B' L' R' B' R' L2 U'
B2 L' R' B L B2 U'
B2 L' R' B' U2 R' U
B' L' R2 B' L2 R' U'
B' L' R2 B' R' L2 U'
L R' F R2 B R' U
B' L' D B' R' U' F2
R' L' B' L U2 L U
L' R' B' L U2 L U
D L' D' B' U' F B'
D L' D' B' U' B' F
R2 L' B' L U2 L U
R L' B' L U2 L U
D2 L' D2 R2 B' L U'
R' L' B' D' L U' B2
L' R' B' D' L U' B2
R' L' B' D2 L R2 U'
L' R' B' D2 L R2 U'
R' L' B' D2 R2 L U'
L' R' B' D2 R2 L U'
D L' D2 R2 B' U' F
D2 L' D2 B' L R2 U'
D2 L' D2 B' R2 L U'
R2 L' B' D' L U' B2
R2 L' B' D2 L R2 U'
R2 L' B' D2 R2 L U'
R L' B' D' L U' B2
R L' B' D2 L R2 U'
R L' B' D2 R2 L U'
D L' D2 B' R2 U' F
B' L' B' L2 R' U' D
B' L' B' L2 R' U' D'
B' L' B' L2 R' U' D2
B' L' B' L2 R' D U'
B' L' B' L2 R' D' U'
B' L' B' L2 R' D2 U'
B' L' B' L2 D R' U'
B' L' B' L2 D' R' U'
B' L' B' L2 D2 R' U'
B' L' B' R' L2 U' D
B' L' B' R' L2 U' D'
B' L' B' R' L2 U' D2
B' L' B' R' L2 D U'
B' L' B' R' L2 D' U'
B' L' B' R' L2 D2 U'
B' L' B' R' U' D F2
B' L' B' R' D U' F2
B' L' B' D R' U' F2
D L' B' U' D' F B2
D L' B' U' D' B2 F
D L' B' U' F D' B2
D L' B' D' U' F B2
D L' B' D' U' B2 F
D L' B' D2 R2 U' F
B' L' B2 L2 B R' U'
B2 L2 R' B L B' U'
L R2 F R2 B R' U
L' R2 B' L U2 L U
L' R2 B' D' L U' B2
L' R2 B' D2 L R2 U'
L' R2 B' D2 R2 L U'
B2 L2 D2 R' B L U'
B2 L2 B L B' R' U'
B L2 B2 L B' R' U'
B' R L' B' L2 R' U'
B' R L' B' R' L2 U'
D' R U' F' L' D' B2
D' R U2 L U F' L'
D' R B' U' F' L' B'
B2 R' L U2 F R U
U2 R' L D2 F' R U
B' R' L' B' L2 R' U'
B' R' L' B' R' L2 U'
B2 R' L' B L B2 U'
B2 R' L' B' U2 R' U
B2 R' L2 B L B' U'
B2 R' U R B U2 L
B2 R' U R' U2 F' L'
B2 R' U B U2 L F
B2 R' U B' R' U2 F'
B2 R' U' L F' L' F2
B2 R' U' L2 F' L' F
B2 R' U' F' L F L2
B2 R' U' F2 L F L'
U2 R' D2 L F' R U
