F U' B' L F U
B' L R2 U F2 L' F
B' L R2 F2 U L' F
B' L U' D2 R' B U2
B' L D2 U' R' B U2
F L' D' R' B L R'
F L' D' R' B R' L
F L' D' B L R' B
F L' D' B R' L B
B L' B2 L U F L
F R U' B' L F U
B R D F L B2 R'
B' R D' F2 L U F'
B R F D L B2 R'
B R' U' D' R2 F L
B R' U' D' F L R2
B R' U' D' F R2 L
B R' U' F L D' R2
B R' U' F D' L R2
B R' U' F D' R2 L
F R' U' B' L F U
B R' D' U' R2 F L
B R' D' U' F L R2
B R' D' U' F R2 L
B R' D2 F2 U' L F'
B R' D2 F2 U' F' L
D' R' F B L D' R2
D' R' F B D' L R2
D' R' F B D' R2 L
U R' F' B' L U F2
D' R' B D' R2 F L
D' R' B D' F L R2
D' R' B D' F R2 L
D' R' B F L D' R2
D' R' B F D' L R2
D' R' B F D' R2 L
D' R' B' U F B2 L
D' R' B' U B2 F L
U R' B' F' L U F2
B' R2 L U F2 L' F
B' R2 L F2 U L' F
F R2 U' B' L F U
B R2 F D' L R2 B'
B R2 F D' L B' R2
B R2 F D' R2 L B'
B' R2 F2 L U L2 F'
B' R2 F2 L U F' L2
B' U L' D' B2 L F
B' U F L' D' B2 L
L' D' R' B L R' F
L' D' R' B L F R'
L' D' R' B R' L F
F2 U B' L U F' L'
L' D' B L R' F B
L' D' B L R' B F
L' D' B L F R' B
L' D' B R' L F B
L' D' B R' L B F
F U' F B' L F U
F U' F' B' L F U
F' U' B' L F U F
F U' F2 B' L F U
F2 U' B' L F U F2
F U' B' L D F U
F U' B' L D' F U
F U' B' L D2 F U
F U' B' L F U D
F U' B' L F U D'
F U' B' L F U D2
F U' B' L F D U
F U' B' L F D' U
F U' B' L F D2 U
F U' B' D L F U
F U' B' D' L F U
F U' B' D2 L F U
F U' B' F L F U
F U' B' F' L F U
F U' B' F2 L F U
D' F R' B L D' R2
D' F R' B D' L R2
D' F R' B D' R2 L
B' U2 B2 R' U' F L
R' F U' B' L F U
R2 F U' B' L F U
R F U' B' L F U
D2 F B L D' R2 B2
D2 F B L D' B2 R2
U' F B' L F U F'
D F B L D' R2 B'
D F B L D' B' R2
F D B L D' R2 B'
F D B L D' B' R2
U' F' B' L F U F
B D' R' U' R' F L
B D' R' U' F L R'
B D' R' U' F R' L
U2 F' B' L U L2 F2
U2 F' B' L U F2 L2
F D' R' B L D' R2
F D' R' B D' L R2
F D' R' B D' R2 L
B D' R2 F D' L B'
U' F2 B' L F U F2
B D2 R' F2 U' L F'
B D2 R' F2 U' F' L
U F2 B' L U F' L'
F D2 B D' L R2 B'
F D2 B D' L B' R2
F D2 B D' R2 L B'
B F L U' B2 L U
F B L U' B2 L U
D2 B D' R2 F L B'
D2 B D' F L R2 B'
D2 B D' F L B' R2
D2 B D' F R2 L B'
D2 B F L D' R2 B2
D2 B F L D' B2 R2
B F R D L B2 R'
F B R D L B2 R'
D B F L D' R2 B'
D B F L D' B' R2
U2 B' L F' U L' F
U B' L U F' L' F
B' F' L R2 U F2 L'
B' F' L U' R' U2 F2
F' B' L R2 U F2 L'
F' B' L U' R' U2 F2
U B' R' F' L U F2
D' B' U' R' U2 F B
D' B' U' R' U2 B F
D B' U F B2 L B'
D B' U B2 F L B'
B' F' R2 L U F2 L'
F' B' R2 L U F2 L'
U' B' F L F U F'
U' B' F' L F U F
U' B' F2 L F U F2
U2 B' F' L U L2 F2
U2 B' F' L U F2 L2
U B' F2 L U F' L'
