B' R' D F B' L
B' R' D B' F L
B' R' D' F B' L'
B' R' D' B' F L'
B' R' F D B' L
B' R' B' D' F L'
U2 F R B2 D' L2
U2 F R B2 D' L2
D2 F D' L2 B' R'
U2 F B2 R D' L2
U2 F B2 D' L2 R
U2 F B2 D' R L2
U2 F' U F2 R B2
U2 F' U F2 B2 R
U2 F' U B2 F2 R
B' F R' D' B' L2
B' F R' B' D' L2
B' F D' R' B' L2
F' B' U R' F2 B'
F' B' U R' B' F2
B' F' U R' F2 B'
F' B' U F2 R' B'
B' F' U R' B' F2
B' F' U F2 R' B'
F B' R' D' B' L2
F B' R' B' D' L2
F B' D' R' B' L2
F B' D' R' B' L2
U2 B2 F R D' L2
U2 B2 F D' L2 R
U2 B2 F D' R L2
F' L B' U R' F2 B'
F' L B' U R' B' F2
F' L B' U F2 R' B'
F L B' R' D' B' L2
F L B' R' B' D' L2
F L B' D' R' B' L2
F' L' B' U R' F2 B'
F' L' B' U R' B' F2
F' L' B' U F2 R' B'
F L' B' R' D' B' L2
F L' B' R' B' D' L2
F L' B' D' R' B' L2
F' L2 B' U R' F2 B'
F' L2 B' U R' B' F2
F' L2 B' U F2 R' B'
F2 L2 B' U' F' R' B'
F L2 B' R' D' B' L2
F L2 B' R' B' D' L2
F L2 B' D' R' B' L2
B' R F R2 D B' L
B' R B' R2 D' F L'
F' R B' U R' F2 B'
F' R B' U R' B' F2
F' R B' U F2 R' B'
F R B' R' D' B' L2
F R B' R' B' D' L2
F R B' D' R' B' L2
R2 U' B U' F B R
R2 U' B U' B F R
B' R' D F B' L D
B' R' D F B' L D'
B' R' D F B' L D2
B' R' D F B' D L
B' R' D F B' D' L
B' R' D F B' D2 L
B' R' D F' B' L F2
B' R' D F2 B' L F'
B' R' D B' D F L
B' R' D B' D' F L
B' R' D B' D2 F L
B' R' D B' F L D
B' R' D B' F L D'
B' R' D B' F L D2
B' R' D B' F D L
B' R' D B' F D' L
B' R' D B' F D2 L
B' R' D B' F' L F2
B' R' D B' F2 L F'
B' R' D' F D B' L'
B' R' D' F D' B' L'
B' R' D' F D2 B' L'
B' R' D' F B L' B2
B' R' D' F B' L' D
B' R' D' F B' L' D'
B' R' D' F B' L' D2
B' R' D' F B' D L'
B' R' D' F B' D' L'
B' R' D' F B' D2 L'
B' R' D' F B2 L' B
B' R' D' B F L' B2
B' R' D' B' F L' D
B' R' D' B' F L' D'
B' R' D' B' F L' D2
B' R' D' B' F D L'
B' R' D' B' F D' L'
B' R' D' B' F D2 L'
B' R' D' B2 F L' B
B' R' D2 F D' B' L
B' R' D2 B' D F L'
B' R' F D B' L D
B' R' F D B' L D'
B' R' F D B' L D2
B' R' F D B' D L
B' R' F D B' D' L
B' R' F D B' D2 L
B' R' F2 D F' B' L
B' R' F2 D B' L F'
B' R' F2 D B' F' L
F' R' B' U R' F2 B'
F' R' B' U R' B' F2
F' R' B' U F2 R' B'
B' R' B' D' F L' D
B' R' B' D' F L' D'
B' R' B' D' F L' D2
B' R' B' D' F D L'
B' R' B' D' F D' L'
B' R' B' D' F D2 L'
F R' B' R' D' B' L2
F R' B' R' B' D' L2
F R' B' D' R' B' L2
B' R' B2 D' F L' B
B' R' B2 D' F B L'
B' R' B2 D' B F L'
U2 R' B2 D' F L' R
U2 R' B2 D' F R L'
B2 R2 U B U' R' F
B2 R2 U B U' F R'
R' U2 B2 D' F L' R
R' U2 B2 D' F R L'
B2 R2 F U B U' R'
U' R2 B U' F B R
B' R2 B U' R F B2
B' R2 B U' R B2 F
U' R2 B U' B F R
B' R2 B U' B2 R F
B2 R2 B U' R' F B'
B2 R2 B U' R' B' F
B2 R2 B U' F R' B'
B' R2 B' R D F L2
B' R2 B' R F D L2
F' R2 B' U R' F2 B'
F' R2 B' U R' B' F2
F' R2 B' U F2 R' B'
B' R2 B' D R F L2
F R2 B' R' D' B' L2
F R2 B' R' B' D' L2
F R2 B' D' R' B' L2
B' U R' D F B' L
B' U R' D B' F L
B' U R' D' F B' L'
B' U R' D' B' F L'
B' U R' F D B' L
B' U R' B' D' F L'
U2 D F R D' L2 B2
U2 D F R D' B2 L2
U2 D F D' L2 R B2
U2 D F D' L2 B2 R
U2 D F D' R L2 B2
U2 D F D' R B2 L2
U2 D F D' B2 L2 R
U2 D F D' B2 R L2
B' U F R' D' B' L2
B' U F R' B' D' L2
B' U F D' R' B' L2
B' U F' U R' F2 B'
B' U F' U R' B' F2
B' U F' U F2 R' B'
D' U' R2 B U' F R
U' D' R2 B U' F R
F U' L' F2 B' U B'
F U' L' B' F2 U B'
B' U' R' D F B' L
B' U' R' D B' F L
B' U' R' D' F B' L'
B' U' R' D' B' F L'
B' U' R' F D B' L
B' U' R' B' D' F L'
B2 U' D2 F' U R F2
B' U' F R' D' B' L2
B' U' F R' B' D' L2
B' U' F D' R' B' L2
B' U' F' U R' F2 B'
B' U' F' U R' B' F2
B' U' F' U F2 R' B'
B2 U' F' B U R' F2
B2 U' F' B U F2 R'
F U' F2 L' B' U B'
F U' F2 U B' R' B'
B2 U' B F' U R' F2
B2 U' B F' U F2 R'
F U' F2 B' U B' R'
F U' B' F2 U B' R'
D2 U2 F R D' L2 B'
D2 U2 F D' L2 R B'
D2 U2 F D' L2 B' R
D2 U2 F D' R L2 B'
U2 D2 F R D' L2 B'
U2 D2 F D' L2 R B'
U2 D2 F D' L2 B' R
U2 D2 F D' R L2 B'
D U2 F R D' L2 B2
D U2 F R D' B2 L2
D U2 F D' L2 R B2
D U2 F D' L2 B2 R
D U2 F D' R L2 B2
D U2 F D' R B2 L2
D U2 F D' B2 L2 R
D U2 F D' B2 R L2
B' U2 R' D F B' L
B' U2 R' D B' F L
B' U2 R' D' F B' L'
B' U2 R' D' B' F L'
B' U2 R' F D B' L
B' U2 R' B' D' F L'
U2 F L R B2 D' L2
U2 F L B2 R D' L2
U2 F L B2 D' L2 R
U2 F L B2 D' R L2
U2 F L' R B2 D' L2
B' U2 F R' D' B' L2
B' U2 F R' B' D' L2
F' U2 F U' R F B2
F' U2 F U' R B2 F
B' U2 F D' R' B' L2
F' U2 F U' B2 R F
F2 U2 F U R F2 B2
F2 U2 F U R B2 F2
F2 U2 F U B2 R F2
D2 F L2 D' B' L2 R'
D2 F L2 D' B' R' L2
U2 F L' B2 R D' L2
U2 F L' B2 D' L2 R
U2 F L' B2 D' R L2
U2 F L2 R B2 D' L2
D2 F L2 B' R' D' L2
D2 F L2 B' D' L2 R'
D2 F L2 B' D' R' L2
B' U2 F' U R' F2 B'
B' U2 F' U R' B' F2
B' U2 F' U F2 R' B'
D2 F R D' L2 B' R'
U2 F L2 B2 R D' L2
U2 F L2 B2 D' L2 R
U2 F L2 B2 D' R L2
U2 F R L B2 D' L2
U2 F R L' B2 D' L2
