F' L B' U F2 B'
F' L B' U B' F2
D' R2 B U' R' F
D' R2 B U' F R'
D F D' L2 B2 R'
D F' L2 U R F2
B F D' L2 B R'
F B D' L2 B R'
B F D' B L2 R'
B F D' B R' L2
F B D' B L2 R'
F B D' B R' L2
F' L R B' U F2 B'
F' L R B' U B' F2
F' L R' B' U F2 B'
F' L R' B' U B' F2
F' L R2 B' U F2 B'
F' L R2 B' U B' F2
F L U' F2 B' U B'
F L U' B' F2 U B'
F' L D R2 B' L2 U
F' L D B' L2 R2 U
F' L D B' R2 L2 U
F L F2 B' U F2 B'
F L F2 B' U B' F2
F L B D' L2 B R2
F L B D' B L2 R2
F L B D' B R2 L2
F' L B' R U F2 B'
F' L B' R U B' F2
F' L B' R' U F2 B'
F' L B' R' U B' F2
F' L B' R2 U F2 B'
F' L B' R2 U B' F2
F' L B' U F2 D B'
F' L B' U F2 D' B'
F' L B' U F2 D2 B'
F' L B' U F2 B' D
F' L B' U F2 B' D'
F' L B' U F2 B' D2
F' L B' U B' F2 D
F' L B' U B' F2 D'
F' L B' U B' F2 D2
F' L B' D R2 U B'
F L B' F2 U F2 B'
F L B' F2 U B' F2
F L B2 U' F2 B U
F L B2 U' B F2 U
F' L' U2 F U' F B2
F' L' U2 F U' B2 F
F' L' D L2 R2 B' U
F' L' D L2 B' R2 U
F' L' D R2 L2 B' U
F' L2 U F2 B' R' B'
F' L2 U B' R' F2 B'
F' L2 U B' R' B' F2
F' L2 U B' F2 R' B'
D L2 F' U' B' U2 R
F' L2 B' U F2 B' R'
F' L2 B' U B' R' F2
F' L2 B' U B' F2 R'
F' R L B' U F2 B'
F' R L B' U B' F2
F R B D' L2 B R'
F R B D' B L2 R'
F R B D' B R' L2
F' R' L B' U F2 B'
F' R' L B' U B' F2
F R' B D' L2 B R'
F R' B D' B L2 R'
F R' B D' B R' L2
F' R2 L B' U F2 B'
F' R2 L B' U B' F2
D' R2 F' B U' R' F2
D' R2 F' B U' F2 R'
D' R2 F2 B U' F' R'
D' R2 B U' R F R2
D' R2 B U' R' D F
D' R2 B U' R' D' F
D' R2 B U' R' D2 F
D' R2 B U' R' F D
D' R2 B U' R' F D'
D' R2 B U' R' F D2
D' R2 B U' D R' F
D' R2 B U' D F R'
D' R2 B U' D' R' F
D' R2 B U' D' F R'
D' R2 B U' D2 R' F
D' R2 B U' D2 F R'
D' R2 B U' F R' D
D' R2 B U' F R' D'
D' R2 B U' F R' D2
D' R2 B U' F D R'
D' R2 B U' F D' R'
D' R2 B U' F D2 R'
D' R2 B U' F' R' F2
D' R2 B D U' R' F
D' R2 B D U' F R'
D' R2 B D' U' R' F
D' R2 B D' U' F R'
D' R2 B D2 U' R' F
D' R2 B D2 U' F R'
D' R2 B F' U' R' F2
D' R2 B F' U' F2 R'
D' R2 B F2 U' F' R'
F R2 B D' L2 B R'
F R2 B D' B L2 R'
F R2 B D' B R' L2
L D F' R B' L2 U
L D F' B' L2 R U
L D F' B' R L2 U
D' U R2 B U' R' F
D' U R2 B U' F R'
L D B' L2 F' R U
U' D F D' L2 B2 R'
U' D F' L2 U R F2
U2 D F D' L2 B2 R'
L D B' F' L2 R U
L D B' F' R L2 U
D U F D' L2 B2 R'
U2 D F' L2 U R F2
U D F D' L2 B2 R'
D U F' L2 U R F2
U D F' L2 U R F2
B U F D' L2 B R'
B U F D' B L2 R'
B U F D' B R' L2
F' U F' B2 D F' R
F' U F2 B D' B R'
F' U B F2 D' B R'
F' U B2 F' D F' R
F U' L F2 B' U B'
F U' L B' F2 U B'
D' U' R2 B U' R' F
U' D' R2 B U' R' F
D' U' R2 B U' F R'
U' D' R2 B U' F R'
U2 D' R2 B U' R' F
U2 D' R2 B U' F R'
U D' R2 B U' R' F
U D' R2 B U' F R'
R2 D' B R2 U' R F
D U' F D' L2 B2 R'
D U' F' L2 U R F2
B2 U' D F' U R F2
B U' F D' L2 B R'
B U' F D' B L2 R'
B U' F D' B R' L2
F U' F2 L B' U B'
D' U2 R2 B U' R' F
D' U2 R2 B U' F R'
F' U2 L' F U' F B2
F' U2 L' F U' B2 F
D U2 F D' L2 B2 R'
D U2 F' L2 U R F2
B U2 F D' L2 B R'
B U2 F D' B L2 R'
B U2 F D' B R' L2
D F R D' L2 B2 R'
D F R' D' L2 B2 R'
D F R2 D' L2 B2 R'
D F U' F2 L2 U R
D F D' L2 R B2 R'
D F D' L2 R' B2 R'
D F D' L2 R2 B2 R'
D F D' L2 B2 R' D
D F D' L2 B2 R' D'
D F D' L2 B2 R' D2
D F D' L2 B2 D R'
D F D' L2 B2 D' R'
D F D' L2 B2 D2 R'
D F D' R L2 B2 R'
D F D' R' L2 B2 R'
D F D' R2 L2 B2 R'
U' F B D' L2 B R'
U' F B D' B L2 R'
U' F B D' B R' L2
D' F B D R' B2 L
U2 F B D' L2 B R'
U2 F B D' B L2 R'
U2 F B D' B R' L2
D F B D' L2 B2 R'
U F B D' L2 B R'
U F B D' B L2 R'
U F B D' B R' L2
D F B' D' L2 B2 R'
U' F' L B' U F2 B'
U' F' L B' U B' F2
B2 D U' F' U R F2
D F B2 D' L2 B2 R'
U2 F' L B' U F2 B'
U2 F' L B' U B' F2
B2 D F U' F2 U R
U F' L B' U F2 B'
U F' L B' U B' F2
B' D F' U R F2 B'
B' D F' U R B' F2
B' D F' U B' R F2
B2 D F' R F2 D' L2
F2 D F' R D' L2 B2
F2 D F' R D' B2 L2
D F' L2 R' U R2 F2
D F' L2 R' U F2 R2
D F' L2 R2 U R' F2
D F' L2 R2 U F2 R'
D F' L2 U R F2 D
D F' L2 U R F2 D'
D F' L2 U R F2 D2
D F' L2 U R' F2 R2
D F' L2 U R2 F2 R'
F2 D F' D' L2 R B2
F2 D F' D' L2 B2 R
F2 D F' D' R L2 B2
F2 D F' D' R B2 L2
F2 D F' D' B2 L2 R
F2 D F' D' B2 R L2
D F' L2 D R2 U R'
D F' L2 B U R F2
D F' L2 B' U R F2
B D F' U B R F2
D F' L2 B2 U R F2
D F' R F2 D' L2 B2
D F' R F2 D' B2 L2
D F' R' L2 U R2 F2
D F' R' L2 U F2 R2
D F' R2 L2 U R' F2
D F' R2 L2 U F2 R'
D F' U R F2 D' B2
L2 F' U' B' U2 B' R'
D2 F' D R2 U B R'
F D' L2 B D R' B2
F D' L2 B' D B2 R'
D F' B L2 U R F2
D F' B' L2 U R F2
D F' B2 L2 U R F2
B D' F B R' D' L2
B D' F B D' L2 R'
B D' F B D' R' L2
B D' F' U F2 B R'
B D' F' U B R' F2
B D' F' U B F2 R'
B D' B R' D' F L'
F D' B L2 D R' B2
B D' B F R' D' L2
B D' B F D' L2 R'
B D' B F D' R' L2
D' B R2 B U' R F
B2 F L U' F2 B' U
B2 F L U' B' F2 U
F' B L B' U F2 B2
F' B L B' U B2 F2
R2 B U' D' F B R'
R2 B U' D' B R' F
R2 B U' D' B F R'
R2 B U' F D' B R'
B F L B D' L2 R2
B F L B D' R2 L2
F B L B D' L2 R2
F B L B D' R2 L2
R' B D' F L' B R'
R' B D' F B L' R'
R' B D' F B R' L'
R' B D' B R' F L'
R' B D' B F L' R'
R' B D' B F R' L'
R2 B D' U' F B R'
R2 B D' U' B R' F
R2 B D' U' B F R'
U' B F D' L2 B R'
U' B F D' B L2 R'
U' B F D' B R' L2
D' B F D R' B2 L
U2 B F D' L2 B R'
U2 B F D' B L2 R'
U2 B F D' B R' L2
D B F D' L2 B2 R'
D B F' L2 U R F2
F' B U F2 D' B R'
U B F D' L2 B R'
U B F D' B L2 R'
U B F D' B R' L2
B2 F D' L2 B R' B'
B' F D' B L2 R' B2
B' F D' B R' L2 B2
B' F D' B R' B2 L2
B2 F D' B R' B' L2
B F D' L' B L' R'
B F D' L' B R' L'
B F D' L2 B R' D
B F D' L2 B R' D'
B F D' L2 B R' D2
B F D' L2 B D R'
B F D' L2 B D' R'
B F D' L2 B D2 R'
F B D' L' B L' R'
F B D' L' B R' L'
F B D' L2 B R' D
F B D' L2 B R' D'
F B D' L2 B R' D2
F B D' L2 B D R'
F B D' L2 B D' R'
F B D' L2 B D2 R'
B F D' B L2 R' D
B F D' B L2 R' D'
B F D' B L2 R' D2
B F D' B L2 D R'
B F D' B L2 D' R'
B F D' B L2 D2 R'
B F D' B R' L2 D
B F D' B R' L2 D'
B F D' B R' L2 D2
F B D' B L2 R' D
F B D' B L2 R' D'
F B D' B L2 R' D2
F B D' B L2 D R'
F B D' B L2 D' R'
F B D' B L2 D2 R'
F B D' B R' L2 D
F B D' B R' L2 D'
F B D' B R' L2 D2
B2 F' L B' U F2 B
B2 F' L B' U B F2
B F' L B' U F2 B2
B F' L B' U B2 F2
L B' D F' R U B'
B F' U F2 D' B R'
D B' F D' L2 B2 R'
D B' F' L2 U R F2
F B' D' B L2 R' B2
F B' D' B R' L2 B2
F B' D' B R' B2 L2
F' B2 L B' U F2 B
F' B2 L B' U B F2
F B2 L U' F2 B' U
F B2 L U' B' F2 U
B2 F2 D F' R D' L2
B2 F2 D F' D' L2 R
B2 F2 D F' D' R L2
F2 B2 D F' R D' L2
F2 B2 D F' D' L2 R
F2 B2 D F' D' R L2
D B2 F D' L2 B2 R'
D B2 F' L2 U R F2
F B2 D' L2 B R' B'
F B2 D' B R' B' L2
