B L R2 B' U F2 L'
B' L' R' F U' F L2
B' L' F R' U' F L2
U' L' F U' F B' L
U' L' F U' B' F L
B' R' L' F U' F L2
B R' U L B' U F2
B R2 L B' U F2 L'
L' F U' L' B' L F
L' F U' D2 F L' B'
L' F U' F L' B' L
L' F D2 U' F L' B'
L' F B' R' U' F L
L B L B2 U L F2
L B L B2 U F2 L
L' B' R' F U' F L
L B' R' U' L F2 R
L B' U2 R' U' L F2
L B' U2 R' U' F2 L
L' B' F R' U' F L
B2 F2 D' R' B L R'
B2 F2 D' R' B R' L
F2 B2 D' R' B L R'
F2 B2 D' R' B R' L
B2 F2 D' B L R' B
B2 F2 D' B R' L B
F2 B2 D' B L R' B
F2 B2 D' B R' L B
