B2 L' U F2 B' U'
B2 L' U B' F2 U'
B L' B D L2 R2
B L' B D R2 L2
F2 L' B' U' F2 B'
F2 L' B' U' B' F2
L' U F2 B' U' B'
L' U B' F2 U' B'
B2 U F2 B U' L
B2 U B F2 U' L
F2 U' F' L' F' B2
F2 U' F' L' B2 F'
F2 U' F' B2 L' F'
F2 U' B2 F' L' F'
L' F2 B' U' F2 B'
L' F2 B' U' B' F2
U F2 B U' L B
L' B D L2 B R2
L' B D B L2 R2
L' B D B R2 L2
U B F2 U' L B
L' B' F2 U' F2 B'
L' B' F2 U' B' F2
L' B2 U F2 B U'
L' B2 U B F2 U'
L' R U F2 B' U' B'
L' R U B' F2 U' B'
D L R2 U' F L U
B2 L U F2 U2 F' U
B2 L U' D F U R2
B2 L U' D2 F B2 U
B2 L U' D2 B2 F U
B2 L U' F U2 F U'
D L U' F L U R2
F2 L U2 F U F B2
F2 L U2 F U B2 F
B2 L D R2 U' F U
B2 L D U' F U R2
F2 L D' L2 R2 B' U'
F2 L D' L2 B' R2 U'
F2 L D' R2 L2 B' U'
B2 L D2 U' F B2 U
B2 L D2 U' B2 F U
D L F L U F' R2
L' R F2 B' U' F2 B'
L' R F2 B' U' B' F2
L' R B D L2 B R2
L' R B D B L2 R2
L' R B D B R2 L2
L' R B' F2 U' F2 B'
L' R B' F2 U' B' F2
L' R B2 U F2 B U'
L' R B2 U B F2 U'
L' R' U F2 B' U' B'
R' L' U F2 B' U' B'
L' R' U B' F2 U' B'
R' L' U B' F2 U' B'
R2 L' U F2 B' U' B'
R L' U F2 B' U' B'
R2 L' U B' F2 U' B'
R L' U B' F2 U' B'
B2 L' R U F2 B' U'
B2 L' R U B' F2 U'
F2 L' R B' U' F2 B'
F2 L' R B' U' B' F2
B2 L' R' U F2 B' U'
B2 L' R' U B' F2 U'
F2 L' R' B' U' F2 B'
F2 L' R' B' U' B' F2
B2 L' R2 U F2 B' U'
B2 L' R2 U B' F2 U'
F2 L' R2 B' U' F2 B'
F2 L' R2 B' U' B' F2
B2 L' U D B' U' R2
B2 L' U F2 D B' U'
B2 L' U F2 D' B' U'
B2 L' U F2 D2 B' U'
B2 L' U F2 B' U' D
B2 L' U F2 B' U' D'
B2 L' U F2 B' U' D2
B2 L' U F2 B' D U'
B2 L' U F2 B' D' U'
B2 L' U F2 B' D2 U'
B2 L' U B' U' D R2
B2 L' U B' D U' R2
B L' U F2 B' U' B2
B2 L' U B' F2 U' D
B2 L' U B' F2 U' D'
