R U B' U R' B
L' R U D B' L U
L R U' R' F U' B
R L U' R' F U' B
L R U' F R' U' B
R L U' F R' U' B
L' R U2 R' B D' R2
L2 R U2 R' D' B R'
L' R D U B' L U
F' L U' F U' B L
F2 L U' F U' L2 B
F2 L U' F U' B L2
F L U' F U' L' B
F L U' F U' B L'
F2 L U2 L2 B D' R2
R2 L F' R' U' F2 U'
R2 L F' R' U2 D R2
R2 L F' R' D U2 R2
R2 L F' R' D' L2 U2
R2 L F' D R' U2 R'
R2 L F' D' L2 R' U2
R2 L F' D' R' L2 U2
R L' U D B' L U
R L' U2 R' B D' R2
R L' D U B' L U
R2 L' F' R' U B' U
F' L' U2 B L D' R2
F' L' U2 B D' L R2
F' L' U2 B D' R2 L
R L2 U2 R' D' B R'
L2 R2 D F' R' U2 R2
R2 L2 D F' R' U2 R2
L' R2 F' R' U B' U
L R2 F' R' U' F2 U'
L R2 F' R' U2 D R2
L R2 F' R' D U2 R2
L R2 F' R' D' L2 U2
L R2 F' D R' U2 R'
L R2 F' D' L2 R' U2
L R2 F' D' R' L2 U2
F2 L2 U2 L B D' R2
F' L2 U2 D' B L R'
F' L2 U2 D' B R' L
F2 L2 U2 D' L B R'
F' L2 D' U2 B L R'
F' L2 D' U2 B R' L
F2 L2 D' U2 L B R'
R U L B' U R' B
R U L' B' U R' B
R U L2 B' U R' B
B L2 F2 L' F' D R2
B L2 F2 D L' F' R
R U D B' L U R'
D2 R U B' U R' B
D' R U B' U R' B
D R U B' U R' B
L' U F2 B' U L' B2
L' U F2 B' U B2 L'
R U B U B2 R' B
L' U B' U' R U2 B2
R U B' L U R' B
R U B' L' U R' B
R U B' L2 U R' B
L' U B' F2 U L' B2
L' U B' F2 U B2 L'
R U B' U R' D B
R U B' U R' D' B
R U B' U R' D2 B
R U B' U R' B D
R U B' U R' B D'
R U B' U R' B D2
R U B2 U R' B R'
R U B2 U B R' B
R U' R' F U' B R
R U' F R' U' B R2
R U' F U' R' B R2
R U2 R B' D' R2 B
R U2 R' U F' U' B
R U2 R' B U F' U'
R U2 R2 D R B R'
L2 U2 D' B R' D2 L2
R D L' U B' L U
L2 D R2 F' R' U2 R2
B' R2 B2 L F' D R2
R D U B' L U R'
L2 D F' U2 B L R
L2 D F' U2 B R L
B2 U R B2 U2 B R'
B2 U D2 F2 B' L' R'
B2 U D2 F2 B' R' L'
B2 U D2 B' F2 L' R'
B2 U D2 B' F2 R' L'
L2 D' R U2 R' B R'
L2 D' R U2 B R' B
B2 U B' R' D2 L2 F
F2 U B' U L' R' B2
F2 U B' U R' L' B2
F2 U B' U R' B2 L'
L2 D' U2 B R' D2 L2
L2 D' F' U2 B L R'
L2 D' F' U2 B R' L
L2 D' F2 U2 L' B R'
L2 D' F2 U2 B L' R'
L2 D' F2 U2 B R' L'
L2 D' B R' D2 L2 F
R D2 L U' F U' B'
F' U' F U' B L R
F' U' F U' B R L
R D2 L' F U B' U
F U' F U' L' B R
F U' F U' B L' R
F U' F U' B R L'
B U2 R B' U B2 U
B U2 R B' U2 D' R2
B U2 R B' D L2 U2
B U2 R B' D' U2 R2
B U2 B' R U B U
R F U B' U R' B
R2 F' L R' U' F U'
R2 F' L' R' U B' U
R2 F' R' L U' F U'
R2 F' R' L' U B' U
R2 F' R' U B' U R'
R2 F' R' U' F U' R
L' F' U2 B L D' R2
L' F' U2 B D' L R2
L' F' U2 B D' R2 L
R F' U B' U R' B
L2 F' U2 D' B L R'
L2 F' U2 D' B R' L
L F' U' F2 U' B L
L F' U2 D B L R2
L F' U2 D B R2 L
L F' U2 B L D R2
L F' U2 B D L R2
L F' U2 B D R2 L
L2 F' D' U2 B L R'
L2 F' D' U2 B R' L
L F' D U2 B L R2
L F' D U2 B R2 L
L F' D' L2 U2 B L
U' F2 U' L' D2 B R'
L' F2 U B' U L' B2
L' F2 U B' U B2 L'
U' F2 U' D2 L' B R'
U' F2 U' D2 B L' R'
U' F2 U' D2 B R' L'
L' F2 U2 L' D' B R'
L' F2 U2 B L' D' R2
L' F2 U2 B D' L' R2
L' F2 U2 B D' R2 L'
L2 F2 U2 D' L' B R'
R F2 U B' U R' B
L2 F2 U2 D' B L' R'
L2 F2 U2 D' B R' L'
U' F2 D2 U' L' B R'
U' F2 D2 U' B L' R'
U' F2 D2 U' B R' L'
L2 F2 D' U2 L' B R'
L2 F2 D' U2 B L' R'
L2 F2 D' U2 B R' L'
B2 D2 U F2 B' L' R'
B2 D2 U F2 B' R' L'
B2 D2 U B' F2 L' R'
B2 D2 U B' F2 R' L'
U F2 B' U L' R' B2
U F2 B' U R' L' B2
U F2 B' U R' B2 L'
L' B' R2 U F' B2 L
L' B' R2 U B2 L F'
L' B' R2 U B2 F' L
U B' U R' B2 D2 L2
U B' U R2 B2 L R
U B' U R2 B2 R L
U B' U' R U2 R2 B2
U B' U' R U2 B2 R2
U B' F2 U L' R' B2
U B' F2 U R' L' B2
U B' F2 U R' B2 L'
