B' L F U R U L
B L' U' R' B' L' F'
F' L' U' B L' R' B2
F' L' U' B R' L' B2
F' L' U' B R' B2 L'
F' L' U' B' L' D2 R2
F' L' B U' L' R' B2
F' L' B U' R' L' B2
F' L' B U' R' B2 L'
U2 R U L2 B R' F'
U2 R U B L2 R' F'
U2 R U B R' L2 F'
U2 R U B R' F' L2
D' R F' L' B2 U' B
D' R F' B2 L' U' B'
D' R B2 F' L' U' B'
L' U' B L' R' F' B2
L' U' B L' R' B2 F'
L' U' B R' L' F' B2
L' U' B R' L' B2 F'
L' U' B R' B2 L' F'
F U2 R U L2 B R'
F U2 R U B L2 R'
F U2 R U B R' L2
U B L U R' F L
U B L U F L R'
U B L U F R' L
L' B U' L' R' F' B2
L' B U' L' R' B2 F'
L' B U' R' L' F' B2
L' B U' R' L' B2 F'
L' B U' R' B2 L' F'
F' B L' U' R' B' L'
B F' L' U' R' B' L'
D' B2 R F' L' U' B'
