B' R' U L' U R'
B' L R' U L2 U R'
B' L R' U2 R' D' B2
B' L R' U2 D' R' B2
B' L R' D F2 U2 R'
B' L R' D' U2 R' B2
B L R2 D' B2 D' F2
B L R2 D2 F2 D B2
R2 L D' B L F B
R2 L D' B L B F
R2 L B D' L F B2
R2 L B D' L B2 F
R2 L B' D' B2 L F
B L B R2 D' F' B2
B L B R2 D' B2 F'
B L B R2 F' D' B2
B L' U L2 R2 D2 F2
B' L' U R2 D' F2 L'
B L' U R2 L2 D2 F2
U L' U R2 F' L' F
U L' U F' L' R2 F
U L' U F' L' F R2
U L' U F' R2 L' F
B2 L' U' B R' U2 R'
B L' U' B2 U2 L2 R2
B L' U' B2 U2 R2 L2
U2 L' F' U L' R2 F
U2 L' F' U L' F R2
U2 L' F' U R2 L' F
B L' B U L2 R2 F'
B L' B U R2 L2 F'
B L' B U R2 F' L2
B L' B' U L2 R2 F
B L' B' U L2 F R2
B L' B' U R2 L2 F
L R2 D' B L F B
L R2 D' B L B F
B' L2 R' U L U R'
L2 R2 F U' L F U
R2 L2 F U' L F U
L2 R2 F B D L B'
R2 L2 F B D L B'
L2 R2 B D F L B'
R2 L2 B D F L B'
L R2 B D' L F B2
L R2 B D' L B2 F
L2 R2 B F D L B'
R2 L2 B F D L B'
L R2 B' D' B2 L F
L' U L' R2 D' F L'
L' U R2 L' D' F L'
B' R' L U L2 U R'
B' R' L U2 R' D' B2
B' R' L U2 D' R' B2
B' R' L D F2 U2 R'
B' R' L D' U2 R' B2
B' R' L2 U L U R'
B' R' U L' U R' D
B' R' U L' U R' D'
B' R' U L' U R' D2
B' R' U L' U D R'
B' R' U L' U D' R'
B' R' U L' U D2 R'
B' R' U L' D U R'
B' R' U L' D' U R'
B' R' U L' D2 U R'
B' R' U D L' U R'
B' R' U D' L' U R'
B' R' U D2 L' U R'
B' R' U' F2 R U' R2
B' R' U2 R' U' L' U
B' R' D U L' U R'
B' R' D' U L' U R'
B' R' D2 U L' U R'
B' R' F' U2 D R' B
B' R' F' D U2 R' B
B' R' F2 U' R U' R2
B' R' F2 U2 R' D B2
B R2 L D' B2 D' F2
B R2 L D2 F2 D B2
L' U2 F' U' L' R2 F
L' U2 F' U' L' F R2
L' U2 F' U' R2 L' F
B R2 D' L D' F2 B2
B R2 D' L D' B2 F2
B R2 D2 L F2 D' B2
B2 R2 F' B' D' L B'
B2 R2 B' L D' F' B2
B2 R2 B' L D' B2 F'
B2 R2 B' L F' D' B2
B2 R2 B' F' D' L B'
B' U L' U' R' U2 R'
B' U L' D B2 U L
B' U L' B2 U L R2
B' U L' B2 U R2 L
B' U D L' B2 U L
B' U D B2 L' U L2
B' U B2 L' U L2 R2
B' U B2 L' U R2 L2
L2 F R2 U' L F U
B' U2 B2 L R2 D' B2
L2 F R2 B D L B'
B' U2 B2 R2 L D' B2
L2 F U' L F U R2
B' D R' U L' B2 U
B' D R' U B2 L' U
L2 F B R2 D L B'
B' D U L' B2 U L
B' D U B2 L' U L2
B' D' R' U' F2 R U'
B' D2 L2 R' U L U
B D2 L F2 D' B2 R'
B D2 L' U F2 L2 R
B D2 L' U F2 R L2
B' D2 R' L2 U L U
R2 B L D' B2 D' F2
R2 B L D2 F2 D B2
L B L2 U L' R2 F
L B L2 U L' F R2
L B L2 U R2 L' F
L' B U L' R2 F L2
L2 B R2 D F L B'
L' B U L' F L2 R2
L' B U L' F R2 L2
L2 B R2 F D L B'
L' B U R2 L' F L2
L B R2 D' L F B2
L B R2 D' L B2 F
R2 B D' L D' F2 B2
R2 B D' L D' B2 F2
R2 B D2 L F2 D' B2
L2 B F R2 D L B'
D2 B' L2 R' U L U
D2 B' R' L2 U L U
D' B' R' U' F2 R U'
R2 B' R' U L' U R
D B' R' U B' L' U
L' B' U R2 F2 L' F
R B' R' U L' U R2
B' F' R' U2 D R' B
B' F' R' D U2 R' B
F' B' R' U2 D R' B
F' B' R' D U2 R' B
F2 B' R' U' R2 U' R
F2 B' R' U2 D R' B2
F2 B' R' D U2 R' B2
F2 B' R' D' F2 U2 R'
D B2 L' U' B R' U2
U B2 L' U R2 F' L'
B' F2 R' U' R2 U' R
B' F2 R' U2 D R' B2
B' F2 R' D U2 R' B2
B' F2 R' D' F2 U2 R'
