F L R' U L' R2
F L R' U R2 L'
U' L R B R2 U
U' L R' U2 F' U'
U' R L B R2 U
F R U' L R2 U
F R U' R2 L U
R2 U' L R B U
R2 U' R L B U
U' R' L U2 F' U'
F R' L U L' R2
F R' L U R2 L'
B2 U L R' F U'
B2 U L F R' U'
B2 U R' L F U'
F U' L R' U R2
F U' R' L U R2
R' F L U L' R
R' F L U R L'
R' L U L' U' B' U
U' L R D' B U F2
U' L R B R2 U D
U' L R B R2 U D'
U' L R B R2 U D2
U' L R B R2 D U
U' L R B R2 D' U
U' L R B R2 D2 U
U' L R B U D' F2
U' L R B D' U F2
U' L R B' R2 B2 U
U' L R B2 R2 B' U
F' L R' U D2 L' R2
F' L R' U D2 R2 L'
F' L R' U' L2 U2 L
U' L R' U2 D F' U'
F L R' U L' R2 D
F L R' U L' R2 D'
F L R' U L' R2 D2
U' L R' U2 D' F' U'
U' L R' U2 D2 F' U'
U' L R' U2 F' U' D
U' L R' U2 F' U' D'
U' L R' U2 F' U' D2
U' L R' U2 F' D U'
U' L R' U2 F' D' U'
U' L R' U2 F' D2 U'
F L R' U R2 L' D
F L R' U R2 L' D'
F L R' U R2 L' D2
F L R' U R2 D L'
F L R' U R2 D' L'
F L R' U R2 D2 L'
U' L R' D U2 F' U'
U' L R' D' U2 F' U'
F' L R' D' B2 U L'
F' L R' D2 U L' R2
F' L R' D2 U R2 L'
U' L R' D2 U2 F' U'
F L R' D B2 U L'
U' L R' B U2 F' U'
U' L R' B' U2 F' U'
U' L R' B2 U2 F' U'
F L R' B U L' R2
F L R' B U R2 L'
F L R' B' U L' R2
F L R' B' U R2 L'
F L R' B2 U L' R2
F L R' B2 U R2 L'
F L U L' R D' F2
R' L U2 B' U' L' R'
R' L U2 B' U' R' L'
F L U R L' D' F2
F L U R D' L' F2
U' L U F R D' F2
U' L D R B R2 U
U' L D R' U2 F' U'
F2 L D R' B U L'
F L D R' U L' R2
F L D R' U R2 L'
U' L D' R B R2 U
F' L D' R' B2 U L'
U' L D' R' U2 F' U'
F L D' R' U L' R2
F L D' R' U R2 L'
F' L D2 R' U L' R'
F' L D2 R' U R' L'
U' L D2 R B R2 U
U' L D2 R' U2 F' U'
U' L D2 R' U2 F' U'
F L D2 R' U L' R2
F L D2 R' U R2 L'
L R' U L' U' B' U
U' L B' R B R' U
U' L B2 U2 L F U'
L R' U2 B' U' L' R'
L R' U2 B' U' R' L'
F L' R D' L F2 B2
F L' R D' L B2 F2
F L' R D' F2 L B2
U' L' R B L2 R2 U
U' L' R B R2 L2 U
F' L' U L2 R' U L'
F' L' U R' L2 U L'
R' L' F L2 U L' R
R' L' F L2 U R L'
L' R' F L2 U L' R
L' R' F L2 U R L'
U L' U2 R' B' L2 U
U' L2 R B L' R2 U
U' L2 R B R2 L' U
L2 U L' R' B' U L'
L U L' U' R' B' U
L2 U R' L' B' U L'
U' R L D' B U F2
U' R L B R2 U D
U' R L B R2 U D'
U' R L B R2 U D2
U' R L B R2 D U
U' R L B R2 D' U
U' R L B R2 D2 U
U' R L B U D' F2
U' R L B D' U F2
U' R L B' R2 B2 U
U' R L B2 R2 B' U
U' R L' B L2 R2 U
U' R L' B R2 L2 U
F R L' D' L F2 B2
F R L' D' L B2 F2
F R L' D' F2 L B2
U' R L2 B L' R2 U
U' R L2 B R2 L' U
B2 R U L R2 F U'
B2 R U L F R2 U'
B2 R U R2 L F U'
F R U' L R2 U D
F R U' L R2 U D'
F R U' L R2 U D2
F R U' L R2 D U
F R U' L R2 D' U
F R U' L R2 D2 U
F R U' L U D' F2
F R U' L D' U F2
F R U' R2 L U D
F R U' R2 L U D'
F R U' R2 L U D2
F R U' R2 L D U
F R U' R2 L D' U
F R U' R2 L D2 U
F R U' R2 D L U
F R U' R2 D' L U
F R U' R2 D2 L U
F R U' D' L U F2
U' R D' L B U F2
R2 U' L R D B U
R2 U' L R D' B U
R2 U' L R D2 B U
R2 U' L R B U D
R2 U' L R B U D'
R2 U' L R B U D2
R2 U' L R B D U
R2 U' L R B D' U
R2 U' L R B D2 U
F R D' U' L U F2
R U' L R B R U
R2 U' L D R B U
F R D' F2 U' L U
R2 U' L D' R B U
R2 U' L D2 R B U
R2 U' L B R B U
R2 U' L B' R B U
R2 U' L B2 R B U
R2 U' L' R B L2 U
R2 U' L2 R B L' U
F R F U' L R2 U
F R F U' R2 L U
R2 U' R L D B U
R2 U' R L D' B U
R2 U' R L D2 B U
R2 U' R L B U D
R2 U' R L B U D'
R2 U' R L B U D2
R2 U' R L B D U
R2 U' R L B D' U
R2 U' R L B D2 U
R2 U' R L' B L2 U
R2 U' R L2 B L' U
F R F' U' L R2 U
F R F' U' R2 L U
R U' R L B R U
R2 U' R D L B U
R2 U' R D' L B U
R2 U' R D2 L B U
F R F2 U' L R2 U
F R F2 U' R2 L U
R U' R2 D2 L B' U
R2 U' D L R B U
R2 U' D R L B U
R2 U' D' L R B U
R2 U' D' R L B U
F' R' L U D2 L' R2
F' R' L U D2 R2 L'
F' R' L U' L2 U2 L
U' R' L U2 D F' U'
U' R' L U2 D' F' U'
U' R' L U2 D2 F' U'
U' R' L U2 F' U' D
U' R' L U2 F' U' D'
U' R' L U2 F' U' D2
U' R' L U2 F' D U'
U' R' L U2 F' D' U'
U' R' L U2 F' D2 U'
U' R' L D U2 F' U'
