D' R2 F' B D L2
D' R2 B D L2 F'
D' R2 B D F' L2
D' R2 B F' D L2
D' L U R2 F' B L
D' L U R2 B L F'
D' L U R2 B F' L
D' L U' R2 F' L' B
D' L U' R2 F' B L'
D' L U' R2 B F' L'
F' L B U B U L
F' L' D' B R' U2 R'
D' L2 R2 F' D' L2 B
D' L2 R2 F' D' B L2
D' L2 R2 F' B D' L2
L2 R2 F B2 U F2 B'
L2 R2 F B2 U B' F2
R2 L2 F B2 U F2 B'
R2 L2 F B2 U B' F2
D' L2 R2 B F' D' L2
B2 L2 R2 F' U F2 B
B2 L2 R2 F' U B F2
L2 R2 F' D' L2 B R2
L2 R2 F' D' B L2 R2
L2 R2 F' D' B R2 L2
R2 L2 F' D' L2 B R2
R2 L2 F' D' B L2 R2
R2 L2 F' D' B R2 L2
L2 R2 B2 F U F2 B'
L2 R2 B2 F U B' F2
R2 L2 B2 F U F2 B'
R2 L2 B2 F U B' F2
B' L2 F U F2 B2 U2
B' L2 F U B2 F2 U2
B' L2 F U' D2 F2 B2
B' L2 F U' D2 B2 F2
B' L2 F D L2 R2 U'
B' L2 F D R2 L2 U'
B' L2 F D2 U' F2 B2
B' L2 F D2 U' B2 F2
D L2 F' D R2 U2 F'
D L2 F' D B R2 U2
D L2 F' D' B U2 L2
D L2 F' B U F2 U
D L2 F' B U2 D' L2
D L2 F' B D R2 U2
D L2 F' B D' U2 L2
F' L2 B U F B U
F' L2 B U B F U
D L2 B F' U F2 U
D L2 B F' U2 D' L2
D L2 B F' D R2 U2
D L2 B F' D' U2 L2
L U D' R2 F' B L
L U D' R2 B L F'
L U D' R2 B F' L
L U' D' R2 F' L' B
L U' D' R2 F' B L'
L U' D' R2 B F' L'
B2 R' U' B' R' U2 B
D' R2 L2 F' D' L2 B
D' R2 L2 F' D' B L2
D' R2 L2 F' B D' L2
D' R2 L2 B F' D' L2
B2 R2 L2 F' U F2 B
B2 R2 L2 F' U B F2
D' R2 U B' U' F' B2
D' R2 U B' U' B2 F'
B' R2 U' B D' R2 F'
B R2 U' F' B2 U' B'
B R2 U' B2 F' U' B'
B' R2 D L2 F U' B
D' R2 D F' B D L2
D' R2 D B D L2 F'
D' R2 D B D F' L2
D' R2 D B F' D L2
D' R2 D' F' B D L2
D' R2 D' B D L2 F'
D' R2 D' B D F' L2
D' R2 D' B F' D L2
D' R2 D2 F' B D L2
D' R2 D2 B D L2 F'
D' R2 D2 B D F' L2
D' R2 D2 B F' D L2
L' D L2 F' B R U2
D' R2 F' U B' U' B2
L' D L2 B F' R U2
B2 R2 F' L2 U F B
B2 R2 F' L2 U B F
D' R2 F' D B D L2
D' R2 F' D' B D L2
D' R2 F' D2 B D L2
B2 R2 F' U B D2 F2
D' R2 F' B L D L2
D' R2 F' B L' D L2
D' R2 F' B L2 D L2
D' R2 F' B U B2 U'
D' R2 F' B D L2 D
D' R2 F' B D L2 D'
D' R2 F' B D L2 D2
B2 R2 F' U' B' U2 B2
D' R2 F2 B D F L2
D2 R2 F2 B' U' F B2
D2 R2 F2 B' U' B2 F
D' R2 B L D L2 F'
D' R2 B L D F' L2
D' R2 B L F' D L2
D' R2 B L' D L2 F'
D' R2 B L' D F' L2
D' R2 B L' F' D L2
D' R2 B L2 D L2 F'
D' R2 B L2 D F' L2
D' R2 B L2 F' D L2
D' R2 B U B2 U' F'
D' R2 B D L F' L
D' R2 B D L2 D F'
D' R2 B D L2 D' F'
D' R2 B D L2 D2 F'
D' R2 B D L2 F' D
D' R2 B D L2 F' D'
D' R2 B D L2 F' D2
D2 R2 B D L2 F' R2
D' R2 B D F L2 F2
D' R2 B D F' L2 D
D' R2 B D F' L2 D'
D' R2 B D F' L2 D2
D2 R2 B D F' L2 R2
D2 R2 B D F' R2 L2
D' R2 B D' F' D2 L2
D' R2 B F' L D L2
D' R2 B F' L' D L2
D' R2 B F' L2 D L2
D' R2 B F' U B2 U'
D' R2 B F' D L2 D
D' R2 B F' D L2 D'
D' R2 B F' D L2 D2
D' R2 B F2 D F L2
D2 R2 B' F2 U' F B2
D2 R2 B' F2 U' B2 F
L' D F' L2 B R U2
L' D F' B L2 R U2
L' D F' B R L2 U2
L' D B L2 F' R U2
L' D B F' L2 R U2
L' D B F' R L2 U2
D' U R2 F' B D L2
D' U R2 B D L2 F'
D' U R2 B D F' L2
D' U R2 B F' D L2
B' U F' B2 U B U
L' D' R2 F' B' L B2
L' D' R2 B' L F' B2
L' D' R2 B' L B2 F'
L' D' R2 B' F' L B2
L2 D' R2 F' D' L2 B
L2 D' R2 F' D' B L2
L2 D' R2 F' B D' L2
L2 D' R2 B F' D' L2
B' U B2 F' U B U
L D' U R2 F' B L
L D' U R2 B L F'
L D' U R2 B F' L
L D' U' R2 F' L' B
L D' U' R2 F' B L'
L D' U' R2 B F' L'
L' D' F' B R' U2 R'
D' U' R2 F' B D L2
U' D' R2 F' B D L2
U' D' R2 B D L2 F'
D' U' R2 B D L2 F'
U' D' R2 B D F' L2
D' U' R2 B D F' L2
U' D' R2 B F' D L2
D' U' R2 B F' D L2
R2 D' F' B R2 D L2
U2 D' R2 F' B D L2
U2 D' R2 B D L2 F'
U2 D' R2 B D F' L2
U2 D' R2 B F' D L2
L' D' B R' U2 R' B
U D' R2 F' B D L2
U D' R2 B D L2 F'
U D' R2 B D F' L2
U D' R2 B F' D L2
L' D' B F' R' U2 R'
R2 D' B F' R2 D L2
B' U' R2 B D' R2 F'
R2 D' B' U' F' R2 B2
R2 D' B' U' F' B2 R2
R2 D' B' U' B2 F' R2
B U' R2 F' B2 U' B'
B U' R2 B2 F' U' B'
B2 U' F' B' U' B2 U'
B2 U' F' B' U2 D L2
B2 U' F' B' D U2 L2
B2 U' F' B' D' R2 U2
B' U' B D' R2 F' B
B' U' B D' R2 B F'
F' U' B' D L2 F U'
B2 U' B' D F' U2 L2
B2 U' B' D' R2 U2 B
B2 U' B' D' F' R2 U2
B2 U' B' F' U' B2 U'
B2 U' B' F' U2 D L2
B2 U' B' F' D U2 L2
B2 U' B' F' D' R2 U2
D' U2 R2 F' B D L2
D' U2 R2 B D L2 F'
D' U2 R2 B D F' L2
D' U2 R2 B F' D L2
R2 D2 F2 B' U' F B2
R2 D2 F2 B' U' B2 F
R2 D2 B D L2 F' R2
R2 D2 B D F' L2 R2
R2 D2 B D F' R2 L2
R2 D2 B' F2 U' F B2
R2 D2 B' F2 U' B2 F
B' U2 D' R2 B' U B2
B' U2 D' B' R2 U B
B2 U2 B U F' B2 U2
B2 U2 B U B2 F' U2
B' U2 B' U' F' B' U2
B' U2 B' U' B' F' U2
B' D L2 R2 F U' B
B' D L2 F U F2 U2
B' D L2 F U' D2 B2
B' D L2 F D R2 U'
B' D L2 F D2 U' B2
F' D L2 B U F U
L2 F D' L2 U R2 F'
B' D R2 L2 F U' B
L2 F B2 U' F2 B' U2
L2 F B2 U' B' F2 U2
L2 F B2 D' L2 U F
B' D F2 L2 F U' B'
D F' L2 B U F U
B D F' U B U L2
F' D B L2 U' B2 U'
F' D B L2 U2 D L2
F' D B L2 D U2 L2
F' D B L2 D' R2 U2
L2 F' U2 D' L2 R2 F'
L2 F' U2 D' R2 L2 F'
L2 F' U2 D' R2 F' L2
L2 F' D L2 R2 U2 F'
L2 F' D L2 B R2 U2
L2 F' D R2 L2 U2 F'
L2 F' D B L2 R2 U2
L2 F' D B R2 L2 U2
L' F' D' B R' U2 R'
L2 F' D' R2 F' L2 B'
L2 F' D' U2 L2 R2 F'
L2 F' D' U2 R2 L2 F'
L2 F' D' U2 R2 F' L2
L2 F' D' B U2 L2 R2
L2 F' D' B U2 R2 L2
F D' L2 F U R2 F'
R2 F' D' B R2 D L2
D2 F' B U' F' B2 U'
D2 F' B U' B2 F' U'
D' F' B U' B2 U' R2
D' F' B U' B2 U' R2
D' F' B U2 R2 D L2
R2 F' D2 B D L2 R2
R2 F' D2 B D R2 L2
L2 F' B U F2 B U
L2 F' B U B F2 U
D F' B L2 U' B2 U'
D F' B L2 U2 D L2
D F' B L2 D U2 L2
D F' B L2 D' R2 U2
B D' R2 U' F' U' B
L F' B U B U L
B' D' U2 R2 B' U B2
B' D' U2 B' R2 U B
B D' F' R2 U' F' U'
F' D' B U' B2 U' R2
F' D' B U2 R2 D L2
B' D' B' R2 F' U B
D2 F2 B' U F B2 U2
D2 F2 B' U B2 F U2
D2 F2 B' D L2 U' B'
D B L2 D F' U2 L2
D B L2 D' R2 U2 B
D B L2 D' F' R2 U2
D B L2 F' U' B2 U'
D B L2 F' U2 D L2
D B L2 F' D U2 L2
D B L2 F' D' R2 U2
B D2 F' U F' B U
B D2 F' U B F' U
F' D2 B U' F2 B2 U'
F' D2 B U' B2 F2 U'
F' D2 B U2 D L2 R2
F' D2 B U2 D R2 L2
F' D2 B D U2 L2 R2
F' D2 B D U2 R2 L2
F' D2 B D' L2 R2 U2
F' D2 B D' R2 L2 U2
D' B R2 D B L2 F
D' B U' B2 U' R2 B
D2 B U2 D L2 R2 B
D' B U2 R2 D L2 B
D' B U2 R2 D B L2
D2 B U2 D R2 L2 B
D2 B U2 D R2 B L2
D2 B D R2 B L2 F
D2 B D U2 L2 R2 B
D2 B D U2 R2 L2 B
D2 B D U2 R2 B L2
D2 B D F' U2 L2 R2
D2 B D F' U2 R2 L2
D2 B D' L2 R2 U2 B
D2 B D' L2 F' R2 U2
D2 B D' R2 L2 U2 B
D2 B D' F' L2 R2 U2
D2 B D' F' R2 L2 U2
F' B R2 U' F' B2 U'
F' B R2 U' B2 F' U'
D2 B F' U' F' B2 U'
D2 B F' U' B2 F' U'
D' B F' U' B2 U' R2
D' B F' U2 R2 D L2
L2 B F' U F2 B U
L2 B F' U B F2 U
F' B U D B U L2
F' B U D2 F2 B U
F' B U D2 B F2 U
D B F' L2 U' B2 U'
D B F' L2 U2 D L2
D B F' L2 D U2 L2
D B F' L2 D' R2 U2
F' B U B U2 B U'
L B F' U B U L
F' B U' B2 U2 B' U
B' F D L2 R2 F U'
B' F D L2 F R2 U'
B' F D R2 L2 F U'
F' B D U B U L2
F' B D' R2 U' F' U'
R2 B' L2 F U' F2 B2
R2 B' L2 F U' B2 F2
F' B D2 U F2 B U
F' B D2 U B F2 U
D' B' U F' B2 U2 R2
D' B' U B2 U2 R2 B
D' B' U B2 F' U2 R2
D' B' U' R2 D2 F2 B
D' B' U' R2 D2 B F2
D B' U L2 F' B2 U2
D B' U L2 B2 F' U2
D' B' U' B R2 F' B
D' B' U' B R2 B F'
D B' U F' L2 B2 U2
D B' U F' B2 L2 U2
D B' U B2 L2 F' U2
D B' U B2 F' L2 U2
D2 B' D L2 U' R2 B
D B' U' D2 R2 F2 B
D B' U' D2 R2 B F2
R2 B' U2 B' U F' B'
R2 B' U2 B' U B' F'
D B' D F2 L2 U' B'
B F' R2 U' F' B2 U'
B F' R2 U' B2 F' U'
B F' U D B U L2
B F' U D2 F2 B U
D B' D2 U' R2 F2 B
D B' D2 U' R2 B F2
B F' U D2 B F2 U
B F' U B U2 B U'
D2 B' F2 U F B2 U2
D2 B' F2 U B2 F U2
D2 B' F2 D L2 U' B'
B F' U' B2 U2 B' U
F2 B' D L2 F U' B'
B F' D U B U L2
F B' D L2 R2 F U'
F B' D L2 F R2 U'
F B' D R2 L2 F U'
B F' D' R2 U' F' U'
