L D R2 F2 B' L
L D R2 B' L F2
L D R2 B' F2 L
L D F2 R2 B' L
L D F2 B' L R2
L D F2 B' R2 L
L D B' L R2 F2
L D B' L F2 R2
L D B' R2 L F2
L D B' R2 F2 L
L D B' F2 L R2
L D B' F2 R2 L
L' F2 R2 U' B L
F2 L U2 R F' U B'
B' L D R2 F2 B' L
B' L D R2 B' L F2
B' L D R2 B' F2 L
U' L D R2 F2 B' L
U' L D R2 B' L F2
U' L D R2 B' F2 L
U2 L D R2 F2 B' L
U2 L D R2 B' L F2
U2 L D R2 B' F2 L
B2 L D R2 F2 B' L
B2 L D R2 B' L F2
B2 L D R2 B' F2 L
B L D R2 F2 B' L
B L D R2 B' L F2
B L D R2 B' F2 L
U L D R2 F2 B' L
U L D R2 B' L F2
U L D R2 B' F2 L
B' L D F2 R2 B' L
B' L D F2 B' L R2
B' L D F2 B' R2 L
U' L D F2 R2 B' L
U2 L D F2 R2 B' L
U' L D F2 B' L R2
U' L D F2 B' R2 L
B2 L D F2 R2 B' L
U2 L D F2 B' L R2
U2 L D F2 B' R2 L
B' L D B' L R2 F2
B' L D B' L F2 R2
B2 L D F2 B' L R2
B2 L D F2 B' R2 L
B' L D B' R2 L F2
B' L D B' R2 F2 L
U' L D B' L R2 F2
U' L D B' L F2 R2
B' L D B' F2 L R2
B' L D B' F2 R2 L
U2 L D B' L R2 F2
U2 L D B' L F2 R2
U' L D B' R2 L F2
B L D F2 R2 B' L
U' L D B' R2 F2 L
U2 L D B' R2 L F2
B2 L D B' L R2 F2
B2 L D B' L F2 R2
U2 L D B' R2 F2 L
B L D F2 B' L R2
B L D F2 B' R2 L
B2 L D B' R2 L F2
U' L D B' F2 L R2
U' L D B' F2 R2 L
B2 L D B' R2 F2 L
U2 L D B' F2 L R2
U2 L D B' F2 R2 L
B2 L D B' F2 L R2
B2 L D B' F2 R2 L
U L D F2 R2 B' L
B L D B' L R2 F2
B L D B' L F2 R2
U L D F2 B' L R2
U L D F2 B' R2 L
B L D B' R2 L F2
B L D B' R2 F2 L
B L D B' F2 L R2
B L D B' F2 R2 L
U L D B' L R2 F2
U L D B' L F2 R2
U L D B' R2 L F2
U L D B' R2 F2 L
U L D B' F2 L R2
U L D B' F2 R2 L
R' L F2 B L2 U' B2
R' L B L2 F2 U' B2
R' L B F2 L2 U' B2
R' L B' D L2 R2 F2
R' L B' D L2 F2 R2
R' L B' D R2 L2 F2
R' L B' D R2 F2 L2
R' L B' D F2 L2 R2
R' L B' D F2 R2 L2
R2 L' F2 U F' U2 L'
R' L' F2 B R2 U' B
R' L' F2 B U F' U2
L' R' F2 B R2 U' B
L' R' F2 B U F' U2
L R' F2 B L2 U' B2
L R' B L2 F2 U' B2
R' L' B F2 R2 U' B
R' L' B F2 U F' U2
L' R' B F2 R2 U' B
L' R' B F2 U F' U2
L R' B F2 L2 U' B2
L R' B' D L2 R2 F2
L R' B' D L2 F2 R2
L R' B' D R2 L2 F2
L R' B' D R2 F2 L2
L R' B' D F2 L2 R2
L R' B' D F2 R2 L2
B' L' F2 R2 U' B L
U' L' F2 R2 U' B L
U2 L' F2 R2 U' B L
B2 L' F2 R2 U' B L
B L' F2 R2 U' B L
U L' F2 R2 U' B L
L' R2 F2 U F' U2 L'
F2 L2 U2 R F' U B
D2 L2 B2 R' U B L
L U D R2 F2 B' L
L U D R2 B' L F2
L U D R2 B' F2 L
L U D F2 R2 B' L
L' U D' F L2 U2 L
L U D F2 B' L R2
L U D F2 B' R2 L
L U D B' L R2 F2
L U D B' L F2 R2
L U D B' R2 L F2
L U D B' R2 F2 L
L U D B' F2 L R2
L U D B' F2 R2 L
L' U' L2 D R2 B' L
L' U' L2 D B' L R2
L' U' L2 D B' R2 L
L' U' D L2 R2 B' L
L' U' D L2 B' L R2
L' U' D L2 B' R2 L
L' U' D R2 L2 B' L
L U' D R2 F2 B' L
L U' D R2 B' L F2
L U' D R2 B' F2 L
L U' D F2 R2 B' L
L U' D F2 B' L R2
L U' D F2 B' R2 L
L U' D B' L R2 F2
L U' D B' L F2 R2
L U' D B' R2 L F2
L U' D B' R2 F2 L
L U' D B' F2 L R2
L U' D B' F2 R2 L
F2 R' D' B R' U' F2
L U2 D R2 F2 B' L
L U2 D R2 B' L F2
