R' F' U' B2 L F
U' L R2 U2 F R B2
U' L R2 U2 F B2 R
U' L R2 U2 B2 F R
B L U R2 F' L' U2
B L U' B' R' B2 L
B L D B2 U' B' R'
R' L F' U' B2 L F
U' L D2 F L2 B' R'
U' L' R2 B' U2 R' B'
R' L' F' U' B2 L F
L' R' F' U' B2 L F
L2 R' F' U' B2 L F
L R' F' U' B2 L F
U' L' B' R2 U2 R B'
U' L' B' R2 U2 B' R
R' L2 F' U' B2 L F
R2 U R' B U F' B
R2 U R' B U B F'
B' R B R2 U B2 L
B' R B' D' F2 L' R2
B' R B' D' F2 R2 L'
R' U' B2 L F D R2
F' R' F' U' B2 L F
F2 R' F' U' B2 L F
U R' F B2 L R F2
U R' F B2 R L F2
U R' F B2 R F2 L
U R' F' L2 B2 L R'
U R' F' L2 B2 R' L
F R' F' U' B2 L F
U R' F' B2 L D2 R2
U' R' B' R' B' L F
U R' B2 L F R F2
U' R2 L U2 F R B2
U' R2 L U2 F B2 R
U' R2 L U2 B2 F R
U R' B2 F L R F2
U R' B2 F R L F2
U R' B2 F R F2 L
U R' B2 F' L D2 R2
U' R2 L' B' U2 R' B'
R' U2 F' L' U' B2 L
U R2 F R F' B2 L
U R2 F R B2 L F'
U R2 F R B2 F' L
U R2 F U2 R F' B2
U R2 F U2 R B2 F'
U R2 F U2 B2 R F'
U' R2 B L U2 F B
U' R2 B L U2 B F
U' R2 B' U2 R' F' B'
U' R2 B' U2 R' B' F'
U F R' F' B2 L R2
U F R' F' B2 R2 L
U F R' B2 L F' R2
U F R' B2 F' L R2
U F R' B2 F' R2 L
B D L B2 U' B' R'
R' F' L U' B2 L F
R' F' L' U' B2 L F
R' F' L2 U' B2 L F
R' F' U R' U2 F' B2
R' F' U R' U2 B2 F'
R' F' U' L F B2 L
R' F' U' L B2 F L
R' F' U' F B2 L F
R' F' U' F' B2 L F
R' F' U' F2 B2 L F
R' F' U' B2 L D F
R' F' U' B2 L D' F
R' F' U' B2 L D2 F
R' F' U' B2 L F D
R' F' U' B2 L F D'
R' F' U' B2 L F D2
R' F' U' B2 D L F
R' F' U' B2 D' L F
R' F' U' B2 D2 L F
R' F' U' B2 F L F
R' F' U' B2 F' L F
R' F' U' B2 F2 L F
U F2 R' F' B2 L R
U F2 R' F' B2 R L
U F2 R' B2 L F' R
U F2 R' B2 F' L R
U F2 R' B2 F' R L
U' B L R2 F' U2 F2
U' B R2 L F' U2 F2
U' B R2 F' L U2 F
U' B' R' B2 L F B
U' B' R' B2 L B F
R2 B' U R' B U B2
