L' F2 L' U' B' L
L2 R U B' L D R2
L2 R U B' D L R2
L2 R U B' D R2 L
L2 R U2 F2 U' B' L
F2 L' R2 U' B' L B2
F2 L' R2 B' U' L B2
F2 L' U D2 F' R U2
F2 L' D' R2 U' B L
F2 L' D2 U F' R U2
B' L' F2 L' U' B' L'
U' L' F2 L' U' B' L
R L2 U B' L D R2
U2 L' F2 L' U' B' L
R L2 U B' D L R2
R L2 U B' D R2 L
U L' F2 L' U' B' L
F2 L' B U F' R' U2
R L2 U2 F2 U' B' L
F2 L' B' R2 U' L B
F2 L' B' U F' U2 L
D' L2 U R F' U B'
R U L2 B' L D R2
R U L2 B' D L R2
R U L2 B' D R2 L
B R D2 B2 U L2 B'
D' R F' U D2 R2 B2
D' R F' U D2 B2 R2
D' R F' U' L2 F2 U2
D' R F' U' F2 L2 U2
D' R F' D' L2 B2 U
D' R F' D' B2 L2 U
D' R F' D2 U R2 B2
D' R F' D2 U B2 R2
D2 R B2 U' F U2 L'
B R' D F B2 U2 R2
B R' D B2 F U2 R2
B R' D' L2 U2 F2 B'
B R' D' L2 U2 B' F2
B R' D' F L2 B' U2
F2 R2 L' U' B' L B2
F2 R2 L' B' U' L B2
F2 R2 B' L' U' L2 B2
F2 R2 B' L' U' B2 L2
F U' F L' B' U' L
F U' F B' L' U' L2
F U' B' F L' U' L2
R D2 B2 U' F U2 L'
D2 F U2 D' L' R2 F
D2 F U2 D' L' F R2
D2 F U2 D' R2 L' F
D2 F D' L' F R2 B
D2 F D' U2 L' R2 F
D2 F D' U2 L' F R2
D2 F D' U2 R2 L' F
F2 D' L' R2 U' B L
F2 D' R2 L' U' B L
L' F2 L' R U' B' L
L' F2 L' R' U' B' L
L' F2 L' R2 U' B' L
L' F2 L' U' B' L D
L' F2 L' U' B' L D'
L' F2 L' U' B' L D2
L' F2 L' U' B' D L
L' F2 L' U' B' D' L
L' F2 L' U' B' D2 L
L' F2 L' B U' B2 L
L2 F2 L' U' L B' L
L2 F2 L' U' B' L B'
L2 F2 L' B' U' L B'
L' F2 R L' U' B' L
L F2 L' U' L2 B' L
L' F2 R' L' U' B' L
L' F2 R2 L' U' B' L
L2 F2 U' B' L D F2
F2 D2 L' U F' R U2
L2 F2 B L' U' B2 L
L' F2 B' L' U' B' L2
L F2 B' L' U' L2 B'
F2 B L' U F' R' U2
B F R' U' F L' U'
F B R' U' F L' U'
L2 B F2 L' U' B2 L
B' F U' F L' U' L2
B2 F U' F L' B' U'
L2 B' L U F2 L' U'
F2 B' L' R2 U' L2 B
F2 B' L' R2 U' B L2
F2 B' L' U F' U2 L2
L2 B' U F2 L' U' L2
F2 B' R2 L' U' L2 B
F2 B' R2 L' U' B L2
L' B' F2 L' U' B' L2
F B' U' F L' U' L2
L B' F2 L' U' L2 B'
D2 B2 R U' F U2 L'
B' F2 L' R2 U' L2 B
B' F2 L' R2 U' B L2
B' F2 L' U F' U2 L2
B F2 L' U F' R' U2
B' F2 R2 L' U' L2 B
B' F2 R2 L' U' B L2
F B2 U' F L' B' U'
