F2 L' D R2 F B
F2 L' D R2 B F
U' L' F2 L' F' B'
U' L' F2 L' B' F'
D2 U R F U2 F2
U D2 R F U2 F2
U F U2 L' F L'
U F U2 F L' F
U' F2 L' F D2 B2
U L R B' L' F U2
U' L F L2 F L' B'
F2 L F2 U' L2 F B'
F2 L F2 U' L2 B' F
U L B' L' R F U2
U L B' R L' F U2
F2 L' R2 D F B R2
F2 L' R2 D B R2 F
F2 L' R2 D B F R2
F2 L' R2 B D R2 F
F2 L' R2 B D F R2
F L' U' F' U' F2 L'
U' L' U2 R U2 F B
U' L' U2 R U2 B F
F L' U2 F L' D R2
F L' U2 F D L' R2
F L' U2 F D R2 L'
F2 L' D R' F R' B
F2 L' D R2 D F B
F2 L' D R2 D B F
F2 L' D R2 D' F B
F2 L' D R2 D' B F
F2 L' D R2 D2 F B
F2 L' D R2 D2 B F
F2 L' D R2 F D B
F2 L' D R2 F D' B
F2 L' D R2 F D2 B
F2 L' D R2 F B D
F2 L' D R2 F B D'
F2 L' D R2 F B D2
F2 L' D R2 B D F
F2 L' D R2 B D' F
F2 L' D R2 B D2 F
F2 L' D R2 B F D
F2 L' D R2 B F D'
F2 L' D R2 B F D2
F2 L' D F R2 D2 B2
U' L' D F2 L' F' B'
U' L' D F2 L' B' F'
F2 L' D B R2 F B
F2 L' D B R2 B F
F2 L' D B' R2 F B
F2 L' D B' R2 B F
F2 L' D B2 R2 F B
F2 L' D B2 R2 B F
F2 L' D' F D2 R2 B2
F2 L' D' F D2 B2 R2
U' L' D' F2 L' F' B'
U' L' D' F2 L' B' F'
U' L' D2 F2 L' F' B'
U' L' D2 F2 L' B' F'
U' L' F L' D2 B' L
F L' F L' D R2 B
U' L' F D2 L' B' L
F L' F D L' R2 B
F L' F D R2 L' B
F L' F D R2 B L'
U' L' F2 L' D F' B'
U' L' F2 L' D B' F'
U' L' F2 L' D' F' B'
U' L' F2 L' D' B' F'
U' L' F2 L' D2 F' B'
U' L' F2 L' D2 B' F'
U' L' F2 L' F' D B'
U' L' F2 L' F' D' B'
U' L' F2 L' F' D2 B'
U' L' F2 L' F' B' D
U' L' F2 L' F' B' D'
U' L' F2 L' F' B' D2
U' L' F2 L' B' D F'
U' L' F2 L' B' D' F'
U' L' F2 L' B' D2 F'
U' L' F2 L' B' F' D
U' L' F2 L' B' F' D'
U' L' F2 L' B' F' D2
U' L' F2 L2 F' L B'
U' L' F2 D L' F' B'
U' L' F2 D L' B' F'
U' L' F2 D' L' F' B'
U' L' F2 D' L' B' F'
U' L' F2 D2 L' F' B'
U' L' F2 D2 L' B' F'
U' L' F2 B L' F' B'
U' L' F2 B L' B' F'
U' L' F2 B' L' F' B'
U' L' F2 B' L' B' F'
U' L' F2 B2 L' F' B'
U' L' F2 B2 L' B' F'
F2 L' B D R2 F B
F2 L' B D R2 B F
U' L' B F2 L' F' B'
U' L' B F2 L' B' F'
F2 L' B' D R2 F B
F2 L' B' D R2 B F
U' L' B' F2 L' F' B'
U' L' B' F2 L' B' F'
F2 L' B2 D R2 F B
F2 L' B2 D R2 B F
U' L' B2 F2 L' F' B'
U' L' B2 F2 L' B' F'
U' L2 R U2 R' F' B'
U' L2 R U2 R' B' F'
D2 L2 U R U2 F' B'
D2 L2 U R U2 B' F'
U' L2 U2 R B U2 B2
F2 L2 D L R2 F B
F2 L2 D L R2 B F
F2 L2 D R2 L F B
F2 L2 D R2 L B F
U' L2 F L F L' B'
U' L2 F D2 B' L F
U' L2 F B' L F L'
U' L2 F2 B' L F L2
U' L2 B' L F2 L' F'
U' L2 B' L2 F2 L' F
U' L2 B' U2 R B U2
U' L2 B' F L F L'
U' L2 B' F2 L F L2
R2 U D2 R' F B U2
R2 U D2 R' B F U2
L U D2 R F' B' U2
L U D2 R B' F' U2
R2 U D2 F R' B U2
U R L B' L' F U2
L U D2 B' R F' U2
U' R L2 U2 R' F' B'
U' R L2 U2 R' B' F'
R2 U F D2 R' B U2
L U B' D2 R F' U2
U R D F U' L' U'
U' R F L' U2 R' F
U' R F L' U2 F R'
U' R F L2 U2 R' F'
D2 R F U' F' U' F'
U R F L B' L' U2
D R F U' L' F' U'
U' R F B2 L B' U2
U R F U' L' U' F
U R F U2 L' F L
L U' L2 F2 L' F' B'
L U' L2 F2 L' B' F'
R2 U' L2 B2 L F B
R2 U' L2 B2 L B F
U' R B2 F L B' U2
L U' F L2 F L' B'
D2 R' U R2 F U2 F2
D2 R' U F R2 U2 F'
D2 R' U F B R2 U2
D2 R' U B R2 F U2
D2 R' U B F R2 U2
L2 U' F2 D' B' L' F
L2 U' F2 B' D' L' F
R2 U' B' L2 B' L F
L2 U' B' F2 D' L' F
U' R' D2 L2 R F' B'
U' R' D2 L2 R B' F'
U' R' D2 L2 B' R F'
U' R' D2 R L2 F' B'
U' R' D2 R L2 B' F'
F2 R2 L' D F B R2
F2 R2 L' D B R2 F
F2 R2 L' D B F R2
F2 R2 L' B D R2 F
F2 R2 L' B D F R2
U R2 D2 R' F B U2
U R2 D2 R' B F U2
U R2 D2 F R' B U2
U R2 F D2 R' B U2
F2 R2 B L' D R2 F
F2 R2 B L' D F R2
F2 U L' D R2 F B
F2 U L' D R2 B F
R D F U' L' F' U'
D2 U R U2 F' D2 B2
D2 U R D F U2 F2
D2 U R D' F U2 F2
D2 U R D2 F U2 F2
D2 U R F U2 F2 D
D2 U R F U2 F2 D'
D2 U R F U2 F2 D2
D2 U R F D2 B2 U2
D2 U R F B U2 F2
D2 U R F B' U2 F2
D2 U R F B2 U2 F2
D2 U R B F U2 F2
D2 U R B' F U2 F2
D2 U R B2 F U2 F2
D U R F U' L' U'
D2 U R' F R2 U2 F'
D2 U R' F B R2 U2
D2 U R' B R2 F U2
D2 U R' B F R2 U2
U D R F U' L' U'
D2 U R2 F R' U2 F'
B' U D2 R F U2 F2
B2 U D2 R F U2 F2
B U D2 R F U2 F2
B' U F U2 L' F L'
B' U F U2 F L' F
D2 U B R F U2 F2
B2 U F U2 L' F L'
B2 U F U2 F L' F
B U F U2 L' F L'
B U F U2 F L' F
D2 U B' R F U2 F2
D2 U B2 R F U2 F2
D2 U' R F U2 R' F2
D2 U' R F U2 F2 R'
B' U' L' F2 L' F' B'
B' U' L' F2 L' B' F'
F2 U' L' D R2 F B
F2 U' L' D R2 B F
B2 U' L' F2 L' F' B'
B2 U' L' F2 L' B' F'
B U' L' F2 L' F' B'
B U' L' F2 L' B' F'
F U' L' F' U' F2 L'
R' D2 R U' L2 F' B'
R' D2 R U' L2 B' F'
B' U' F2 L' F D2 B2
B2 U' F2 L' F D2 B2
