F' R U' L2 F' U
F' R U' F' L2 U
F2 D' F L' R B2
F2 D' F L' B2 R
F2 D' F R L' B2
F2 D' F R B2 L'
F2 D' F B2 L' R
F2 D' F B2 R L'
F2 D' B2 F L' R
F2 D' B2 F R L'
F' L R U' L F' U
F' L R U' F' L U
L2 R F' R' U F' R2
F' L' R U' L' F' U
D' L' F U' L' F2 B2
D' L' F U' L' B2 F2
D' L' F U' B2 L' F2
R2 L2 U R2 F' L' R
L2 R2 U R2 F' L' R
R2 L2 U R2 F' R L'
L2 R2 U R2 F' R L'
R L2 F' R' U F' R2
F' R L U' L F' U
F' R L U' F' L U
F' R L' U' L' F' U
L2 U F' R U' F' U
F' R U D2 R2 B U'
F' R U' L F' L U
F' R U' L2 D F' U
F' R U' L2 D' F' U
F' R U' L2 D2 F' U
F' R U' L2 F' U D
F' R U' L2 F' U D'
F' R U' L2 F' U D2
F' R U' L2 F' D U
F' R U' L2 F' D' U
F' R U' L2 F' D2 U
F' R U' D' F' U B2
L2 U F2 D' F L' R
L2 U F2 D' F R L'
F' R U' F L2 F2 U
F' R U' F' L2 U D
F' R U' F' L2 U D'
F' R U' F' L2 U D2
F' R U' F' L2 D U
F' R U' F' L2 D' U
F' R U' F' L2 D2 U
F' R U' F' U D' B2
F' R U' F' D' U B2
F' R D' U' F' U B2
F' R D' B2 U' F' U
F' R D2 U R2 B U'
F2 R F R D' L2 B2
F2 R F R D' B2 L2
F' R F D' L2 F' B2
F' R F D' L2 B2 F'
F' R F D' F' L2 B2
F' R F D' F' B2 L2
F' R F D' B2 L2 F'
F' R F D' B2 F' L2
F2 R F D' L2 R B2
F2 R F D' L2 B2 R
F2 R F D' R L2 B2
F2 R F D' R B2 L2
F2 R F D' B2 L2 R
F2 R F D' B2 R L2
F R F' L2 U F' R
F' R B U' L2 F' U
F' R B U' F' L2 U
F' R B' U' L2 F' U
F' R B' U' F' L2 U
F' R B2 U' L2 F' U
F' R B2 U' F' L2 U
L2 F R F' U F' R
F' D R B D2 B2 L
F' D R B' L D2 B2
F' D R B' D2 L B2
R F D' L2 B2 R' F'
F2 D F L2 R B' L
F2 D F L2 B' L R
F2 D F L2 B' R L
F2 D F R L2 B' L
U' F' R U' L2 F' U
U' F' R U' F' L2 U
U2 F' R U' L2 F' U
U2 F' R U' F' L2 U
R F' L2 R' U F' R2
F' D B R D2 L2 B2
F' D B R D2 B2 L2
U F' R U' L2 F' U
U F' R U' F' L2 U
L F' R U' L F' U
L F' R U' F' L U
F' D B D2 B2 L R
F' D B D2 B2 R L
F' D B' L R D2 B2
F' D B' L D2 R B2
F' D B' L D2 B2 R
F' D B' R L D2 B2
F' D B' R D2 L B2
R F' R' L2 U F' R2
F' D B' D2 L R B2
F' D B' D2 L B2 R
F' D B' D2 R L B2
F' D' R F L' F' B2
F' D' R F L' B2 F'
F' D' R F B2 L' F'
F' D' R B' D2 B' L
F2 D' R F L' R B2
F2 D' R F L' B2 R
F2 D' R F R L' B2
F2 D' R F R B2 L'
F' D' R B2 F L' F'
F2 D' R F B2 L' R
F2 D' R F B2 R L'
F2 D' R B2 F L' R
F2 D' R B2 F R L'
F2 D' R' F L' R B2
F2 D' R' F L' B2 R
F2 D' R' F R L' B2
F2 D' R' F R B2 L'
F2 D' R' F B2 L' R
F2 D' R' F B2 R L'
F2 D' R' B2 F L' R
F2 D' R' B2 F R L'
F2 D' R2 F L' R B2
F2 D' R2 F L' B2 R
F2 D' R2 F R L' B2
F2 D' R2 F R B2 L'
F2 D' R2 F B2 L' R
F2 D' R2 F B2 R L'
F2 D' R2 B2 F L' R
F2 D' R2 B2 F R L'
F' D' F L' F' R B2
F' D' F L' F' B2 R
F' D' F L' B2 F' R
F2 D' F L R B2 L2
F2 D' F L B2 L2 R
F2 D' F L B2 R L2
F2 D' F L' R B2 D
F2 D' F L' R B2 D'
F2 D' F L' R B2 D2
F2 D' F L' R' B2 R2
F2 D' F L' B' R B'
F2 D' F L' B2 R D
F2 D' F L' B2 R D'
F2 D' F L' B2 R D2
F2 D' F L' B2 D R
F2 D' F L' B2 D' R
F2 D' F L' B2 D2 R
F2 D' F R L B2 L2
F2 D' F R L' B2 D
F2 D' F R L' B2 D'
F2 D' F R L' B2 D2
F2 D' F R B L' B
F2 D' F R B2 L' D
F2 D' F R B2 L' D'
F2 D' F R B2 L' D2
F2 D' F R B2 D L'
F2 D' F R B2 D' L'
F2 D' F R B2 D2 L'
F2 D' F R' L' B2 R2
F2 D' F R' B2 L' R2
F2 D' F R' B2 R2 L'
F' D' F B2 L' F' R
F2 D' F B L' B R
F2 D' F B' R B' L'
F2 D' F B2 L' R D
F2 D' F B2 L' R D'
F2 D' F B2 L' R D2
F2 D' F B2 L' D R
F2 D' F B2 L' D' R
F2 D' F B2 L' D2 R
F2 D' F B2 R L' D
F2 D' F B2 R L' D'
F2 D' F B2 R L' D2
F2 D' F B2 R D L'
F2 D' F B2 R D' L'
F2 D' F B2 R D2 L'
F2 D' F B2 D L' R
F2 D' F B2 D R L'
F2 D' F B2 D' L' R
F2 D' F B2 D' R L'
F2 D' F B2 D2 L' R
F2 D' F B2 D2 R L'
L2 F2 R F' U F2 R
F2 D' B F L' B R
F' D' B' R D2 B' L
F' D' B' D2 R B' L
F' D' B' D2 B' L R
F' D' B' D2 B' R L
F2 D' B' F R B' L'
F' D' B2 R F L' F'
F2 D' B2 R F L' R
F2 D' B2 R F R L'
F2 D' B2 R' F L' R
F2 D' B2 R' F R L'
F2 D' B2 R2 F L' R
F2 D' B2 R2 F R L'
F' D' B2 F L' F' R
F2 D' B2 F L' R D
F2 D' B2 F L' R D'
F2 D' B2 F L' R D2
F2 D' B2 F L' D R
F2 D' B2 F L' D' R
F2 D' B2 F L' D2 R
F2 D' B2 F R L' D
F2 D' B2 F R L' D'
F2 D' B2 F R L' D2
F2 D' B2 F R D L'
F2 D' B2 F R D' L'
F2 D' B2 F R D2 L'
F2 D' B2 F D L' R
F2 D' B2 F D R L'
F2 D' B2 F D' L' R
F2 D' B2 F D' R L'
F2 D' B2 F D2 L' R
F2 D' B2 F D2 R L'
U' F2 D' F L' R B2
U' F2 D' F L' B2 R
U' F2 D' F R L' B2
U' F2 D' F R B2 L'
U' F2 D' F B2 L' R
U' F2 D' F B2 R L'
U' F2 D' B2 F L' R
U' F2 D' B2 F R L'
U2 F2 D' F L' R B2
U2 F2 D' F L' B2 R
U2 F2 D' F R L' B2
U2 F2 D' F R B2 L'
U2 F2 D' F B2 L' R
U2 F2 D' F B2 R L'
U2 F2 D' B2 F L' R
U2 F2 D' B2 F R L'
U F2 D' F L' R B2
U F2 D' F L' B2 R
U F2 D' F R L' B2
U F2 D' F R B2 L'
U F2 D' F B2 L' R
U F2 D' F B2 R L'
U F2 D' B2 F L' R
U F2 D' B2 F R L'
F' B R U' L2 F' U
F' B R U' F' L2 U
F2 B D' F L' R B2
F2 B D' F L' B2 R
F2 B D' F R L' B2
F2 B D' F R B2 L'
F2 B D' F B2 L' R
F2 B D' F B2 R L'
F2 B D' B2 F L' R
F2 B D' B2 F R L'
B' F' R U' L2 F' U
B' F' R U' F' L2 U
F' B' R U' L2 F' U
F' B' R U' F' L2 U
B2 F' R U' L2 F' U
B2 F' R U' F' L2 U
B F' R U' L2 F' U
B F' R U' F' L2 U
F2 B' D' F L' R B2
F2 B' D' F L' B2 R
F2 B' D' F R L' B2
F2 B' D' F R B2 L'
F2 B' D' F B2 L' R
F2 B' D' F B2 R L'
F2 B' D' B2 F L' R
F2 B' D' B2 F R L'
F' B2 R U' L2 F' U
F' B2 R U' F' L2 U
B' F2 D' F L' R B2
B' F2 D' F L' B2 R
B' F2 D' F R L' B2
B' F2 D' F R B2 L'
B' F2 D' F B2 L' R
B' F2 D' F B2 R L'
B' F2 D' B2 F L' R
B' F2 D' B2 F R L'
B2 F2 D' F L' R B2
B2 F2 D' F L' B2 R
B2 F2 D' F R L' B2
B2 F2 D' F R B2 L'
B2 F2 D' F B2 L' R
B2 F2 D' F B2 R L'
F2 B2 D' F L' R B2
F2 B2 D' F L' B2 R
F2 B2 D' F R L' B2
F2 B2 D' F R B2 L'
F2 B2 D' F B2 L' R
F2 B2 D' F B2 R L'
B2 F2 D' B2 F L' R
B2 F2 D' B2 F R L'
F2 B2 D' B2 F L' R
F2 B2 D' B2 F R L'
B F2 D' F L' R B2
B F2 D' F L' B2 R
B F2 D' F R L' B2
B F2 D' F R B2 L'
B F2 D' F B2 L' R
B F2 D' F B2 R L'
B F2 D' B2 F L' R
B F2 D' B2 F R L'
