B' L2 R F' R U
B' L2 F' R F' U
B' R L2 F' R U
B' R F' L2 R U
B' R F' R L2 U
F' R F' B' L2 U
F' R B' L2 F' U
F' R B' F' L2 U
R F' R B' L2 U
R F' B' L2 R U
R F' B' R L2 U
R F' B' R L2 U
F' B' L2 R F' U
R B' L2 F' R U
B' F' L2 R F' U
F' B' R L2 F' U
F' B' R F' L2 U
B' F' R L2 F' U
B' F' R F' L2 U
R B' F' L2 R U
R B' F' R L2 U
B' L R F' L R U
B' L R F' R L U
D2 L R2 B' L F U'
L2 R F' R U D R2
L2 R F' R U2 F2 U'
L2 R F' R D U R2
L2 R F' R D2 B2 U
L2 R F' U2 F2 L' U'
L2 R F' D R U R
L2 R F' D2 R B2 U
L2 R F' D2 B2 R U
B' L F' L R F' U
B' L F' R L F' U
B' L F' R F' L U
D2 L B' L R2 F U'
D2 L B' L F R2 U'
D2 L B' R2 L F U'
L2 R' U2 F L' B U'
L2 R' U2 F B L' U'
L2 R' U2 B F L' U'
B' L' D' L' U F L'
R' L2 U2 F L' B U'
R' L2 U2 F B L' U'
R' L2 U2 B F L' U'
L2 R2 U2 F L' B' U'
R2 L2 U2 F L' B' U'
B' L2 R F' R U D
B' L2 R F' R U D'
B' L2 R F' R U D2
B' L2 R F' R D U
B' L2 R F' R D' U
B' L2 R F' R D2 U
F' L2 R F' U D R2
F' L2 R F' U2 F2 U'
F' L2 R F' D U R2
B' L2 R F' D R U
F' L2 R F' D2 B2 U
B' L2 R F' D' R U
B' L2 R F' D2 R U
B L2 R F' R B2 U
B L2 R F' B2 R U
B L2 R B2 F' R U
R L2 F' R U D R2
R L2 F' R U2 F2 U'
R L2 F' R D U R2
R L2 F' R D2 B2 U
B' L2 U D' L' F L'
B' L2 U D' F L' F
R L2 F' U2 F2 L' U'
R L2 F' D R U R
R L2 F' D2 R B2 U
R L2 F' D2 B2 R U
B' L2 D' U L' F L'
B' L2 D' U F L' F
B' L2 D' F U L' F
B' L2 F' R D F' U
B' L2 F' R D' F' U
B' L2 F' R D2 F' U
B' L2 F' R F' U D
B' L2 F' R F' U D'
B' L2 F' R F' U D2
B' L2 F' R F' D U
B' L2 F' R F' D' U
B' L2 F' R F' D2 U
B L2 F' R F' B2 U
B L2 F' R B2 F' U
B2 L2 F' B R F' U
B L2 F' B2 R F' U
B2 L2 B R F' R U
B2 L2 B F' R F' U
B L2 B2 R F' R U
B L2 B2 F' R F' U
B' R L F' L R U
B' R L F' R L U
B' R L2 F' R U D
B' R L2 F' R U D'
B' R L2 F' R U D2
B' R L2 F' R D U
B' R L2 F' R D' U
B' R L2 F' R D2 U
F' R L2 F' U D R2
F' R L2 F' U2 F2 U'
F' R L2 F' D U R2
B' R L2 F' D R U
B' R L2 F' D' R U
F' R L2 F' D2 B2 U
B' R L2 F' D2 R U
B R L2 F' R B2 U
B R L2 F' B2 R U
B R L2 B2 F' R U
R U F' R B' L2 U
R U F' B' L2 R U
R U F' B' R L2 U
R U B' L2 F' R U
R U B' F' L2 R U
R U B' F' R L2 U
F' R D' F' B' U B'
F' R D' B' F' U B'
F' R F B' L2 F2 U
B' R F' L2 R U D
B' R F' L2 R U D'
B' R F' L2 R U D2
B' R F' L2 R D U
B' R F' L2 R D' U
B' R F' L2 R D2 U
B' R F' L2 D R U
B' R F' L2 D' R U
B' R F' L2 D2 R U
B' R F' R L2 U D
B' R F' R L2 U D'
B' R F' R L2 U D2
B' R F' R L2 D U
B' R F' R L2 D' U
B' R F' R L2 D2 U
B' R F' R U D' B2
F' R F' L2 U2 F U'
B' R F' R D' U B2
U' R F' R B' L2 U
U2 R F' R B' L2 U
B R F' L2 R B2 U
B' R F' D' R U B2
B R F' L2 B2 R U
B R F' R L2 B2 U
B R F' R B2 L2 U
F' R F' D' B' U B'
F' R F' B L2 B2 U
U' R F' B' L2 R U
U' R F' B' R L2 U
F' R F' B' L2 U D
F' R F' B' L2 U D'
F' R F' B' L2 U D2
F' R F' B' L2 D U
F' R F' B' L2 D' U
F' R F' B' L2 D2 U
F' R F' B' U D' B2
F' R F' B' D' U B2
F' R F' B2 L2 B U
U R F' R B' L2 U
U2 R F' B' L2 R U
U2 R F' B' R L2 U
