D' L' U R F U' F
D2 L2 D' R F' U' L
F2 R U L' R B' U
F2 R U L' B' R U
F2 R U R L' B' U
D R D L2 F' U' L
D2 R B L2 U' L R'
D2 R B L2 U' R' L
R' D R' B U L' B
R' D R' B U B L'
R2 D' B2 L B' U L2
L' D2 B R' D F2 B2
L' D2 B R' D B2 F2
L2 F D' F2 L R B'
L2 F D' F2 L B' R
L2 F D' F2 R L B'
L' F' R U' R U B
L' F' U' R2 U R' B
F D' L' F R U2 F
D2 B L2 R U' L R2
D2 B L2 R U' R2 L
D2 B R L2 U' L R2
D2 B R L2 U' R2 L
D2 B R' D L' F2 B2
D2 B R' D L' B2 F2
D2 B R' D B2 L' F2
R2 B2 L F' U L2 R
R2 B2 L F' U R L2
R2 B2 D' L B' U L2
