D L2 B' R' U B L
D' R' F B L U' B'
D' R' B F L U' B'
F U' B' L D' F B2
F U' B' L D' B2 F
F U' B' L F D' B2
F U2 D L' F R U
L' F L' B' R' U L
D' F R' B L U' B'
D2 F B L R' U' L2
D2 F B R' L U' L2
L2 F B' L' R' U L2
L2 F B' R' L' U L2
F D U2 L' F R U
D2 B R' F L U' L2
B F L U' D' B2 L
B F L D' U' B2 L
F B L U' D' B2 L
F B L D' U' B2 L
D2 B F L R' U' L2
D2 B F R' L U' L2
B' F U2 L' R' U L2
B' F U2 R' L' U L2
L2 B' R' U D' L B'
L2 B' R' D' U L B'
L2 B' R' F L' U L2
L2 B' D R' U L B
L2 B' D' R' U L B'
L2 B' F L' R' U L2
L2 B' F R' L' U L2
F B' U2 L' R' U L2
F B' U2 R' L' U L2
