F2 B' L' F U'
B' F2 L' F U'
B' L U2 R B' U
B' L U2 B' R U
F2 L' D F U' L'
B' L' F2 L' F' U'
B' L2 U2 R B U
L2 U2 R F B U
L2 U2 R B F U
B' F L' F L' U'
F2 B L' F B2 U'
F2 B L' B2 F U'
F2 B' L' D F U'
F2 B' L' D' F U'
F2 B' L' D2 F U'
F2 B' L' F U' D
F2 B' L' F U' D'
F2 B' L' F U' D2
F2 B' L' F D U'
F2 B' L' F D' U'
F2 B' L' F D2 U'
F B' L' F L' U'
B' F2 L' D F U'
B' F2 L' D' F U'
B' F2 L' D2 F U'
B' F2 L' F U' D
B' F2 L' F U' D'
B' F2 L' F U' D2
B' F2 L' F D U'
B' F2 L' F D' U'
B' F2 L' F D2 U'
B2 F2 L' F B U'
F2 B2 L' F B U'
B2 F2 L' B F U'
F2 B2 L' B F U'
B F2 L' F B2 U'
B F2 L' B2 F U'
U' L R B' U B L
B' L U2 R D B' U
B' L U2 R D' B' U
B' L U2 R D2 B' U
B' L U2 R B' U D
B' L U2 R B' U D'
B' L U2 R B' U D2
B' L U2 R B' D U
B' L U2 R B' D' U
B' L U2 R B' D2 U
B' L U2 R' B' R2 U
B' L U2 D R B' U
B' L U2 D B' R U
B' L U2 D' R B' U
B' L U2 D' B' R U
B' L U2 D2 R B' U
B' L U2 D2 B' R U
B' L U2 B R B2 U
B' L U2 B' R U D
B' L U2 B' R U D'
B' L U2 B' R U D2
B' L U2 B' R D U
B' L U2 B' R D' U
B' L U2 B' R D2 U
F' L U2 B' R' F' U
B' L U2 B' D R U
B' L U2 B' D' R U
B' L U2 B' D2 R U
B' L D U2 R B' U
B' L D U2 B' R U
L2 R F U2 R' F' U'
B' L D' U2 R B' U
B' L D' U2 B' R U
B' L D2 U2 R B' U
B' L D2 U2 B' R U
B' L F L2 F L' U'
B' L F' U2 B' R' U
B' L F2 L2 F L U'
L R B2 L F B U
L R B2 L B F U
R L B2 L F B U
R L B2 L B F U
B2 L B U2 R B2 U
B2 L B U2 B2 R U
B2 L B D2 F2 L' U'
B L B2 U2 B R U
B' L' U2 R U2 F U'
F2 L' D F U' L' D
F2 L' D F U' L' D'
F2 L' D F U' L' D2
F2 L' D F U' D L'
F2 L' D F U' D' L'
F2 L' D F U' D2 L'
F2 L' D F D U' L'
F2 L' D F D' U' L'
F2 L' D F D2 U' L'
F2 L' D F B U' L'
F2 L' D F B' U' L'
F2 L' D F B2 U' L'
B' L' D F2 L' F' U'
F2 L' D B F U' L'
F2 L' D B' F U' L'
F2 L' D B2 F U' L'
F2 L' D' F B' U' L
B' L' D' F2 L' F' U'
F2 L' D' B' F U' L
B' L' D2 F2 L' F' U'
F2 L' F L B' L' U'
F L' F L B' L2 U'
F L' F L' U2 F U
B' L' F D' L' U' F
F2 L' F D' B' U' L
B' L' F2 L F' L2 U'
B' L' F2 L' D F' U'
B' L' F2 L' D' F' U'
B' L' F2 L' D2 F' U'
B' L' F2 L' F' U' D
B' L' F2 L' F' U' D'
B' L' F2 L' F' U' D2
B' L' F2 L' F' D U'
B' L' F2 L' F' D' U'
B' L' F2 L' F' D2 U'
B' L' F2 L2 F' L U'
B2 L' F2 L' F' B U'
B2 L' F2 L' B F' U'
B L' F2 L' F' B2 U'
B L' F2 L' B2 F' U'
B' L' F2 D L' F' U'
B' L' F2 D' L' F' U'
B' L' F2 D2 L' F' U'
B2 L' F2 B L' F' U'
B L' F2 B2 L' F' U'
F2 L' B D F U' L'
B2 L' B F2 L' F' U'
F2 L' B' D F U' L'
F2 L' B2 D F U' L'
B L' B2 F2 L' F' U'
R L2 F U2 R' F' U'
U' L2 U' R F U R
B' L2 U' F D R F'
B' L2 U2 R D B U
B' L2 U2 R D' B U
B' L2 U2 R D2 B U
B' L2 U2 R B U D
B' L2 U2 R B U D'
B' L2 U2 R B U D2
B' L2 U2 R B D U
B' L2 U2 R B D' U
B' L2 U2 R B D2 U
B' L2 U2 D R B U
B' L2 U2 D' R B U
B' L2 U2 D2 R B U
B' L2 U2 B R B U
B' L2 U2 B' R B U
B' L2 U2 B2 R B U
B' L2 D U2 R B U
B' L2 D' U2 R B U
B' L2 D2 U2 R B U
B' L2 F L F L' U'
B' L2 F2 L F L2 U'
B' L2 F2 L' U2 B' U
B2 L2 B U2 R B U
B L2 B2 U2 R B U
U' R L B' U B L
D2 R U2 F' R' B' U'
B' R' D2 L2 R F' U'
B' R' D2 R L2 F' U'
B' R' D2 R F' L2 U'
L2 U2 R D F B U
L2 U2 R D B F U
L2 U2 R D' F B U
L2 U2 R D' B F U
L2 U2 R D2 F B U
L2 U2 R D2 B F U
L2 U2 R F D B U
L2 U2 R F D' B U
L2 U2 R F D2 B U
L2 U2 R F B U D
L2 U2 R F B U D'
L2 U2 R F B U D2
L2 U2 R F B D U
L2 U2 R F B D' U
L2 U2 R F B D2 U
L2 U2 R B D F U
L2 U2 R B D' F U
L2 U2 R B D2 F U
L2 U2 R B F U D
L2 U2 R B F U D'
L2 U2 R B F U D2
L2 U2 R B F D U
L2 U2 R B F D' U
L2 U2 R B F D2 U
L U2 R B' U D L2
L U2 R B' U2 B2 U'
L U2 R B' D U L2
L U2 R B' D2 F2 U
L U2 R' F' R2 B' U
L U2 R' F' B' R2 U
L U2 R' B' F' R2 U
F2 R' B' L' R F U'
L2 U2 R2 F R' B U
F2 R' B' R L' F U'
L2 U2 D R F B U
L2 U2 D R B F U
L2 U2 D' R F B U
L2 U2 D' R B F U
L2 U2 D2 R F B U
L2 U2 D2 R B F U
L2 U2 B R F B U
L2 U2 B R B F U
L2 U2 B' R F B U
L2 U2 B' R B F U
L U2 B' R U2 B U'
L U2 B' R' F' R2 U
L2 U2 B2 R F B U
L2 U2 B2 R B F U
F2 R2 B' L' R2 F U'
F2 R2 B' L' F R2 U'
F2 R2 B' R2 L' F U'
B' U L U R B' U
B' U L U B' R U
L2 D U2 R F B U
L2 D U2 R B F U
L' D F U' D' L' F
L' D F D' U' L' F
L' D F2 L' F' U' L'
L2 D' U2 R F B U
L2 D' U2 R B F U
B' U' F D R F' R
B' U' F D F' R F'
R2 D2 L2 R' F B U
R2 D2 L2 R' B F U
R2 D2 L2 F R' B U
R' D2 R F' B' L2 U'
R' D2 R B' L2 F' U'
R' D2 R B' F' L2 U'
B' U' F2 U L' F U'
R2 D2 R' L2 F B U
R2 D2 R' L2 B F U
D2 U2 R U2 F' B' U'
D2 U2 R U2 B' F' U'
F2 U' B' L' F U' B
U2 D2 R U2 F' B' U'
U2 D2 R U2 B' F' U'
B' U2 L R B' L' U
B' U2 L B' L' R U
B' U2 L B' R L' U
L2 D2 U2 R F B U
L2 D2 U2 R B F U
B' U2 R L B' L' U
B' U2 R D' B U R'
R' D2 B' L2 R F' U'
R' D2 B' R L2 F' U'
R' D2 B' R F' L2 U'
B' U2 R2 D2 R' B U
B' U2 D' R B U R'
B' U2 D' B R U R2
L' F L D2 B' L U'
B' U2 D2 R U2 F' U'
B' U2 D2 R' B R2 U
B' D F' U' R' F' R2
B' D F2 L' F U' R
F' D F' B' L' U' R
F D F' B' U' R F'
F2 D B' L' F' U' R
F' D B' U' R' F' R
F' D B' F' L' U' R
F2 D B' D' L' F U'
F D B' U' R F' R
F D B' U' F' R F'
F D B' F' U' R F'
L F' U2 B' R' F' U
D' F' B' U L U2 F
D F' B' U' R' F' R2
L' F2 L F' B' L2 U'
B' D' U2 R B U R'
L' F2 L B' L2 F' U'
L' F2 L B' F' L2 U'
B' D' U2 B R U R2
L' F2 L' F' U' D' L2
L' F2 L' F' U2 F2 U
L' F2 L' F' D' U' L2
L' F2 L' F' D2 B2 U'
L2 F2 L' U2 F' B' U
L2 F2 L' U2 B' F' U
B2 D' F' B U' R' F'
B2 D' F2 L' B U' R'
B' D' F2 D L' F U'
L F2 L2 F L B' U'
B2 D' F2 B L' U' R'
B2 D' B U' R' D' F2
B2 D' B U2 R U R2
B2 D' B F' U' R' F'
B2 D' B F2 L' U' R'
F' D' B' U L U2 F
F2 D' B' L' U L2 U2
F2 D' B' L' U' D2 R2
F2 D' B' L' D F2 U'
F2 D' B' L' D2 U' R2
U' F2 U B' L' F U'
F D' B' U L B' U2
U2 F2 U2 B' L' F U'
D' F2 D B' L' F U'
D2 F2 D2 B' L' F U'
U' F2 B' L' F U' B
D' F2 B' L' U L2 U2
D' F2 B' L' U' D2 R2
D' F2 B' L' D F2 U'
D' F2 B' L' D2 U' R2
D2 F2 B' D2 L' F U'
D F2 B' L' F U' R
B' D2 U2 R U2 F' U'
B' D2 U2 R' B R2 U
B' D2 F2 D2 L' F U'
L B R B2 L F U
F2 D2 B' D2 L' F U'
B' F L' F L' U' D
B' F L' F L' U' D'
B' F L' F L' U' D2
B' F L' F L' D U'
B' F L' F L' D' U'
B' F L' F L' D2 U'
B' F L' F D L' U'
B' F L' F D' L' U'
B' F L' F D2 L' U'
L2 B U2 R F B U
L2 B U2 R B F U
F2 B L' D F U' L2
B2 F L' F L' B U'
B2 F L' F B L' U'
F2 B L' F U' D L2
F2 B L' F D U' L2
F2 B L' F B2 U' D
F2 B L' F B2 U' D'
F2 B L' F B2 U' D2
F2 B L' F B2 D U'
F2 B L' F B2 D' U'
F2 B L' F B2 D2 U'
B2 F L' B F L' U'
F2 B L' B2 D F U'
F2 B L' B2 D' F U'
F2 B L' B2 D2 F U'
F2 B L' B2 F U' D
F2 B L' B2 F U' D'
F2 B L' B2 F U' D2
F2 B L' B2 F D U'
F2 B L' B2 F D' U'
F2 B L' B2 F D2 U'
B F L' F L' B2 U'
B F L' F B2 L' U'
B F L' B2 F L' U'
F B L' F L' B2 U'
F B L' F B2 L' U'
F B L' B2 F L' U'
L B D2 F2 L' B' U'
B' F U' D R F' R
B' F U' D F' R F'
D' B' L U2 R U R'
D' B' L' D F2 L' U'
B' F D U' R F' R
B' F D U' F' R F'
B' F D F' U' R F'
D' B' L2 F2 L' U' R
R' B' R F2 L' F U'
B' F' L U2 B' R' U
F' B' L U2 B' R' U
D' B' U L U R U
F2 B' L F L2 F U'
F2 B' L F' L2 F U'
F2 B' L F2 L2 F U'
B' F' L' F U2 R U
B' F' L' F' L' F2 U'
F2 B' L' R F R' U'
F2 B' L' R2 F R2 U'
F' B' L' F U2 R U
F' B' L' F' L' F2 U'
F2 B' L' D F U' D
F2 B' L' D F U' D'
F2 B' L' D F U' D2
F2 B' L' D F D U'
F2 B' L' D F D' U'
F2 B' L' D F D2 U'
F2 B' L' D' F U' D
F2 B' L' D' F U' D'
