B2 D' L F' R B'
B2 D' L F' B' R
B2 D' L B' F' R
D' F' B2 L R B'
D' F' B2 L B' R
D F' B R' B L
D' F' B2 R L B'
B2 D' F' L R B'
B2 D' F' L B' R
B2 D' F' R L B'
D B F' R' B L
D' B2 L F' R B'
D' B2 L F' B' R
D' B2 L B' F' R
D' B2 F' L R B'
D' B2 F' L B' R
D' B2 F' R L B'
B2 L D F' R' B R'
B2 L D F' B R' B
B2 L D B F' R' B
D' L F' R D2 B' L2
D' L F' R B' D2 L2
B2 L F' U R F' U'
D' L F' B2 L B R
D L F' B R' B L
D L B F' R' B L
D' L B2 L F' B R
D' L B2 L B F' R
D' L B2 F' L B R
D' L' F L' R' U2 F2
D' L' F R' L' U2 F2
D' L' F R' U2 F2 R
D' L' F' R D2 L2 B2
D' L' F' R D2 B2 L2
D' L' F' D2 B2 L R
D' L' F' D2 B2 R L
D L' F' B R' B L
D L' B F' R' B L
D L2 F' B R' B L
D L2 B F' R' B L
R' U D B R' U B
F' R D F' B2 U' F
F' R D B2 F' U' F
F' R D2 F' U' F L2
F' R F' U R2 U2 F
F' R F' U' D2 F L2
F' R F' U' F D2 L2
F' R F' D B2 U' F
F' R F' D2 U' F L2
F R' U L' B U F2
F R' U B L' U F2
D R' U2 B R F' R2
D R2 B R U2 B R2
R' D U B R' U B
L' D F' B R' B L
F' U R D F' B2 U'
L2 D F' B R' B L
F' U R D B2 F' U'
F' U R D2 F' U' L2
F' U R F' U R2 U2
F' U R F' U' D2 L2
F' U R F' D B2 U'
F' U R F' D2 U' L2
L D F' B R' B L
L' D B F' R' B L
L2 D B F' R' B L
L D B F' R' B L
B2 U D' L F' R B'
B2 U D' L F' B' R
B2 U D' L B' F' R
B2 U D' F' L R B'
B2 U D' F' L B' R
B2 U D' F' R L B'
U' D F' B R' B L
D' U F' B2 L R B'
D' U F' B2 L B' R
D' U F' B2 R L B'
U2 D F' B R' B L
D U F' B R' B L
U D F' B R' B L
U' D B F' R' B L
U2 D B F' R' B L
D U B F' R' B L
D' U B2 L F' R B'
D' U B2 L F' B' R
D' U B2 L B' F' R
U D B F' R' B L
D' U B2 F' L R B'
D' U B2 F' L B' R
D' U B2 F' R L B'
F' U B2 R F' U' L
L' D' F' B2 L R B'
L' D' F' B2 L B' R
L' D' F' B2 R L B'
L2 D' F' B2 L R B'
L2 D' F' B2 L B' R
L2 D' F' B2 R L B'
L D' F' B2 L R B'
L D' F' B2 L B' R
L D' F' B2 R L B'
D' U' F' B2 L R B'
U' D' F' B2 L R B'
D' U' F' B2 L B' R
U' D' F' B2 L B' R
U' D' F' B2 R L B'
D' U' F' B2 R L B'
U2 D' F' B2 L R B'
U2 D' F' B2 L B' R
U2 D' F' B2 R L B'
L' D' B2 L F' R B'
L' D' B2 L F' B' R
L' D' B2 L B' F' R
D U' F' B R' B L
L2 D' B2 L F' R B'
L2 D' B2 L F' B' R
L2 D' B2 L B' F' R
U D' F' B2 L R B'
U D' F' B2 L B' R
U D' F' B2 R L B'
L' D' B2 F' L R B'
L' D' B2 F' L B' R
L' D' B2 F' R L B'
B2 U' D' L F' R B'
B2 U' D' L F' B' R
B2 U' D' L B' F' R
L2 D' B2 F' L R B'
L2 D' B2 F' L B' R
L2 D' B2 F' R L B'
B2 U' D' F' L R B'
B2 U' D' F' L B' R
B2 U' D' F' R L B'
L D' B2 L F' R B'
L D' B2 L F' B' R
L D' B2 L B' F' R
U' D' B2 L F' R B'
D' U' B2 L F' R B'
U' D' B2 L F' B' R
D' U' B2 L F' B' R
D' U' B2 L B' F' R
U' D' B2 L B' F' R
L D' B2 F' L R B'
L D' B2 F' L B' R
L D' B2 F' R L B'
D U' B F' R' B L
D' U' B2 F' L R B'
U' D' B2 F' L R B'
D' U' B2 F' L B' R
U' D' B2 F' L B' R
D' U' B2 F' R L B'
U' D' B2 F' R L B'
U2 D' B2 L F' R B'
U2 D' B2 L F' B' R
U2 D' B2 L B' F' R
U2 D' B2 F' L R B'
U2 D' B2 F' L B' R
U2 D' B2 F' R L B'
U D' B2 L F' R B'
U D' B2 L F' B' R
U D' B2 L B' F' R
U D' B2 F' L R B'
U D' B2 F' L B' R
U D' B2 F' R L B'
D' U2 F' B2 L R B'
D' U2 F' B2 L B' R
D' U2 F' B2 R L B'
D U2 F' B R' B L
F' U2 R' U' R2 F' U'
D' U2 B2 L F' R B'
D' U2 B2 L F' B' R
D' U2 B2 L B' F' R
D U2 B F' R' B L
D' U2 B2 F' L R B'
D' U2 B2 F' L B' R
D' U2 B2 F' R L B'
B2 U2 D' L F' R B'
B2 U2 D' L F' B' R
B2 U2 D' L B' F' R
B2 U2 D' F' L R B'
B2 U2 D' F' L B' R
B2 U2 D' F' R L B'
D' F L' R' F U2 F
D' F L' F R' U2 F
D' F R' L' F U2 F
D F R' U2 F2 B R'
D F R' U2 B R' F2
D F R' U2 B F2 R'
D F R' B R' F2 L'
B2 D L F' R' B R'
B2 D L F' B R' B
B2 D L B F' R' B
D F B R' F2 B L
D F B R' B L F2
D F B R' B F2 L
D' F' L R D2 B' L2
D' F' L R B' D2 L2
D' F' L B2 L B R
D' F' L' R D2 L2 B'
D F' L B R' B L
B2 D F' L R' B R'
B2 D F' L B R' B
D' F' R L D2 B' L2
D' F' R L B' D2 L2
D' F' R L' D2 L2 B'
D F' L' B R' B L
B2 D F' R' L B R'
B D F' R' B L R'
B D F' R' B R' L
D F' L2 B R' B L
B D F' B L R' B
B D F' B R' L B
R F' R U B R U2
B D B L F' R' B
B D B F' L R' B
B D B F' R' L B
B2 D' L F' R D B'
B2 D' L F' R D' B'
B2 D' L F' R D2 B'
B2 D' L F' R B' D
B2 D' L F' R B' D'
B2 D' L F' R B' D2
B2 D' L F' R' B' R2
B2 D' L F' D R B'
B2 D' L F' D B' R
B2 D' L F' D' R B'
B2 D' L F' D' B' R
B2 D' L F' D2 R B'
B2 D' L F' D2 B' R
B2 D' L F' B R B2
B2 D' L F' B' R D
B2 D' L F' B' R D'
B2 D' L F' B' R D2
B2 D' L F' B' D R
B2 D' L F' B' D' R
B2 D' L F' B' D2 R
B2 D' L B F' R B2
B2 D' L B' F' R D
B2 D' L B' F' R D'
B2 D' L B' F' R D2
B2 D' L B' F' D R
B2 D' L B' F' D' R
B2 D' L B' F' D2 R
D F' U2 R' U2 B R'
D2 F' D' B R' B L
D' F' B R B L B'
D' F' B' L R B' L
D' F' B' L B' L R
D' F' B' L B' R L
D' F' B' R L B' L
D' F' B' R B' L B'
D F' B L R' B L
D F' B L' R' B L
D F' B L2 R' B L
D' F' B2 L R D B'
D' F' B2 L R D' B'
D' F' B2 L R D2 B'
D' F' B2 L R B' D
D' F' B2 L R B' D'
D' F' B2 L R B' D2
D' F' B2 L R' B' R2
D F' B R' L B L
D F' B R' L' B L
D F' B R' L2 B L
D' F' B2 L D R B'
D' F' B2 L D B' R
D' F' B2 L D' R B'
D' F' B2 L D' B' R
D' F' B2 L D2 R B'
D' F' B2 L D2 B' R
D F' B R' D B L
D F' B R' D' B L
D F' B R' D2 B L
D' F' B2 L B R B2
D' F' B2 L B' R D
D' F' B2 L B' R D'
D' F' B2 L B' R D2
D' F' B2 L B' D R
D' F' B2 L B' D' R
D' F' B2 L B' D2 R
D F' B R' B L D
D F' B R' B L D'
D F' B R' B L D2
D F' B R' B D L
D F' B R' B D' L
D F' B R' B D2 L
D' F' B2 R L D B'
D' F' B2 R L D' B'
D' F' B2 R L D2 B'
D' F' B2 R L B' D
D' F' B2 R L B' D'
D' F' B2 R L B' D2
D' F' B2 R' L B' R2
B2 D' U L F' R B'
B2 D' U L F' B' R
B2 D' U L B' F' R
B2 D' U F' L R B'
B2 D' U F' L B' R
B2 D' U F' R L B'
B2 D' U' L F' R B'
B2 D' U' L F' B' R
B2 D' U' L B' F' R
D F' B2 L B' R' B
B2 D' U' F' L R B'
B2 D' U' F' L B' R
B2 D' U' F' R L B'
B2 D' U2 L F' R B'
B2 D' U2 L F' B' R
B2 D' U2 L B' F' R
D F' B2 D2 L B' R'
B2 D' U2 F' L R B'
B2 D' U2 F' L B' R
B2 D' U2 F' R L B'
B2 D' F' L R D B'
B2 D' F' L R D' B'
B2 D' F' L R D2 B'
B2 D' F' L R B' D
B2 D' F' L R B' D'
B2 D' F' L R B' D2
B2 D' F' L R' B' R2
B2 D' F' L D R B'
B2 D' F' L D B' R
B2 D' F' L D' R B'
B2 D' F' L D' B' R
B2 D' F' L D2 R B'
B2 D' F' L D2 B' R
B2 D' F' L B R B2
B2 D' F' L B' R D
B2 D' F' L B' R D'
B2 D' F' L B' R D2
B2 D' F' L B' D R
B2 D' F' L B' D' R
B2 D' F' L B' D2 R
B2 D' F' R L D B'
B2 D' F' R L D' B'
B2 D' F' R L D2 B'
B2 D' F' R L B' D
B2 D' F' R L B' D'
B2 D' F' R L B' D2
B2 D' F' R' L B' R2
B D' F' R B L B'
B D' F' B L R B'
B D' F' B L B' R
B D' F' B R L B'
D F2 R' U2 F B R'
D F2 R' U2 B R' F
D F2 R' U2 B F R'
B D' B L F' R B'
B D' B L F' B' R
B D' B L B' F' R
B D' B F' L R B'
B D' B F' L B' R
B D' B F' R L B'
D F2 B R' F B L
D F2 B R' B F L
D B L F' R' B L
D B L' F' R' B L
D B L2 F' R' B L
D B U2 F' L' R' B
D B U2 F' R' L' B
D B U2 F' R' B L'
D' B F' R B L B'
D B F R' F2 B L
D B F R' B L F2
D B F R' B F2 L
F' B U R F' B U'
F' B U R B F' U'
D B F' L R' B L
D B F' L' R' B L
D B F' L2 R' B L
D B F' R' L B L
D B F' R' L' B L
D B F' R' L2 B L
D B F' R' D B L
D B F' R' D' B L
D B F' R' D2 B L
D B F' R' B L D
D B F' R' B L D'
D B F' R' B L D2
D B F' R' B D L
D B F' R' B D' L
D B F' R' B D2 L
D' B' L F' R B' L
D' B' L F' B' L R
D' B' L F' B' R L
D2 B' L B' U L F'
D2 B' L B' U F' L
D' B' L B' L F' R
D' B' L B' F' L R
D' B' L B' F' R L
D B F2 R' F B L
D B F2 R' B F L
B2 F' L U R F' U'
B2 F' R F' U' F L
B2 F' U R F' U' L
B F' U R F' B U'
B F' U R B F' U'
D' B' F' L R B' L
D' B' F' L B' L R
D' B' F' L B' R L
D' B' F' R L B' L
D' B' F' R B' L B'
D' B2 L F' R D B'
D' B2 L F' R D' B'
D' B2 L F' R D2 B'
D' B2 L F' R B' D
D' B2 L F' R B' D'
D' B2 L F' R B' D2
D' B2 L F' R' B' R2
D' B2 L F' D R B'
D' B2 L F' D B' R
D' B2 L F' D' R B'
D' B2 L F' D' B' R
D' B2 L F' D2 R B'
D' B2 L F' D2 B' R
D' B2 L F' B R B2
D' B2 L F' B' R D
D' B2 L F' B' R D'
D' B2 L F' B' R D2
D' B2 L F' B' D R
D' B2 L F' B' D' R
D' B2 L F' B' D2 R
D' B2 L B F' R B2
D' B2 L B' F' R D
D' B2 L B' F' R D'
D' B2 L B' F' R D2
D' B2 L B' F' D R
D' B2 L B' F' D' R
D' B2 L B' F' D2 R
D B2 L F' B' R' B
D B2 L B' F' R' B
F' B2 L U R F' U'
D' B2 U L F' R B'
D' B2 U L F' B' R
D' B2 U L B' F' R
F' B2 R F' U' F L
D' B2 U F' L R B'
D' B2 U F' L B' R
D' B2 U F' R L B'
D' B2 U' L F' R B'
D' B2 U' L F' B' R
D' B2 U' L B' F' R
D' B2 U' F' L R B'
D' B2 U' F' L B' R
D' B2 U' F' R L B'
D' B2 U2 L F' R B'
D' B2 U2 L F' B' R
D' B2 U2 L B' F' R
D' B2 U2 F' L R B'
D' B2 U2 F' L B' R
D' B2 U2 F' R L B'
F' B2 U R F' U' L
U' B2 D' L F' R B'
U' B2 D' L F' B' R
U' B2 D' L B' F' R
L' B2 D' L F' R B'
L' B2 D' L F' B' R
L' B2 D' L B' F' R
U' B2 D' F' L R B'
U' B2 D' F' L B' R
U' B2 D' F' R L B'
L' B2 D' F' L R B'
L' B2 D' F' L B' R
L' B2 D' F' R L B'
L2 B2 D' L F' R B'
L2 B2 D' L F' B' R
L2 B2 D' L B' F' R
U2 B2 D' L F' R B'
U2 B2 D' L F' B' R
U2 B2 D' L B' F' R
L2 B2 D' F' L R B'
L2 B2 D' F' L B' R
L2 B2 D' F' R L B'
U2 B2 D' F' L R B'
U2 B2 D' F' L B' R
U2 B2 D' F' R L B'
L B2 D' L F' R B'
L B2 D' L F' B' R
L B2 D' L B' F' R
U B2 D' L F' R B'
U B2 D' L F' B' R
U B2 D' L B' F' R
D B2 D2 L F' B' R'
D B2 D2 L B' F' R'
D' B2 F' L R D B'
D' B2 F' L R D' B'
D' B2 F' L R D2 B'
D' B2 F' L R B' D
D' B2 F' L R B' D'
D' B2 F' L R B' D2
D' B2 F' L R' B' R2
D' B2 F' L D R B'
D' B2 F' L D B' R
D' B2 F' L D' R B'
D' B2 F' L D' B' R
D' B2 F' L D2 R B'
D' B2 F' L D2 B' R
L B2 D' F' L R B'
L B2 D' F' L B' R
D' B2 F' L B R B2
D' B2 F' L B' R D
D' B2 F' L B' R D'
D' B2 F' L B' R D2
D' B2 F' L B' D R
L B2 D' F' R L B'
D' B2 F' L B' D' R
D' B2 F' L B' D2 R
U B2 D' F' L R B'
U B2 D' F' L B' R
U B2 D' F' R L B'
D' B2 F' R L D B'
D' B2 F' R L D' B'
D' B2 F' R L D2 B'
D' B2 F' R L B' D
D' B2 F' R L B' D'
D' B2 F' R L B' D2
D' B2 F' R' L B' R2
D B2 D2 F' L B' R'
D B2 F' L B' R' B
D B2 F' D2 L B' R'
