U2 L2 F L' R U'
U2 L2 F R L' U'
L2 U2 F L' R U'
L2 U2 F R L' U'
D2 B L R' B2 U
D2 B R' L B2 U
D2 B' U2 L R' U'
D2 B' U2 R' L U'
L2 R U2 F L' R U'
L2 R U2 F R L' U'
B L F' R F B2 U
B L F' R B2 F U
B L F' B2 R F U
B L B D2 B R' U
B L B2 D R U F'
L2 R' U2 F L' R U'
B L B2 F' R F U
L2 R' U2 F R L' U'
U2 L' F L' R F U'
U2 L' F R L' F U'
D2 L' B L R' B' U
D2 L' B R' L B' U
R' L2 U2 F L' R U'
R' L2 U2 F R L' U'
L2 R2 U2 F L' R U'
L2 R2 U2 F R L' U'
R2 L2 U2 F L' R U'
R2 L2 U2 F R L' U'
R L2 U2 F L' R U'
R L2 U2 F R L' U'
U2 L2 R F L' R U'
U2 L2 R F R L' U'
U2 L2 R' F L' R U'
U2 L2 R' F R L' U'
U2 L2 R2 F L' R U'
U2 L2 R2 F R L' U'
D L2 U2 F R U' F'
U2 L2 D F R U' F'
B L2 D' L' U R2 F
B L2 D' L' U F R2
U2 L2 F L' R U' D
U2 L2 F L' R U' D'
U2 L2 F L' R U' D2
U2 L2 F L' R D U'
U2 L2 F L' R D' U'
U2 L2 F L' R D2 U'
U2 L2 F L' D R U'
U2 L2 F L' D' R U'
U2 L2 F L' D2 R U'
U2 L2 F R L' U' D
U2 L2 F R L' U' D'
U2 L2 F R L' U' D2
U2 L2 F R L' D U'
U2 L2 F R L' D' U'
U2 L2 F R L' D2 U'
U2 L2 F R D L' U'
U2 L2 F R D' L' U'
U2 L2 F R D2 L' U'
U2 L2 F D L' R U'
U2 L2 F D R L' U'
U2 L2 F D' L' R U'
U2 L2 F D' R L' U'
U2 L2 F D2 L' R U'
U2 L2 F D2 R L' U'
L' U D R F' B R
L' U D R B F' R
L' U D F' R F' B
L' U D F' R B F'
B L2 B2 D' L' U F
U2 R L2 F L' R U'
U2 R L2 F R L' U'
B' R D R U F' B2
B' R D R U B2 F'
F' R F B L B2 U
F' R F B' U2 R' U'
D2 R B L R' B2 U
D2 R B R' L B2 U
D R B L B2 U F'
F' R B F L B2 U
D2 R B' U2 L R' U'
D2 R B' U2 R' L U'
F' R B' F U2 R' U'
U2 R' L2 F L' R U'
U2 R' L2 F R L' U'
L' U2 L' F L' R U'
L' U2 L' F R L' U'
R' U2 L2 F L' R U'
R' U2 L2 F R L' U'
R2 U2 L2 F L' R U'
R2 U2 L2 F R L' U'
R U2 L2 F L' R U'
R U2 L2 F R L' U'
L2 U2 R F L' R U'
L2 U2 R F R L' U'
D2 R' B L R' B2 U
D2 R' B R' L B2 U
L2 U2 R' F L' R U'
L2 U2 R' F R L' U'
D2 R' B' U2 L R' U'
D2 R' B' U2 R' L U'
L2 U2 R2 F L' R U'
L2 U2 R2 F R L' U'
L2 U2 D F R U' F'
L' U2 F L' R F U'
L' U2 F R L' F U'
L2 U2 F L' R U' D
L2 U2 F L' R U' D'
L2 U2 F L' R U' D2
L2 U2 F L' R D U'
L2 U2 F L' R D' U'
L2 U2 F L' R D2 U'
L2 U2 F L' D R U'
L2 U2 F L' D' R U'
L2 U2 F L' D2 R U'
L2 U2 F R L' U' D
L2 U2 F R L' U' D'
L2 U2 F R L' U' D2
L2 U2 F R L' D U'
L2 U2 F R L' D' U'
L2 U2 F R L' D2 U'
L2 U2 F R D L' U'
L2 U2 F R D' L' U'
L2 U2 F R D2 L' U'
L2 U2 F D L' R U'
L2 U2 F D R L' U'
L2 U2 F D' L' R U'
L2 U2 F D' R L' U'
L2 U2 F D2 L' R U'
L2 U2 F D2 R L' U'
U2 R2 L2 F L' R U'
U2 R2 L2 F R L' U'
B' R2 U2 D R U' F'
B' R2 D U2 R U' F'
L' D R U F' R B
D2 R2 B L R' B2 U
D2 R2 B R' L B2 U
D2 R2 B' U2 L R' U'
D2 R2 B' U2 R' L U'
L' D U R F' B R
L' D U R B F' R
L' D U F' R F' B
